#Pass ID: 20250101_100305_TY-39
#Satellite: TY-39
#Configuration: TY-39
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-01 10:03:07

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 51832U 22019J   24366.81756190  .00006730  00000+0  34536-3 0  9990
#TLE: 2 51832  97.4118  71.3396 0007727 292.1191  67.9222 15.16825869156997

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-01 10:03:07.01	134.43	8.15	-63.0	-67.6	3.4	0.00e+00	0	46	0
2025-01-01 10:03:07.91	134.35	8.23	-62.7	-67.4	3.7	0.00e+00	0	47	104
2025-01-01 10:03:08.90	134.26	8.32	-62.5	-69.1	3.4	0.00e+00	0	47	104
2025-01-01 10:03:09.81	134.18	8.40	-63.1	-69.6	3.5	0.00e+00	0	47	104
2025-01-01 10:03:10.80	134.09	8.49	-63.7	-69.1	3.3	0.00e+00	0	48	104
2025-01-01 10:03:11.70	134.00	8.57	-63.6	-68.0	3.5	0.00e+00	0	48	104
2025-01-01 10:03:12.69	133.91	8.66	-63.7	-69.0	3.7	0.00e+00	0	48	104
2025-01-01 10:03:13.60	133.83	8.74	-64.2	-70.1	3.4	0.00e+00	0	48	104
2025-01-01 10:03:14.59	133.73	8.83	-64.4	-70.3	3.7	0.00e+00	0	48	104
2025-01-01 10:03:15.50	133.65	8.91	-64.6	-70.6	3.4	0.00e+00	0	48	104
2025-01-01 10:03:16.49	133.55	9.00	-64.9	-70.7	3.6	0.00e+00	0	49	104
2025-01-01 10:03:17.40	133.47	9.09	-65.2	-71.3	3.4	0.00e+00	0	49	104
2025-01-01 10:03:18.39	133.37	9.18	-65.6	-71.5	3.4	0.00e+00	0	49	104
2025-01-01 10:03:19.30	133.28	9.26	-66.0	-71.8	3.7	0.00e+00	0	49	104
2025-01-01 10:03:20.29	133.19	9.35	-66.1	-71.9	3.5	0.00e+00	0	49	104
2025-01-01 10:03:21.20	133.10	9.44	-66.1	-71.7	3.7	0.00e+00	0	49	104
2025-01-01 10:03:22.19	133.00	9.53	-65.9	-71.4	3.4	0.00e+00	0	50	104
2025-01-01 10:03:23.10	132.91	9.62	-65.8	-71.1	3.6	0.00e+00	0	50	104
2025-01-01 10:03:24.08	132.81	9.71	-65.7	-71.1	3.7	0.00e+00	0	50	104
2025-01-01 10:03:24.99	132.72	9.80	-65.6	-71.1	3.5	0.00e+00	0	50	104
2025-01-01 10:03:25.98	132.61	9.89	-65.6	-71.2	3.7	0.00e+00	0	50	104
2025-01-01 10:03:26.89	132.52	9.98	-65.7	-71.3	3.5	0.00e+00	0	50	104
2025-01-01 10:03:27.88	132.42	10.07	-65.8	-71.5	3.6	0.00e+00	0	50	104
2025-01-01 10:03:28.79	132.32	10.16	-65.7	-71.4	3.5	0.00e+00	0	51	104
2025-01-01 10:03:29.78	132.22	10.25	-65.5	-71.1	3.5	0.00e+00	0	51	104
2025-01-01 10:03:30.69	132.12	10.34	-65.4	-70.8	3.7	0.00e+00	0	51	104
2025-01-01 10:03:31.68	132.01	10.44	-65.4	-70.8	3.5	0.00e+00	0	51	104
2025-01-01 10:03:32.59	131.92	10.53	-65.6	-71.1	3.7	0.00e+00	0	51	104
2025-01-01 10:03:33.58	131.81	10.62	-65.8	-71.5	3.5	0.00e+00	0	51	104
2025-01-01 10:03:34.48	131.71	10.71	-65.8	-71.8	3.6	0.00e+00	0	51	104
2025-01-01 10:03:35.47	131.60	10.81	-65.8	-71.9	3.7	0.00e+00	0	51	104
2025-01-01 10:03:36.38	131.50	10.90	-65.6	-71.8	3.6	0.00e+00	0	51	104
2025-01-01 10:03:37.37	131.39	11.00	-65.4	-71.6	3.7	0.00e+00	0	52	104
2025-01-01 10:03:38.28	131.28	11.09	-65.3	-71.5	3.6	0.00e+00	0	52	104
2025-01-01 10:03:39.27	131.17	11.19	-65.3	-71.6	3.6	0.00e+00	0	52	104
2025-01-01 10:03:40.18	131.07	11.28	-65.5	-71.8	3.6	0.00e+00	0	52	104
2025-01-01 10:03:41.16	130.95	11.38	-65.9	-72.2	3.6	0.00e+00	0	52	104
2025-01-01 10:03:42.07	130.85	11.47	-66.3	-72.5	3.7	0.00e+00	0	52	104
2025-01-01 10:03:43.06	130.73	11.57	-66.6	-72.2	3.6	0.00e+00	0	52	104
2025-01-01 10:03:43.97	130.62	11.67	-66.5	-72.0	3.7	0.00e+00	0	53	104
2025-01-01 10:03:44.96	130.50	11.77	-66.3	-71.7	3.5	0.00e+00	0	53	104
2025-01-01 10:03:45.87	130.39	11.86	-66.2	-71.7	3.6	0.00e+00	0	53	104
2025-01-01 10:03:46.86	130.27	11.97	-66.4	-72.1	3.7	0.00e+00	0	53	104
2025-01-01 10:03:47.77	130.16	12.06	-66.6	-72.6	3.5	0.00e+00	0	53	104
2025-01-01 10:03:48.76	130.04	12.17	-66.9	-72.5	3.7	0.00e+00	0	53	104
2025-01-01 10:03:49.67	129.92	12.26	-67.0	-72.7	3.6	0.00e+00	0	53	104
2025-01-01 10:03:50.66	129.80	12.37	-67.0	-72.8	3.6	0.00e+00	0	53	104
2025-01-01 10:03:51.57	129.68	12.46	-66.9	-72.8	3.5	0.00e+00	0	54	104
2025-01-01 10:03:52.56	129.56	12.57	-66.8	-72.5	3.6	0.00e+00	0	54	104
2025-01-01 10:03:53.47	129.44	12.67	-66.5	-72.0	3.7	0.00e+00	0	54	104
2025-01-01 10:03:54.46	129.31	12.77	-66.1	-71.6	3.5	0.00e+00	0	54	104
2025-01-01 10:03:55.37	129.19	12.87	-65.9	-71.7	3.7	0.00e+00	0	54	104
2025-01-01 10:03:56.36	129.06	12.98	-65.7	-71.4	3.5	0.00e+00	0	54	104
2025-01-01 10:03:57.27	128.94	13.08	-65.7	-71.3	3.6	0.00e+00	0	54	104
2025-01-01 10:03:58.25	128.81	13.18	-65.8	-71.4	3.7	0.00e+00	0	55	104
2025-01-01 10:03:59.16	128.68	13.28	-65.9	-71.6	3.5	0.00e+00	0	55	104
2025-01-01 10:04:00.15	128.55	13.39	-66.3	-72.1	3.7	0.00e+00	0	55	104
2025-01-01 10:04:01.05	128.42	13.49	-66.7	-72.7	3.5	0.00e+00	0	55	104
2025-01-01 10:04:02.04	128.29	13.60	-66.9	-72.7	3.6	0.00e+00	0	55	104
2025-01-01 10:04:02.95	128.16	13.70	-67.0	-72.9	3.5	0.00e+00	0	55	104
2025-01-01 10:04:03.94	128.02	13.82	-67.1	-72.9	3.6	0.00e+00	0	55	104
2025-01-01 10:04:04.85	127.89	13.92	-67.1	-72.9	3.7	0.00e+00	0	55	104
2025-01-01 10:04:05.84	127.75	14.03	-67.1	-72.7	3.5	0.00e+00	0	55	104
2025-01-01 10:04:06.75	127.61	14.13	-66.9	-72.3	3.7	0.00e+00	0	55	104
2025-01-01 10:04:07.74	127.47	14.25	-66.9	-72.4	3.5	0.00e+00	0	56	104
2025-01-01 10:04:08.65	127.33	14.35	-53.9	-56.5	12.2	0.00e+00	0	56	104
2025-01-01 10:04:09.64	127.19	14.47	-53.8	-56.9	12.6	2.77e-05	0	56	0
