#Pass ID: 20250101_090459_METEOR-M2 2
#Satellite: METEOR-M2 2
#Configuration: METEOR-M2 2
#Start time: 2025-01-01 09:05:04.811691

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 44387U 19038A   24366.52446649  .00000532  00000+0  25093-3 0  9999
#TLE: 2 44387  98.8545 336.8187 0002216 101.1241 259.0186 14.24104668285477

#Time	Az	El	Level	SNR
2025-01-01 09:05:13.561762	136.7	31.7	-67.2	0.0
2025-01-01 09:05:14.704725	136.5	31.9	-68.2	0.0
2025-01-01 09:05:15.846199	136.4	32.2	-65.9	0.0
2025-01-01 09:05:16.988671	136.3	32.4	-68.3	0.0
2025-01-01 09:05:18.131142	136.2	32.6	-61.1	0.0
2025-01-01 09:05:19.274104	136.1	32.8	-69.1	0.0
2025-01-01 09:05:20.417066	135.9	33.1	-69.3	0.0
2025-01-01 09:05:21.562023	135.8	33.3	-67.8	0.0
2025-01-01 09:05:22.704497	135.7	33.6	-66.9	0.0
2025-01-01 09:05:23.845464	135.6	33.8	-64.6	0.0
2025-01-01 09:05:24.987430	135.4	34.0	-66.4	0.0
2025-01-01 09:05:26.131392	135.3	34.3	-64.7	0.0
2025-01-01 09:05:27.274858	135.2	34.5	-67.3	0.0
2025-01-01 09:05:28.416823	135.0	34.8	-66.5	0.0
2025-01-01 09:05:29.559785	134.9	35.0	-64.9	0.0
2025-01-01 09:05:30.700262	134.8	35.3	-66.4	0.0
2025-01-01 09:05:31.842228	134.6	35.5	-67.0	0.0
2025-01-01 09:05:32.986187	134.5	35.8	-68.0	0.0
2025-01-01 09:05:34.134143	134.3	36.1	-65.5	0.0
2025-01-01 09:05:35.276101	134.2	36.3	-65.7	0.0
2025-01-01 09:05:36.418067	134.0	36.6	-64.7	0.0
2025-01-01 09:05:37.559542	133.9	36.8	-64.5	0.0
2025-01-01 09:05:38.701510	133.7	37.1	-64.7	0.0
2025-01-01 09:05:39.842988	133.6	37.4	-66.4	0.0
2025-01-01 09:05:40.984953	133.4	37.6	-65.9	0.0
2025-01-01 09:05:42.125920	133.2	37.9	-58.9	0.0
2025-01-01 09:05:43.269882	133.1	38.2	-64.8	0.0
2025-01-01 09:05:44.412843	132.9	38.5	-58.0	0.0
2025-01-01 09:05:45.554807	132.7	38.7	-67.6	0.0
2025-01-01 09:05:46.697770	132.6	39.0	-65.4	0.0
2025-01-01 09:05:47.839247	132.4	39.3	-66.0	0.0
2025-01-01 09:05:48.987702	132.2	39.6	-64.4	0.0
2025-01-01 09:05:50.130664	132.0	39.9	-64.5	0.0
2025-01-01 09:05:51.272139	131.8	40.2	-66.8	0.0
2025-01-01 09:05:52.415102	131.6	40.4	-66.4	0.0
2025-01-01 09:05:53.556069	131.4	40.7	-65.6	0.0
2025-01-01 09:05:54.698541	131.2	41.0	-64.6	0.0
2025-01-01 09:05:55.843498	131.0	41.3	-65.5	0.0
2025-01-01 09:05:56.984466	130.8	41.6	-64.3	0.0
2025-01-01 09:05:58.126938	130.6	41.9	-65.4	0.0
2025-01-01 09:05:59.271896	130.4	42.2	-64.9	0.0
2025-01-01 09:06:00.416853	130.2	42.5	-63.0	0.0
2025-01-01 09:06:01.558818	129.9	42.8	-67.6	0.0
2025-01-01 09:06:02.701781	129.7	43.1	-65.7	0.0
2025-01-01 09:06:03.843744	129.5	43.4	-65.6	0.0
2025-01-01 09:06:04.985711	129.2	43.8	-65.6	0.0
2025-01-01 09:06:06.126677	129.0	44.1	-67.1	0.0
2025-01-01 09:06:07.270660	128.8	44.4	-69.3	0.0
2025-01-01 09:06:08.415617	128.5	44.7	-65.9	0.0
2025-01-01 09:06:09.559576	128.2	45.0	-66.2	0.0
2025-01-01 09:06:10.703049	128.0	45.3	-63.5	0.0
2025-01-01 09:06:11.846518	127.7	45.7	-65.2	0.0
2025-01-01 09:06:12.990480	127.4	46.0	-65.1	0.0
2025-01-01 09:06:14.134438	127.2	46.3	-65.0	0.0
2025-01-01 09:06:15.284382	126.9	46.6	-63.4	0.0
2025-01-01 09:06:16.428342	126.6	47.0	-64.9	0.0
2025-01-01 09:06:17.571304	126.3	47.3	-62.7	0.0
2025-01-01 09:06:18.716260	126.0	47.6	-63.6	0.0
2025-01-01 09:06:19.858225	125.7	48.0	-62.2	0.0
2025-01-01 09:06:21.004691	125.4	48.3	-63.4	0.0
2025-01-01 09:06:22.149647	125.0	48.6	-62.6	0.0
2025-01-01 09:06:23.291612	124.7	49.0	-64.6	0.0
2025-01-01 09:06:24.434575	124.4	49.3	-62.1	0.0
2025-01-01 09:06:25.576049	124.0	49.7	-64.2	0.0
2025-01-01 09:06:26.718015	123.7	50.0	-64.7	0.0
2025-01-01 09:06:27.862971	123.3	50.4	-62.2	0.0
2025-01-01 09:06:29.005934	122.9	50.7	-63.3	0.0
2025-01-01 09:06:30.150891	122.5	51.1	-62.3	0.0
2025-01-01 09:06:31.291858	122.1	51.4	-61.6	0.0
2025-01-01 09:06:32.433823	121.7	51.8	-67.4	0.0
2025-01-01 09:06:33.575302	121.3	52.1	-64.5	0.0
2025-01-01 09:06:34.717267	120.9	52.5	-66.9	0.0
2025-01-01 09:06:35.861734	120.5	52.8	-66.9	0.0
2025-01-01 09:06:37.003208	120.1	53.2	-67.2	0.0
2025-01-01 09:06:38.145176	119.6	53.5	-68.0	0.0
2025-01-01 09:06:39.288136	119.1	53.9	-62.6	0.0
2025-01-01 09:06:40.431098	118.7	54.2	-65.4	0.0
2025-01-01 09:06:41.577053	118.2	54.6	-62.9	0.0
2025-01-01 09:06:42.718020	117.7	54.9	-63.4	0.0
2025-01-01 09:06:43.863975	117.2	55.3	-63.5	0.0
2025-01-01 09:06:45.006937	116.7	55.7	-66.1	0.0
2025-01-01 09:06:46.147905	116.1	56.0	-63.5	0.0
2025-01-01 09:06:47.290378	115.6	56.4	-66.6	0.0
2025-01-01 09:06:48.432344	115.0	56.7	-60.6	0.0
2025-01-01 09:06:49.576302	114.4	57.1	-63.0	0.0
2025-01-01 09:06:50.718268	113.8	57.4	-62.5	0.0
2025-01-01 09:06:51.861231	113.2	57.8	-62.6	0.0
2025-01-01 09:06:53.003195	112.6	58.2	-67.9	0.0
2025-01-01 09:06:54.143675	111.9	58.5	-67.0	0.0
2025-01-01 09:06:55.289630	111.3	58.9	-66.7	0.0
2025-01-01 09:06:56.431595	110.6	59.2	-57.5	0.0
2025-01-01 09:06:57.574558	109.9	59.6	-63.8	0.0
2025-01-01 09:06:58.717520	109.2	59.9	-66.8	0.0
2025-01-01 09:06:59.861479	108.4	60.2	-61.9	0.0
2025-01-01 09:07:01.006437	107.7	60.6	-62.8	0.0
2025-01-01 09:07:02.148401	106.9	60.9	-64.2	0.0
2025-01-01 09:07:03.290367	106.1	61.3	-63.8	0.0
2025-01-01 09:07:04.432331	105.3	61.6	-63.5	0.0
2025-01-01 09:07:05.578286	104.4	61.9	-64.9	0.0
2025-01-01 09:07:06.721248	103.6	62.2	-63.9	0.0
2025-01-01 09:07:07.864210	102.7	62.6	-65.0	0.0
2025-01-01 09:07:09.006176	101.8	62.9	-65.1	0.0
2025-01-01 09:07:10.148141	100.8	63.2	-63.2	0.0
2025-01-01 09:07:11.291102	99.9	63.5	-63.2	0.0
2025-01-01 09:07:12.433577	98.9	63.8	-64.1	0.0
2025-01-01 09:07:13.575053	97.9	64.1	-64.4	0.0
2025-01-01 09:07:14.717017	96.8	64.4	-61.7	0.0
2025-01-01 09:07:15.858982	95.8	64.7	-60.5	0.0
2025-01-01 09:07:17.001457	94.7	64.9	-63.3	0.0
2025-01-01 09:07:18.146413	93.6	65.2	-63.1	0.0
2025-01-01 09:07:19.289377	92.4	65.4	-62.6	0.0
2025-01-01 09:07:20.433847	91.2	65.7	-63.0	0.0
2025-01-01 09:07:21.575811	90.0	65.9	-59.5	0.0
2025-01-01 09:07:22.717779	88.8	66.2	-65.5	0.0
2025-01-01 09:07:23.858744	87.6	66.4	-65.5	0.0
2025-01-01 09:07:25.002705	86.3	66.6	-59.1	0.0
2025-01-01 09:07:26.144668	85.0	66.8	-62.9	0.0
2025-01-01 09:07:27.286658	83.7	67.0	-63.1	0.0
2025-01-01 09:07:28.428622	82.3	67.2	-64.0	0.0
2025-01-01 09:07:29.572092	81.0	67.4	-59.7	0.0
2025-01-01 09:07:30.715055	79.6	67.5	-59.1	0.0
2025-01-01 09:07:31.859015	78.1	67.7	-60.4	0.0
2025-01-01 09:07:33.003480	76.7	67.8	-62.0	0.0
2025-01-01 09:07:34.145950	75.3	67.9	-63.8	0.0
2025-01-01 09:07:35.289910	73.8	68.0	-58.3	0.0
2025-01-01 09:07:36.434867	72.3	68.1	-59.9	0.0
2025-01-01 09:07:37.577830	70.8	68.2	-63.3	0.0
2025-01-01 09:07:38.725778	69.3	68.3	-62.1	0.0
2025-01-01 09:07:39.869738	67.8	68.3	-67.2	0.0
2025-01-01 09:07:41.013724	66.3	68.3	-65.4	0.0
2025-01-01 09:07:42.157682	64.7	68.4	-64.6	0.0
2025-01-01 09:07:43.299157	63.2	68.4	-61.3	0.0
2025-01-01 09:07:44.441140	61.7	68.4	-62.2	0.0
2025-01-01 09:07:45.584102	60.2	68.4	-63.3	0.0
2025-01-01 09:07:46.726067	58.6	68.3	-60.8	0.0
2025-01-01 09:07:47.872021	57.1	68.3	-66.2	0.0
2025-01-01 09:07:49.013986	55.6	68.2	-63.4	0.0
2025-01-01 09:07:50.159941	54.1	68.1	-61.7	0.0
2025-01-01 09:07:51.301906	52.6	68.0	-63.4	0.0
2025-01-01 09:07:52.442874	51.1	67.9	-63.2	0.0
2025-01-01 09:07:53.586835	49.7	67.8	-62.3	0.0
2025-01-01 09:07:54.727801	48.3	67.7	-62.5	0.0
2025-01-01 09:07:55.875751	46.8	67.6	-58.9	0.0
2025-01-01 09:07:57.017715	45.4	67.4	-64.8	0.0
2025-01-01 09:07:58.161185	44.0	67.2	-65.4	0.0
2025-01-01 09:07:59.303150	42.7	67.1	-62.7	0.0
2025-01-01 09:08:00.449104	41.4	66.9	-64.3	0.0
2025-01-01 09:08:01.589582	40.1	66.7	-64.9	0.0
2025-01-01 09:08:02.734539	38.8	66.5	-63.8	0.0
2025-01-01 09:08:03.880494	37.5	66.3	-64.0	0.0
2025-01-01 09:08:05.022459	36.3	66.0	-64.4	0.0
2025-01-01 09:08:06.168414	35.1	65.8	-63.0	0.0
2025-01-01 09:08:07.311375	33.9	65.5	-65.8	0.0
2025-01-01 09:08:08.455335	32.7	65.3	-61.4	0.0
2025-01-01 09:08:09.597301	31.6	65.0	-65.1	0.0
2025-01-01 09:08:10.739265	30.5	64.7	-64.9	0.0
2025-01-01 09:08:11.884223	29.4	64.5	-65.7	0.0
2025-01-01 09:08:13.028689	28.4	64.2	-66.8	0.0
2025-01-01 09:08:14.171162	27.4	63.9	-63.3	0.0
2025-01-01 09:08:15.314124	26.4	63.6	-64.0	0.0
2025-01-01 09:08:16.457088	25.4	63.3	-66.7	0.0
2025-01-01 09:08:17.598054	24.5	63.0	-67.6	0.0
2025-01-01 09:08:18.740019	23.5	62.7	-66.5	0.0
2025-01-01 09:08:19.888967	22.6	62.4	-62.9	0.0
2025-01-01 09:08:21.034919	21.8	62.0	-65.1	0.0
2025-01-01 09:08:22.175888	20.9	61.7	-66.5	0.0
2025-01-01 09:08:23.319847	20.1	61.4	-65.4	0.0
2025-01-01 09:08:24.461812	19.3	61.0	-65.1	0.0
2025-01-01 09:08:25.604774	18.5	60.7	-64.1	0.0
2025-01-01 09:08:26.747736	17.7	60.4	-62.1	0.0
2025-01-01 09:08:27.889701	17.0	60.0	-67.7	0.0
2025-01-01 09:08:29.034659	16.3	59.7	-63.2	0.0
2025-01-01 09:08:30.176641	15.6	59.3	-62.6	0.0
2025-01-01 09:08:31.320599	14.9	59.0	-63.9	0.0
2025-01-01 09:08:32.463070	14.2	58.6	-65.2	0.0
2025-01-01 09:08:33.605035	13.6	58.3	-64.0	0.0
2025-01-01 09:08:34.747000	12.9	57.9	-64.6	0.0
2025-01-01 09:08:35.886970	12.3	57.6	-66.3	0.0
2025-01-01 09:08:37.029445	11.7	57.2	-67.8	0.0
2025-01-01 09:08:38.173408	11.1	56.9	-66.6	0.0
2025-01-01 09:08:39.316367	10.6	56.5	-64.6	0.0
2025-01-01 09:08:40.459328	10.0	56.2	-64.2	0.0
2025-01-01 09:08:41.604286	9.5	55.8	-67.8	0.0
2025-01-01 09:08:42.746250	8.9	55.4	-63.7	0.0
2025-01-01 09:08:43.887727	8.4	55.1	-64.7	0.0
2025-01-01 09:08:45.030690	7.9	54.7	-64.9	0.0
2025-01-01 09:08:46.172655	7.4	54.4	-65.1	0.0
2025-01-01 09:08:47.314131	7.0	54.0	-67.2	0.0
2025-01-01 09:08:48.456096	6.5	53.7	-67.9	0.0
2025-01-01 09:08:49.601052	6.0	53.3	-65.0	0.0
2025-01-01 09:08:50.744015	5.6	53.0	-64.7	0.0
2025-01-01 09:08:51.884982	5.2	52.6	-68.0	0.0
2025-01-01 09:08:53.030937	4.7	52.3	-67.1	0.0
2025-01-01 09:08:54.172902	4.3	51.9	-67.0	0.0
2025-01-01 09:08:55.315864	3.9	51.6	-67.8	0.0
2025-01-01 09:08:56.459824	3.5	51.2	-67.9	0.0
2025-01-01 09:08:57.605797	3.2	50.9	-67.4	0.0
2025-01-01 09:08:58.749754	2.8	50.5	-64.7	0.0
2025-01-01 09:08:59.891717	2.4	50.2	-64.5	0.0
2025-01-01 09:09:01.036186	2.1	49.8	-64.7	0.0
2025-01-01 09:09:02.178149	1.7	49.5	-66.9	0.0
2025-01-01 09:09:03.324102	1.4	49.1	-63.2	0.0
2025-01-01 09:09:04.466066	1.0	48.8	-66.1	0.0
2025-01-01 09:09:05.609026	0.7	48.5	-68.0	0.0
2025-01-01 09:09:06.752984	0.4	48.1	-64.8	0.0
2025-01-01 09:09:07.894948	0.1	47.8	-64.2	0.0
2025-01-01 09:09:09.036911	359.8	47.5	-67.8	0.0
2025-01-01 09:09:10.179871	359.5	47.1	-69.3	0.0
2025-01-01 09:09:11.320838	359.2	46.8	-68.0	0.0
2025-01-01 09:09:12.464796	358.9	46.5	-66.2	0.0
2025-01-01 09:09:13.608754	358.6	46.1	-65.1	0.0
2025-01-01 09:09:14.749720	358.3	45.8	-65.1	0.0
2025-01-01 09:09:15.891193	358.1	45.5	-66.7	0.0
2025-01-01 09:09:17.033156	357.8	45.2	-66.4	0.0
2025-01-01 09:09:18.180106	357.5	44.9	-64.5	0.0
2025-01-01 09:09:19.321582	357.3	44.5	-65.2	0.0
2025-01-01 09:09:20.462068	357.0	44.2	-64.5	0.0
2025-01-01 09:09:21.604031	356.8	43.9	-60.3	0.0
2025-01-01 09:09:22.744998	356.6	43.6	-59.1	0.0
2025-01-01 09:09:23.887470	356.3	43.3	-61.3	0.0
2025-01-01 09:09:25.029434	356.1	43.0	-62.0	0.0
2025-01-01 09:09:26.173391	355.9	42.7	-64.5	0.0
2025-01-01 09:09:27.320342	355.6	42.4	-60.1	0.0
2025-01-01 09:09:28.463303	355.4	42.1	-61.5	0.0
2025-01-01 09:09:29.606264	355.2	41.8	-59.6	0.0
2025-01-01 09:09:30.748227	355.0	41.5	-59.5	0.0
2025-01-01 09:09:31.892185	354.8	41.2	-60.0	0.0
