#Pass ID: 20250101_092310_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2025-01-01 09:23:15.957466

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 59051U 24039A   24366.53638875  .00000209  00000+0  11354-3 0  9991
#TLE: 2 59051  98.6272 323.8553 0005976 274.1680  85.8815 14.22319791 43540

#Time	Az	El	Level	SNR
2025-01-01 09:23:22.174143	197.2	31.1	-64.0	10.5
2025-01-01 09:23:23.317661	197.4	31.3	-64.4	10.8
2025-01-01 09:23:24.460598	197.6	31.5	-64.0	10.1
2025-01-01 09:23:25.603559	197.9	31.7	-64.2	10.7
2025-01-01 09:23:26.750509	198.1	31.9	-63.7	10.7
2025-01-01 09:23:27.892473	198.3	32.1	-64.1	10.6
2025-01-01 09:23:29.034437	198.5	32.3	-64.1	11.0
2025-01-01 09:23:30.178902	198.7	32.5	-64.4	11.1
2025-01-01 09:23:31.320866	198.9	32.7	-64.2	11.0
2025-01-01 09:23:32.461832	199.2	32.9	-64.6	11.7
2025-01-01 09:23:33.603306	199.4	33.1	-63.8	11.0
2025-01-01 09:23:34.746267	199.6	33.3	-63.8	10.7
2025-01-01 09:23:35.892219	199.9	33.5	-64.2	12.0
2025-01-01 09:23:37.033186	200.1	33.7	-63.7	11.0
2025-01-01 09:23:38.176146	200.3	33.9	-63.6	11.3
2025-01-01 09:23:39.317113	200.6	34.1	-63.4	10.4
2025-01-01 09:23:40.459076	200.8	34.3	-63.4	10.2
2025-01-01 09:23:41.605028	201.1	34.6	-63.9	10.7
2025-01-01 09:23:42.746992	201.3	34.8	-63.7	10.2
2025-01-01 09:23:43.890460	201.6	35.0	-64.4	11.1
2025-01-01 09:23:45.033421	201.9	35.2	-63.7	10.5
2025-01-01 09:23:46.176382	202.1	35.4	-64.3	10.0
2025-01-01 09:23:47.317348	202.4	35.6	-64.1	10.0
2025-01-01 09:23:48.462811	202.7	35.9	-64.1	10.5
2025-01-01 09:23:49.604773	202.9	36.1	-64.7	10.3
2025-01-01 09:23:50.747736	203.2	36.3	-64.0	10.1
2025-01-01 09:23:51.891693	203.5	36.5	-63.8	10.2
2025-01-01 09:23:53.034653	203.8	36.7	-64.5	11.0
2025-01-01 09:23:54.177620	204.1	37.0	-64.6	11.4
2025-01-01 09:23:55.323567	204.4	37.2	-64.3	10.7
2025-01-01 09:23:56.466528	204.7	37.4	-64.2	11.3
