#Pass ID: 20250102_011108_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2025-01-02 01:11:03

#Version: 1.5.20200625
#Station: X_MFTI_01
#Location: 37.5186 lon 55.9291 lat
#TLE: 1 43010U 17072A   23362.50642187  .00000183  00000+0  10870-3 0  9994
#TLE: 2 43010  98.8887 311.3857 0002475  98.0400 262.1057 14.19259665317063

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-02 01:11:03.90	6.40	68.18	-74.7	-95.7	3.8	8447937	99	40106
2025-01-02 01:11:04.11	6.34	68.27	-74.8	-95.7	3.8	8458019	99	40006
2025-01-02 01:11:04.31	6.28	68.36	-74.8	-95.8	3.8	8458019	99	40024
2025-01-02 01:11:04.52	6.23	68.46	-74.9	-95.8	3.8	8466888	99	39917
2025-01-02 01:11:04.73	6.17	68.55	-74.7	-95.6	3.8	8463798	99	39928
2025-01-02 01:11:04.94	6.10	68.64	-74.8	-95.7	3.8	8463798	99	40012
2025-01-02 01:11:05.15	6.04	68.74	-74.8	-95.6	3.8	8455215	99	39255
2025-01-02 01:11:05.36	5.98	68.83	-74.8	-95.6	3.8	8447078	99	39244
2025-01-02 01:11:05.57	5.92	68.93	-74.8	-95.7	3.8	8455352	99	40135
2025-01-02 01:11:05.77	5.86	69.02	-74.8	-95.7	3.8	8455352	99	40160
2025-01-02 01:11:05.98	5.80	69.11	-74.7	-95.7	3.8	8450283	99	40107
2025-01-02 01:11:06.19	5.73	69.20	-74.8	-95.8	3.8	8448680	99	40082
2025-01-02 01:11:06.40	5.67	69.30	-74.8	-95.8	3.8	8448680	99	40229
2025-01-02 01:11:06.61	5.60	69.39	-74.8	-95.8	3.8	8453601	99	40214
2025-01-02 01:11:06.82	5.53	69.49	-74.8	-95.8	3.8	8463935	99	40084
2025-01-02 01:11:07.03	5.47	69.58	-74.9	-95.9	3.8	8459793	99	40149
2025-01-02 01:11:07.24	5.40	69.68	-74.9	-95.9	3.8	8459793	99	40188
2025-01-02 01:11:07.45	5.33	69.77	-74.9	-95.8	3.8	8459163	99	40199
2025-01-02 01:11:07.66	5.26	69.87	-74.9	-95.9	3.8	8456920	99	40107
2025-01-02 01:11:07.86	5.20	69.96	-74.7	-95.5	3.7	8456920	99	39718
2025-01-02 01:11:08.07	5.13	70.05	-74.8	-95.6	3.7	8464038	99	39613
2025-01-02 01:11:08.28	5.05	70.15	-74.7	-95.6	3.8	8454471	99	39731
2025-01-02 01:11:08.49	4.98	70.24	-74.8	-95.6	3.8	8466762	99	39687
2025-01-02 01:11:08.70	4.91	70.34	-74.8	-95.8	3.8	8466762	99	40270
2025-01-02 01:11:08.91	4.84	70.43	-74.7	-95.6	3.8	8447513	99	40091
2025-01-02 01:11:09.12	4.76	70.53	-74.8	-95.8	3.8	8452697	99	40252
2025-01-02 01:11:09.32	4.69	70.62	-74.8	-95.7	3.7	8452697	99	40237
2025-01-02 01:11:09.53	4.62	70.72	-74.7	-95.7	3.7	8459072	99	40284
2025-01-02 01:11:09.74	4.54	70.81	-74.7	-95.5	3.8	8459381	99	39491
2025-01-02 01:11:09.95	4.46	70.91	-74.5	-95.2	3.8	8452217	99	39015
2025-01-02 01:11:10.16	4.38	71.00	-74.8	-95.7	3.8	8452217	99	39510
2025-01-02 01:11:10.37	4.31	71.10	-74.8	-95.7	3.8	8456817	99	40262
2025-01-02 01:11:10.58	4.23	71.19	-74.8	-95.8	3.8	8454345	99	40286
2025-01-02 01:11:10.78	4.15	71.29	-74.7	-95.7	3.8	8454345	99	40292
2025-01-02 01:11:10.99	4.07	71.38	-74.7	-95.6	3.8	8456027	99	39918
2025-01-02 01:11:11.20	3.98	71.48	-74.7	-95.6	3.8	8458648	99	39881
2025-01-02 01:11:11.41	3.90	71.57	-74.7	-95.7	3.8	8461875	99	40014
2025-01-02 01:11:11.62	3.82	71.67	-74.7	-95.6	3.8	8461875	99	39906
2025-01-02 01:11:11.83	3.73	71.77	-74.8	-95.8	3.8	8458820	99	40366
2025-01-02 01:11:12.04	3.65	71.86	-74.8	-95.8	3.8	8463924	99	40311
2025-01-02 01:11:12.25	3.56	71.96	-74.7	-95.6	3.8	8463924	99	39916
2025-01-02 01:11:12.46	3.47	72.05	-74.8	-95.8	3.8	8467357	99	40327
2025-01-02 01:11:12.66	3.39	72.15	-74.8	-95.7	3.8	8467391	99	40285
2025-01-02 01:11:12.87	3.29	72.24	-74.7	-95.6	3.8	8465927	99	39763
2025-01-02 01:11:13.08	3.20	72.34	-74.7	-95.6	3.8	8465927	99	39664
2025-01-02 01:11:13.29	3.11	72.44	-74.7	-95.6	3.8	8460914	99	39714
2025-01-02 01:11:13.49	3.02	72.53	-74.7	-95.6	3.8	8460433	99	39745
2025-01-02 01:11:13.70	2.93	72.62	-74.8	-95.7	3.8	8460433	99	40164
2025-01-02 01:11:13.91	2.83	72.72	-74.8	-95.8	3.8	8470790	99	40247
2025-01-02 01:11:14.12	2.74	72.82	-74.7	-95.7	3.8	8470630	99	40258
2025-01-02 01:11:14.33	2.64	72.91	-74.7	-95.4	3.8	8465904	99	39054
2025-01-02 01:11:14.54	2.54	73.01	-74.7	-95.4	3.8	8465904	99	39110
2025-01-02 01:11:14.75	2.44	73.11	-74.7	-95.4	3.8	8463249	99	39068
2025-01-02 01:11:14.96	2.34	73.20	-74.7	-95.7	3.8	8459770	99	40166
2025-01-02 01:11:15.16	2.24	73.30	-74.7	-95.7	3.8	8453521	99	40170
2025-01-02 01:11:15.37	2.14	73.39	-74.7	-95.6	3.8	8453521	99	39933
2025-01-02 01:11:15.58	2.03	73.49	-74.8	-95.8	3.8	8456256	99	40191
2025-01-02 01:11:15.79	1.92	73.59	-74.7	-95.7	3.8	8463340	99	40283
2025-01-02 01:11:16.00	1.82	73.68	-74.7	-95.4	3.8	8463340	99	39135
2025-01-02 01:11:16.21	1.71	73.78	-74.7	-95.4	3.8	8471878	99	39156
2025-01-02 01:11:16.42	1.60	73.88	-74.7	-95.6	3.8	8464038	99	40263
2025-01-02 01:11:16.63	1.48	73.97	-74.7	-95.7	3.8	8461154	99	40251
2025-01-02 01:11:16.83	1.38	74.07	-74.8	-95.7	3.8	8461154	99	40152
2025-01-02 01:11:17.04	1.26	74.16	-74.7	-95.7	3.8	8462059	99	40147
2025-01-02 01:11:17.25	1.14	74.26	-74.7	-95.7	3.8	8453475	99	40238
2025-01-02 01:11:17.46	1.03	74.36	-74.8	-95.7	3.8	8453475	99	39801
2025-01-02 01:11:17.67	0.91	74.45	-74.7	-95.6	3.8	8451908	99	39837
2025-01-02 01:11:17.88	0.79	74.55	-74.7	-95.6	3.8	8459690	99	39941
2025-01-02 01:11:18.09	0.66	74.65	-74.8	-95.7	3.8	8459690	99	40168
2025-01-02 01:11:18.29	0.55	74.74	-74.8	-95.8	3.8	8464508	99	40199
2025-01-02 01:11:18.50	0.42	74.84	-74.7	-95.6	3.8	8443954	99	40091
2025-01-02 01:11:18.71	0.29	74.93	-74.8	-95.7	3.7	8457218	99	40173
2025-01-02 01:11:18.92	0.16	75.03	-74.8	-95.7	3.7	8457218	99	39647
2025-01-02 01:11:19.13	0.03	75.13	-74.7	-95.6	3.8	8463924	99	39610
2025-01-02 01:11:19.34	359.90	75.23	-74.7	-95.6	3.8	8457950	99	39671
2025-01-02 01:11:19.55	359.77	75.32	-74.7	-95.7	3.8	8457950	99	40308
2025-01-02 01:11:19.76	359.63	75.42	-74.7	-95.7	3.8	8463443	99	40206
2025-01-02 01:11:19.97	359.49	75.52	-74.8	-95.8	3.8	8455707	99	40159
2025-01-02 01:11:20.17	359.36	75.61	-74.8	-95.7	3.8	8456726	99	40122
2025-01-02 01:11:20.38	359.21	75.71	-74.7	-95.6	3.7	8456726	99	40139
2025-01-02 01:11:20.59	359.07	75.80	-74.7	-95.6	3.8	8466018	99	39654
2025-01-02 01:11:20.80	358.92	75.90	-74.7	-95.6	3.8	8460182	99	39733
