#Pass ID: 20250102_075311_TERRA
#Satellite: TERRA
#Configuration: TERRA
#Start time: 2025-01-02 07:53:08

#Version: 1.5.20200625
#Station: X_MFTI_01
#Location: 37.5186 lon 55.9291 lat
#TLE: 1 25994U 99068A   23362.45014226  .00000817  00000+0  18168-3 0  9993
#TLE: 2 25994  98.0729  65.8244 0002317 146.5078 343.6211 14.59509299278111

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-02 07:53:08.01	25.80	68.49	-77.9	-102.8	3.2	14917602	99	63367
2025-01-02 07:53:08.22	25.86	68.60	-77.8	-102.7	3.3	14905281	99	63277
2025-01-02 07:53:08.44	25.92	68.72	-77.7	-102.7	3.2	14905281	99	63312
2025-01-02 07:53:08.65	25.98	68.83	-77.7	-102.7	3.3	14901229	99	63719
2025-01-02 07:53:08.87	26.04	68.95	-77.8	-102.7	3.2	14901229	99	63731
2025-01-02 07:53:09.08	26.10	69.07	-77.7	-102.7	3.4	14897743	99	63356
2025-01-02 07:53:09.28	26.16	69.18	-77.6	-102.6	3.3	14897743	99	63801
2025-01-02 07:53:09.50	26.23	69.30	-77.9	-102.9	3.3	14897743	99	64007
2025-01-02 07:53:09.71	26.29	69.41	-77.9	-102.9	3.3	14895675	99	63821
2025-01-02 07:53:09.93	26.36	69.53	-77.9	-102.9	3.2	14895675	99	63746
2025-01-02 07:53:10.15	26.42	69.65	-77.9	-102.9	3.2	14907142	99	63674
2025-01-02 07:53:10.36	26.49	69.76	-77.9	-102.9	3.3	14907142	99	63800
2025-01-02 07:53:10.58	26.56	69.89	-77.9	-102.9	3.2	14905189	99	63865
2025-01-02 07:53:10.78	26.62	69.99	-77.8	-102.8	3.2	14905189	99	64117
2025-01-02 07:53:10.99	26.69	70.11	-77.7	-102.7	3.4	14905189	99	64018
2025-01-02 07:53:11.21	26.76	70.23	-77.8	-102.8	3.3	14889823	99	64027
2025-01-02 07:53:11.41	26.83	70.34	-77.9	-102.9	3.3	14889823	99	63790
2025-01-02 07:53:11.62	26.90	70.46	-77.8	-102.8	3.3	14890426	99	63848
