#Pass ID: 20250103_002123_TY-41
#Satellite: TY-41
#Configuration: TY-39
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-03 00:21:22

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 61231U 24173E   25001.01854011  .00004267  00000-0  20610-3 0  9999
#TLE: 2 61231  97.4119  78.1707 0001597  89.5700 270.5718 15.19179486 14968

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-03 00:21:22.59	16.54	7.93	-65.9	-70.9	3.4	0.00e+00	0	46	0
2025-01-03 00:21:23.49	16.56	8.01	-64.7	-69.5	3.7	0.00e+00	0	46	104
2025-01-03 00:21:24.48	16.58	8.10	-66.9	-72.5	3.6	0.00e+00	0	46	104
2025-01-03 00:21:25.39	16.60	8.19	-66.7	-71.8	3.6	0.00e+00	0	46	104
2025-01-03 00:21:26.38	16.63	8.28	-66.9	-72.5	3.6	0.00e+00	0	47	104
2025-01-03 00:21:27.29	16.65	8.37	-67.1	-73.0	3.7	0.00e+00	0	47	104
2025-01-03 00:21:28.28	16.67	8.46	-65.6	-69.4	3.7	0.00e+00	0	47	104
2025-01-03 00:21:29.18	16.69	8.55	-64.6	-68.2	3.3	0.00e+00	0	47	104
2025-01-03 00:21:30.17	16.72	8.64	-64.9	-68.8	3.7	0.00e+00	0	47	104
2025-01-03 00:21:31.08	16.74	8.73	-64.8	-68.5	3.3	0.00e+00	0	47	104
2025-01-03 00:21:32.07	16.76	8.83	-64.3	-67.9	3.4	0.00e+00	0	47	104
2025-01-03 00:21:32.98	16.79	8.91	-64.1	-67.4	3.3	0.00e+00	0	48	104
2025-01-03 00:21:33.97	16.81	9.01	-63.8	-67.3	3.4	0.00e+00	0	48	104
2025-01-03 00:21:34.88	16.84	9.10	-63.6	-67.1	3.7	0.00e+00	0	48	104
2025-01-03 00:21:35.87	16.86	9.20	-63.2	-66.3	3.4	0.00e+00	0	48	104
2025-01-03 00:21:36.78	16.88	9.29	-62.9	-66.2	3.7	0.00e+00	0	48	104
2025-01-03 00:21:37.77	16.91	9.39	-62.6	-65.9	3.4	0.00e+00	0	48	104
2025-01-03 00:21:38.68	16.93	9.48	-62.2	-65.2	3.4	0.00e+00	0	48	104
2025-01-03 00:21:39.67	16.96	9.58	-62.0	-65.2	3.8	0.00e+00	0	49	104
2025-01-03 00:21:40.58	16.98	9.67	-62.1	-65.3	3.4	0.00e+00	0	49	104
