#Pass ID: 20250103_093533_TERRA
#Satellite: TERRA
#Configuration: TERRA
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-03 09:40:34

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 25994U 99068A   25002.38961419  .00002657  00000+0  55856-3 0  9992
#TLE: 2 25994  98.0232  65.8200 0003593  98.2769  32.3564 14.60366039332118

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-03 09:40:34.59	61.09	45.93	-63.3	-69.0	3.7	0.00e+00	0	68	0
2025-01-03 09:40:35.49	60.49	45.89	-64.0	-78.3	3.3	1.49e+00	0	68	104
2025-01-03 09:40:36.48	59.83	45.85	-64.0	-78.3	3.2	1.49e+00	0	68	104
2025-01-03 09:40:37.39	59.23	45.81	-64.0	-78.2	3.3	1.49e+00	0	68	104
2025-01-03 09:40:38.38	58.57	45.75	-64.0	-78.3	3.3	1.49e+00	0	68	104
2025-01-03 09:40:39.28	57.98	45.71	-64.0	-78.1	3.3	1.49e+00	0	68	104
2025-01-03 09:40:40.27	57.33	45.65	-64.0	-78.2	3.3	1.49e+00	0	68	104
2025-01-03 09:40:41.18	56.74	45.59	-64.0	-78.4	3.3	1.49e+00	0	68	104
2025-01-03 09:40:42.17	56.09	45.52	-64.0	-78.4	3.3	1.49e+00	0	68	104
2025-01-03 09:40:43.08	55.50	45.46	-64.0	-78.3	3.3	1.49e+00	0	68	104
2025-01-03 09:40:44.07	54.86	45.39	-64.0	-78.3	3.3	1.49e+00	0	67	104
2025-01-03 09:40:44.98	54.28	45.32	-64.0	-78.3	3.3	1.49e+00	0	67	104
2025-01-03 09:40:45.97	53.64	45.23	-64.0	-78.3	3.3	1.49e+00	0	67	104
2025-01-03 09:40:46.88	53.06	45.16	-64.0	-78.4	3.4	1.49e+00	0	67	104
2025-01-03 09:40:47.87	52.44	45.07	-64.0	-78.3	3.2	1.49e+00	0	67	104
2025-01-03 09:40:48.78	51.86	44.99	-64.0	-78.3	3.3	1.49e+00	0	67	104
2025-01-03 09:40:49.77	51.24	44.89	-64.0	-78.1	3.2	1.49e+00	0	67	104
2025-01-03 09:40:50.68	50.68	44.80	-64.0	-78.4	3.2	1.49e+00	0	67	104
2025-01-03 09:40:51.67	50.07	44.70	-64.0	-78.3	3.3	1.49e+00	0	67	104
2025-01-03 09:40:52.57	49.51	44.61	-64.0	-78.2	3.3	1.49e+00	0	67	104
2025-01-03 09:40:53.57	48.90	44.50	-64.0	-78.2	3.3	1.49e+00	0	67	104
2025-01-03 09:40:54.47	48.36	44.40	-64.0	-78.3	3.2	1.49e+00	0	66	104
2025-01-03 09:40:55.47	47.75	44.29	-63.9	-78.1	3.3	1.49e+00	0	67	104
2025-01-03 09:40:56.37	47.22	44.18	-64.0	-78.1	3.3	1.49e+00	0	66	104
2025-01-03 09:40:57.37	46.62	44.06	-63.9	-78.1	3.3	1.49e+00	0	67	104
2025-01-03 09:40:58.27	46.09	43.95	-64.0	-78.1	3.4	1.49e+00	0	66	104
2025-01-03 09:40:59.27	45.51	43.83	-64.0	-78.4	3.3	1.49e+00	0	66	104
2025-01-03 09:41:00.17	44.98	43.71	-64.0	-78.3	3.4	1.49e+00	0	66	104
2025-01-03 09:41:01.16	44.41	43.58	-64.0	-78.3	3.3	1.49e+00	0	66	104
2025-01-03 09:41:02.06	43.90	43.46	-64.0	-78.2	3.3	1.49e+00	0	66	104
2025-01-03 09:41:03.06	43.33	43.33	-64.0	-78.2	3.4	1.49e+00	0	66	104
2025-01-03 09:41:03.96	42.83	43.20	-64.0	-78.1	3.2	1.49e+00	0	66	104
2025-01-03 09:41:04.96	42.27	43.06	-63.9	-78.3	3.3	1.49e+00	0	66	104
2025-01-03 09:41:05.86	41.77	42.93	-64.0	-78.2	3.3	1.49e+00	0	66	104
2025-01-03 09:41:06.86	41.22	42.79	-64.0	-78.2	3.3	1.49e+00	0	66	104
2025-01-03 09:41:07.76	40.74	42.65	-64.1	-78.5	3.3	1.49e+00	0	66	104
2025-01-03 09:41:08.76	40.20	42.50	-64.0	-78.3	3.3	1.49e+00	0	66	104
2025-01-03 09:41:09.66	39.72	42.37	-64.0	-78.3	3.3	1.49e+00	0	66	104
2025-01-03 09:41:10.66	39.19	42.22	-64.0	-78.1	3.3	1.49e+00	0	66	104
2025-01-03 09:41:11.56	38.72	42.08	-64.0	-78.3	3.3	1.49e+00	0	65	104
2025-01-03 09:41:12.56	38.20	41.92	-64.0	-78.3	3.3	1.49e+00	0	66	104
2025-01-03 09:41:13.46	37.74	41.78	-64.0	-78.4	3.3	1.49e+00	0	66	104
2025-01-03 09:41:14.46	37.23	41.61	-63.9	-78.2	3.4	1.49e+00	0	65	104
2025-01-03 09:41:15.36	36.78	41.47	-64.0	-78.2	3.3	1.49e+00	0	65	104
2025-01-03 09:41:16.36	36.28	41.30	-64.0	-78.3	3.4	1.49e+00	0	65	104
2025-01-03 09:41:17.26	35.83	41.16	-63.9	-78.1	3.2	1.49e+00	0	65	104
2025-01-03 09:41:18.26	35.34	40.99	-63.9	-78.1	3.3	1.49e+00	0	65	104
2025-01-03 09:41:19.16	34.91	40.84	-64.0	-78.1	3.2	1.49e+00	0	65	104
2025-01-03 09:41:20.16	34.43	40.67	-64.0	-78.2	3.2	1.49e+00	0	65	104
2025-01-03 09:41:21.06	34.00	40.51	-64.0	-78.1	3.5	1.49e+00	0	65	104
2025-01-03 09:41:22.05	33.54	40.34	-64.0	-78.0	3.2	1.49e+00	0	65	104
2025-01-03 09:41:22.95	33.12	40.19	-64.0	-78.3	3.3	1.49e+00	0	65	104
2025-01-03 09:41:23.95	32.66	40.01	-64.0	-78.0	3.2	1.49e+00	0	65	104
2025-01-03 09:41:24.85	32.25	39.86	-63.9	-78.1	3.3	1.49e+00	0	65	104
2025-01-03 09:41:25.85	31.80	39.68	-63.9	-78.2	3.5	1.49e+00	0	65	104
2025-01-03 09:41:26.75	31.40	39.52	-64.0	-78.3	3.3	1.49e+00	0	65	104
2025-01-03 09:41:27.75	30.96	39.34	-63.9	-78.1	3.3	1.49e+00	0	65	104
2025-01-03 09:41:28.65	30.56	39.18	-64.0	-78.3	3.2	1.49e+00	0	65	104
2025-01-03 09:41:29.65	30.13	39.00	-64.0	-78.1	3.3	1.49e+00	0	65	104
2025-01-03 09:41:30.55	29.75	38.84	-64.0	-78.2	3.2	1.49e+00	0	65	104
2025-01-03 09:41:31.55	29.33	38.66	-64.0	-78.3	3.4	1.49e+00	0	65	104
2025-01-03 09:41:32.45	28.95	38.49	-64.1	-78.5	3.4	1.49e+00	0	65	104
2025-01-03 09:41:33.45	28.54	38.31	-63.9	-78.2	3.2	1.49e+00	0	65	104
2025-01-03 09:41:34.35	28.17	38.14	-64.0	-78.2	3.3	1.49e+00	0	65	104
2025-01-03 09:41:35.35	27.77	37.96	-64.0	-78.3	3.3	1.49e+00	0	64	104
2025-01-03 09:41:36.25	27.41	37.80	-64.0	-78.2	3.3	1.49e+00	0	64	104
2025-01-03 09:41:37.25	27.01	37.61	-64.0	-78.2	3.4	1.49e+00	0	64	104
2025-01-03 09:41:38.15	26.66	37.44	-63.9	-78.0	3.3	1.49e+00	0	64	104
2025-01-03 09:41:39.15	26.27	37.26	-64.0	-78.2	3.3	1.49e+00	0	64	104
2025-01-03 09:41:40.05	25.93	37.09	-64.0	-78.2	3.3	1.49e+00	0	64	104
2025-01-03 09:41:41.05	25.55	36.91	-63.8	-78.2	3.3	1.49e+00	0	64	104
2025-01-03 09:41:41.95	25.22	36.74	-64.0	-78.3	3.3	1.49e+00	0	64	104
2025-01-03 09:41:42.94	24.85	36.55	-64.0	-78.3	3.2	1.49e+00	0	64	104
2025-01-03 09:41:43.85	24.52	36.38	-64.0	-78.3	3.4	1.49e+00	0	64	104
2025-01-03 09:41:44.84	24.16	36.20	-63.9	-78.0	3.3	1.49e+00	0	64	104
2025-01-03 09:41:45.74	23.84	36.03	-64.0	-78.3	3.3	1.49e+00	0	64	104
2025-01-03 09:41:46.73	23.49	35.84	-64.0	-78.1	3.3	1.49e+00	0	64	104
2025-01-03 09:41:47.64	23.17	35.67	-64.0	-78.4	3.3	1.49e+00	0	64	104
2025-01-03 09:41:48.63	22.83	35.49	-64.0	-78.3	3.4	1.49e+00	0	64	104
2025-01-03 09:41:49.54	22.52	35.32	-64.0	-78.1	3.3	1.49e+00	0	64	104
2025-01-03 09:41:50.53	22.18	35.13	-64.0	-78.3	3.4	1.49e+00	0	64	104
2025-01-03 09:41:51.44	21.88	34.96	-64.0	-78.2	3.3	1.49e+00	0	64	104
2025-01-03 09:41:52.43	21.55	34.78	-63.9	-78.1	3.3	1.49e+00	0	64	104
2025-01-03 09:41:53.34	21.25	34.61	-64.0	-78.1	3.3	1.49e+00	0	64	104
2025-01-03 09:41:54.33	20.93	34.42	-64.0	-78.1	3.2	1.49e+00	0	64	104
2025-01-03 09:41:55.24	20.64	34.25	-64.0	-78.3	3.3	1.49e+00	0	63	104
2025-01-03 09:41:56.23	20.33	34.07	-64.0	-78.4	3.3	1.49e+00	0	63	104
2025-01-03 09:41:57.14	20.05	33.90	-64.0	-78.2	3.3	1.49e+00	0	64	104
2025-01-03 09:41:58.13	19.74	33.72	-64.0	-78.3	3.3	1.49e+00	0	64	104
2025-01-03 09:41:59.04	19.46	33.55	-64.0	-78.3	3.3	1.49e+00	0	64	104
2025-01-03 09:42:00.03	19.16	33.36	-64.0	-78.2	3.4	1.49e+00	0	63	104
2025-01-03 09:42:00.94	18.89	33.20	-64.0	-78.3	3.3	1.49e+00	0	63	104
2025-01-03 09:42:01.92	18.60	33.02	-64.0	-78.2	3.4	1.49e+00	0	63	104
2025-01-03 09:42:02.83	18.34	32.85	-64.0	-78.1	3.3	1.49e+00	0	63	104
2025-01-03 09:42:03.82	18.05	32.67	-64.0	-78.3	3.3	1.49e+00	0	63	104
2025-01-03 09:42:04.73	17.79	32.50	-64.0	-78.3	3.3	1.49e+00	0	63	104
2025-01-03 09:42:05.72	17.51	32.32	-64.0	-78.3	3.3	1.49e+00	0	63	104
2025-01-03 09:42:06.63	17.26	32.15	-64.0	-78.4	3.4	1.49e+00	0	63	104
2025-01-03 09:42:07.62	16.99	31.97	-64.0	-78.4	3.3	1.49e+00	0	63	104
