#Pass ID: 20250103_103653_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#Start time: 2025-01-03 10:36:46

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 37849U 11061A   24362.17075939  .00000286  00000+0  15639-3 0  9990
#TLE: 2 37849  98.7425 297.4002 0002189  69.4164 290.7247 14.19524990682249

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-03 10:36:46.22	205.55	67.90	-38.3	-45.5	3.3	15336814	93	2825
2025-01-03 10:36:46.42	205.72	67.97	-36.9	-67.8	3.6	0	46	43381
2025-01-03 10:36:46.62	205.90	68.04	-37.9	-56.1	3.6	15267715	73	9973
2025-01-03 10:36:46.82	206.07	68.10	-38.4	-46.6	3.4	15267715	93	3186
2025-01-03 10:36:47.03	206.26	68.17	-38.4	-46.2	3.4	15219062	93	3027
2025-01-03 10:36:47.23	206.44	68.24	-38.4	-47.5	3.6	15219062	93	3502
2025-01-03 10:36:47.43	206.62	68.31	-38.4	-47.1	3.0	15219062	94	3342
2025-01-03 10:36:47.63	206.80	68.37	-38.4	-46.5	3.4	15114280	94	3105
2025-01-03 10:36:47.83	206.98	68.44	-38.4	-46.0	3.4	15114280	94	2939
2025-01-03 10:36:48.03	207.16	68.51	-38.3	-46.7	3.0	15219726	94	3232
2025-01-03 10:36:48.23	207.34	68.57	-38.3	-46.6	3.6	15219726	94	3224
2025-01-03 10:36:48.43	207.53	68.64	-38.3	-46.1	3.5	15104354	94	3031
2025-01-03 10:36:48.63	207.71	68.71	-38.3	-45.5	3.4	15104354	94	2841
2025-01-03 10:36:48.83	207.90	68.77	-38.3	-45.2	3.3	15236160	94	2729
2025-01-03 10:36:49.04	208.10	68.84	-38.3	-46.6	3.6	15236160	94	3212
2025-01-03 10:36:49.24	208.29	68.91	-38.6	-46.4	3.5	15091453	95	3020
2025-01-03 10:36:49.44	208.48	68.97	-38.7	-46.0	3.4	15091453	95	2864
2025-01-03 10:36:49.64	208.67	69.04	-38.7	-45.6	3.3	15091453	95	2741
2025-01-03 10:36:49.84	208.87	69.10	-38.5	-46.5	3.6	15258285	95	3095
2025-01-03 10:36:50.04	209.06	69.17	-38.6	-46.8	3.6	15258285	95	3158
2025-01-03 10:36:50.24	209.26	69.23	-38.6	-46.2	3.4	15054275	95	2933
2025-01-03 10:36:50.44	209.45	69.29	-38.6	-45.8	3.4	15054275	95	2799
2025-01-03 10:36:50.64	209.65	69.36	-38.5	-46.6	2.6	15254226	95	3142
2025-01-03 10:36:50.84	209.85	69.42	-38.5	-46.7	3.6	15254226	95	3144
2025-01-03 10:36:51.05	210.07	69.49	-38.5	-46.1	3.5	15085388	95	2967
2025-01-03 10:36:51.25	210.27	69.55	-38.5	-45.6	3.4	15085388	95	2787
2025-01-03 10:36:51.45	210.47	69.62	-38.5	-45.3	3.3	15247360	95	2697
2025-01-03 10:36:51.65	210.68	69.68	-38.5	-46.8	3.6	15247360	95	3194
2025-01-03 10:36:51.85	210.89	69.74	-38.5	-46.3	3.5	15126289	95	3021
2025-01-03 10:36:52.05	211.09	69.81	-38.5	-45.8	3.4	15126289	95	2848
2025-01-03 10:36:52.25	211.30	69.87	-38.5	-45.5	3.4	15126289	95	2739
2025-01-03 10:36:52.45	211.52	69.93	-38.5	-46.8	3.6	15273811	95	3195
2025-01-03 10:36:52.65	211.73	69.99	-38.5	-46.5	3.6	15273811	95	3077
2025-01-03 10:36:52.86	211.95	70.06	-38.5	-46.0	3.4	15109901	95	2910
2025-01-03 10:36:53.06	212.17	70.12	-38.5	-45.7	3.4	15109901	95	2796
2025-01-03 10:36:53.26	212.39	70.18	-38.5	-46.8	3.6	15282241	95	3181
2025-01-03 10:36:53.46	212.60	70.24	-38.5	-46.7	3.6	15282241	95	3172
2025-01-03 10:36:53.66	212.82	70.30	-38.5	-46.1	3.5	15098731	95	2948
2025-01-03 10:36:53.86	213.04	70.36	-38.5	-45.7	3.4	15098731	95	2796
2025-01-03 10:36:54.06	213.27	70.43	-38.5	-46.9	3.3	15276931	95	3212
2025-01-03 10:36:54.26	213.49	70.49	-38.5	-46.9	3.6	15276931	95	3219
2025-01-03 10:36:54.46	213.72	70.55	-38.5	-46.3	3.5	15276931	95	2999
2025-01-03 10:36:54.66	213.94	70.61	-38.5	-45.8	3.4	15100875	95	2848
2025-01-03 10:36:54.86	214.17	70.66	-38.5	-45.5	3.3	15100875	95	2756
2025-01-03 10:36:55.06	214.40	70.72	-38.5	-46.9	3.6	15268920	95	3223
2025-01-03 10:36:55.27	214.65	70.79	-38.5	-46.3	3.5	15268920	95	3015
2025-01-03 10:36:55.47	214.88	70.85	-38.5	-45.8	3.4	15098258	95	2837
2025-01-03 10:36:55.67	215.11	70.90	-38.5	-45.4	3.3	15098258	95	2726
2025-01-03 10:36:55.87	215.35	70.96	-38.5	-46.9	3.6	15261505	95	3227
2025-01-03 10:36:56.07	215.59	71.02	-38.5	-46.5	3.5	15261505	95	3063
2025-01-03 10:36:56.27	215.83	71.08	-38.5	-45.9	3.4	15131752	95	2872
2025-01-03 10:36:56.47	216.07	71.14	-38.5	-45.5	3.3	15131752	95	2763
2025-01-03 10:36:56.67	216.31	71.19	-38.5	-47.0	3.6	15260818	95	3244
2025-01-03 10:36:56.87	216.56	71.25	-38.7	-47.2	3.6	15260818	95	3283
2025-01-03 10:36:57.07	216.80	71.31	-38.7	-46.6	3.4	15091407	95	3060
2025-01-03 10:36:57.28	217.06	71.36	-38.7	-46.2	3.4	15091407	95	2909
2025-01-03 10:36:57.48	217.31	71.42	-38.6	-47.0	3.6	15091407	95	3239
2025-01-03 10:36:57.68	217.56	71.48	-38.6	-47.1	3.6	15204284	95	3288
2025-01-03 10:36:57.88	217.81	71.53	-38.5	-46.3	3.5	15204284	95	2998
2025-01-03 10:36:58.08	218.07	71.59	-38.5	-45.9	3.4	15131607	95	2879
2025-01-03 10:36:58.28	218.32	71.64	-38.6	-47.1	3.3	15131607	95	3271
2025-01-03 10:36:58.48	218.58	71.70	-38.6	-47.0	3.6	15215408	95	3268
2025-01-03 10:36:58.68	218.84	71.75	-38.6	-46.3	3.5	15215408	95	3014
2025-01-03 10:36:58.88	219.10	71.80	-38.5	-45.8	3.4	15138938	95	2858
2025-01-03 10:36:59.08	219.36	71.86	-38.5	-45.4	3.3	15138938	95	2718
2025-01-03 10:36:59.29	219.63	71.91	-38.5	-46.8	3.6	15233619	95	3202
2025-01-03 10:36:59.49	219.90	71.97	-38.7	-46.8	3.5	15233619	95	3138
2025-01-03 10:36:59.69	220.17	72.02	-38.7	-46.3	3.4	15233619	95	2956
2025-01-03 10:36:59.89	220.43	72.07	-38.7	-45.9	3.4	15115386	95	2820
2025-01-03 10:37:00.09	220.70	72.12	-38.5	-46.8	3.6	15115386	95	3199
2025-01-03 10:37:00.29	220.98	72.17	-38.5	-46.6	3.6	15174957	95	3116
2025-01-03 10:37:00.49	221.25	72.22	-38.5	-46.0	3.4	15174957	95	2911
2025-01-03 10:37:00.69	221.52	72.28	-38.5	-45.7	3.4	15170082	95	2795
2025-01-03 10:37:00.89	221.80	72.33	-38.5	-47.0	3.6	15170082	95	3257
2025-01-03 10:37:01.09	222.08	72.38	-38.5	-46.9	3.6	15202674	95	3212
2025-01-03 10:37:01.30	222.37	72.43	-38.5	-46.3	3.4	15202674	95	2989
2025-01-03 10:37:01.50	222.65	72.48	-38.5	-45.9	3.4	15191841	95	2856
2025-01-03 10:37:01.70	222.94	72.53	-38.6	-47.1	3.3	15191841	95	3276
