#Pass ID: 20250104_013848_TY-41
#Satellite: TY-41
#Configuration: TY-39
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-04 01:38:47

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 61231U 24173E   25003.28445602  .00008011  00000-0  38191-3 0 09996
#TLE: 2 61231 097.4117 080.3943 0001670 094.4067 050.1583 15.19172329000018

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-04 01:38:47.94	350.51	7.95	-63.3	-69.1	3.6	0.00e+00	0	46	0
2025-01-04 01:38:48.84	350.38	8.02	-63.3	-69.2	3.7	0.00e+00	0	46	104
2025-01-04 01:38:49.83	350.24	8.09	-63.3	-69.1	3.6	0.00e+00	0	46	104
2025-01-04 01:38:50.74	350.10	8.16	-63.4	-69.2	3.6	0.00e+00	0	47	104
2025-01-04 01:38:51.73	349.96	8.24	-63.3	-69.1	3.6	0.00e+00	0	47	104
2025-01-04 01:38:52.64	349.83	8.30	-63.4	-69.2	3.6	0.00e+00	0	47	104
2025-01-04 01:38:53.63	349.68	8.38	-63.3	-69.1	3.7	0.00e+00	0	47	104
2025-01-04 01:38:54.53	349.55	8.45	-63.4	-69.1	3.6	0.00e+00	0	47	104
2025-01-04 01:38:55.52	349.40	8.52	-63.3	-69.1	3.7	0.00e+00	0	47	104
2025-01-04 01:38:56.43	349.26	8.59	-63.3	-69.0	3.6	0.00e+00	0	48	104
2025-01-04 01:38:57.42	349.11	8.66	-63.3	-69.0	3.7	0.00e+00	0	48	104
2025-01-04 01:38:58.33	348.97	8.73	-63.3	-69.1	3.6	0.00e+00	0	48	104
2025-01-04 01:38:59.32	348.82	8.81	-63.3	-69.0	3.6	0.00e+00	0	48	104
2025-01-04 01:39:00.22	348.68	8.88	-63.4	-69.1	3.7	0.00e+00	0	48	104
2025-01-04 01:39:01.22	348.53	8.95	-63.2	-69.0	3.6	0.00e+00	0	48	104
2025-01-04 01:39:02.12	348.39	9.02	-63.3	-69.1	3.7	0.00e+00	0	48	104
2025-01-04 01:39:03.12	348.23	9.10	-63.3	-69.1	3.6	0.00e+00	0	49	104
2025-01-04 01:39:04.02	348.09	9.16	-63.3	-69.1	3.6	0.00e+00	0	49	104
2025-01-04 01:39:05.02	347.93	9.24	-63.3	-69.1	3.7	0.00e+00	0	49	104
2025-01-04 01:39:05.92	347.78	9.31	-63.2	-69.0	3.6	0.00e+00	0	49	104
2025-01-04 01:39:06.92	347.62	9.39	-63.3	-69.1	3.7	0.00e+00	0	49	104
2025-01-04 01:39:07.82	347.48	9.46	-63.4	-69.1	3.6	0.00e+00	0	49	104
2025-01-04 01:39:08.82	347.31	9.53	-63.3	-69.1	3.7	0.00e+00	0	50	104
2025-01-04 01:39:09.72	347.17	9.60	-63.4	-69.1	3.6	0.00e+00	0	50	104
2025-01-04 01:39:10.72	347.00	9.68	-63.3	-69.0	3.6	0.00e+00	0	50	104
2025-01-04 01:39:11.62	346.85	9.75	-63.4	-69.2	3.7	0.00e+00	0	50	104
2025-01-04 01:39:12.62	346.68	9.83	-63.3	-69.1	3.6	0.00e+00	0	50	104
2025-01-04 01:39:13.52	346.53	9.90	-63.2	-68.9	3.7	0.00e+00	0	50	104
2025-01-04 01:39:14.52	346.36	9.97	-63.3	-69.1	3.6	0.00e+00	0	51	104
2025-01-04 01:39:15.42	346.21	10.04	-63.3	-69.1	3.7	0.00e+00	0	51	104
2025-01-04 01:39:16.41	346.04	10.12	-63.3	-69.1	3.7	0.00e+00	0	51	104
2025-01-04 01:39:17.32	345.88	10.19	-63.3	-69.1	3.6	0.00e+00	0	51	104
2025-01-04 01:39:18.31	345.71	10.27	-63.3	-69.1	3.7	0.00e+00	0	51	104
2025-01-04 01:39:19.21	345.55	10.34	-63.4	-69.2	3.6	0.00e+00	0	51	104
2025-01-04 01:39:20.20	345.38	10.42	-63.4	-69.1	3.7	0.00e+00	0	52	104
2025-01-04 01:39:21.11	345.22	10.49	-63.4	-69.2	3.6	0.00e+00	0	52	104
2025-01-04 01:39:22.10	345.04	10.56	-63.3	-69.1	3.7	0.00e+00	0	52	104
2025-01-04 01:39:23.01	344.88	10.64	-63.3	-69.1	3.7	0.00e+00	0	52	104
2025-01-04 01:39:24.00	344.70	10.71	-63.3	-69.1	3.6	0.00e+00	0	52	104
2025-01-04 01:39:24.91	344.53	10.79	-63.3	-69.1	3.7	0.00e+00	0	52	104
2025-01-04 01:39:25.90	344.35	10.86	-63.3	-69.1	3.6	0.00e+00	0	52	104
2025-01-04 01:39:26.81	344.18	10.94	-63.2	-69.0	3.7	0.00e+00	0	52	104
2025-01-04 01:39:27.80	344.00	11.01	-63.3	-69.1	3.7	0.00e+00	0	52	104
2025-01-04 01:39:28.71	343.83	11.09	-63.3	-69.1	3.6	0.00e+00	0	53	104
2025-01-04 01:39:29.70	343.65	11.16	-63.3	-69.0	3.7	0.00e+00	0	53	104
2025-01-04 01:39:30.61	343.47	11.24	-63.3	-69.1	3.6	0.00e+00	0	53	104
2025-01-04 01:39:31.60	343.29	11.31	-63.4	-69.2	3.7	0.00e+00	0	53	104
2025-01-04 01:39:32.51	343.11	11.39	-63.4	-69.1	3.6	0.00e+00	0	53	104
