#Pass ID: 20250104_014323_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-04 01:46:08

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 37849U 11061A   25003.14883434  .00000404  00000+0  21263-3 0  9999
#TLE: 2 37849  98.7434 304.2886 0002054  59.1153 301.0225 14.19531112683237

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-04 01:46:08.25	148.73	26.82	-67.9	-73.9	3.6	0.00e+00	0	68	0
2025-01-04 01:46:09.15	148.68	26.97	-63.0	-64.6	17.1	2.61e-01	0	67	0
2025-01-04 01:46:10.14	148.62	27.14	-63.3	-65.3	16.9	0.00e+00	0	67	0
2025-01-04 01:46:11.05	148.57	27.30	-63.6	-66.0	15.9	0.00e+00	0	67	0
2025-01-04 01:46:12.04	148.51	27.47	-63.6	-66.1	16.4	0.00e+00	0	67	0
2025-01-04 01:46:12.95	148.45	27.62	-63.7	-66.4	16.2	0.00e+00	0	67	0
2025-01-04 01:46:13.94	148.39	27.80	-63.6	-65.6	16.2	0.00e+00	0	67	0
2025-01-04 01:46:14.85	148.34	27.96	-63.5	-65.3	16.4	0.00e+00	0	67	0
2025-01-04 01:46:15.84	148.28	28.13	-63.2	-64.6	16.8	0.00e+00	0	67	0
2025-01-04 01:46:16.75	148.22	28.29	-63.5	-65.3	16.5	0.00e+00	0	66	0
2025-01-04 01:46:17.74	148.16	28.47	-63.1	-64.4	16.9	0.00e+00	0	66	0
2025-01-04 01:46:18.65	148.10	28.63	-63.1	-64.9	17.0	0.00e+00	0	67	0
2025-01-04 01:46:19.64	148.04	28.81	-63.3	-65.4	16.8	0.00e+00	0	66	0
2025-01-04 01:46:20.54	147.98	28.97	-63.3	-65.3	16.8	0.00e+00	0	66	0
2025-01-04 01:46:21.53	147.91	29.15	-63.2	-65.3	16.8	0.00e+00	0	66	0
2025-01-04 01:46:22.44	147.85	29.32	-63.4	-65.7	16.6	0.00e+00	0	66	0
2025-01-04 01:46:23.43	147.78	29.50	-63.7	-66.3	16.3	0.00e+00	0	66	0
2025-01-04 01:46:24.34	147.72	29.67	-63.7	-65.9	16.1	0.00e+00	0	66	0
2025-01-04 01:46:25.33	147.65	29.86	-63.8	-66.3	15.8	0.00e+00	0	66	0
2025-01-04 01:46:26.24	147.59	30.03	-64.1	-66.9	15.4	0.00e+00	0	66	0
2025-01-04 01:46:27.23	147.52	30.21	-64.0	-66.7	15.6	0.00e+00	0	66	0
2025-01-04 01:46:28.13	147.46	30.39	-64.2	-67.3	15.2	0.00e+00	0	66	0
2025-01-04 01:46:29.13	147.38	30.58	-64.4	-67.2	15.1	0.00e+00	0	66	0
2025-01-04 01:46:30.03	147.32	30.75	-64.1	-66.3	15.6	0.00e+00	0	65	0
2025-01-04 01:46:31.03	147.24	30.94	-63.8	-65.5	16.1	0.00e+00	0	65	0
2025-01-04 01:46:31.93	147.18	31.12	-63.9	-65.8	15.9	0.00e+00	0	65	0
2025-01-04 01:46:32.93	147.10	31.31	-63.5	-65.4	16.3	0.00e+00	0	65	0
2025-01-04 01:46:33.83	147.03	31.49	-63.8	-66.1	16.0	0.00e+00	0	65	0
2025-01-04 01:46:34.83	146.95	31.69	-64.0	-66.7	15.6	0.00e+00	0	65	0
2025-01-04 01:46:35.73	146.88	31.87	-64.0	-66.7	15.7	0.00e+00	0	65	0
2025-01-04 01:46:36.73	146.80	32.07	-64.2	-66.5	15.6	0.00e+00	0	65	0
2025-01-04 01:46:37.63	146.73	32.25	-64.4	-67.1	15.2	0.00e+00	0	65	0
2025-01-04 01:46:38.63	146.65	32.46	-64.9	-67.9	14.3	0.00e+00	0	65	0
2025-01-04 01:46:39.53	146.58	32.64	-64.8	-67.7	14.4	3.80e-06	0	65	0
2025-01-04 01:46:40.53	146.49	32.85	-64.8	-67.8	14.5	0.00e+00	0	65	0
2025-01-04 01:46:41.43	146.42	33.03	-64.6	-67.5	14.4	1.50e-06	0	65	0
2025-01-04 01:46:42.42	146.33	33.24	-64.2	-66.3	15.2	0.00e+00	0	65	0
2025-01-04 01:46:43.32	146.25	33.43	-64.1	-66.6	15.3	0.00e+00	0	65	0
2025-01-04 01:46:44.32	146.17	33.64	-64.3	-67.1	15.0	0.00e+00	0	65	0
2025-01-04 01:46:45.22	146.09	33.83	-64.4	-67.1	15.1	0.00e+00	0	65	0
2025-01-04 01:46:46.22	146.00	34.04	-64.7	-68.0	14.6	0.00e+00	0	65	0
2025-01-04 01:46:47.12	145.91	34.24	-65.0	-68.4	14.1	2.20e-06	0	64	0
2025-01-04 01:46:48.12	145.82	34.45	-65.3	-68.6	13.5	6.80e-06	0	65	0
2025-01-04 01:46:49.02	145.74	34.65	-64.9	-67.5	14.2	3.80e-06	0	64	0
2025-01-04 01:46:50.02	145.64	34.87	-64.8	-67.4	14.2	1.50e-06	0	64	0
2025-01-04 01:46:50.92	145.56	35.07	-64.6	-67.1	14.7	0.00e+00	0	65	0
2025-01-04 01:46:51.92	145.46	35.29	-63.8	-65.6	15.9	0.00e+00	0	64	0
2025-01-04 01:46:52.82	145.37	35.49	-63.9	-66.2	16.0	0.00e+00	0	64	0
2025-01-04 01:46:53.82	145.27	35.71	-63.8	-66.2	16.0	0.00e+00	0	64	0
2025-01-04 01:46:54.72	145.18	35.92	-64.1	-66.9	15.5	0.00e+00	0	64	0
2025-01-04 01:46:55.72	145.08	36.14	-64.7	-67.9	14.6	0.00e+00	0	64	0
2025-01-04 01:46:56.62	144.98	36.35	-65.0	-68.3	14.1	0.00e+00	0	64	0
2025-01-04 01:46:57.62	144.88	36.58	-65.4	-68.8	13.5	2.20e-06	0	64	0
2025-01-04 01:46:58.52	144.78	36.79	-65.5	-69.0	13.3	1.90e-05	0	64	0
2025-01-04 01:46:59.52	144.67	37.02	-65.0	-67.6	14.2	1.44e-05	0	64	0
2025-01-04 01:47:00.42	144.57	37.23	-64.7	-66.8	14.8	1.50e-06	0	64	0
2025-01-04 01:47:01.42	144.46	37.47	-65.0	-67.7	14.3	1.50e-06	0	64	0
2025-01-04 01:47:02.32	144.36	37.68	-65.0	-67.7	14.2	7.00e-07	0	64	0
2025-01-04 01:47:03.32	144.24	37.92	-64.6	-66.9	15.0	0.00e+00	0	64	0
2025-01-04 01:47:04.22	144.14	38.14	-64.4	-66.4	15.3	0.00e+00	0	64	0
2025-01-04 01:47:05.21	144.02	38.38	-64.7	-67.4	14.8	0.00e+00	0	63	0
2025-01-04 01:47:06.11	143.91	38.60	-64.5	-66.7	15.2	0.00e+00	0	63	0
2025-01-04 01:47:07.11	143.79	38.84	-64.3	-66.3	15.4	0.00e+00	0	63	0
2025-01-04 01:47:08.01	143.68	39.07	-64.4	-66.4	15.4	0.00e+00	0	64	0
2025-01-04 01:47:09.01	143.56	39.31	-64.9	-67.8	14.5	0.00e+00	0	63	0
2025-01-04 01:47:09.91	143.44	39.54	-65.3	-68.8	13.8	5.30e-06	0	63	0
2025-01-04 01:47:10.91	143.31	39.79	-65.2	-68.3	13.8	5.30e-06	0	63	0
2025-01-04 01:47:11.81	143.20	40.02	-65.4	-68.7	13.6	1.14e-05	0	63	0
2025-01-04 01:47:12.81	143.06	40.27	-65.0	-67.8	14.0	2.20e-06	0	63	0
2025-01-04 01:47:13.71	142.94	40.50	-64.8	-67.6	14.2	1.50e-06	0	63	0
2025-01-04 01:47:14.71	142.80	40.76	-64.5	-67.2	14.7	7.00e-07	0	63	0
2025-01-04 01:47:15.61	142.68	40.99	-64.7	-67.6	14.5	1.50e-06	0	63	0
2025-01-04 01:47:16.61	142.54	41.25	-64.7	-67.5	14.5	7.00e-07	0	63	0
2025-01-04 01:47:17.51	142.41	41.49	-64.5	-66.9	15.0	0.00e+00	0	63	0
2025-01-04 01:47:18.51	142.26	41.75	-64.3	-66.6	15.2	0.00e+00	0	63	0
2025-01-04 01:47:19.41	142.13	41.99	-64.0	-66.3	15.6	0.00e+00	0	63	0
2025-01-04 01:47:20.40	141.98	42.26	-63.7	-65.6	16.0	0.00e+00	0	63	0
2025-01-04 01:47:21.31	141.84	42.50	-63.8	-65.7	15.9	0.00e+00	0	63	0
2025-01-04 01:47:22.30	141.69	42.77	-64.4	-66.9	15.4	0.00e+00	0	63	0
2025-01-04 01:47:23.21	141.54	43.02	-64.3	-66.6	15.5	0.00e+00	0	63	0
2025-01-04 01:47:24.20	141.38	43.29	-64.1	-66.3	15.7	0.00e+00	0	62	0
2025-01-04 01:47:25.11	141.23	43.54	-63.9	-65.7	16.0	0.00e+00	0	63	0
2025-01-04 01:47:26.10	141.07	43.81	-63.9	-65.7	16.0	0.00e+00	0	62	0
2025-01-04 01:47:27.00	140.92	44.06	-64.2	-66.7	15.4	0.00e+00	0	62	0
2025-01-04 01:47:27.99	140.75	44.34	-64.0	-66.2	15.7	0.00e+00	0	62	0
2025-01-04 01:47:28.90	140.59	44.60	-63.3	-65.2	16.5	0.00e+00	0	62	0
2025-01-04 01:47:29.89	140.41	44.88	-63.0	-65.0	16.9	0.00e+00	0	62	0
