#Pass ID: 20250104_023738_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-04 02:37:39

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 27424U 02022A   25003.15423677  .00003847  00000+0  80040-3 0  9996
#TLE: 2 27424  98.3579 319.7126 0001226 121.2786 295.6453 14.60625680205895

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-04 02:37:39.48	147.14	8.09	-67.3	-86.8	3.8	7.45e-01	0	44	0
2025-01-04 02:37:40.38	147.10	8.17	-67.6	-87.1	3.8	7.43e-01	0	44	104
2025-01-04 02:37:41.37	147.07	8.25	-67.3	-86.8	3.8	7.45e-01	0	44	104
2025-01-04 02:37:42.28	147.04	8.33	-67.6	-87.1	3.8	7.45e-01	0	45	104
2025-01-04 02:37:43.27	147.00	8.41	-67.5	-87.0	3.8	7.46e-01	0	45	104
2025-01-04 02:37:44.18	146.97	8.49	-67.4	-86.9	3.8	7.46e-01	0	44	104
2025-01-04 02:37:45.17	146.93	8.58	-67.6	-87.1	3.8	7.48e-01	0	45	104
2025-01-04 02:37:46.08	146.90	8.65	-67.3	-86.7	3.8	7.47e-01	0	45	104
2025-01-04 02:37:47.07	146.86	8.74	-67.1	-87.0	3.8	7.46e-01	0	45	104
2025-01-04 02:37:47.98	146.83	8.82	-67.1	-86.6	3.8	7.45e-01	0	45	104
2025-01-04 02:37:48.97	146.79	8.91	-67.3	-87.3	3.8	7.43e-01	0	45	104
2025-01-04 02:37:49.88	146.76	8.99	-66.9	-86.5	3.8	7.44e-01	0	45	104
2025-01-04 02:37:50.87	146.72	9.07	-67.4	-87.0	3.8	7.47e-01	0	45	104
2025-01-04 02:37:51.78	146.69	9.15	-67.4	-87.0	3.8	7.49e-01	0	45	104
2025-01-04 02:37:52.77	146.65	9.24	-67.4	-86.9	3.8	7.43e-01	0	45	104
2025-01-04 02:37:53.68	146.62	9.32	-66.9	-86.4	3.8	7.47e-01	0	46	104
2025-01-04 02:37:54.66	146.58	9.41	-67.4	-86.9	3.8	7.46e-01	0	46	104
2025-01-04 02:37:55.57	146.54	9.49	-67.3	-87.2	3.8	7.47e-01	0	46	104
2025-01-04 02:37:56.56	146.50	9.58	-67.0	-87.0	3.8	7.43e-01	0	46	104
2025-01-04 02:37:57.46	146.47	9.66	-67.0	-87.0	3.8	7.43e-01	0	46	104
2025-01-04 02:37:58.45	146.43	9.75	-66.6	-86.6	3.8	7.46e-01	0	46	104
2025-01-04 02:37:59.36	146.39	9.83	-66.7	-86.7	3.8	7.49e-01	0	46	104
2025-01-04 02:38:00.35	146.35	9.92	-66.8	-86.8	3.8	7.46e-01	0	46	104
2025-01-04 02:38:01.26	146.32	10.01	-67.3	-86.9	3.8	7.44e-01	0	46	104
2025-01-04 02:38:02.25	146.28	10.10	-67.1	-86.7	3.8	7.48e-01	0	46	104
2025-01-04 02:38:03.16	146.24	10.18	-67.5	-87.0	3.8	7.46e-01	0	46	104
2025-01-04 02:38:04.15	146.20	10.27	-67.4	-87.0	3.8	7.44e-01	0	46	104
2025-01-04 02:38:05.06	146.16	10.36	-67.5	-87.0	3.8	7.49e-01	0	46	104
2025-01-04 02:38:06.05	146.12	10.45	-67.4	-86.9	3.8	7.49e-01	0	46	104
2025-01-04 02:38:06.96	146.08	10.54	-67.6	-87.1	3.8	7.48e-01	0	46	104
2025-01-04 02:38:07.95	146.04	10.63	-67.5	-87.1	3.8	7.45e-01	0	47	104
2025-01-04 02:38:08.86	146.00	10.72	-67.5	-87.1	3.8	7.44e-01	0	47	104
2025-01-04 02:38:09.85	145.96	10.81	-67.6	-87.2	3.8	7.41e-01	0	47	104
2025-01-04 02:38:10.76	145.92	10.90	-67.5	-87.0	3.8	7.45e-01	0	47	104
2025-01-04 02:38:11.75	145.87	10.99	-67.3	-86.8	3.8	7.45e-01	0	47	104
2025-01-04 02:38:12.65	145.83	11.08	-66.9	-86.5	3.8	7.44e-01	0	47	104
2025-01-04 02:38:13.65	145.79	11.17	-66.6	-87.0	3.8	7.49e-01	0	47	104
2025-01-04 02:38:14.55	145.75	11.26	-66.7	-87.0	3.8	7.46e-01	0	47	104
2025-01-04 02:38:15.55	145.71	11.36	-66.3	-86.4	3.8	7.44e-01	0	47	104
2025-01-04 02:38:16.45	145.66	11.45	-65.7	-86.2	3.8	7.45e-01	0	47	104
2025-01-04 02:38:17.45	145.62	11.54	-66.2	-86.1	3.8	7.47e-01	0	47	104
2025-01-04 02:38:18.35	145.58	11.63	-65.4	-85.8	3.8	7.43e-01	0	47	104
2025-01-04 02:38:19.34	145.53	11.73	-65.6	-85.9	3.8	7.45e-01	0	47	104
2025-01-04 02:38:20.24	145.49	11.82	-65.1	-86.4	3.8	7.42e-01	0	48	104
2025-01-04 02:38:21.24	145.44	11.92	-65.7	-86.7	3.8	7.50e-01	0	47	104
2025-01-04 02:38:22.14	145.40	12.01	-66.5	-86.9	3.8	7.42e-01	0	48	104
2025-01-04 02:38:23.14	145.35	12.11	-67.0	-86.9	3.8	7.47e-01	0	47	104
2025-01-04 02:38:24.04	145.31	12.20	-66.8	-86.7	3.8	7.48e-01	0	48	104
2025-01-04 02:38:25.04	145.26	12.30	-67.2	-87.2	3.8	7.45e-01	0	48	104
2025-01-04 02:38:25.94	145.22	12.39	-67.0	-86.5	3.8	7.45e-01	0	48	104
2025-01-04 02:38:26.94	145.17	12.49	-66.9	-86.4	3.8	7.44e-01	0	48	104
2025-01-04 02:38:27.84	145.12	12.59	-67.1	-86.7	3.8	7.44e-01	0	48	104
2025-01-04 02:38:28.84	145.07	12.69	-66.0	-86.3	3.8	7.49e-01	0	48	104
2025-01-04 02:38:29.74	145.03	12.78	-66.6	-87.0	3.8	7.44e-01	0	48	104
2025-01-04 02:38:30.74	144.98	12.89	-65.4	-86.7	3.8	7.49e-01	0	48	104
2025-01-04 02:38:31.64	144.93	12.98	-64.2	-86.6	3.9	7.47e-01	0	48	104
2025-01-04 02:38:32.64	144.88	13.08	-65.9	-87.1	4.0	7.45e-01	0	48	104
2025-01-04 02:38:33.54	144.84	13.18	-66.9	-86.8	3.8	7.44e-01	0	48	104
2025-01-04 02:38:34.54	144.78	13.29	-64.6	-68.6	15.8	6.07e-01	0	49	104
2025-01-04 02:38:35.44	144.74	13.38	-61.4	-63.7	22.1	6.08e-01	0	48	0
2025-01-04 02:38:36.44	144.68	13.49	-60.6	-62.5	23.3	6.08e-01	0	48	0
2025-01-04 02:38:37.34	144.64	13.58	-60.5	-62.2	22.8	6.07e-01	0	48	0
2025-01-04 02:38:38.34	144.58	13.69	-60.8	-62.8	23.1	6.06e-01	0	49	0
2025-01-04 02:38:39.24	144.53	13.79	-62.0	-64.9	21.1	6.05e-01	0	49	0
2025-01-04 02:38:40.23	144.48	13.90	-61.3	-63.6	22.4	6.06e-01	0	49	0
2025-01-04 02:38:41.13	144.43	13.99	-60.7	-62.6	23.3	6.09e-01	0	49	0
2025-01-04 02:38:42.13	144.37	14.10	-61.8	-64.6	22.1	6.05e-01	0	49	0
2025-01-04 02:38:43.03	144.32	14.20	-62.7	-66.0	20.2	6.06e-01	0	49	0
2025-01-04 02:38:44.03	144.27	14.31	-62.0	-64.1	21.2	6.07e-01	0	49	0
2025-01-04 02:38:44.93	144.22	14.41	-61.1	-62.8	23.0	6.07e-01	0	49	0
2025-01-04 02:38:45.93	144.16	14.52	-59.7	-60.9	24.2	6.06e-01	0	49	0
2025-01-04 02:38:46.83	144.11	14.62	-60.3	-62.0	23.9	6.05e-01	0	49	0
2025-01-04 02:38:47.82	144.05	14.74	-60.8	-63.2	23.4	6.06e-01	0	49	0
2025-01-04 02:38:48.73	144.00	14.84	-60.6	-62.7	23.6	6.07e-01	0	49	0
2025-01-04 02:38:49.72	143.94	14.95	-59.8	-61.0	24.5	6.06e-01	0	49	0
2025-01-04 02:38:50.63	143.89	15.05	-59.7	-61.2	24.7	6.04e-01	0	49	0
2025-01-04 02:38:51.62	143.83	15.17	-60.1	-62.2	24.2	6.06e-01	0	49	0
2025-01-04 02:38:52.53	143.77	15.27	-60.0	-62.0	24.2	6.05e-01	0	49	0
2025-01-04 02:38:53.52	143.71	15.39	-60.1	-62.0	24.3	6.06e-01	0	49	0
2025-01-04 02:38:54.43	143.66	15.49	-59.9	-61.5	24.6	6.06e-01	0	50	0
2025-01-04 02:38:55.42	143.59	15.61	-59.5	-60.7	25.0	6.05e-01	0	49	0
2025-01-04 02:38:56.33	143.54	15.71	-59.8	-61.4	24.7	6.08e-01	0	50	0
2025-01-04 02:38:57.32	143.48	15.83	-59.9	-61.7	24.5	6.04e-01	0	50	0
2025-01-04 02:38:58.23	143.42	15.94	-59.7	-61.1	24.8	6.06e-01	0	50	0
2025-01-04 02:38:59.22	143.35	16.06	-59.6	-61.0	24.8	6.06e-01	0	50	0
2025-01-04 02:39:00.13	143.30	16.17	-59.5	-60.7	25.0	6.06e-01	0	50	0
2025-01-04 02:39:01.12	143.23	16.28	-59.6	-60.8	24.9	6.07e-01	0	50	0
2025-01-04 02:39:02.02	143.17	16.39	-59.6	-60.8	24.9	6.05e-01	0	50	0
2025-01-04 02:39:03.01	143.11	16.51	-59.8	-61.3	24.7	6.05e-01	0	50	0
2025-01-04 02:39:03.92	143.05	16.62	-59.5	-60.8	24.9	6.06e-01	0	50	0
2025-01-04 02:39:04.91	142.98	16.75	-59.5	-60.8	25.0	6.09e-01	0	50	0
2025-01-04 02:39:05.81	142.92	16.86	-59.5	-60.7	25.0	6.06e-01	0	50	0
2025-01-04 02:39:06.80	142.85	16.98	-59.6	-61.1	24.8	6.05e-01	0	50	0
2025-01-04 02:39:07.71	142.79	17.09	-59.6	-61.0	24.8	6.06e-01	0	50	0
2025-01-04 02:39:08.70	142.72	17.22	-59.7	-61.0	24.8	6.09e-01	0	50	0
2025-01-04 02:39:09.61	142.66	17.33	-59.6	-61.0	24.7	6.07e-01	0	50	0
2025-01-04 02:39:10.60	142.59	17.46	-59.7	-61.2	24.4	6.05e-01	0	50	0
2025-01-04 02:39:11.51	142.52	17.57	-59.5	-60.9	24.6	6.06e-01	0	50	0
2025-01-04 02:39:12.50	142.45	17.70	-59.8	-61.4	24.4	6.06e-01	0	50	0
2025-01-04 02:39:13.41	142.38	17.81	-60.0	-61.9	24.1	6.08e-01	0	51	0
2025-01-04 02:39:14.40	142.31	17.94	-59.8	-61.6	24.0	6.06e-01	0	50	0
2025-01-04 02:39:15.31	142.24	18.06	-59.6	-61.1	24.2	6.04e-01	0	51	0
2025-01-04 02:39:16.30	142.17	18.19	-59.8	-61.5	24.4	6.06e-01	0	51	0
2025-01-04 02:39:17.21	142.10	18.31	-60.1	-62.2	24.0	6.08e-01	0	51	0
2025-01-04 02:39:18.20	142.03	18.44	-59.8	-61.5	24.4	6.06e-01	0	51	0
2025-01-04 02:39:19.11	141.96	18.56	-59.9	-61.7	24.2	6.06e-01	0	51	0
2025-01-04 02:39:20.10	141.88	18.69	-59.8	-61.5	24.5	6.07e-01	0	51	0
2025-01-04 02:39:21.01	141.81	18.81	-59.8	-61.5	24.5	6.06e-01	0	51	0
2025-01-04 02:39:22.00	141.73	18.94	-59.9	-61.7	24.5	6.08e-01	0	51	0
2025-01-04 02:39:22.90	141.66	19.06	-60.1	-62.2	24.2	6.07e-01	0	51	0
2025-01-04 02:39:23.90	141.58	19.20	-60.0	-61.8	24.5	6.04e-01	0	51	0
2025-01-04 02:39:24.80	141.51	19.32	-59.8	-61.4	24.6	6.04e-01	0	51	0
2025-01-04 02:39:25.80	141.42	19.46	-59.8	-61.3	24.7	6.06e-01	0	51	0
2025-01-04 02:39:26.70	141.35	19.58	-59.8	-61.3	24.8	6.05e-01	0	51	0
2025-01-04 02:39:27.69	141.27	19.72	-59.8	-61.4	24.7	6.06e-01	0	51	0
2025-01-04 02:39:28.59	141.19	19.85	-59.8	-61.5	24.6	6.06e-01	0	51	0
2025-01-04 02:39:29.59	141.11	19.99	-59.9	-61.6	24.5	6.06e-01	0	51	0
2025-01-04 02:39:30.49	141.03	20.11	-59.7	-61.3	24.7	6.07e-01	0	51	0
2025-01-04 02:39:31.49	140.94	20.26	-59.7	-61.1	24.9	6.05e-01	0	51	0
2025-01-04 02:39:32.39	140.87	20.38	-59.9	-61.6	24.6	6.06e-01	0	51	0
2025-01-04 02:39:33.39	140.78	20.53	-60.1	-62.1	24.3	6.08e-01	0	52	0
2025-01-04 02:39:34.29	140.70	20.66	-60.0	-61.9	24.5	6.07e-01	0	51	0
2025-01-04 02:39:35.29	140.61	20.80	-59.8	-61.4	24.7	6.07e-01	0	52	0
2025-01-04 02:39:36.19	140.53	20.93	-60.0	-61.7	24.6	6.07e-01	0	51	0
2025-01-04 02:39:37.19	140.43	21.08	-59.9	-61.6	24.6	6.05e-01	0	52	0
2025-01-04 02:39:38.09	140.35	21.21	-59.9	-61.7	24.6	6.04e-01	0	51	0
2025-01-04 02:39:39.09	140.26	21.36	-60.2	-62.2	24.3	6.07e-01	0	52	0
2025-01-04 02:39:39.99	140.17	21.49	-59.9	-61.7	24.5	6.06e-01	0	52	0
2025-01-04 02:39:40.99	140.08	21.64	-59.7	-61.4	24.7	6.07e-01	0	52	0
2025-01-04 02:39:41.89	139.99	21.78	-59.6	-61.2	24.8	6.06e-01	0	52	0
2025-01-04 02:39:42.89	139.89	21.93	-59.8	-61.6	24.5	6.05e-01	0	52	0
2025-01-04 02:39:43.79	139.81	22.07	-59.7	-61.4	24.6	6.06e-01	0	52	0
2025-01-04 02:39:44.79	139.71	22.22	-59.8	-61.6	24.5	6.06e-01	0	52	0
2025-01-04 02:39:45.69	139.62	22.36	-59.8	-61.6	24.5	6.06e-01	0	52	0
2025-01-04 02:39:46.69	139.52	22.51	-59.7	-61.3	24.7	6.08e-01	0	52	0
2025-01-04 02:39:47.59	139.42	22.65	-59.5	-61.1	24.7	6.07e-01	0	52	0
2025-01-04 02:39:48.58	139.32	22.81	-60.0	-62.0	24.3	6.07e-01	0	52	0
2025-01-04 02:39:49.48	139.23	22.95	-60.1	-62.3	24.1	6.05e-01	0	52	0
2025-01-04 02:39:50.48	139.12	23.11	-59.9	-61.9	24.3	6.05e-01	0	52	0
2025-01-04 02:39:51.38	139.03	23.25	-59.8	-61.6	24.5	6.07e-01	0	52	0
2025-01-04 02:39:52.38	138.92	23.41	-60.0	-62.1	24.3	6.05e-01	0	52	0
2025-01-04 02:39:53.28	138.82	23.56	-60.1	-62.2	24.3	6.06e-01	0	52	0
2025-01-04 02:39:54.28	138.71	23.72	-60.1	-62.2	24.2	6.07e-01	0	52	0
2025-01-04 02:39:55.18	138.61	23.87	-60.2	-62.4	24.1	6.07e-01	0	52	0
2025-01-04 02:39:56.18	138.50	24.03	-60.0	-62.0	24.3	6.06e-01	0	52	0
2025-01-04 02:39:57.08	138.40	24.18	-59.9	-61.8	24.5	6.07e-01	0	52	0
2025-01-04 02:39:58.08	138.29	24.34	-59.8	-61.5	24.6	6.06e-01	0	52	0
2025-01-04 02:39:58.98	138.18	24.49	-60.0	-61.9	24.4	6.06e-01	0	52	0
2025-01-04 02:39:59.98	138.06	24.66	-59.9	-61.7	24.6	6.06e-01	0	52	0
2025-01-04 02:40:00.88	137.96	24.81	-59.9	-61.7	24.6	6.08e-01	0	52	0
2025-01-04 02:40:01.88	137.84	24.98	-59.9	-61.7	24.6	6.07e-01	0	53	0
2025-01-04 02:40:02.78	137.73	25.14	-59.9	-61.6	24.6	6.07e-01	0	53	0
2025-01-04 02:40:03.78	137.61	25.31	-59.9	-61.5	24.6	6.04e-01	0	53	0
2025-01-04 02:40:04.68	137.50	25.46	-60.2	-62.3	24.3	6.07e-01	0	53	0
2025-01-04 02:40:05.68	137.37	25.64	-60.2	-62.4	24.2	6.07e-01	0	52	0
2025-01-04 02:40:06.58	137.26	25.79	-59.9	-61.8	24.4	6.05e-01	0	53	0
2025-01-04 02:40:07.58	137.13	25.97	-59.6	-61.1	24.8	6.07e-01	0	53	0
