#Pass ID: 20250104_115323_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2025-01-04 11:53:17

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 43010U 17072A   24362.16670685  .00000332  00000+0  17913-3 0  9992
#TLE: 2 43010  98.9391 318.2242 0002184 121.2776 238.8614 14.19528556368793

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-04 11:53:17.73	185.13	67.78	-38.4	-42.3	3.3	8388759	93	3867
2025-01-04 11:53:17.93	185.23	67.87	-36.9	-64.2	3.6	97995	46	57114
2025-01-04 11:53:18.13	185.33	67.95	-37.9	-52.3	3.5	7588291	73	12879
2025-01-04 11:53:18.33	185.44	68.03	-38.4	-42.5	3.3	8424179	93	3963
2025-01-04 11:53:18.53	185.54	68.12	-38.4	-42.4	3.3	8385990	93	3894
2025-01-04 11:53:18.73	185.65	68.20	-38.4	-43.7	3.6	8385990	93	4569
2025-01-04 11:53:18.93	185.75	68.29	-38.4	-43.6	3.6	8432407	93	4473
2025-01-04 11:53:19.13	185.86	68.37	-38.4	-42.7	3.4	8430187	93	4043
2025-01-04 11:53:19.33	185.97	68.45	-38.4	-42.3	3.3	8430187	93	3877
2025-01-04 11:53:19.53	186.08	68.54	-38.4	-43.8	3.6	8393852	93	4587
2025-01-04 11:53:19.73	186.19	68.62	-38.4	-43.8	3.6	8426937	93	4568
2025-01-04 11:53:19.94	186.30	68.71	-38.4	-42.8	3.4	8426937	93	4089
2025-01-04 11:53:20.14	186.42	68.79	-38.4	-42.3	3.3	8421363	93	3851
2025-01-04 11:53:20.34	186.53	68.87	-38.4	-42.4	3.3	8401576	93	3892
2025-01-04 11:53:20.54	186.64	68.96	-38.4	-43.8	3.6	8401576	93	4569
2025-01-04 11:53:20.74	186.76	69.04	-38.4	-43.0	3.4	8411933	93	4202
2025-01-04 11:53:20.94	186.87	69.13	-38.4	-42.4	3.3	8434032	93	3906
2025-01-04 11:53:21.14	186.99	69.21	-38.4	-42.4	3.3	8434032	93	3888
2025-01-04 11:53:21.34	187.11	69.29	-38.4	-43.8	3.6	8399345	93	4566
2025-01-04 11:53:21.55	187.23	69.38	-38.4	-43.3	3.5	8435714	93	4328
2025-01-04 11:53:21.75	187.35	69.46	-38.4	-42.5	3.4	8421867	93	3949
2025-01-04 11:53:21.95	187.47	69.55	-38.4	-42.3	3.3	8421867	93	3889
2025-01-04 11:53:22.15	187.59	69.63	-38.4	-43.7	3.6	8401851	93	4544
2025-01-04 11:53:22.35	187.72	69.71	-38.4	-43.5	3.6	8439868	93	4455
2025-01-04 11:53:22.55	187.84	69.80	-38.4	-42.6	3.4	8439868	93	4003
2025-01-04 11:53:22.75	187.97	69.88	-38.4	-42.3	3.3	8418399	93	3861
2025-01-04 11:53:22.95	188.09	69.97	-38.4	-43.7	3.6	8398200	93	4529
2025-01-04 11:53:23.15	188.22	70.05	-38.4	-43.7	3.6	8398200	93	4547
2025-01-04 11:53:23.35	188.35	70.13	-38.4	-42.8	3.4	8434261	93	4077
2025-01-04 11:53:23.56	188.48	70.22	-38.4	-42.3	3.3	8413181	93	3851
2025-01-04 11:53:23.76	188.61	70.30	-38.4	-42.3	3.3	8413181	93	3879
2025-01-04 11:53:23.96	188.75	70.39	-38.4	-43.7	3.6	8392272	93	4533
2025-01-04 11:53:24.16	188.88	70.47	-38.4	-43.0	3.4	8444984	93	4180
2025-01-04 11:53:24.36	189.01	70.55	-38.4	-42.3	3.3	8444984	93	3858
2025-01-04 11:53:24.56	189.15	70.64	-38.4	-42.2	3.3	8416820	93	3825
2025-01-04 11:53:24.76	189.29	70.72	-38.3	-43.7	3.6	8385349	93	4552
2025-01-04 11:53:24.96	189.43	70.80	-38.2	-42.5	3.5	8387626	94	4016
2025-01-04 11:53:25.16	189.56	70.89	-38.3	-41.6	3.4	8387626	94	3622
2025-01-04 11:53:25.36	189.71	70.97	-38.2	-41.4	3.3	8418949	94	3540
2025-01-04 11:53:25.57	189.85	71.06	-38.3	-43.0	3.6	8361293	94	4250
2025-01-04 11:53:25.77	190.00	71.14	-38.3	-43.0	3.6	8361293	94	4232
2025-01-04 11:53:25.97	190.14	71.22	-38.3	-42.0	3.4	8435897	94	3780
