#Pass ID: 20250104_005642_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-04 00:56:37

#Version: 1.5.20200625
#Station: X_MFTI_02
#Location: 37.5186 lon 55.9291 lat
#TLE: 1 27424U 02022A   23362.45420161  .00001617  00000+0  35675-3 0  9997
#TLE: 2 27424  98.3111 306.4798 0000768  48.9916  62.2296 14.58703046151674

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-04 00:56:37.61	309.43	69.27	-75.6	-100.0	3.7	7514495	99	59564
2025-01-04 00:56:37.83	309.09	69.31	-75.6	-99.4	3.9	7429656	99	55270
2025-01-04 00:56:38.03	308.78	69.35	-75.6	-99.4	3.9	7458953	99	55470
2025-01-04 00:56:38.24	308.45	69.38	-75.6	-99.4	3.9	7437286	99	55577
2025-01-04 00:56:38.45	308.12	69.42	-75.5	-99.1	4.0	7466125	99	54999
2025-01-04 00:56:38.66	307.79	69.46	-75.8	-98.6	3.9	7373809	99	49749
2025-01-04 00:56:38.87	307.45	69.49	-75.6	-99.6	3.8	7461242	99	57174
2025-01-04 00:56:39.07	307.14	69.52	-75.6	-99.7	3.8	7455902	99	57456
2025-01-04 00:56:39.28	306.80	69.56	-75.6	-99.6	3.8	7451324	99	57236
2025-01-04 00:56:39.49	306.46	69.59	-75.6	-99.3	3.9	7482147	99	55270
2025-01-04 00:56:39.70	306.13	69.62	-75.6	-99.3	3.9	7444152	99	55432
2025-01-04 00:56:39.91	305.79	69.66	-75.5	-99.3	3.8	7410583	99	55489
2025-01-04 00:56:40.12	305.45	69.69	-75.6	-99.5	3.9	7408142	99	56014
2025-01-04 00:56:40.32	305.12	69.72	-75.6	-99.3	3.8	7413940	99	55482
2025-01-04 00:56:40.53	304.78	69.75	-75.4	-99.7	3.9	7487030	99	58725
2025-01-04 00:56:40.74	304.44	69.77	-75.6	-100.3	3.8	7450866	99	61646
2025-01-04 00:56:40.94	304.11	69.80	-75.5	-99.5	3.9	7431335	99	56460
2025-01-04 00:56:41.15	303.77	69.83	-75.6	-99.8	3.8	7437286	99	58559
2025-01-04 00:56:41.36	303.42	69.86	-75.6	-99.4	3.8	7489624	99	55791
2025-01-04 00:56:41.57	303.07	69.88	-75.6	-99.4	3.9	7437591	99	55968
2025-01-04 00:56:41.77	302.74	69.91	-74.7	-98.6	3.8	7455902	99	56198
2025-01-04 00:56:41.98	302.39	69.93	-75.7	-98.2	4.0	7386016	99	47803
2025-01-04 00:56:42.19	302.04	69.96	-75.6	-98.9	3.8	7484436	99	52831
2025-01-04 00:56:42.40	301.69	69.98	-75.6	-98.9	3.8	7487640	99	52700
2025-01-04 00:56:42.60	301.36	70.00	-75.6	-99.5	3.7	7500762	99	56452
2025-01-04 00:56:42.81	301.00	70.03	-75.6	-99.6	3.9	7486114	99	56956
2025-01-04 00:56:43.02	300.65	70.05	-75.6	-99.5	3.9	7445220	99	56969
2025-01-04 00:56:43.23	300.30	70.07	-75.6	-99.5	3.9	7488098	99	56859
2025-01-04 00:56:43.44	299.94	70.09	-75.6	-99.6	3.9	7470245	99	57265
2025-01-04 00:56:43.64	299.60	70.11	-75.7	-98.6	3.9	7467803	99	50459
2025-01-04 00:56:43.85	299.25	70.13	-75.5	-98.7	3.8	7486572	99	51779
2025-01-04 00:56:44.06	298.89	70.15	-75.6	-98.7	3.8	7465057	99	51607
2025-01-04 00:56:44.27	298.53	70.16	-75.6	-99.6	3.9	7460021	99	57134
2025-01-04 00:56:44.47	298.19	70.18	-75.6	-99.5	3.9	7414855	99	56788
2025-01-04 00:56:44.68	297.83	70.20	-75.6	-99.5	3.8	7446289	99	56750
2025-01-04 00:56:44.89	297.47	70.21	-75.5	-99.4	3.9	7444458	99	56189
2025-01-04 00:56:45.10	297.11	70.23	-75.6	-99.6	3.8	7449645	99	57403
2025-01-04 00:56:45.31	296.75	70.24	-75.6	-99.1	3.9	7465209	99	53805
2025-01-04 00:56:45.51	296.41	70.25	-75.6	-99.0	3.8	7485504	99	53416
2025-01-04 00:56:45.72	296.04	70.26	-75.6	-99.4	3.8	7497863	99	56119
2025-01-04 00:56:45.93	295.68	70.28	-75.5	-99.5	3.9	7439117	99	57063
2025-01-04 00:56:46.13	295.34	70.29	-75.6	-99.6	3.9	7452545	99	57260
2025-01-04 00:56:46.34	294.97	70.30	-75.6	-99.6	3.9	7460174	99	57273
2025-01-04 00:56:46.55	294.61	70.31	-75.5	-99.5	3.9	7446594	99	57436
2025-01-04 00:56:46.75	294.26	70.32	-75.4	-99.2	3.9	7467498	99	55953
2025-01-04 00:56:46.96	293.90	70.32	-75.5	-99.3	3.9	7493743	99	55655
2025-01-04 00:56:47.17	293.53	70.33	-75.5	-99.3	3.8	7426605	99	55483
2025-01-04 00:56:47.38	293.17	70.34	-75.6	-99.7	3.8	7500915	99	57840
2025-01-04 00:56:47.58	292.82	70.34	-75.6	-99.8	3.9	7414550	99	58650
2025-01-04 00:56:47.79	292.45	70.35	-75.6	-99.7	3.8	7420959	99	57906
2025-01-04 00:56:48.00	292.09	70.35	-75.6	-99.7	3.9	7450714	99	57783
2025-01-04 00:56:48.21	291.72	70.36	-75.2	-99.2	3.9	7458190	99	57384
2025-01-04 00:56:48.42	291.36	70.36	-75.5	-99.3	3.9	7481384	99	55517
2025-01-04 00:56:48.63	290.99	70.36	-75.6	-99.3	3.8	7484893	99	55225
