#Pass ID: 20250106_142629_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#Start time: 2025-01-06 14:26:24

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 49008U 21062A   24362.16046100  .00000127  00000+0  80596-4 0  9998
#TLE: 2 49008  98.7386   0.9208 0001625 158.3591 201.7655 14.19826678180376

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-06 14:26:24.61	132.52	68.19	-37.7	-39.0	3.3	8394332	93	5733
2025-01-06 14:26:24.81	132.40	68.28	-35.8	-58.2	3.3	7037498	47	64649
2025-01-06 14:26:25.01	132.29	68.36	-36.0	-45.3	4.3	8354782	73	14324
2025-01-06 14:26:25.22	132.17	68.45	-36.1	-36.7	4.4	8128463	89	5283
2025-01-06 14:26:25.42	132.05	68.53	-35.7	-35.6	4.7	8128463	89	4855
2025-01-06 14:26:25.62	131.93	68.61	-35.4	-34.9	5.0	7886009	89	4633
2025-01-06 14:26:25.82	131.82	68.69	-35.0	-34.4	5.4	7457611	88	4613
2025-01-06 14:26:26.02	131.70	68.77	-34.7	-34.4	5.8	6674377	87	4726
2025-01-06 14:26:26.22	131.58	68.86	-34.3	-33.4	6.3	3900844	87	4450
2025-01-06 14:26:26.42	131.46	68.94	-33.6	-33.1	6.9	2373332	85	4630
2025-01-06 14:26:26.62	131.33	69.02	-33.6	-33.1	6.9	1630233	85	4625
2025-01-06 14:26:26.82	131.21	69.10	-33.1	-32.4	7.5	1416744	84	4562
2025-01-06 14:26:27.02	131.09	69.19	-32.5	-31.7	8.2	1416744	83	4516
2025-01-06 14:26:27.23	130.96	69.27	-32.8	-32.4	7.9	659992	83	4714
2025-01-06 14:26:27.43	130.83	69.36	-32.0	-31.2	9.1	647186	82	4487
2025-01-06 14:26:27.63	130.70	69.44	-32.1	-31.4	8.9	309574	82	4557
2025-01-06 14:26:27.83	130.57	69.52	-31.8	-30.8	9.3	326213	82	4386
2025-01-06 14:26:28.03	130.44	69.60	-31.4	-30.4	9.8	197673	81	4434
2025-01-06 14:26:28.23	130.31	69.68	-31.3	-30.8	9.9	93738	80	4659
2025-01-06 14:26:28.43	130.18	69.77	-31.2	-30.7	10.0	93360	80	4647
2025-01-06 14:26:28.63	130.05	69.85	-31.1	-30.4	10.2	74111	80	4559
2025-01-06 14:26:28.83	129.91	69.93	-31.1	-30.4	10.2	74111	80	4554
2025-01-06 14:26:29.04	129.77	70.02	-30.6	-29.9	10.5	57838	79	4557
2025-01-06 14:26:29.24	129.63	70.10	-30.5	-29.7	10.7	39676	79	4482
2025-01-06 14:26:29.44	129.49	70.18	-30.7	-30.1	10.5	36323	79	4603
2025-01-06 14:26:29.64	129.36	70.26	-30.6	-29.9	10.6	41782	79	4548
2025-01-06 14:26:29.84	129.21	70.34	-30.7	-30.1	10.5	41645	79	4610
2025-01-06 14:26:30.04	129.07	70.43	-30.9	-30.6	10.2	47389	79	4759
2025-01-06 14:26:30.24	128.93	70.51	-31.1	-30.9	10.0	68298	79	4842
2025-01-06 14:26:30.44	128.79	70.59	-31.1	-30.9	10.0	68298	79	4812
2025-01-06 14:26:30.65	128.63	70.67	-31.5	-31.8	9.5	87615	79	5085
2025-01-06 14:26:30.85	128.49	70.76	-32.5	-32.3	9.1	130439	81	4783
2025-01-06 14:26:31.05	128.34	70.84	-32.3	-32.5	8.6	231674	81	5011
2025-01-06 14:26:31.25	128.19	70.92	-32.8	-33.0	8.0	375286	82	5042
2025-01-06 14:26:31.45	128.04	71.00	-33.2	-33.4	7.4	704841	83	5009
2025-01-06 14:26:31.65	127.88	71.08	-33.8	-34.0	6.6	1310382	84	5078
2025-01-06 14:26:31.85	127.73	71.16	-34.3	-34.7	6.0	2303833	85	5134
2025-01-06 14:26:32.05	127.57	71.24	-35.6	-36.1	4.8	2303833	88	5204
2025-01-06 14:26:32.25	127.42	71.33	-35.9	-36.8	4.4	7829761	88	5413
2025-01-06 14:26:32.46	127.25	71.41	-36.9	-38.4	3.7	7829761	90	5874
2025-01-06 14:26:32.66	127.09	71.49	-37.6	-40.6	3.6	8195148	92	6985
2025-01-06 14:26:32.86	126.93	71.57	-37.8	-40.7	3.5	8432945	92	6825
2025-01-06 14:26:33.06	126.77	71.65	-38.1	-40.4	3.3	8413593	93	6440
2025-01-06 14:26:33.26	126.60	71.73	-38.1	-40.6	3.3	8384639	93	6540
2025-01-06 14:26:33.46	126.44	71.82	-37.8	-40.9	3.6	8398075	93	7021
2025-01-06 14:26:33.66	126.27	71.90	-37.6	-39.8	3.5	8378093	93	6288
2025-01-06 14:26:33.86	126.10	71.98	-37.5	-38.5	3.4	8408100	93	5546
2025-01-06 14:26:34.06	125.93	72.06	-36.9	-37.2	3.5	8384994	92	5075
2025-01-06 14:26:34.27	125.75	72.14	-36.7	-38.6	3.8	8384994	91	6128
2025-01-06 14:26:34.47	125.58	72.22	-36.4	-37.7	4.2	8322338	91	5665
2025-01-06 14:26:34.67	125.40	72.30	-36.0	-36.4	4.3	8336013	90	5114
2025-01-06 14:26:34.87	125.22	72.38	-36.1	-36.1	4.3	8123851	90	4954
2025-01-06 14:26:35.07	125.04	72.46	-36.1	-36.2	4.2	8113105	90	4979
2025-01-06 14:26:35.27	124.86	72.54	-36.2	-36.5	4.1	8145080	90	5099
2025-01-06 14:26:35.47	124.68	72.62	-36.3	-36.8	4.0	8211547	90	5196
2025-01-06 14:26:35.67	124.50	72.70	-36.6	-37.5	3.8	8271812	90	5498
2025-01-06 14:26:35.87	124.31	72.78	-36.7	-39.4	3.7	8271812	90	6674
2025-01-06 14:26:36.08	124.11	72.86	-36.9	-39.8	3.7	8342376	90	6867
2025-01-06 14:26:36.28	123.92	72.94	-37.3	-39.3	3.6	8414955	91	6204
2025-01-06 14:26:36.48	123.73	73.02	-37.4	-39.1	3.5	8401313	91	6008
2025-01-06 14:26:36.68	123.54	73.10	-37.5	-39.0	3.5	8374328	92	5863
2025-01-06 14:26:36.88	123.34	73.18	-37.6	-40.6	3.6	8411464	92	7016
2025-01-06 14:26:37.08	123.14	73.26	-37.6	-39.8	3.5	8439182	92	6372
2025-01-06 14:26:37.28	122.94	73.34	-37.6	-39.4	3.4	8388645	92	6038
2025-01-06 14:26:37.48	122.74	73.41	-37.6	-39.3	3.4	8388645	92	6020
2025-01-06 14:26:37.68	122.54	73.49	-37.6	-40.7	3.6	8378620	92	7061
2025-01-06 14:26:37.89	122.32	73.58	-37.6	-40.2	3.6	8425540	92	6598
2025-01-06 14:26:38.09	122.12	73.65	-37.6	-39.5	3.4	8429271	92	6087
2025-01-06 14:26:38.29	121.91	73.73	-37.6	-39.5	3.4	8379581	92	6067
2025-01-06 14:26:38.49	121.70	73.81	-37.7	-41.2	3.6	8385601	92	7346
2025-01-06 14:26:38.69	121.48	73.89	-37.8	-41.1	3.6	8434741	92	7248
2025-01-06 14:26:38.89	121.26	73.96	-37.9	-40.4	3.4	8421249	92	6599
2025-01-06 14:26:39.09	121.05	74.04	-38.0	-40.6	3.3	8400123	92	6639
2025-01-06 14:26:39.29	120.83	74.12	-38.1	-41.8	3.6	8400123	93	7524
2025-01-06 14:26:39.50	120.59	74.20	-38.1	-42.0	3.6	8397010	93	7687
2025-01-06 14:26:39.70	120.37	74.27	-38.2	-41.1	3.4	8442455	93	6904
2025-01-06 14:26:39.90	120.14	74.35	-38.2	-40.9	3.3	8410778	93	6712
2025-01-06 14:26:40.10	119.91	74.43	-38.3	-41.0	3.3	8402652	93	6760
2025-01-06 14:26:40.30	119.68	74.50	-38.3	-42.6	3.6	8398979	93	8065
2025-01-06 14:26:40.50	119.44	74.58	-38.4	-42.0	3.4	8432956	93	7463
2025-01-06 14:26:40.70	119.21	74.65	-38.4	-41.5	3.3	8403224	93	7003
2025-01-06 14:26:40.90	118.97	74.73	-38.4	-41.5	3.3	8403224	93	7010
2025-01-06 14:26:41.10	118.72	74.81	-38.5	-43.0	3.6	8391883	93	8326
2025-01-06 14:26:41.31	118.47	74.88	-38.5	-42.2	3.4	8429615	93	7576
2025-01-06 14:26:41.51	118.22	74.96	-38.5	-41.6	3.3	8447067	93	7056
2025-01-06 14:26:41.71	117.97	75.03	-38.5	-41.6	3.3	8401817	93	7094
2025-01-06 14:26:41.91	117.72	75.11	-38.4	-43.0	3.6	8397960	93	8309
2025-01-06 14:26:42.11	117.46	75.18	-38.4	-42.5	3.5	8449584	93	7878
2025-01-06 14:26:42.31	117.21	75.25	-38.4	-41.6	3.3	8427921	93	7113
2025-01-06 14:26:42.51	116.95	75.33	-38.4	-41.5	3.3	8396999	93	7044
2025-01-06 14:26:42.71	116.68	75.40	-38.4	-42.9	3.6	8395568	93	8298
2025-01-06 14:26:42.91	116.42	75.47	-38.3	-42.6	3.6	8445419	93	7993
2025-01-06 14:26:43.11	116.15	75.55	-38.4	-41.6	3.3	8445419	93	7119
2025-01-06 14:26:43.32	115.87	75.62	-38.3	-41.4	3.3	8421226	93	6971
2025-01-06 14:26:43.52	115.59	75.70	-38.4	-42.8	3.6	8388507	93	8231
2025-01-06 14:26:43.72	115.31	75.77	-38.4	-42.8	3.6	8418949	93	8248
2025-01-06 14:26:43.92	115.03	75.84	-38.3	-41.2	3.4	8385761	94	6907
2025-01-06 14:26:44.12	114.75	75.91	-38.3	-40.7	3.3	8403579	94	6517
2025-01-06 14:26:44.32	114.47	75.98	-38.3	-40.8	3.3	8404243	94	6556
2025-01-06 14:26:44.52	114.18	76.05	-38.3	-42.3	3.6	8374145	94	7818
