#Pass ID: 20250106_115649_HAISI 1
#Satellite: HAISI 1
#Configuration: HAISI-1
#Start time: 2025-01-06 11:56:42

#Version: 1.5.20200625
#Station: X_MFTI_01
#Location: 37.5186 lon 55.9291 lat
#TLE: 1 47297U 20102B   23362.46775762  .00036710  00000+0  89145-3 0  9990
#TLE: 2 47297  97.4291 102.3307 0003008 262.2467  97.8437 15.40922517167670

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-06 11:56:42.97	2.81	62.52	-77.6	-99.5	3.8	7458114	99	44538
2025-01-06 11:56:43.18	2.68	62.77	-77.7	-99.6	3.8	7456665	99	44833
2025-01-06 11:56:43.39	2.54	63.02	-77.7	-99.6	3.8	7447586	99	44801
2025-01-06 11:56:43.60	2.40	63.27	-77.6	-99.5	3.8	7450561	99	44724
2025-01-06 11:56:43.82	2.24	63.53	-77.8	-99.7	3.8	7443695	99	44700
2025-01-06 11:56:44.03	2.09	63.78	-77.6	-99.5	3.8	7454299	99	44797
2025-01-06 11:56:44.23	1.95	64.02	-77.8	-99.7	3.8	7459259	99	44845
2025-01-06 11:56:44.45	1.79	64.29	-77.8	-99.7	3.8	7460708	99	44820
2025-01-06 11:56:44.65	1.64	64.53	-77.6	-99.5	3.8	7437286	99	44725
2025-01-06 11:56:44.86	1.47	64.78	-77.6	-99.5	3.8	7445907	99	44705
2025-01-06 11:56:45.08	1.30	65.05	-77.6	-99.5	3.8	7453231	99	44737
2025-01-06 11:56:45.28	1.14	65.29	-77.6	-99.5	3.8	7457656	99	44758
2025-01-06 11:56:45.49	0.96	65.55	-77.6	-99.5	3.8	7448883	99	44768
2025-01-06 11:56:45.71	0.78	65.82	-77.7	-99.5	3.8	7442245	99	44691
2025-01-06 11:56:45.92	0.59	66.08	-77.8	-99.7	3.8	7475433	99	44705
2025-01-06 11:56:46.14	0.40	66.35	-77.8	-99.7	3.8	7453231	99	44748
2025-01-06 11:56:46.34	0.21	66.60	-77.8	-99.7	3.8	7449722	99	44805
2025-01-06 11:56:46.56	0.01	66.87	-77.6	-99.5	3.8	7473373	99	44735
2025-01-06 11:56:46.77	359.80	67.13	-77.6	-99.5	3.8	7460327	99	44752
2025-01-06 11:56:46.97	359.61	67.38	-77.8	-99.7	3.8	7446899	99	44701
2025-01-06 11:56:47.17	359.40	67.63	-77.8	-99.7	3.8	7444305	99	44657
2025-01-06 11:56:47.39	359.18	67.91	-77.7	-99.5	3.8	7449340	99	44675
2025-01-06 11:56:47.60	358.95	68.17	-77.8	-99.6	3.8	7440414	99	44611
2025-01-06 11:56:47.82	358.71	68.45	-77.8	-99.7	3.8	7457656	99	44646
2025-01-06 11:56:48.02	358.49	68.70	-77.8	-99.7	3.8	7441406	99	44701
2025-01-06 11:56:48.23	358.24	68.96	-77.7	-99.6	3.8	7443771	99	44761
2025-01-06 11:56:48.45	357.98	69.24	-77.6	-99.5	3.8	7465667	99	44731
2025-01-06 11:56:48.66	357.72	69.51	-77.7	-99.6	3.8	7464141	99	44724
2025-01-06 11:56:48.87	357.46	69.77	-77.6	-99.5	3.8	7452621	99	44700
2025-01-06 11:56:49.07	357.20	70.03	-77.6	-99.5	3.8	7441329	99	44622
2025-01-06 11:56:49.28	356.92	70.30	-77.7	-99.6	3.8	7450866	99	44765
2025-01-06 11:56:49.48	356.65	70.55	-77.8	-99.7	3.8	7455749	99	44737
2025-01-06 11:56:49.68	356.37	70.81	-77.8	-99.7	3.8	7438507	99	44670
2025-01-06 11:56:49.90	356.05	71.09	-77.8	-99.7	3.8	7455215	99	44692
2025-01-06 11:56:50.11	355.73	71.36	-77.6	-99.5	3.8	7465667	99	44693
2025-01-06 11:56:50.33	355.39	71.64	-77.8	-99.8	3.8	7468109	99	45074
2025-01-06 11:56:50.54	355.06	71.91	-77.8	-99.7	3.8	7449722	99	45049
2025-01-06 11:56:50.76	354.69	72.19	-77.6	-99.6	3.8	7464218	99	45082
2025-01-06 11:56:50.97	354.33	72.46	-77.7	-99.6	3.8	7441635	99	44722
2025-01-06 11:56:51.19	353.95	72.75	-77.6	-99.5	3.8	7466964	99	44770
2025-01-06 11:56:51.39	353.58	73.00	-77.6	-99.5	3.8	7450256	99	44764
2025-01-06 11:56:51.61	353.17	73.28	-77.9	-99.8	3.8	7445068	99	44751
2025-01-06 11:56:51.82	352.76	73.55	-77.8	-99.7	3.8	7422637	99	44814
2025-01-06 11:56:52.04	352.31	73.84	-77.8	-99.7	3.8	7447738	99	44769
2025-01-06 11:56:52.24	351.89	74.09	-77.8	-99.7	3.8	7467269	99	44747
2025-01-06 11:56:52.45	351.44	74.36	-77.8	-99.7	3.8	7475509	99	44665
2025-01-06 11:56:52.67	350.94	74.64	-77.8	-99.7	3.8	7439498	99	44783
2025-01-06 11:56:52.88	350.45	74.91	-77.6	-99.5	3.8	7464370	99	44670
