#Pass ID: 20250107_004700_TY-41
#Satellite: TY-41
#Configuration: TY-39
#almurnet v.1.7.20230919.trace
#Start time: 2025-01-07 00:46:59

#Version: 2.2.20231116
#Station: PPK-1
#Location: 158.6 lon 53.06666 lat
#TLE: 1 61231U 24173E   25006.22207071  .00006579  00000+0  31602-3 0  9995
#TLE: 2 61231  97.4115  83.2765 0001746  89.7362 270.4073 15.19170168 15756

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State
2025-01-07 00:46:59.89	8.22	7.99	-67.0	-72.9	3.6	0.00e+00	0	45	0
2025-01-07 00:47:00.79	8.19	8.07	-67.2	-73.3	3.7	0.00e+00	0	45	104
2025-01-07 00:47:01.79	8.15	8.16	-67.3	-73.1	3.6	0.00e+00	0	45	104
2025-01-07 00:47:02.69	8.12	8.25	-67.3	-72.9	3.7	0.00e+00	0	46	104
2025-01-07 00:47:03.69	8.09	8.34	-67.3	-73.0	3.6	0.00e+00	0	46	104
2025-01-07 00:47:04.59	8.06	8.43	-67.4	-73.1	3.7	0.00e+00	0	46	104
2025-01-07 00:47:05.59	8.02	8.52	-67.5	-73.3	3.7	0.00e+00	0	46	104
2025-01-07 00:47:06.49	7.99	8.61	-67.5	-73.3	3.7	0.00e+00	0	46	104
2025-01-07 00:47:07.49	7.95	8.70	-67.5	-73.4	3.7	0.00e+00	0	47	104
2025-01-07 00:47:08.39	7.92	8.79	-67.5	-73.3	3.6	0.00e+00	0	47	104
2025-01-07 00:47:09.38	7.88	8.89	-67.5	-73.3	3.7	0.00e+00	0	47	104
2025-01-07 00:47:10.28	7.85	8.97	-67.5	-73.2	3.6	0.00e+00	0	47	104
2025-01-07 00:47:11.28	7.81	9.07	-67.4	-73.0	3.6	0.00e+00	0	47	104
2025-01-07 00:47:12.18	7.78	9.16	-67.3	-72.7	3.7	0.00e+00	0	47	104
2025-01-07 00:47:13.18	7.74	9.26	-67.2	-72.4	3.6	0.00e+00	0	48	104
2025-01-07 00:47:14.08	7.71	9.35	-67.0	-72.0	3.7	0.00e+00	0	48	104
2025-01-07 00:47:15.08	7.67	9.45	-66.8	-71.6	3.4	0.00e+00	0	48	104
2025-01-07 00:47:15.98	7.63	9.54	-66.7	-71.2	3.6	0.00e+00	0	48	104
2025-01-07 00:47:16.98	7.59	9.64	-66.7	-71.0	3.7	0.00e+00	0	48	104
2025-01-07 00:47:17.88	7.56	9.73	-66.6	-70.9	3.5	0.00e+00	0	48	104
2025-01-07 00:47:18.88	7.52	9.83	-66.7	-71.0	3.7	0.00e+00	0	49	104
2025-01-07 00:47:19.78	7.48	9.92	-66.7	-71.3	3.5	0.00e+00	0	49	104
2025-01-07 00:47:20.78	7.44	10.02	-66.9	-71.6	3.6	0.00e+00	0	49	104
2025-01-07 00:47:21.68	7.41	10.12	-67.0	-71.9	3.5	0.00e+00	0	49	104
2025-01-07 00:47:22.68	7.36	10.22	-67.2	-72.4	3.6	0.00e+00	0	49	104
2025-01-07 00:47:23.58	7.33	10.31	-67.3	-72.6	3.7	0.00e+00	0	49	104
2025-01-07 00:47:24.58	7.28	10.42	-67.4	-72.9	3.6	0.00e+00	0	49	104
2025-01-07 00:47:25.48	7.25	10.51	-67.4	-73.0	3.7	0.00e+00	0	49	104
2025-01-07 00:47:26.48	7.20	10.62	-67.5	-73.1	3.6	0.00e+00	0	50	104
2025-01-07 00:47:27.38	7.16	10.71	-67.5	-73.2	3.6	0.00e+00	0	50	104
2025-01-07 00:47:28.38	7.12	10.82	-67.5	-73.1	3.7	0.00e+00	0	50	104
2025-01-07 00:47:29.28	7.08	10.92	-67.5	-73.0	3.6	0.00e+00	0	50	104
2025-01-07 00:47:30.27	7.04	11.02	-67.5	-73.1	3.7	0.00e+00	0	50	104
2025-01-07 00:47:31.18	7.00	11.12	-67.4	-73.0	3.6	0.00e+00	0	50	104
2025-01-07 00:47:32.17	6.95	11.23	-67.4	-72.9	3.6	0.00e+00	0	50	104
2025-01-07 00:47:33.07	6.91	11.33	-67.4	-72.9	3.6	0.00e+00	0	51	104
