#Pass ID: 20250109_234757_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#Start time: 2025-01-09 23:47:54

#Version: 1.5.20200625
#Station: X_MFTI_01
#Location: 37.5186 lon 55.9291 lat
#TLE: 1 37849U 11061A   23362.48341244  .00000167  00000+0  99749-4 0  9991
#TLE: 2 37849  98.7252 298.0509 0001500  77.1966 282.9377 14.19535461630502

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-09 23:47:54.17	12.58	68.70	-71.2	-96.0	3.8	14916305	99	62301
2025-01-09 23:47:54.38	12.56	68.80	-71.5	-96.2	3.8	14912826	99	61472
2025-01-09 23:47:54.59	12.53	68.89	-71.4	-96.0	3.8	14912826	99	61233
2025-01-09 23:47:54.80	12.51	68.99	-71.4	-96.1	3.8	14900962	99	61610
2025-01-09 23:47:55.00	12.48	69.08	-71.4	-96.1	3.8	14900962	99	61364
2025-01-09 23:47:55.21	12.45	69.18	-71.5	-96.1	3.8	14904411	99	61514
2025-01-09 23:47:55.42	12.43	69.27	-71.4	-96.1	3.8	14904411	99	61628
2025-01-09 23:47:55.63	12.40	69.37	-71.4	-96.1	3.8	14913818	99	61571
2025-01-09 23:47:55.84	12.37	69.47	-71.4	-96.1	3.8	14913818	99	61652
2025-01-09 23:47:56.05	12.34	69.56	-71.5	-96.1	3.8	14913818	99	61385
2025-01-09 23:47:56.26	12.31	69.66	-71.5	-96.1	3.9	14915145	99	61288
2025-01-09 23:47:56.46	12.29	69.75	-71.5	-96.1	3.9	14915145	99	61218
2025-01-09 23:47:56.67	12.26	69.85	-71.4	-96.1	3.8	14899635	99	61514
2025-01-09 23:47:56.88	12.23	69.95	-71.4	-96.1	3.8	14899635	99	61503
2025-01-09 23:47:57.09	12.20	70.04	-71.4	-96.1	3.8	14916984	99	61549
2025-01-09 23:47:57.30	12.17	70.14	-71.4	-96.1	3.8	14916984	99	61588
2025-01-09 23:47:57.51	12.14	70.24	-71.5	-96.1	3.8	14911575	99	61351
2025-01-09 23:47:57.72	12.11	70.34	-71.5	-96.1	3.8	14911575	99	61549
2025-01-09 23:47:57.93	12.07	70.43	-71.5	-96.1	3.8	14901168	99	61554
2025-01-09 23:47:58.13	12.04	70.53	-71.5	-96.3	3.8	14901168	99	62652
2025-01-09 23:47:58.34	12.01	70.63	-71.5	-96.3	3.8	14909255	99	62734
