#Pass ID: 20250112_111837_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-12 11:18:31

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 27424U 02022A   24362.17797472  .00002820  00000+0  59018-3 0  9993
#TLE: 2 27424  98.3558 312.6762 0000863 121.1743 355.2277 14.60570844204873

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-12 11:18:31.07	133.40	66.90	-36.1	-46.6	3.3	7707214	89	1986
2025-01-12 11:18:31.27	133.27	67.00	-34.8	-66.9	3.5	7568206	46	24042
2025-01-12 11:18:31.48	133.13	67.10	-35.8	-55.4	3.5	7575531	73	5685
2025-01-12 11:18:31.68	133.00	67.20	-36.2	-47.7	3.5	7577514	89	2258
2025-01-12 11:18:31.88	132.87	67.30	-36.1	-47.5	3.4	7609100	89	2211
2025-01-12 11:18:32.08	132.74	67.39	-36.1	-48.1	3.4	7555236	89	2371
2025-01-12 11:18:32.28	132.60	67.49	-36.1	-48.0	3.5	7592468	89	2338
2025-01-12 11:18:32.48	132.47	67.59	-36.1	-47.8	3.5	7590484	89	2292
2025-01-12 11:18:32.68	132.33	67.68	-36.1	-47.6	3.4	7618865	89	2236
2025-01-12 11:18:32.88	132.19	67.78	-36.1	-48.1	3.3	7567443	89	2377
2025-01-12 11:18:33.08	132.05	67.88	-36.1	-48.1	3.5	7570495	89	2376
2025-01-12 11:18:33.28	131.91	67.98	-36.1	-47.9	3.5	7578277	89	2315
2025-01-12 11:18:33.49	131.76	68.08	-36.1	-47.6	3.4	7611236	89	2242
2025-01-12 11:18:33.69	131.61	68.17	-36.1	-47.4	3.4	7646026	89	2196
2025-01-12 11:18:33.89	131.47	68.27	-36.1	-48.1	3.5	7554016	89	2382
2025-01-12 11:18:34.09	131.32	68.37	-36.1	-47.9	3.5	7591094	89	2328
2025-01-12 11:18:34.29	131.17	68.47	-36.1	-47.7	3.5	7606811	89	2271
2025-01-12 11:18:34.49	131.02	68.56	-36.1	-47.3	3.4	7634735	89	2176
2025-01-12 11:18:34.69	130.87	68.66	-36.1	-48.1	3.5	7599945	89	2374
2025-01-12 11:18:34.89	130.72	68.76	-36.1	-47.9	3.5	7570800	89	2330
2025-01-12 11:18:35.10	130.56	68.86	-36.1	-47.6	3.5	7632598	89	2250
2025-01-12 11:18:35.30	130.40	68.96	-36.1	-47.3	3.4	7648925	89	2183
2025-01-12 11:18:35.50	130.24	69.05	-36.0	-47.9	3.4	7574157	89	2351
2025-01-12 11:18:35.70	130.08	69.15	-36.1	-47.9	3.5	7569885	89	2338
2025-01-12 11:18:35.90	129.92	69.25	-36.0	-47.7	3.5	7571868	89	2280
2025-01-12 11:18:36.10	129.76	69.34	-36.0	-47.4	3.4	7613983	89	2213
2025-01-12 11:18:36.30	129.59	69.44	-36.1	-47.9	3.3	7580566	89	2347
2025-01-12 11:18:36.50	129.43	69.54	-36.1	-47.9	3.5	7558441	89	2350
2025-01-12 11:18:36.70	129.26	69.63	-36.0	-47.7	3.5	7592926	89	2299
2025-01-12 11:18:36.90	129.09	69.73	-36.0	-47.4	3.4	7639617	89	2217
2025-01-12 11:18:37.11	128.91	69.83	-36.0	-47.2	3.4	7623901	89	2166
2025-01-12 11:18:37.31	128.74	69.93	-36.0	-47.9	3.5	7567291	89	2351
2025-01-12 11:18:37.51	128.56	70.02	-36.0	-47.7	3.5	7601623	89	2302
2025-01-12 11:18:37.71	128.39	70.12	-36.0	-47.6	3.4	7610015	89	2256
2025-01-12 11:18:37.91	128.21	70.21	-36.0	-47.3	3.4	7626953	89	2194
2025-01-12 11:18:38.11	128.03	70.31	-36.0	-48.0	3.5	7571716	89	2364
2025-01-12 11:18:38.31	127.85	70.41	-36.0	-47.9	3.5	7573852	89	2340
2025-01-12 11:18:38.51	127.66	70.50	-36.0	-47.5	3.5	7589111	89	2246
2025-01-12 11:18:38.72	127.47	70.60	-36.1	-47.3	3.4	7624969	89	2178
2025-01-12 11:18:38.92	127.28	70.70	-36.0	-48.0	3.5	7589263	89	2368
2025-01-12 11:18:39.12	127.09	70.79	-36.0	-47.8	3.5	7605743	89	2325
2025-01-12 11:18:39.32	126.90	70.89	-36.0	-47.6	3.5	7603454	89	2258
2025-01-12 11:18:39.52	126.70	70.98	-36.0	-47.4	3.4	7619018	89	2201
2025-01-12 11:18:39.72	126.51	71.08	-36.1	-47.9	3.5	7595062	89	2347
2025-01-12 11:18:39.92	126.31	71.17	-36.0	-47.9	3.5	7555236	89	2328
2025-01-12 11:18:40.12	126.11	71.27	-36.1	-47.6	3.5	7610321	89	2236
2025-01-12 11:18:40.33	125.90	71.37	-36.1	-47.3	3.4	7610473	89	2172
2025-01-12 11:18:40.53	125.69	71.46	-36.1	-47.9	3.2	7586059	89	2323
2025-01-12 11:18:40.73	125.48	71.56	-36.1	-47.8	3.5	7550354	89	2305
2025-01-12 11:18:40.93	125.27	71.65	-36.1	-47.5	3.5	7594909	89	2221
2025-01-12 11:18:41.13	125.06	71.75	-36.1	-47.1	3.4	7633361	89	2139
2025-01-12 11:18:41.33	124.85	71.84	-36.1	-47.0	3.4	7623596	89	2112
2025-01-12 11:18:41.53	124.63	71.93	-36.0	-47.6	3.5	7574157	89	2277
2025-01-12 11:18:41.73	124.41	72.03	-36.1	-47.6	3.5	7570037	89	2246
2025-01-12 11:18:41.93	124.19	72.12	-36.0	-47.2	3.4	7608795	89	2168
2025-01-12 11:18:42.13	123.97	72.21	-36.0	-47.0	3.4	7648773	89	2124
2025-01-12 11:18:42.33	123.74	72.31	-36.1	-47.7	3.5	7576446	89	2273
2025-01-12 11:18:42.54	123.50	72.41	-36.0	-47.6	3.5	7607269	89	2273
2025-01-12 11:18:42.74	123.27	72.50	-36.0	-47.4	3.5	7614593	89	2217
2025-01-12 11:18:42.94	123.03	72.59	-36.1	-47.2	3.4	7639465	89	2164
2025-01-12 11:18:43.14	122.80	72.68	-36.1	-47.9	3.5	7585449	89	2334
2025-01-12 11:18:43.34	122.56	72.78	-36.1	-47.9	3.5	7559356	89	2323
2025-01-12 11:18:43.54	122.32	72.87	-36.1	-47.6	3.5	7606201	89	2257
2025-01-12 11:18:43.74	122.07	72.96	-36.1	-47.4	3.4	7621002	89	2183
2025-01-12 11:18:43.94	121.82	73.05	-36.1	-47.9	3.2	7531738	89	2327
2025-01-12 11:18:44.14	121.57	73.14	-36.1	-47.9	3.5	7558593	89	2332
2025-01-12 11:18:44.34	121.32	73.23	-36.1	-47.7	3.5	7603912	89	2266
2025-01-12 11:18:44.55	121.05	73.33	-36.1	-47.5	3.4	7639007	89	2227
2025-01-12 11:18:44.75	120.79	73.42	-36.1	-47.2	3.4	7612152	89	2155
2025-01-12 11:18:44.95	120.53	73.51	-36.1	-47.9	3.5	7593078	89	2323
2025-01-12 11:18:45.15	120.26	73.60	-36.1	-47.7	3.5	7618713	89	2278
2025-01-12 11:18:45.35	119.99	73.69	-36.1	-47.6	3.4	7643585	89	2241
2025-01-12 11:18:45.55	119.72	73.78	-36.1	-47.2	3.4	7632141	89	2154
2025-01-12 11:18:45.75	119.45	73.87	-36.1	-47.8	3.5	7570190	89	2309
2025-01-12 11:18:45.95	119.17	73.96	-36.1	-47.7	3.5	7577819	89	2260
2025-01-12 11:18:46.16	118.87	74.05	-36.1	-47.3	3.4	7579040	89	2171
2025-01-12 11:18:46.36	118.59	74.14	-36.1	-47.1	3.4	7606201	89	2115
2025-01-12 11:18:46.56	118.30	74.23	-36.1	-47.5	3.4	7541809	89	2226
2025-01-12 11:18:46.76	118.01	74.31	-36.1	-47.6	3.5	7561798	89	2250
2025-01-12 11:18:46.96	117.72	74.40	-36.0	-47.1	3.5	7607574	89	2125
2025-01-12 11:18:47.16	117.42	74.49	-36.0	-46.9	3.4	7650146	89	2079
2025-01-12 11:18:47.36	117.12	74.57	-36.0	-47.4	3.2	7604064	89	2218
2025-01-12 11:18:47.56	116.81	74.66	-36.0	-47.4	3.5	7529754	89	2214
2025-01-12 11:18:47.76	116.50	74.75	-36.0	-46.9	3.5	7617797	89	2106
2025-01-12 11:18:47.97	116.17	74.84	-36.0	-46.7	3.4	7647247	89	2042
2025-01-12 11:18:48.17	115.86	74.92	-36.0	-47.3	3.2	7575531	89	2191
2025-01-12 11:18:48.37	115.54	75.01	-36.0	-47.3	3.5	7533569	89	2207
2025-01-12 11:18:48.57	115.21	75.09	-36.0	-47.2	3.5	7573699	89	2171
2025-01-12 11:18:48.77	114.88	75.17	-36.0	-47.1	3.4	7611999	89	2146
2025-01-12 11:18:48.97	114.55	75.26	-36.0	-47.0	3.4	7621154	89	2126
2025-01-12 11:18:49.17	114.22	75.34	-36.0	-47.8	3.5	7601776	89	2320
2025-01-12 11:18:49.37	113.88	75.42	-36.0	-47.7	3.5	7604370	89	2281
2025-01-12 11:18:49.57	113.53	75.51	-36.0	-47.5	3.4	7613830	89	2239
2025-01-12 11:18:49.78	113.17	75.59	-36.0	-47.3	3.4	7661285	89	2193
2025-01-12 11:18:49.98	112.82	75.67	-36.0	-47.9	3.5	7567596	89	2342
2025-01-12 11:18:50.18	112.46	75.75	-36.0	-47.8	3.5	7581176	89	2324
2025-01-12 11:18:50.38	112.10	75.83	-36.0	-47.5	3.5	7603149	89	2232
2025-01-12 11:18:50.58	111.74	75.91	-36.0	-47.2	3.4	7639465	89	2169
2025-01-12 11:18:50.78	111.37	75.99	-36.0	-47.8	3.4	7576446	89	2318
2025-01-12 11:18:50.98	110.99	76.07	-36.0	-47.7	3.5	7560272	89	2285
2025-01-12 11:18:51.18	110.62	76.15	-36.0	-47.2	3.5	7592926	89	2188
2025-01-12 11:18:51.38	110.23	76.23	-36.0	-46.9	3.4	7594909	89	2114
2025-01-12 11:18:51.58	109.85	76.30	-36.0	-47.4	3.3	7548828	89	2236
2025-01-12 11:18:51.79	109.44	76.38	-36.0	-47.4	3.5	7546539	89	2218
2025-01-12 11:18:51.99	109.04	76.46	-35.9	-47.1	3.5	7588043	89	2150
2025-01-12 11:18:52.19	108.64	76.54	-35.9	-46.9	3.4	7599182	89	2103
2025-01-12 11:18:52.39	108.24	76.61	-35.9	-46.6	3.4	7657318	89	2031
2025-01-12 11:18:52.59	107.83	76.68	-36.0	-47.3	3.5	7589111	89	2207
2025-01-12 11:18:52.79	107.41	76.76	-35.9	-47.1	3.5	7573394	89	2162
2025-01-12 11:18:52.99	106.99	76.83	-35.9	-46.9	3.4	7624816	89	2106
2025-01-12 11:18:53.19	106.57	76.90	-36.0	-46.7	3.4	7623748	89	2057
2025-01-12 11:18:53.39	106.14	76.97	-36.0	-47.4	3.5	7583007	89	2213
2025-01-12 11:18:53.59	105.71	77.05	-36.1	-47.4	3.5	7583465	89	2201
2025-01-12 11:18:53.80	105.25	77.12	-36.1	-47.4	3.5	7648010	89	2195
2025-01-12 11:18:54.00	104.80	77.19	-36.1	-47.1	3.4	7586212	89	2125
2025-01-12 11:18:54.20	104.35	77.26	-36.1	-47.4	3.4	7548828	89	2213
2025-01-12 11:18:54.40	103.90	77.32	-36.1	-47.5	3.5	7574615	89	2228
2025-01-12 11:18:54.60	103.44	77.39	-36.1	-47.3	3.5	7636108	89	2183
2025-01-12 11:18:54.80	102.98	77.46	-36.1	-47.3	3.4	7613983	89	2181
2025-01-12 11:18:55.00	102.51	77.52	-36.1	-47.7	3.2	7576599	89	2290
2025-01-12 11:18:55.20	102.04	77.59	-36.1	-47.7	3.5	7564849	89	2289
2025-01-12 11:18:55.41	101.53	77.66	-36.1	-47.6	3.5	7596893	89	2240
2025-01-12 11:18:55.61	101.05	77.72	-36.1	-47.3	3.4	7625122	89	2160
2025-01-12 11:18:55.81	100.56	77.78	-36.1	-47.1	3.4	7675933	89	2132
2025-01-12 11:18:56.01	100.07	77.84	-36.1	-47.9	3.5	7590332	89	2319
2025-01-12 11:18:56.21	99.57	77.90	-36.1	-47.8	3.5	7583465	89	2282
2025-01-12 11:18:56.41	99.06	77.96	-36.1	-47.5	3.4	7632751	89	2212
2025-01-12 11:18:56.61	98.55	78.02	-36.2	-47.2	3.4	7635498	89	2133
2025-01-12 11:18:56.81	98.04	78.08	-36.1	-48.0	3.5	7539367	89	2338
2025-01-12 11:18:57.01	97.52	78.14	-36.1	-47.8	3.5	7579498	89	2301
2025-01-12 11:18:57.21	96.99	78.19	-36.1	-47.6	3.5	7569885	89	2247
2025-01-12 11:18:57.41	96.46	78.25	-36.1	-47.3	3.4	7618103	89	2166
2025-01-12 11:18:57.62	95.90	78.30	-36.1	-47.8	3.5	7555236	89	2294
2025-01-12 11:18:57.82	95.36	78.36	-36.1	-47.6	3.5	7600250	89	2262
2025-01-12 11:18:58.02	94.82	78.41	-36.0	-47.4	3.5	7602233	89	2210
2025-01-12 11:18:58.22	94.26	78.46	-36.1	-47.1	3.4	7649230	89	2136
2025-01-12 11:18:58.42	93.71	78.51	-36.1	-47.8	3.5	7551116	89	2308
2025-01-12 11:18:58.62	93.15	78.56	-36.1	-47.7	3.5	7588806	89	2283
2025-01-12 11:18:58.82	92.58	78.61	-36.1	-47.4	3.5	7613525	89	2213
2025-01-12 11:18:59.02	92.01	78.65	-36.0	-47.2	3.4	7623291	89	2156
2025-01-12 11:18:59.22	91.44	78.70	-36.1	-47.8	3.2	7576293	89	2303
2025-01-12 11:18:59.42	90.86	78.74	-36.1	-47.9	3.5	7554321	89	2333
2025-01-12 11:18:59.63	90.25	78.79	-36.1	-47.6	3.5	7632293	89	2262
2025-01-12 11:18:59.83	89.66	78.83	-36.1	-47.4	3.4	7637023	89	2199
2025-01-12 11:19:00.03	89.06	78.87	-36.1	-47.2	3.4	7635345	89	2164
2025-01-12 11:19:00.23	88.47	78.91	-36.1	-47.8	3.5	7564849	89	2317
2025-01-12 11:19:00.43	87.86	78.95	-36.0	-47.6	3.5	7606048	89	2268
2025-01-12 11:19:00.63	87.26	78.99	-36.1	-47.4	3.5	7628326	89	2202
2025-01-12 11:19:00.83	86.65	79.02	-36.1	-47.2	3.4	7638244	89	2149
2025-01-12 11:19:01.03	86.03	79.06	-36.1	-47.9	3.5	7543334	89	2332
2025-01-12 11:19:01.23	85.41	79.09	-36.1	-47.7	3.5	7582702	89	2267
2025-01-12 11:19:01.44	84.76	79.13	-36.1	-47.4	3.5	7615356	89	2189
2025-01-12 11:19:01.64	84.13	79.16	-36.1	-47.3	3.4	7646179	89	2166
2025-01-12 11:19:01.84	83.50	79.19	-36.1	-47.9	3.5	7575073	89	2313
2025-01-12 11:19:02.04	82.87	79.22	-36.1	-47.8	3.5	7559509	89	2287
2025-01-12 11:19:02.24	82.23	79.24	-36.1	-47.6	3.5	7584075	89	2237
2025-01-12 11:19:02.44	81.59	79.27	-36.1	-47.3	3.4	7617340	89	2170
2025-01-12 11:19:02.64	80.95	79.30	-36.1	-47.9	3.2	7580413	89	2320
2025-01-12 11:19:02.84	80.31	79.32	-36.1	-47.8	3.5	7569732	89	2306
2025-01-12 11:19:03.04	79.66	79.34	-36.1	-47.5	3.5	7591552	89	2227
2025-01-12 11:19:03.24	79.00	79.36	-36.0	-47.3	3.4	7573242	89	2187
2025-01-12 11:19:03.44	78.35	79.38	-36.1	-47.2	3.4	7639923	89	2145
2025-01-12 11:19:03.65	77.66	79.40	-36.1	-47.8	3.5	7569732	89	2311
2025-01-12 11:19:03.85	77.00	79.42	-36.1	-47.7	3.5	7611999	89	2268
2025-01-12 11:19:04.05	76.34	79.43	-36.1	-47.6	3.5	7602844	89	2246
2025-01-12 11:19:04.25	75.68	79.45	-36.1	-47.3	3.4	7578887	89	2174
2025-01-12 11:19:04.45	75.01	79.46	-36.1	-48.1	3.5	7566375	89	2377
2025-01-12 11:19:04.65	74.35	79.47	-36.0	-47.8	3.5	7548522	89	2323
2025-01-12 11:19:04.85	73.68	79.48	-36.0	-47.6	3.5	7651977	89	2276
2025-01-12 11:19:05.05	73.01	79.49	-36.0	-47.3	3.4	7616271	89	2190
2025-01-12 11:19:05.25	72.34	79.49	-36.0	-47.9	3.5	7578277	89	2345
2025-01-12 11:19:05.45	71.67	79.50	-36.1	-47.9	3.5	7555389	89	2332
2025-01-12 11:19:05.66	70.97	79.50	-36.1	-47.6	3.5	7561950	89	2260
2025-01-12 11:19:05.86	70.30	79.51	-36.1	-47.4	3.4	7623748	89	2208
2025-01-12 11:19:06.06	69.63	79.51	-36.1	-47.9	3.2	7538299	89	2331
2025-01-12 11:19:06.26	68.96	79.51	-36.1	-48.0	3.5	7554168	89	2350
2025-01-12 11:19:06.46	68.29	79.50	-36.1	-47.7	3.5	7581634	89	2264
2025-01-12 11:19:06.66	67.61	79.50	-36.1	-47.5	3.4	7619628	89	2217
2025-01-12 11:19:06.86	66.94	79.50	-36.1	-47.2	3.4	7635650	89	2136
2025-01-12 11:19:07.06	66.27	79.49	-36.1	-47.8	3.5	7592315	89	2302
2025-01-12 11:19:07.26	65.61	79.48	-36.1	-47.6	3.5	7569732	89	2258
2025-01-12 11:19:07.47	64.90	79.47	-36.1	-47.2	3.4	7642211	89	2163
2025-01-12 11:19:07.67	64.24	79.46	-36.1	-47.0	3.4	7634124	89	2105
2025-01-12 11:19:07.87	63.57	79.45	-36.1	-47.7	3.5	7550201	89	2285
2025-01-12 11:19:08.07	62.91	79.44	-36.1	-47.6	3.5	7592315	89	2267
2025-01-12 11:19:08.27	62.25	79.42	-36.1	-47.4	3.4	7605438	89	2196
2025-01-12 11:19:08.47	61.59	79.41	-36.1	-47.2	3.4	7624816	89	2148
2025-01-12 11:19:08.67	60.93	79.39	-36.1	-47.8	3.5	7563934	89	2302
2025-01-12 11:19:08.87	60.28	79.37	-36.1	-47.7	3.5	7605285	89	2262
2025-01-12 11:19:09.07	59.62	79.35	-36.1	-47.4	3.4	7588195	89	2207
2025-01-12 11:19:09.28	58.94	79.33	-36.1	-47.4	3.4	7618865	89	2192
2025-01-12 11:19:09.48	58.29	79.31	-36.1	-48.0	3.5	7555999	89	2347
2025-01-12 11:19:09.68	57.65	79.28	-36.1	-47.9	3.5	7600250	89	2329
2025-01-12 11:19:09.88	57.01	79.26	-36.1	-47.6	3.5	7611846	89	2251
2025-01-12 11:19:10.08	56.37	79.23	-36.1	-47.4	3.4	7642059	89	2197
2025-01-12 11:19:10.28	55.73	79.20	-36.1	-47.9	3.3	7585296	89	2328
2025-01-12 11:19:10.48	55.10	79.17	-36.1	-47.9	3.5	7600250	89	2341
2025-01-12 11:19:10.68	54.47	79.14	-36.1	-47.6	3.5	7590484	89	2256
2025-01-12 11:19:10.88	53.85	79.11	-36.1	-47.4	3.4	7598571	89	2205
2025-01-12 11:19:11.08	53.23	79.08	-36.1	-47.3	3.4	7645416	89	2174
2025-01-12 11:19:11.28	52.61	79.05	-36.1	-47.9	3.5	7562408	89	2332
2025-01-12 11:19:11.49	51.97	79.01	-36.1	-47.7	3.5	7606506	89	2282
2025-01-12 11:19:11.69	51.36	78.97	-36.1	-47.5	3.4	7625427	89	2201
2025-01-12 11:19:11.89	50.75	78.93	-36.1	-47.3	3.4	7648315	89	2170
2025-01-12 11:19:12.09	50.15	78.89	-36.1	-47.8	3.5	7561645	89	2300
2025-01-12 11:19:12.29	49.56	78.85	-36.2	-47.8	3.5	7542419	89	2272
2025-01-12 11:19:12.49	48.97	78.81	-36.2	-47.6	3.4	7603912	89	2222
2025-01-12 11:19:12.69	48.38	78.77	-36.1	-47.2	3.4	7622985	89	2126
2025-01-12 11:19:12.89	47.80	78.73	-36.1	-47.9	3.4	7557983	89	2330
2025-01-12 11:19:13.10	47.19	78.68	-36.1	-47.8	3.5	7572784	89	2292
2025-01-12 11:19:13.30	46.62	78.63	-36.1	-47.7	3.5	7622222	89	2257
2025-01-12 11:19:13.50	46.05	78.59	-36.2	-47.4	3.4	7605285	89	2171
2025-01-12 11:19:13.70	45.49	78.54	-36.1	-47.9	3.3	7562866	89	2318
2025-01-12 11:19:13.90	44.93	78.49	-36.2	-48.1	3.5	7558746	89	2350
2025-01-12 11:19:14.10	44.38	78.44	-36.2	-47.8	3.5	7599792	89	2281
2025-01-12 11:19:14.30	43.83	78.39	-36.1	-47.6	3.4	7603912	89	2245
2025-01-12 11:19:14.50	43.29	78.33	-36.2	-47.5	3.4	7660522	89	2174
2025-01-12 11:19:14.70	42.75	78.28	-36.2	-48.3	3.5	7546234	89	2407
2025-01-12 11:19:14.91	42.19	78.22	-36.2	-48.0	3.5	7607879	89	2335
2025-01-12 11:19:15.11	41.66	78.17	-36.2	-47.8	3.5	7617797	89	2272
2025-01-12 11:19:15.31	41.14	78.11	-36.2	-47.6	3.4	7643737	89	2227
2025-01-12 11:19:15.51	40.63	78.05	-36.2	-48.3	3.5	7560577	89	2399
2025-01-12 11:19:15.71	40.11	78.00	-36.2	-48.1	3.5	7572326	89	2357
2025-01-12 11:19:15.91	39.61	77.94	-36.2	-47.8	3.4	7603149	89	2275
2025-01-12 11:19:16.11	39.10	77.88	-36.2	-47.6	3.4	7637176	89	2237
2025-01-12 11:19:16.31	38.61	77.82	-36.1	-48.2	3.4	7537536	89	2400
2025-01-12 11:19:16.51	38.12	77.75	-36.1	-48.1	3.5	7566070	89	2365
2025-01-12 11:19:16.72	37.60	77.69	-36.1	-47.7	3.5	7574920	89	2259
2025-01-12 11:19:16.92	37.12	77.62	-36.1	-47.5	3.4	7648925	89	2211
2025-01-12 11:19:17.12	36.65	77.56	-36.1	-48.1	3.5	7594146	89	2373
2025-01-12 11:19:17.32	36.18	77.50	-36.1	-48.0	3.5	7565307	89	2357
2025-01-12 11:19:17.52	35.71	77.43	-36.1	-47.8	3.5	7628936	89	2296
2025-01-12 11:19:17.72	35.25	77.36	-36.1	-47.5	3.4	7611999	89	2216
2025-01-12 11:19:17.92	34.79	77.30	-36.1	-48.0	3.3	7577819	89	2360
2025-01-12 11:19:18.12	34.34	77.23	-36.1	-48.0	3.5	7579498	89	2347
2025-01-12 11:19:18.32	33.90	77.16	-36.1	-47.8	3.5	7598724	89	2289
2025-01-12 11:19:18.52	33.45	77.09	-36.1	-47.5	3.4	7592163	89	2224
2025-01-12 11:19:18.72	33.02	77.02	-36.1	-47.4	3.4	7667694	89	2183
2025-01-12 11:19:18.93	32.57	76.94	-36.1	-48.0	3.5	7593383	89	2338
2025-01-12 11:19:19.13	32.14	76.87	-36.1	-47.8	3.5	7580261	89	2282
2025-01-12 11:19:19.33	31.72	76.80	-36.1	-47.6	3.4	7623596	89	2257
2025-01-12 11:19:19.53	31.30	76.73	-36.1	-47.3	3.4	7602539	89	2180
2025-01-12 11:19:19.73	30.89	76.65	-36.1	-47.9	3.5	7578735	89	2340
2025-01-12 11:19:19.93	30.48	76.58	-36.1	-47.9	3.5	7581176	89	2316
2025-01-12 11:19:20.13	30.08	76.50	-36.1	-47.6	3.4	7618103	89	2245
2025-01-12 11:19:20.33	29.68	76.43	-36.1	-47.5	3.4	7635040	89	2207
2025-01-12 11:19:20.53	29.29	76.35	-36.1	-48.0	3.4	7574157	89	2353
2025-01-12 11:19:20.74	28.88	76.27	-36.1	-48.0	3.5	7598266	89	2365
2025-01-12 11:19:20.94	28.50	76.20	-36.1	-47.7	3.5	7591400	89	2269
2025-01-12 11:19:21.14	28.12	76.12	-36.1	-47.5	3.4	7634735	89	2229
2025-01-12 11:19:21.34	27.74	76.04	-36.1	-48.0	3.3	7559661	89	2359
2025-01-12 11:19:21.54	27.37	75.96	-36.1	-48.0	3.5	7580718	89	2348
2025-01-12 11:19:21.74	27.00	75.88	-36.1	-47.8	3.5	7593536	89	2297
