#Pass ID: 20250113_091811_FENGYUN 3F
#Satellite: FENGYUN 3F
#Configuration: FENGYUN 3F
#Start time: 2025-01-13 09:18:04

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 57490U 23111A   24362.10123181  .00000257  00000+0  14143-3 0  9996
#TLE: 2 57490  98.7496  69.2589 0000397 146.4022 213.7180 14.19963369 72649

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-13 09:18:04.26	6.07	67.23	-38.0	-39.3	3.3	8381710	94	5707
2025-01-13 09:18:04.46	6.01	67.32	-36.9	-59.4	3.0	6578578	46	65534
2025-01-13 09:18:04.66	5.95	67.41	-37.7	-50.1	3.5	8353122	73	20523
2025-01-13 09:18:04.86	5.89	67.49	-38.1	-40.1	3.3	8395317	93	6196
2025-01-13 09:18:05.06	5.82	67.58	-38.2	-40.2	3.3	8395317	93	6208
2025-01-13 09:18:05.26	5.76	67.67	-38.2	-41.6	3.6	8394161	93	7318
2025-01-13 09:18:05.46	5.69	67.76	-38.1	-41.0	3.6	8427818	94	6852
2025-01-13 09:18:05.66	5.63	67.84	-38.2	-40.1	3.4	8371994	94	6161
2025-01-13 09:18:05.87	5.56	67.94	-38.3	-40.1	3.3	8399139	94	6083
2025-01-13 09:18:06.07	5.49	68.03	-38.4	-41.9	3.6	8398029	94	7428
2025-01-13 09:18:06.27	5.43	68.11	-38.4	-42.1	3.6	8371387	94	7536
2025-01-13 09:18:06.47	5.36	68.20	-38.4	-41.2	3.4	8438861	94	6729
2025-01-13 09:18:06.67	5.29	68.29	-38.4	-40.7	3.3	8438861	94	6367
2025-01-13 09:18:06.87	5.22	68.38	-38.4	-40.7	3.3	8402091	94	6420
2025-01-13 09:18:07.07	5.15	68.47	-38.4	-42.2	3.6	8398750	94	7584
2025-01-13 09:18:07.27	5.08	68.55	-38.5	-41.4	3.4	8426902	94	6940
2025-01-13 09:18:07.47	5.01	68.64	-38.5	-40.9	3.3	8414634	94	6506
2025-01-13 09:18:07.68	4.94	68.74	-38.5	-41.0	3.3	8394699	94	6513
2025-01-13 09:18:07.88	4.87	68.82	-38.5	-42.5	3.6	8399826	94	7757
2025-01-13 09:18:08.08	4.79	68.91	-38.8	-42.1	3.5	8390808	95	7227
2025-01-13 09:18:08.28	4.72	69.00	-38.8	-41.2	3.3	8401920	95	6467
2025-01-13 09:18:08.48	4.65	69.09	-38.8	-41.2	3.3	8401920	95	6431
2025-01-13 09:18:08.68	4.57	69.18	-38.8	-42.6	3.6	8389343	95	7610
2025-01-13 09:18:08.88	4.50	69.27	-38.8	-42.6	3.6	8383506	95	7591
2025-01-13 09:18:09.08	4.42	69.36	-38.8	-41.3	3.4	8436744	95	6603
2025-01-13 09:18:09.28	4.34	69.44	-38.8	-41.0	3.3	8400146	95	6371
2025-01-13 09:18:09.49	4.26	69.54	-38.8	-42.4	3.6	8388301	95	7513
2025-01-13 09:18:09.69	4.18	69.63	-38.7	-42.4	3.6	8441448	95	7489
2025-01-13 09:18:09.89	4.10	69.72	-38.7	-41.3	3.4	8359565	95	6614
2025-01-13 09:18:10.09	4.02	69.80	-38.7	-40.9	3.3	8359565	95	6310
2025-01-13 09:18:10.29	3.94	69.89	-38.7	-40.8	3.3	8411075	95	6278
2025-01-13 09:18:10.49	3.86	69.98	-38.8	-42.5	3.6	8335773	95	7548
2025-01-13 09:18:10.69	3.78	70.07	-38.7	-41.8	3.5	8439262	95	6964
2025-01-13 09:18:10.89	3.70	70.16	-38.8	-41.1	3.3	8434970	95	6408
2025-01-13 09:18:11.09	3.61	70.25	-38.8	-41.1	3.3	8391654	95	6432
2025-01-13 09:18:11.29	3.53	70.34	-38.8	-42.5	3.6	8402332	95	7577
2025-01-13 09:18:11.50	3.44	70.43	-38.8	-42.3	3.6	8451496	95	7390
2025-01-13 09:18:11.70	3.35	70.52	-38.8	-41.4	3.4	8451496	95	6642
2025-01-13 09:18:11.90	3.27	70.61	-38.8	-41.1	3.3	8421535	95	6414
2025-01-13 09:18:12.10	3.18	70.70	-38.8	-42.5	3.6	8392295	95	7585
2025-01-13 09:18:12.30	3.09	70.79	-38.8	-42.6	3.6	8421695	95	7631
2025-01-13 09:18:12.50	3.00	70.88	-38.8	-41.6	3.4	8438346	95	6792
2025-01-13 09:18:12.70	2.91	70.97	-38.8	-41.3	3.3	8405021	95	6517
2025-01-13 09:18:12.90	2.82	71.06	-38.8	-42.7	3.6	8393394	95	7707
2025-01-13 09:18:13.10	2.73	71.15	-38.9	-42.8	3.6	8426227	95	7726
2025-01-13 09:18:13.30	2.63	71.24	-38.9	-41.8	3.4	8447399	95	6931
2025-01-13 09:18:13.51	2.53	71.33	-38.9	-41.4	3.3	8408191	95	6584
2025-01-13 09:18:13.71	2.44	71.42	-38.9	-41.4	3.3	8389881	95	6609
2025-01-13 09:18:13.91	2.34	71.51	-38.9	-42.8	3.6	8389881	95	7768
2025-01-13 09:18:14.11	2.24	71.60	-38.9	-42.0	3.4	8439331	95	7084
2025-01-13 09:18:14.31	2.15	71.69	-38.9	-41.4	3.3	8432956	95	6573
2025-01-13 09:18:14.51	2.05	71.78	-38.9	-41.5	3.3	8394138	95	6614
2025-01-13 09:18:14.71	1.95	71.87	-38.9	-42.9	3.6	8409267	95	7782
2025-01-13 09:18:14.91	1.84	71.96	-38.9	-42.4	3.5	8443611	95	7352
2025-01-13 09:18:15.11	1.74	72.05	-38.9	-41.6	3.3	8416671	95	6696
2025-01-13 09:18:15.31	1.64	72.14	-39.0	-41.5	3.3	8406612	95	6632
2025-01-13 09:18:15.52	1.53	72.24	-39.0	-43.0	3.6	8406612	95	7846
2025-01-13 09:18:15.72	1.42	72.33	-38.9	-42.7	3.6	8426273	95	7629
2025-01-13 09:18:15.92	1.31	72.42	-39.0	-41.7	3.3	8444171	95	6771
2025-01-13 09:18:16.12	1.21	72.51	-39.0	-41.5	3.3	8414028	95	6572
2025-01-13 09:18:16.32	1.10	72.60	-39.0	-42.9	3.6	8383701	95	7764
2025-01-13 09:18:16.52	0.99	72.69	-39.0	-42.9	3.6	8427589	95	7758
2025-01-13 09:18:16.72	0.87	72.78	-39.0	-41.9	3.4	8431892	95	6852
2025-01-13 09:18:16.92	0.76	72.87	-39.0	-41.4	3.3	8405330	95	6512
2025-01-13 09:18:17.12	0.65	72.96	-39.0	-41.4	3.3	8405330	95	6527
2025-01-13 09:18:17.32	0.53	73.05	-39.0	-42.9	3.6	8382545	95	7673
