#Pass ID: 20250115_002156_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-15 00:22:01.796691

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 27424U 02022A   25013.90877924  .00001664  00000+0  35162-3 0  9998
#TLE: 2 27424  98.3586 330.5629 0001670 112.6023 302.1910 14.60677775207428

#Time	Az	El	Level	SNR
2025-01-15 00:22:04.436409	23.6	15.3	-70.2	0.0
2025-01-15 00:22:05.551276	23.7	15.4	-70.5	0.0
2025-01-15 00:22:06.666136	23.7	15.6	-70.3	0.0
2025-01-15 00:22:07.781002	23.8	15.7	-70.3	0.0
2025-01-15 00:22:08.895760	23.9	15.8	-70.1	0.0
2025-01-15 00:22:10.010689	23.9	16.0	-70.5	0.0
2025-01-15 00:22:11.125554	24.0	16.1	-70.5	0.0
2025-01-15 00:22:12.240501	24.1	16.2	-70.5	0.0
2025-01-15 00:22:13.355361	24.1	16.3	-70.4	0.0
2025-01-15 00:22:14.469886	24.2	16.5	-70.3	0.0
2025-01-15 00:22:15.584747	24.3	16.6	-70.4	0.0
2025-01-15 00:22:16.698141	24.3	16.8	-70.5	0.0
2025-01-15 00:22:17.811923	24.4	16.9	-70.4	0.0
2025-01-15 00:22:18.926698	24.5	17.0	-70.5	0.0
2025-01-15 00:22:20.041629	24.5	17.2	-70.5	0.0
2025-01-15 00:22:21.156738	24.6	17.3	-70.5	0.0
2025-01-15 00:22:22.270292	24.7	17.4	-70.4	0.0
2025-01-15 00:22:23.382779	24.7	17.6	-70.5	0.0
2025-01-15 00:22:24.495542	24.8	17.7	-70.4	0.0
2025-01-15 00:22:25.608460	24.9	17.9	-70.3	0.0
2025-01-15 00:22:26.721533	25.0	18.0	-70.4	0.0
2025-01-15 00:22:27.834332	25.0	18.2	-70.4	0.0
2025-01-15 00:22:28.949288	25.1	18.3	-70.4	0.0
2025-01-15 00:22:30.064741	25.2	18.5	-70.5	0.0
2025-01-15 00:22:31.177534	25.3	18.6	-70.4	0.0
2025-01-15 00:22:32.290643	25.3	18.7	-70.4	0.0
2025-01-15 00:22:33.404113	25.4	18.9	-70.4	0.0
2025-01-15 00:22:34.518521	25.5	19.0	-70.4	0.0
2025-01-15 00:22:35.634391	25.6	19.2	-70.3	0.0
2025-01-15 00:22:36.747073	25.7	19.3	-70.5	0.0
2025-01-15 00:22:37.860756	25.7	19.5	-70.3	0.0
2025-01-15 00:22:38.977379	25.8	19.7	-70.4	0.0
2025-01-15 00:22:40.091725	25.9	19.8	-70.5	0.0
2025-01-15 00:22:41.206623	26.0	20.0	-70.5	0.0
2025-01-15 00:22:42.321547	26.1	20.1	-70.4	0.0
2025-01-15 00:22:43.436548	26.2	20.3	-70.2	0.0
2025-01-15 00:22:44.549255	26.3	20.4	-70.2	0.0
2025-01-15 00:22:45.661922	26.3	20.6	-70.3	0.0
2025-01-15 00:22:46.774953	26.4	20.8	-70.4	0.0
2025-01-15 00:22:47.888223	26.5	20.9	-70.5	0.0
2025-01-15 00:22:49.003409	26.6	21.1	-70.3	0.0
2025-01-15 00:22:50.117238	26.7	21.2	-70.4	0.0
2025-01-15 00:22:51.230120	26.8	21.4	-70.5	0.0
2025-01-15 00:22:52.344909	26.9	21.6	-70.6	0.0
2025-01-15 00:22:53.460121	27.0	21.7	-70.3	0.0
2025-01-15 00:22:54.573641	27.1	21.9	-70.6	0.0
2025-01-15 00:22:55.686751	27.2	22.1	-70.3	0.0
2025-01-15 00:22:56.801779	27.3	22.3	-70.6	0.0
2025-01-15 00:22:57.917179	27.4	22.4	-70.4	0.0
2025-01-15 00:22:59.031498	27.5	22.6	-70.2	0.0
2025-01-15 00:23:00.144990	27.6	22.8	-70.6	0.0
2025-01-15 00:23:01.258208	27.7	23.0	-70.4	0.0
2025-01-15 00:23:02.372480	27.8	23.1	-70.4	0.0
2025-01-15 00:23:03.487398	27.9	23.3	-70.6	0.0
2025-01-15 00:23:04.600366	28.0	23.5	-70.6	0.0
2025-01-15 00:23:05.713357	28.1	23.7	-70.4	0.0
2025-01-15 00:23:06.828012	28.2	23.9	-70.5	0.0
2025-01-15 00:23:07.942230	28.3	24.0	-70.4	0.0
2025-01-15 00:23:09.054935	28.4	24.2	-70.5	0.0
2025-01-15 00:23:10.168917	28.5	24.4	-70.4	0.0
2025-01-15 00:23:11.285511	28.6	24.6	-70.4	0.0
2025-01-15 00:23:12.399828	28.8	24.8	-70.6	0.0
2025-01-15 00:23:13.512927	28.9	25.0	-70.6	0.0
2025-01-15 00:23:14.626423	29.0	25.2	-70.5	0.0
2025-01-15 00:23:15.738616	29.1	25.4	-70.5	0.0
2025-01-15 00:23:16.853753	29.2	25.6	-70.4	0.0
2025-01-15 00:23:17.968705	29.3	25.7	-70.5	0.0
2025-01-15 00:23:19.083736	29.5	25.9	-70.3	0.0
2025-01-15 00:23:20.198298	29.6	26.1	-70.5	0.0
2025-01-15 00:23:21.312182	29.7	26.3	-70.4	0.0
2025-01-15 00:23:22.427608	29.9	26.5	-70.4	0.0
2025-01-15 00:23:23.542361	30.0	26.7	-70.4	0.0
2025-01-15 00:23:24.655157	30.1	27.0	-70.5	0.0
2025-01-15 00:23:25.768062	30.2	27.2	-70.5	0.0
