#Pass ID: 20250117_082931_METOP-C
#Satellite: METOP-C
#Configuration: METOP-C
#Start time: 2025-01-17 08:29:36.423354

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 43689U 18087A   25016.13723724  .00000217  00000+0  11924-3 0  9996
#TLE: 2 43689  98.6963  78.6125 0001472 162.3188 197.8041 14.21481582321377

#Time	Az	El	Level	SNR
2025-01-17 08:29:38.578104	9.3	10.2	-80.7	0.0
2025-01-17 08:29:39.700228	9.2	10.3	-81.0	0.0
2025-01-17 08:29:40.823262	9.2	10.4	-80.8	0.0
2025-01-17 08:29:41.944715	9.1	10.5	-80.9	0.0
2025-01-17 08:29:43.064055	9.1	10.6	-81.1	0.0
2025-01-17 08:29:44.184331	9.0	10.7	-80.8	0.0
2025-01-17 08:29:45.309173	8.9	10.8	-81.2	0.0
2025-01-17 08:29:46.430529	8.9	10.9	-80.9	0.0
2025-01-17 08:29:47.550842	8.8	10.9	-81.0	0.0
2025-01-17 08:29:48.674516	8.8	11.0	-81.4	0.0
2025-01-17 08:29:49.794963	8.7	11.1	-80.9	0.0
2025-01-17 08:29:50.919474	8.6	11.2	-81.4	0.0
2025-01-17 08:29:52.040147	8.6	11.3	-81.1	0.0
2025-01-17 08:29:53.161295	8.5	11.4	-80.9	0.0
2025-01-17 08:29:54.281766	8.5	11.5	-81.4	0.0
2025-01-17 08:29:55.402271	8.4	11.6	-81.2	0.0
2025-01-17 08:29:56.525393	8.3	11.7	-81.2	0.0
2025-01-17 08:29:57.648763	8.3	11.8	-81.5	0.0
2025-01-17 08:29:58.769767	8.2	11.9	-81.0	0.0
2025-01-17 08:29:59.890200	8.2	12.0	-81.2	0.0
2025-01-17 08:30:01.014704	8.1	12.1	-81.4	0.0
2025-01-17 08:30:02.135152	8.0	12.2	-81.4	0.0
2025-01-17 08:30:03.256693	8.0	12.3	-81.5	0.0
2025-01-17 08:30:04.379567	7.9	12.4	-81.5	0.0
2025-01-17 08:30:05.499713	7.8	12.5	-81.5	0.0
2025-01-17 08:30:06.622955	7.8	12.7	-81.8	0.0
2025-01-17 08:30:07.743449	7.7	12.8	-81.4	0.0
2025-01-17 08:30:08.865237	7.6	12.9	-81.4	0.0
2025-01-17 08:30:09.988599	7.6	13.0	-81.1	0.0
2025-01-17 08:30:11.109291	7.5	13.1	-81.4	0.0
2025-01-17 08:30:12.228274	7.4	13.2	-81.3	0.0
2025-01-17 08:30:13.350941	7.4	13.3	-81.2	0.0
2025-01-17 08:30:14.474024	7.3	13.4	-81.7	0.0
2025-01-17 08:30:15.596185	7.2	13.5	-81.4	0.0
2025-01-17 08:30:16.719267	7.2	13.6	-81.5	0.0
2025-01-17 08:30:17.842043	7.1	13.7	-81.5	0.0
2025-01-17 08:30:18.961916	7.0	13.8	-81.3	0.0
2025-01-17 08:30:20.083166	7.0	13.9	-81.6	0.0
