#Pass ID: 20250118_101639_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-18 10:16:44.129919

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 27424U 02022A   25017.35406956  .00002011  00000+0  42265-3 0  9993
#TLE: 2 27424  98.3596 334.0391 0001834 108.8395  52.1965 14.60692761207968

#Time	Az	El	Level	SNR
2025-01-18 10:16:46.765732	126.5	15.3	-66.7	5.2
2025-01-18 10:16:47.881589	126.3	15.4	-66.0	6.6
2025-01-18 10:16:48.995902	126.2	15.5	-65.3	8.3
2025-01-18 10:16:50.110761	126.1	15.6	-64.6	9.0
2025-01-18 10:16:51.226605	126.0	15.8	-63.8	10.1
2025-01-18 10:16:52.342467	125.8	15.9	-63.2	11.4
2025-01-18 10:16:53.457326	125.7	16.0	-62.6	11.8
2025-01-18 10:16:54.572185	125.6	16.1	-61.8	13.1
2025-01-18 10:16:55.687531	125.5	16.3	-61.6	13.5
2025-01-18 10:16:56.802382	125.3	16.4	-61.2	14.3
2025-01-18 10:16:57.917241	125.2	16.5	-61.0	14.2
2025-01-18 10:16:59.032091	125.1	16.6	-61.0	14.3
2025-01-18 10:17:00.147953	124.9	16.8	-60.6	14.7
2025-01-18 10:17:01.262804	124.8	16.9	-61.0	14.3
2025-01-18 10:17:02.378667	124.7	17.0	-61.2	14.2
2025-01-18 10:17:03.493525	124.5	17.1	-60.5	15.0
2025-01-18 10:17:04.608376	124.4	17.3	-60.5	14.8
2025-01-18 10:17:05.724233	124.2	17.4	-60.6	15.0
2025-01-18 10:17:06.839076	124.1	17.5	-60.4	14.8
2025-01-18 10:17:07.956946	124.0	17.6	-60.3	15.0
2025-01-18 10:17:09.071796	123.8	17.8	-60.5	15.0
2025-01-18 10:17:10.187658	123.7	17.9	-60.3	15.3
2025-01-18 10:17:11.302517	123.5	18.0	-60.5	15.1
2025-01-18 10:17:12.418371	123.4	18.2	-60.6	14.5
2025-01-18 10:17:13.534231	123.2	18.3	-60.5	14.6
2025-01-18 10:17:14.649089	123.1	18.4	-61.1	14.1
2025-01-18 10:17:15.763943	122.9	18.6	-60.7	14.7
2025-01-18 10:17:16.878794	122.8	18.7	-60.4	15.0
2025-01-18 10:17:17.993651	122.6	18.8	-60.8	14.3
2025-01-18 10:17:19.108509	122.5	19.0	-61.4	13.4
2025-01-18 10:17:20.223870	122.3	19.1	-61.5	13.4
2025-01-18 10:17:21.339724	122.1	19.2	-61.2	14.1
2025-01-18 10:17:22.456077	122.0	19.4	-60.9	14.2
2025-01-18 10:17:23.571939	121.8	19.5	-61.1	13.8
2025-01-18 10:17:24.686296	121.7	19.7	-61.4	13.8
2025-01-18 10:17:25.801148	121.5	19.8	-61.3	13.8
2025-01-18 10:17:26.917010	121.3	19.9	-61.7	13.7
2025-01-18 10:17:28.031861	121.2	20.1	-61.2	13.7
2025-01-18 10:17:29.147723	121.0	20.2	-61.9	13.3
2025-01-18 10:17:30.263585	120.8	20.4	-62.4	12.6
2025-01-18 10:17:31.378428	120.6	20.5	-61.8	13.6
2025-01-18 10:17:32.494290	120.5	20.6	-61.2	14.4
2025-01-18 10:17:33.610147	120.3	20.8	-61.0	14.5
2025-01-18 10:17:34.726009	120.1	20.9	-60.2	15.3
2025-01-18 10:17:35.840763	119.9	21.1	-60.1	15.6
2025-01-18 10:17:36.956625	119.7	21.2	-60.1	15.6
2025-01-18 10:17:38.071475	119.5	21.4	-60.0	15.2
2025-01-18 10:17:39.186325	119.4	21.5	-59.9	15.7
2025-01-18 10:17:40.302188	119.2	21.7	-59.7	15.7
2025-01-18 10:17:41.417046	119.0	21.8	-59.8	15.3
2025-01-18 10:17:42.531905	118.8	22.0	-60.0	15.5
2025-01-18 10:17:43.646687	118.6	22.1	-60.0	15.5
2025-01-18 10:17:44.761546	118.4	22.3	-60.1	15.3
2025-01-18 10:17:45.877404	118.2	22.4	-60.4	14.9
2025-01-18 10:17:46.992254	118.0	22.6	-60.5	15.2
2025-01-18 10:17:48.107113	117.8	22.7	-60.6	14.7
2025-01-18 10:17:49.222970	117.6	22.9	-60.6	14.7
2025-01-18 10:17:50.338832	117.4	23.0	-60.4	15.0
2025-01-18 10:17:51.453691	117.2	23.2	-60.7	14.7
2025-01-18 10:17:52.568542	117.0	23.3	-60.8	14.8
2025-01-18 10:17:53.683401	116.8	23.5	-60.7	14.6
2025-01-18 10:17:54.798359	116.5	23.6	-60.8	14.5
2025-01-18 10:17:55.913213	116.3	23.8	-61.1	14.2
