#Pass ID: 20250118_131712_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2025-01-18 13:17:17.570661

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 59051U 24039A   25017.13836119  .00000085  00000+0  57680-4 0  9997
#TLE: 2 59051  98.6297 340.1037 0006274 217.8587 142.2151 14.22325694 45900

#Time	Az	El	Level	SNR
2025-01-18 13:17:19.724761	235.0	10.1	-94.4	0.0
2025-01-18 13:17:20.846799	235.2	10.2	-94.1	0.0
2025-01-18 13:17:21.968874	235.3	10.2	-94.8	0.0
2025-01-18 13:17:23.089101	235.5	10.3	-94.5	0.0
2025-01-18 13:17:24.210613	235.7	10.4	-94.7	0.0
2025-01-18 13:17:25.333583	235.8	10.4	-94.6	0.0
2025-01-18 13:17:26.455548	236.0	10.5	-94.5	0.0
2025-01-18 13:17:27.578405	236.2	10.5	-94.5	0.0
2025-01-18 13:17:28.699454	236.3	10.6	-94.4	0.0
2025-01-18 13:17:29.820969	236.5	10.6	-94.5	0.0
2025-01-18 13:17:30.943885	236.7	10.7	-94.7	0.0
2025-01-18 13:17:32.065659	236.8	10.8	-94.6	0.0
2025-01-18 13:17:33.187345	237.0	10.8	-94.7	0.0
2025-01-18 13:17:34.308503	237.2	10.9	-94.6	0.0
2025-01-18 13:17:35.430556	237.4	10.9	-94.6	0.0
2025-01-18 13:17:36.553324	237.5	11.0	-94.5	0.0
2025-01-18 13:17:37.676654	237.7	11.1	-94.6	0.0
2025-01-18 13:17:38.799812	237.9	11.1	-94.9	0.0
2025-01-18 13:17:39.922673	238.0	11.2	-94.6	0.0
2025-01-18 13:17:41.043464	238.2	11.2	-94.7	0.0
2025-01-18 13:17:42.164627	238.4	11.3	-94.9	0.0
2025-01-18 13:17:43.283484	238.6	11.3	-94.7	0.0
2025-01-18 13:17:44.405939	238.7	11.4	-94.7	0.0
2025-01-18 13:17:45.527609	238.9	11.5	-94.6	0.0
2025-01-18 13:17:46.648601	239.1	11.5	-94.3	0.0
2025-01-18 13:17:47.768613	239.3	11.6	-94.7	0.0
2025-01-18 13:17:48.892474	239.5	11.6	-94.5	0.0
2025-01-18 13:17:50.013332	239.6	11.7	-94.5	0.0
2025-01-18 13:17:51.133555	239.8	11.7	-94.4	0.0
2025-01-18 13:17:52.253433	240.0	11.8	-94.5	0.0
2025-01-18 13:17:53.375077	240.2	11.9	-94.5	0.0
2025-01-18 13:17:54.497221	240.4	11.9	-94.2	0.0
2025-01-18 13:17:55.618464	240.6	12.0	-94.2	0.0
