#Pass ID: 20250120_113933_METEOR-M2 2
#Satellite: METEOR-M2 2
#Configuration: METEOR-M2 2
#Start time: 2025-01-20 11:39:38.416212

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 44387U 19038A   25019.21327867  .00000321  00000+0  15932-3 0  9998
#TLE: 2 44387  98.8573 355.6430 0002257  72.4885 287.6540 14.24119873288138

#Time	Az	El	Level	SNR
2025-01-20 11:39:40.582016	137.4	10.2	-76.5	0.0
2025-01-20 11:39:41.705449	137.4	10.3	-74.8	0.0
2025-01-20 11:39:42.825630	137.3	10.4	-74.5	0.0
2025-01-20 11:39:43.949266	137.3	10.5	-76.5	0.0
2025-01-20 11:39:45.073702	137.2	10.6	-76.2	0.0
2025-01-20 11:39:46.197979	137.2	10.7	-75.2	0.0
2025-01-20 11:39:47.321026	137.1	10.8	-75.8	0.0
2025-01-20 11:39:48.444138	137.1	10.9	-74.5	0.0
2025-01-20 11:39:49.566714	137.0	11.0	-75.7	0.0
2025-01-20 11:39:50.690286	136.9	11.1	-75.5	0.0
2025-01-20 11:39:51.812654	136.9	11.2	-75.9	0.0
2025-01-20 11:39:52.936663	136.8	11.3	-74.6	0.0
2025-01-20 11:39:54.059094	136.8	11.4	-72.4	0.0
2025-01-20 11:39:55.181612	136.7	11.5	-74.5	0.0
2025-01-20 11:39:56.305205	136.6	11.6	-76.0	0.0
2025-01-20 11:39:57.428870	136.6	11.7	-75.8	0.0
2025-01-20 11:39:58.551049	136.5	11.8	-75.9	0.0
2025-01-20 11:39:59.672900	136.5	11.9	-75.8	0.0
2025-01-20 11:40:00.795558	136.4	12.0	-75.8	0.0
2025-01-20 11:40:01.918224	136.3	12.1	-75.4	0.0
2025-01-20 11:40:03.041285	136.3	12.2	-75.8	0.0
2025-01-20 11:40:04.165465	136.2	12.3	-75.8	0.0
2025-01-20 11:40:05.288037	136.2	12.4	-75.2	0.0
2025-01-20 11:40:06.410954	136.1	12.5	-75.3	0.0
2025-01-20 11:40:07.534830	136.0	12.6	-75.9	0.0
2025-01-20 11:40:08.658635	136.0	12.7	-76.8	0.0
2025-01-20 11:40:09.780228	135.9	12.8	-75.7	0.0
2025-01-20 11:40:10.903005	135.8	12.9	-76.3	0.0
2025-01-20 11:40:12.027217	135.8	13.0	-75.5	0.0
2025-01-20 11:40:13.150678	135.7	13.1	-76.9	0.0
2025-01-20 11:40:14.274275	135.6	13.2	-76.7	0.0
2025-01-20 11:40:15.395706	135.6	13.3	-75.4	0.0
2025-01-20 11:40:16.519111	135.5	13.5	-75.6	0.0
2025-01-20 11:40:17.639650	135.4	13.6	-76.2	0.0
2025-01-20 11:40:18.761896	135.4	13.7	-76.8	0.0
2025-01-20 11:40:19.884923	135.3	13.8	-77.1	0.0
2025-01-20 11:40:21.009838	135.2	13.9	-77.8	0.0
2025-01-20 11:40:22.135390	135.1	14.0	-77.1	0.0
2025-01-20 11:40:23.258605	135.1	14.1	-77.8	0.0
2025-01-20 11:40:24.379315	135.0	14.2	-77.1	0.0
2025-01-20 11:40:25.502370	134.9	14.3	-77.4	0.0
2025-01-20 11:40:26.625845	134.9	14.5	-76.9	0.0
2025-01-20 11:40:27.748652	134.8	14.6	-77.6	0.0
2025-01-20 11:40:28.871706	134.7	14.7	-78.1	0.0
2025-01-20 11:40:29.993292	134.6	14.8	-78.5	0.0
2025-01-20 11:40:31.117213	134.6	14.9	-77.3	0.0
2025-01-20 11:40:32.240100	134.5	15.0	-77.5	0.0
