#Pass ID: 20250120_162229_METOP-B
#Satellite: METOP-B
#Configuration: METOP-B
#Start time: 2025-01-20 16:22:34.113742

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 38771U 12049A   25020.18055289  .00000337  00000+0  17386-3 0  9999
#TLE: 2 38771  98.6003  78.2050 0001673  75.6158 284.5205 14.21413992640377

#Time	Az	El	Level	SNR
2025-01-20 16:22:36.274419	110.3	10.2	-72.4	0.0
2025-01-20 16:22:37.398397	110.2	10.2	-71.9	0.0
2025-01-20 16:22:38.522663	110.0	10.3	-70.4	0.0
2025-01-20 16:22:39.644069	109.9	10.4	-71.5	0.0
2025-01-20 16:22:40.765167	109.8	10.5	-70.8	0.0
2025-01-20 16:22:41.889479	109.7	10.6	-69.0	0.0
2025-01-20 16:22:43.011993	109.6	10.7	-71.3	0.0
2025-01-20 16:22:44.134900	109.4	10.7	-71.0	0.0
2025-01-20 16:22:45.258102	109.3	10.8	-72.7	0.0
2025-01-20 16:22:46.380257	109.2	10.9	-70.7	0.0
2025-01-20 16:22:47.502737	109.1	11.0	-70.7	0.0
2025-01-20 16:22:48.624942	109.0	11.1	-70.8	0.0
2025-01-20 16:22:49.749080	108.8	11.2	-72.2	0.0
2025-01-20 16:22:50.873005	108.7	11.2	-73.2	0.0
2025-01-20 16:22:51.995377	108.6	11.3	-72.1	0.0
2025-01-20 16:22:53.119107	108.5	11.4	-70.7	0.0
2025-01-20 16:22:54.242741	108.4	11.5	-72.9	0.0
2025-01-20 16:22:55.366009	108.2	11.6	-73.1	0.0
2025-01-20 16:22:56.488332	108.1	11.7	-71.5	0.0
2025-01-20 16:22:57.611377	108.0	11.7	-74.5	0.0
2025-01-20 16:22:58.733917	107.8	11.8	-74.3	0.0
2025-01-20 16:22:59.856933	107.7	11.9	-72.7	0.0
2025-01-20 16:23:00.979780	107.6	12.0	-74.5	0.0
2025-01-20 16:23:02.104397	107.5	12.1	-73.8	0.0
2025-01-20 16:23:03.229261	107.3	12.2	-71.8	0.0
2025-01-20 16:23:04.352045	107.2	12.3	-75.2	0.0
2025-01-20 16:23:05.476098	107.1	12.3	-73.7	0.0
2025-01-20 16:23:06.600119	106.9	12.4	-73.6	0.0
2025-01-20 16:23:07.721542	106.8	12.5	-74.3	0.0
2025-01-20 16:23:08.844191	106.7	12.6	-73.9	0.0
2025-01-20 16:23:09.966452	106.5	12.7	-71.9	0.0
2025-01-20 16:23:11.087619	106.4	12.8	-73.0	0.0
2025-01-20 16:23:12.212603	106.2	12.9	-74.6	0.0
2025-01-20 16:23:13.334694	106.1	13.0	-74.1	0.0
2025-01-20 16:23:14.459528	106.0	13.0	-73.4	0.0
2025-01-20 16:23:15.582645	105.8	13.1	-73.5	0.0
2025-01-20 16:23:16.706518	105.7	13.2	-72.7	0.0
2025-01-20 16:23:17.829184	105.5	13.3	-73.1	0.0
2025-01-20 16:23:18.954281	105.4	13.4	-74.1	0.0
2025-01-20 16:23:20.078136	105.3	13.5	-73.8	0.0
2025-01-20 16:23:21.201926	105.1	13.6	-74.7	0.0
2025-01-20 16:23:22.326351	105.0	13.7	-74.4	0.0
2025-01-20 16:23:23.451987	104.8	13.7	-73.4	0.0
2025-01-20 16:23:24.575423	104.7	13.8	-74.1	0.0
2025-01-20 16:23:25.699989	104.5	13.9	-72.2	0.0
2025-01-20 16:23:26.824385	104.4	14.0	-73.9	0.0
2025-01-20 16:23:27.948728	104.2	14.1	-74.1	0.0
2025-01-20 16:23:29.071327	104.1	14.2	-74.7	0.0
2025-01-20 16:23:30.193761	103.9	14.3	-73.3	0.0
2025-01-20 16:23:31.319942	103.8	14.4	-75.0	0.0
2025-01-20 16:23:32.444137	103.6	14.5	-72.7	0.0
2025-01-20 16:23:33.567717	103.5	14.5	-71.1	0.0
2025-01-20 16:23:34.690968	103.3	14.6	-71.7	0.0
2025-01-20 16:23:35.813891	103.2	14.7	-74.2	0.0
2025-01-20 16:23:36.935824	103.0	14.8	-72.8	0.0
2025-01-20 16:23:38.059338	102.8	14.9	-71.4	0.0
2025-01-20 16:23:39.181615	102.7	15.0	-70.6	0.0
