#Pass ID: 20250121_093838_METEOR-M2 2
#Satellite: METEOR-M2 2
#Configuration: METEOR-M2 2
#Start time: 2025-01-21 09:38:43.477595

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 44387U 19038A   25020.54818711  .00000323  00000+0  16021-3 0  9991
#TLE: 2 44387  98.8575 356.9878 0002229  70.5206 289.6213 14.24120939288320

#Time	Az	El	Level	SNR
2025-01-21 09:38:49.674052	164.2	31.2	-70.3	0.0
2025-01-21 09:38:50.820129	164.2	31.5	-69.1	0.0
2025-01-21 09:38:51.961218	164.3	31.7	-70.5	0.0
2025-01-21 09:38:53.104810	164.3	31.9	-70.7	0.0
2025-01-21 09:38:54.246407	164.4	32.2	-71.0	0.0
2025-01-21 09:38:55.390488	164.4	32.4	-71.2	0.0
2025-01-21 09:38:56.533082	164.4	32.6	-70.6	0.0
2025-01-21 09:38:57.675169	164.5	32.9	-70.9	0.0
2025-01-21 09:38:58.816258	164.5	33.1	-71.0	0.0
2025-01-21 09:38:59.956350	164.6	33.4	-70.7	0.0
2025-01-21 09:39:01.099435	164.6	33.6	-70.6	0.0
2025-01-21 09:39:02.240524	164.7	33.9	-70.9	0.0
2025-01-21 09:39:03.382611	164.7	34.1	-70.8	0.0
2025-01-21 09:39:04.529195	164.8	34.4	-70.9	0.0
2025-01-21 09:39:05.669287	164.8	34.7	-71.1	0.0
2025-01-21 09:39:06.812371	164.8	34.9	-70.4	0.0
2025-01-21 09:39:07.950978	164.9	35.2	-70.7	0.0
2025-01-21 09:39:09.094062	164.9	35.4	-70.7	0.0
2025-01-21 09:39:10.235670	165.0	35.7	-70.8	0.0
2025-01-21 09:39:11.380262	165.0	36.0	-70.5	0.0
2025-01-21 09:39:12.524344	165.1	36.2	-70.2	0.0
2025-01-21 09:39:13.667429	165.1	36.5	-71.3	0.0
2025-01-21 09:39:14.809025	165.2	36.8	-70.7	0.0
2025-01-21 09:39:15.949117	165.3	37.1	-71.1	0.0
2025-01-21 09:39:17.091204	165.3	37.4	-71.1	0.0
2025-01-21 09:39:18.235286	165.4	37.6	-70.9	0.0
2025-01-21 09:39:19.376375	165.4	37.9	-71.1	0.0
2025-01-21 09:39:20.518464	165.5	38.2	-70.8	0.0
2025-01-21 09:39:21.660549	165.5	38.5	-70.0	0.0
2025-01-21 09:39:22.801639	165.6	38.8	-70.0	0.0
2025-01-21 09:39:23.944723	165.7	39.1	-70.1	0.0
2025-01-21 09:39:25.087316	165.7	39.4	-70.3	0.0
2025-01-21 09:39:26.229404	165.8	39.7	-70.3	0.0
2025-01-21 09:39:27.370493	165.8	40.0	-71.0	0.0
2025-01-21 09:39:28.511582	165.9	40.3	-70.3	0.0
2025-01-21 09:39:29.654667	166.0	40.6	-70.2	0.0
2025-01-21 09:39:30.795756	166.0	40.9	-69.9	0.0
2025-01-21 09:39:31.937843	166.1	41.2	-70.1	0.0
2025-01-21 09:39:33.079931	166.2	41.5	-69.9	0.0
2025-01-21 09:39:34.221020	166.2	41.9	-70.3	0.0
2025-01-21 09:39:35.364613	166.3	42.2	-70.1	0.0
2025-01-21 09:39:36.507695	166.4	42.5	-70.6	0.0
2025-01-21 09:39:37.649782	166.5	42.8	-70.1	0.0
2025-01-21 09:39:38.791869	166.5	43.2	-70.6	0.0
2025-01-21 09:39:39.938459	166.6	43.5	-70.5	0.0
2025-01-21 09:39:41.081543	166.7	43.8	-70.3	0.0
2025-01-21 09:39:42.223631	166.8	44.2	-70.0	0.0
2025-01-21 09:39:43.364720	166.8	44.5	-70.6	0.0
2025-01-21 09:39:44.508804	166.9	44.8	-70.1	0.0
2025-01-21 09:39:45.650889	167.0	45.2	-70.5	0.0
2025-01-21 09:39:46.792976	167.1	45.5	-69.8	0.0
2025-01-21 09:39:47.934066	167.2	45.9	-70.1	0.0
2025-01-21 09:39:49.076152	167.3	46.3	-69.4	0.0
2025-01-21 09:39:50.220740	167.4	46.6	-70.7	0.0
2025-01-21 09:39:51.361831	167.5	47.0	-70.6	0.0
2025-01-21 09:39:52.506909	167.6	47.3	-70.4	0.0
2025-01-21 09:39:53.647001	167.7	47.7	-70.2	0.0
2025-01-21 09:39:54.789088	167.8	48.1	-70.2	0.0
2025-01-21 09:39:55.930178	167.9	48.5	-69.8	0.0
2025-01-21 09:39:57.070778	168.0	48.8	-69.9	0.0
2025-01-21 09:39:58.212864	168.1	49.2	-69.8	0.0
2025-01-21 09:39:59.355948	168.2	49.6	-70.4	0.0
2025-01-21 09:40:00.496548	168.3	50.0	-69.6	0.0
2025-01-21 09:40:01.639632	168.4	50.4	-69.5	0.0
2025-01-21 09:40:02.779724	168.5	50.8	-71.0	0.0
2025-01-21 09:40:03.921811	168.7	51.2	-70.1	0.0
2025-01-21 09:40:05.062901	168.8	51.6	-69.3	0.0
2025-01-21 09:40:06.204988	168.9	52.0	-69.5	0.0
2025-01-21 09:40:07.345592	169.1	52.4	-69.1	0.0
2025-01-21 09:40:08.487679	169.2	52.8	-68.6	0.0
2025-01-21 09:40:09.629766	169.3	53.2	-69.1	0.0
2025-01-21 09:40:10.771853	169.5	53.6	-68.7	0.0
2025-01-21 09:40:11.914937	169.6	54.0	-68.7	0.0
2025-01-21 09:40:13.056027	169.8	54.5	-69.0	0.0
2025-01-21 09:40:14.197117	169.9	54.9	-67.9	0.0
2025-01-21 09:40:15.336226	170.1	55.3	-68.7	0.0
2025-01-21 09:40:16.478313	170.3	55.7	-68.5	0.0
2025-01-21 09:40:17.619403	170.4	56.2	-67.1	0.0
2025-01-21 09:40:18.760492	170.6	56.6	-68.8	0.0
2025-01-21 09:40:19.904576	170.8	57.1	-70.8	0.0
2025-01-21 09:40:21.045175	171.0	57.5	-70.6	0.0
2025-01-21 09:40:22.189258	171.2	58.0	-68.4	0.0
2025-01-21 09:40:23.332342	171.4	58.4	-68.1	0.0
2025-01-21 09:40:24.473431	171.6	58.9	-70.1	0.0
2025-01-21 09:40:25.616056	171.8	59.3	-69.6	0.0
2025-01-21 09:40:26.757146	172.0	59.8	-69.8	0.0
2025-01-21 09:40:27.901228	172.3	60.3	-69.1	0.0
2025-01-21 09:40:29.042318	172.5	60.7	-66.8	0.0
2025-01-21 09:40:30.183406	172.8	61.2	-66.8	0.0
2025-01-21 09:40:31.328486	173.0	61.7	-66.0	0.0
2025-01-21 09:40:32.470572	173.3	62.1	-66.0	0.0
2025-01-21 09:40:33.612660	173.6	62.6	-65.6	0.0
2025-01-21 09:40:34.753749	173.8	63.1	-65.7	0.0
2025-01-21 09:40:35.895837	174.1	63.6	-66.2	0.0
2025-01-21 09:40:37.037923	174.5	64.1	-65.4	0.0
2025-01-21 09:40:38.182025	174.8	64.6	-66.1	0.0
2025-01-21 09:40:39.325089	175.1	65.1	-65.3	0.0
2025-01-21 09:40:40.467176	175.5	65.6	-66.4	0.0
2025-01-21 09:40:41.609263	175.9	66.1	-66.2	0.0
2025-01-21 09:40:42.749862	176.2	66.6	-65.9	0.0
2025-01-21 09:40:43.891949	176.7	67.1	-66.0	0.0
2025-01-21 09:40:45.033039	177.1	67.6	-65.9	0.0
2025-01-21 09:40:46.174143	177.5	68.1	-66.1	0.0
2025-01-21 09:40:47.316229	178.0	68.6	-66.2	0.0
2025-01-21 09:40:48.458317	178.5	69.1	-65.9	0.0
2025-01-21 09:40:49.603396	179.0	69.6	-66.3	0.0
2025-01-21 09:40:50.745483	179.6	70.1	-65.4	0.0
2025-01-21 09:40:51.888567	180.2	70.6	-66.8	0.0
2025-01-21 09:40:53.034153	180.8	71.1	-66.1	0.0
2025-01-21 09:40:54.177238	181.4	71.6	-67.2	0.0
2025-01-21 09:40:55.318327	182.1	72.1	-66.3	0.0
2025-01-21 09:40:56.458928	182.9	72.7	-66.8	0.0
2025-01-21 09:40:57.602012	183.6	73.2	-66.9	0.0
2025-01-21 09:40:58.743101	184.5	73.7	-67.5	0.0
2025-01-21 09:40:59.886186	185.4	74.2	-66.7	0.0
2025-01-21 09:41:01.031266	186.3	74.7	-65.8	0.0
2025-01-21 09:41:02.172355	187.3	75.2	-67.3	0.0
2025-01-21 09:41:03.314442	188.4	75.7	-67.9	0.0
2025-01-21 09:41:04.456529	189.6	76.2	-66.8	0.0
2025-01-21 09:41:05.598616	190.9	76.7	-65.3	0.0
2025-01-21 09:41:06.742207	192.2	77.2	-64.9	0.0
2025-01-21 09:41:07.885312	193.7	77.7	-64.1	0.0
2025-01-21 09:41:09.027399	195.3	78.2	-63.3	0.0
2025-01-21 09:41:10.169001	197.1	78.6	-63.1	0.0
2025-01-21 09:41:11.310090	198.9	79.1	-63.5	0.0
2025-01-21 09:41:12.452177	201.0	79.5	-64.1	0.0
2025-01-21 09:41:13.593773	203.2	80.0	-62.3	0.0
2025-01-21 09:41:14.735860	205.7	80.4	-64.2	0.0
2025-01-21 09:41:15.877948	208.3	80.8	-63.4	0.0
2025-01-21 09:41:17.021032	211.2	81.2	-64.3	0.0
2025-01-21 09:41:18.164116	214.4	81.5	-62.6	0.0
2025-01-21 09:41:19.306204	217.8	81.9	-64.1	0.0
2025-01-21 09:41:20.448290	221.5	82.1	-60.5	0.0
2025-01-21 09:41:21.590377	225.4	82.4	-61.7	0.0
2025-01-21 09:41:22.732464	229.7	82.6	-63.3	0.0
2025-01-21 09:41:23.874551	234.2	82.8	-61.4	0.0
2025-01-21 09:41:25.014152	238.8	83.0	-60.5	0.0
2025-01-21 09:41:26.156239	243.7	83.1	-62.3	0.0
2025-01-21 09:41:27.298326	248.6	83.1	-61.7	0.0
2025-01-21 09:41:28.439922	253.6	83.1	-63.9	0.0
2025-01-21 09:41:29.581011	258.5	83.0	-63.1	0.0
2025-01-21 09:41:30.723098	263.3	82.9	-62.0	0.0
2025-01-21 09:41:31.865700	267.9	82.8	-63.1	0.0
2025-01-21 09:41:33.006804	272.3	82.5	-63.6	0.0
2025-01-21 09:41:34.150886	276.4	82.3	-63.8	0.0
2025-01-21 09:41:35.292972	280.3	82.0	-60.7	0.0
2025-01-21 09:41:36.435060	283.8	81.7	-60.4	0.0
2025-01-21 09:41:37.576655	287.1	81.4	-61.1	0.0
2025-01-21 09:41:38.719252	290.2	81.0	-63.0	0.0
2025-01-21 09:41:39.861339	293.0	80.6	-61.4	0.0
2025-01-21 09:41:41.005421	295.5	80.2	-60.7	0.0
2025-01-21 09:41:42.148505	297.9	79.8	-62.7	0.0
2025-01-21 09:41:43.289595	300.0	79.3	-62.6	0.0
2025-01-21 09:41:44.432679	302.0	78.9	-64.1	0.0
2025-01-21 09:41:45.580751	303.8	78.4	-63.1	0.0
2025-01-21 09:41:46.723836	305.5	78.0	-61.6	0.0
2025-01-21 09:41:47.866920	307.0	77.5	-60.5	0.0
2025-01-21 09:41:49.008027	308.5	77.0	-62.1	0.0
2025-01-21 09:41:50.152109	309.8	76.5	-62.6	0.0
2025-01-21 09:41:51.295193	311.0	76.0	-61.2	0.0
2025-01-21 09:41:52.438278	312.2	75.5	-61.6	0.0
2025-01-21 09:41:53.580364	313.2	75.0	-62.3	0.0
2025-01-21 09:41:54.722958	314.2	74.5	-62.3	0.0
2025-01-21 09:41:55.870033	315.1	74.0	-61.9	0.0
2025-01-21 09:41:57.013117	316.0	73.5	-61.5	0.0
2025-01-21 09:41:58.154207	316.8	73.0	-60.9	0.0
2025-01-21 09:41:59.299286	317.6	72.4	-60.5	0.0
2025-01-21 09:42:00.442370	318.3	71.9	-64.6	0.0
2025-01-21 09:42:01.583460	319.0	71.4	-61.2	0.0
2025-01-21 09:42:02.726054	319.6	70.9	-61.9	0.0
