#Pass ID: 20250122_154548_TERRA
#Satellite: TERRA
#Configuration: TERRA
#Start time: 2025-01-22 15:45:40

#Time	Level	Level2	SNR	BER	Gain	Gain2
15:45:40.45	-36.4	-40.4	-1.0	15649681	90	2778
15:45:40.57	-36.0	-52.3	0.8	0	68	11491
15:45:40.68	-36.2	-46.4	0.8	0	81	5653
15:45:40.79	-36.2	-41.9	0.7	15450889	90	3388
15:45:40.90	-36.2	-41.1	0.0	15450889	90	3086
15:45:41.01	-36.2	-40.4	-0.6	15450889	90	2847
15:45:41.12	-36.2	-40.1	-0.9	15450889	90	2753
15:45:41.23	-36.2	-40.2	-0.9	15450889	90	2773
15:45:41.34	-36.2	-40.1	-0.8	15551132	90	2745
15:45:41.45	-36.5	-41.9	0.7	15551132	91	3276
15:45:41.56	-36.5	-41.9	0.8	15551132	91	3280
15:45:41.68	-36.5	-41.9	0.8	15551132	91	3283
15:45:41.79	-36.2	-41.2	0.2	15436447	90	3128
15:45:41.90	-36.2	-40.5	-0.4	15436447	90	2878
15:45:42.01	-36.2	-40.1	-0.8	15436447	90	2734
15:45:42.12	-36.2	-40.0	-0.9	15436447	90	2716
15:45:42.23	-36.2	-40.1	-0.9	15436447	90	2729
15:45:42.35	-36.5	-41.9	0.8	15607841	91	3290
15:45:42.46	-36.5	-41.9	0.8	15607841	91	3278
15:45:42.57	-36.5	-41.9	0.7	15607841	91	3294
15:45:42.68	-36.1	-41.4	0.5	15607841	90	3248
15:45:42.79	-36.1	-40.3	-0.5	15396774	90	2833
15:45:42.91	-36.1	-39.9	-0.8	15396774	90	2717
15:45:43.02	-36.1	-39.9	-0.9	15396774	90	2725
15:45:43.13	-36.1	-39.9	-0.9	15396774	90	2707
15:45:43.24	-36.5	-42.0	0.8	15586158	91	3315
15:45:43.35	-36.5	-41.9	0.8	15586158	91	3302
15:45:43.46	-36.5	-41.9	0.7	15586158	91	3296
15:45:43.58	-36.5	-41.6	0.3	15586158	91	3145
15:45:43.69	-36.5	-40.4	-0.6	15586158	91	2760
15:45:43.80	-36.5	-40.2	-0.8	15481918	91	2680
15:45:43.91	-36.5	-40.1	-0.9	15481918	91	2670
15:45:44.02	-36.5	-40.1	-0.9	15481918	91	2673
15:45:44.14	-36.5	-41.9	0.7	15481918	91	3290
15:45:44.25	-36.5	-41.9	0.8	15582847	91	3281
15:45:44.36	-36.5	-41.9	0.8	15582847	91	3287
15:45:44.47	-36.5	-41.3	0.2	15582847	91	3083
15:45:44.58	-36.5	-40.6	-0.4	15582847	91	2828
15:45:44.69	-36.5	-40.1	-0.9	15582847	91	2674
15:45:44.80	-36.5	-40.1	-0.9	15531303	91	2667
15:45:44.91	-36.4	-40.1	-0.9	15531303	91	2674
15:45:45.02	-36.5	-41.9	0.7	15531303	91	3277
15:45:45.13	-36.5	-41.9	0.8	15531303	91	3297
15:45:45.24	-36.1	-41.7	0.8	15479263	90	3337
15:45:45.36	-36.1	-40.9	0.0	15479263	90	3049
15:45:45.47	-36.1	-40.2	-0.6	15479263	90	2826
15:45:45.58	-36.1	-39.8	-0.9	15479263	90	2712
15:45:45.69	-36.1	-39.9	-0.9	15479263	90	2713
15:45:45.80	-36.1	-39.9	-0.9	15591262	90	2711
15:45:45.91	-36.5	-41.9	0.7	15591262	91	3279
15:45:46.03	-36.5	-41.9	0.8	15591262	91	3292
15:45:46.14	-73.4	-99.6	0.5	15591262	91	35741
15:45:46.25	-36.1	-41.0	0.2	15415435	90	3102
15:45:46.36	-36.1	-40.3	-0.5	15415435	90	2843
15:45:46.47	-36.1	-39.9	-0.9	15415435	90	2728
15:45:46.59	-36.1	-39.9	-0.9	15415435	90	2735
15:45:46.70	-36.1	-40.0	-0.9	15415435	90	2744
15:45:46.81	-36.5	-41.9	0.7	15618850	91	3290
15:45:46.92	-36.5	-41.9	0.8	15618850	91	3276
15:45:47.03	-36.5	-41.9	0.8	15618850	91	3290
15:45:47.14	-36.2	-41.2	0.2	15618850	90	3126
15:45:47.25	-36.2	-40.4	-0.5	15401359	90	2856
15:45:47.37	-36.2	-40.1	-0.8	15401359	90	2757
15:45:47.48	-36.2	-40.2	-0.9	15401359	90	2759
15:45:47.59	-36.2	-40.2	-0.8	15401359	90	2766
15:45:47.70	-36.5	-41.9	0.8	15401359	91	3272
15:45:47.81	-36.5	-41.8	0.8	15581092	91	3256
15:45:47.92	-36.5	-41.9	0.7	15581092	91	3270
15:45:48.04	-36.2	-41.3	0.1	15581092	90	3160
15:45:48.15	-36.2	-40.5	-0.4	15581092	90	2879
15:45:48.26	-36.2	-40.1	-0.9	15456962	90	2736
15:45:48.37	-36.3	-40.2	-0.9	15456962	90	2758
15:45:48.48	-36.2	-40.1	-0.8	15456962	90	2745
15:45:48.59	-36.5	-41.8	0.8	15456962	91	3264
15:45:48.70	-36.5	-41.9	0.7	15456962	91	3290
15:45:48.81	-36.4	-41.9	0.7	15531127	91	3301
15:45:48.92	-36.5	-41.5	0.4	15531127	91	3141
15:45:49.04	-36.5	-40.8	-0.3	15531127	91	2865
15:45:49.15	-36.5	-40.1	-0.9	15531127	91	2667
