#Pass ID: 20250122_083733_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2025-01-22 08:37:38.576303

#LorettStation: 1.0.0 05.05.2024
#Station: planumMobile0
#Location: 49.207755 lon 55.927282 lat
#TLE: 1 59051U 24039A   24102.15929521  .00000064  00000+0  48214-4 0  9993
#TLE: 2 59051  98.5917  65.7261 0006423 328.2053  31.8736 14.22209404  5962

#Time	Az	El	Level	SNR
2025-01-22 08:41:55.807116	35.1	17.2	-93.9	0.0
2025-01-22 08:41:56.811923	34.9	17.2	-94.0	0.0
2025-01-22 08:41:57.816477	34.7	17.1	-93.4	0.0
2025-01-22 08:41:58.821197	34.5	17.1	-94.0	0.0
2025-01-22 08:41:59.825883	34.2	17.1	-94.2	0.0
2025-01-22 08:42:00.831124	34.0	17.1	-93.8	0.0
2025-01-22 08:42:01.835869	33.8	17.0	-93.9	0.0
2025-01-22 08:42:02.840446	33.6	17.0	-94.1	0.0
2025-01-22 08:42:03.845993	33.4	17.0	-93.6	0.0
2025-01-22 08:42:04.851720	33.1	17.0	-94.1	0.0
2025-01-22 08:42:05.856692	32.9	16.9	-94.3	0.0
2025-01-22 08:42:06.861964	32.7	16.9	-93.7	0.0
2025-01-22 08:42:07.867149	32.5	16.9	-94.0	0.0
2025-01-22 08:42:08.872969	32.2	16.8	-94.1	0.0
2025-01-22 08:42:09.878070	32.0	16.8	-93.7	0.0
2025-01-22 08:42:10.883237	31.8	16.8	-93.8	0.0
2025-01-22 08:42:11.887739	31.6	16.8	-94.2	0.0
2025-01-22 08:42:12.891837	31.4	16.7	-93.7	0.0
2025-01-22 08:42:13.896191	31.1	16.7	-94.0	0.0
2025-01-22 08:42:14.900321	30.9	16.7	-94.4	0.0
2025-01-22 08:42:15.905291	30.7	16.6	-93.7	0.0
2025-01-22 08:42:16.910236	30.5	16.6	-93.9	0.0
2025-01-22 08:42:17.915139	30.3	16.6	-94.4	0.0
2025-01-22 08:42:18.920421	30.1	16.5	-93.9	0.0
2025-01-22 08:42:19.926101	29.8	16.5	-94.1	0.0
2025-01-22 08:42:20.930865	29.6	16.5	-94.5	0.0
2025-01-22 08:42:21.935963	29.4	16.4	-93.7	0.0
