#Pass ID: 20250123_004240_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-23 00:42:45.452104

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 27424U 02022A   25022.48183939  .00002857  00000+0  59590-3 0  9993
#TLE: 2 27424  98.3595 339.2141 0001994 103.5617   6.1482 14.60721957208675

#Time	Az	El	Level	SNR
2025-01-23 00:42:47.590586	16.8	15.2	-71.1	0.0
2025-01-23 00:42:48.705561	16.9	15.4	-71.2	0.0
2025-01-23 00:42:49.820954	16.9	15.5	-71.1	0.0
2025-01-23 00:42:50.938043	16.9	15.6	-71.2	0.0
2025-01-23 00:42:52.052875	16.9	15.8	-71.0	0.0
2025-01-23 00:42:53.167737	16.9	15.9	-71.2	0.0
2025-01-23 00:42:54.282689	16.9	16.1	-71.2	0.0
2025-01-23 00:42:55.397356	16.9	16.2	-71.1	0.0
2025-01-23 00:42:56.513629	16.9	16.3	-71.1	0.0
2025-01-23 00:42:57.630171	16.9	16.5	-71.1	0.0
2025-01-23 00:42:58.745410	16.9	16.6	-71.1	0.0
2025-01-23 00:42:59.861291	17.0	16.7	-71.1	0.0
2025-01-23 00:43:00.977397	17.0	16.9	-71.2	0.0
2025-01-23 00:43:02.093174	17.0	17.0	-71.2	0.0
2025-01-23 00:43:03.211066	17.0	17.2	-71.5	0.0
2025-01-23 00:43:04.325968	17.0	17.3	-71.2	0.0
2025-01-23 00:43:05.440835	17.0	17.5	-71.3	0.0
2025-01-23 00:43:06.555978	17.0	17.6	-71.3	0.0
2025-01-23 00:43:07.671610	17.0	17.7	-71.2	0.0
2025-01-23 00:43:08.786377	17.0	17.9	-71.2	0.0
2025-01-23 00:43:09.902306	17.0	18.0	-71.2	0.0
2025-01-23 00:43:11.017634	17.1	18.2	-71.2	0.0
2025-01-23 00:43:12.133504	17.1	18.3	-71.2	0.0
2025-01-23 00:43:13.249584	17.1	18.5	-71.3	0.0
2025-01-23 00:43:14.364312	17.1	18.6	-71.3	0.0
2025-01-23 00:43:15.480576	17.1	18.8	-71.2	0.0
2025-01-23 00:43:16.595784	17.1	19.0	-71.3	0.0
2025-01-23 00:43:17.710650	17.1	19.1	-71.3	0.0
2025-01-23 00:43:18.825895	17.1	19.3	-71.3	0.0
2025-01-23 00:43:19.940811	17.1	19.4	-71.2	0.0
2025-01-23 00:43:21.056482	17.1	19.6	-71.2	0.0
2025-01-23 00:43:22.171924	17.2	19.7	-70.8	0.0
2025-01-23 00:43:23.290731	17.2	19.9	-71.4	0.0
2025-01-23 00:43:24.406602	17.2	20.1	-71.3	0.0
2025-01-23 00:43:25.523354	17.2	20.2	-71.2	0.0
2025-01-23 00:43:26.638214	17.2	20.4	-71.2	0.0
2025-01-23 00:43:27.753393	17.2	20.6	-71.4	0.0
2025-01-23 00:43:28.869145	17.2	20.7	-71.2	0.0
2025-01-23 00:43:29.985015	17.2	20.9	-71.2	0.0
2025-01-23 00:43:31.099467	17.2	21.1	-71.2	0.0
2025-01-23 00:43:32.214330	17.3	21.2	-71.3	0.0
2025-01-23 00:43:33.328337	17.3	21.4	-71.2	0.0
2025-01-23 00:43:34.443743	17.3	21.6	-71.2	0.0
2025-01-23 00:43:35.558631	17.3	21.8	-71.3	0.0
2025-01-23 00:43:36.673399	17.3	21.9	-71.2	0.0
2025-01-23 00:43:37.788463	17.3	22.1	-71.2	0.0
2025-01-23 00:43:38.904632	17.3	22.3	-71.1	0.0
2025-01-23 00:43:40.026518	17.3	22.5	-71.2	0.0
2025-01-23 00:43:41.141848	17.4	22.6	-71.3	0.0
2025-01-23 00:43:42.256715	17.4	22.8	-71.3	0.0
2025-01-23 00:43:43.373431	17.4	23.0	-71.2	0.0
2025-01-23 00:43:44.488294	17.4	23.2	-71.4	0.0
2025-01-23 00:43:45.603481	17.4	23.4	-71.2	0.0
2025-01-23 00:43:46.718522	17.4	23.6	-71.3	0.0
2025-01-23 00:43:47.833383	17.4	23.8	-71.3	0.0
2025-01-23 00:43:48.950257	17.4	24.0	-71.4	0.0
2025-01-23 00:43:50.065752	17.5	24.1	-71.2	0.0
2025-01-23 00:43:51.181622	17.5	24.3	-71.0	0.0
2025-01-23 00:43:52.297628	17.5	24.5	-71.0	0.0
2025-01-23 00:43:53.412489	17.5	24.7	-71.4	0.0
2025-01-23 00:43:54.527356	17.5	24.9	-71.3	0.0
2025-01-23 00:43:55.643181	17.5	25.1	-71.4	0.0
2025-01-23 00:43:56.759048	17.5	25.3	-71.4	0.0
2025-01-23 00:43:57.875203	17.6	25.5	-71.1	0.0
2025-01-23 00:43:58.989813	17.6	25.8	-71.4	0.0
2025-01-23 00:44:00.106605	17.6	26.0	-71.2	0.0
2025-01-23 00:44:01.221472	17.6	26.2	-71.2	0.0
2025-01-23 00:44:02.337614	17.6	26.4	-71.3	0.0
2025-01-23 00:44:03.453477	17.6	26.6	-71.3	0.0
2025-01-23 00:44:04.568342	17.6	26.8	-71.2	0.0
2025-01-23 00:44:05.683079	17.7	27.0	-71.1	0.0
2025-01-23 00:44:06.798089	17.7	27.2	-71.3	0.0
2025-01-23 00:44:07.914395	17.7	27.5	-71.3	0.0
2025-01-23 00:44:09.029461	17.7	27.7	-71.3	0.0
2025-01-23 00:44:10.144374	17.7	27.9	-71.2	0.0
2025-01-23 00:44:11.260658	17.7	28.1	-71.2	0.0
2025-01-23 00:44:12.376251	17.7	28.4	-71.4	0.0
2025-01-23 00:44:13.491113	17.8	28.6	-71.3	0.0
2025-01-23 00:44:14.606995	17.8	28.8	-71.1	0.0
2025-01-23 00:44:15.723122	17.8	29.1	-71.4	0.0
2025-01-23 00:44:16.837986	17.8	29.3	-71.4	0.0
2025-01-23 00:44:17.953966	17.8	29.5	-71.3	0.0
2025-01-23 00:44:19.068834	17.8	29.8	-71.3	0.0
2025-01-23 00:44:20.183695	17.9	30.0	-71.2	0.0
2025-01-23 00:44:21.298138	17.9	30.3	-71.2	0.0
2025-01-23 00:44:22.415108	17.9	30.5	-71.1	0.0
2025-01-23 00:44:23.529987	17.9	30.8	-71.2	0.0
2025-01-23 00:44:24.650126	17.9	31.0	-71.2	0.0
2025-01-23 00:44:25.764993	18.0	31.3	-71.5	0.0
2025-01-23 00:44:26.880829	18.0	31.5	-71.3	0.0
2025-01-23 00:44:27.996116	18.0	31.8	-71.3	0.0
2025-01-23 00:44:29.112154	18.0	32.1	-71.2	0.0
2025-01-23 00:44:30.227969	18.0	32.3	-71.1	0.0
2025-01-23 00:44:31.343839	18.0	32.6	-71.2	0.0
2025-01-23 00:44:32.459808	18.1	32.9	-71.3	0.0
2025-01-23 00:44:33.574908	18.1	33.1	-71.2	0.0
2025-01-23 00:44:34.689651	18.1	33.4	-71.4	0.0
2025-01-23 00:44:35.805645	18.1	33.7	-71.2	0.0
2025-01-23 00:44:36.927705	18.1	34.0	-71.4	0.0
2025-01-23 00:44:38.044579	18.2	34.3	-71.3	0.0
2025-01-23 00:44:39.160408	18.2	34.5	-71.3	0.0
2025-01-23 00:44:40.275102	18.2	34.8	-71.3	0.0
2025-01-23 00:44:41.390942	18.2	35.1	-71.2	0.0
2025-01-23 00:44:42.506066	18.3	35.4	-71.3	0.0
2025-01-23 00:44:43.620931	18.3	35.7	-71.1	0.0
2025-01-23 00:44:44.736733	18.3	36.0	-71.5	0.0
2025-01-23 00:44:45.853032	18.3	36.3	-71.2	0.0
2025-01-23 00:44:46.969016	18.4	36.6	-71.3	0.0
2025-01-23 00:44:48.084251	18.4	36.9	-71.2	0.0
2025-01-23 00:44:49.199065	18.4	37.3	-71.3	0.0
2025-01-23 00:44:50.314935	18.4	37.6	-71.3	0.0
2025-01-23 00:44:51.429918	18.5	37.9	-71.2	0.0
2025-01-23 00:44:52.545509	18.5	38.2	-71.2	0.0
2025-01-23 00:44:53.660526	18.5	38.5	-71.3	0.0
2025-01-23 00:44:54.775314	18.5	38.9	-71.2	0.0
2025-01-23 00:44:55.891185	18.6	39.2	-71.3	0.0
2025-01-23 00:44:57.006762	18.6	39.5	-71.4	0.0
2025-01-23 00:44:58.122157	18.6	39.9	-71.3	0.0
2025-01-23 00:44:59.237463	18.6	40.2	-71.3	0.0
