#Pass ID: 20250124_042357_METOP-C
#Satellite: METOP-C
#Configuration: METOP-C
#Start time: 2025-01-24 04:24:02.352074

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 43689U 18087A   25023.45766573  .00000383  00000+0  19501-3 0  9991
#TLE: 2 43689  98.6952  85.8233 0001799 148.5888 211.5397 14.21487527322419

#Time	Az	El	Level	SNR
2025-01-24 04:24:24.682880	65.9	32.3	-55.1	0.0
2025-01-24 04:24:25.826835	66.2	32.4	-55.5	0.0
2025-01-24 04:24:26.968810	66.6	32.5	-55.8	0.0
2025-01-24 04:24:28.112276	67.0	32.7	-57.0	0.0
2025-01-24 04:24:29.255233	67.4	32.8	-56.5	0.0
2025-01-24 04:24:30.400693	67.8	32.9	-56.4	0.0
2025-01-24 04:24:31.542652	68.2	33.0	-58.4	2.8
2025-01-24 04:24:32.684613	68.5	33.1	-58.9	0.0
2025-01-24 04:24:33.829072	68.9	33.2	-59.0	0.0
2025-01-24 04:24:34.972029	69.3	33.3	-53.4	0.0
2025-01-24 04:24:36.113989	69.7	33.4	-55.0	0.0
2025-01-24 04:24:37.264446	70.1	33.5	-52.8	0.0
2025-01-24 04:24:38.408387	70.5	33.6	-56.5	0.0
2025-01-24 04:24:39.548352	70.9	33.7	-54.8	0.0
2025-01-24 04:24:40.691309	71.3	33.8	-52.2	0.0
2025-01-24 04:24:41.835769	71.8	33.9	-55.9	0.0
2025-01-24 04:24:42.977729	72.2	34.0	-53.3	0.0
2025-01-24 04:24:44.118202	72.6	34.1	-54.5	0.0
2025-01-24 04:24:45.261159	73.0	34.2	-53.8	0.0
2025-01-24 04:24:46.402121	73.4	34.3	-52.3	0.0
2025-01-24 04:24:47.545079	73.8	34.4	-51.2	0.0
2025-01-24 04:24:48.687038	74.3	34.4	-56.9	0.0
2025-01-24 04:24:49.829995	74.7	34.5	-55.1	0.0
2025-01-24 04:24:50.972461	75.1	34.6	-58.4	0.0
2025-01-24 04:24:52.116415	75.5	34.7	-53.4	0.0
2025-01-24 04:24:53.259372	76.0	34.8	-56.3	0.0
2025-01-24 04:24:54.402835	76.4	34.9	-52.5	0.0
2025-01-24 04:24:55.543797	76.8	34.9	-55.3	0.0
2025-01-24 04:24:56.686263	77.3	35.0	-52.0	0.0
2025-01-24 04:24:57.830218	77.7	35.1	-51.6	0.0
2025-01-24 04:24:58.972177	78.2	35.2	-50.8	0.0
2025-01-24 04:25:00.115135	78.6	35.2	-51.5	0.0
2025-01-24 04:25:01.257607	79.1	35.3	-51.7	0.0
2025-01-24 04:25:02.404554	79.5	35.4	-50.6	0.0
2025-01-24 04:25:03.546512	80.0	35.4	-51.6	0.0
2025-01-24 04:25:04.687983	80.4	35.5	-50.1	0.0
2025-01-24 04:25:05.828944	80.9	35.6	-50.7	0.0
2025-01-24 04:25:06.971903	81.3	35.6	-52.5	0.0
2025-01-24 04:25:08.112372	81.8	35.7	-51.0	0.0
2025-01-24 04:25:09.254841	82.2	35.7	-52.4	0.0
2025-01-24 04:25:10.396800	82.7	35.8	-49.3	0.0
2025-01-24 04:25:11.540754	83.2	35.9	-49.7	0.0
2025-01-24 04:25:12.681716	83.6	35.9	-51.4	0.0
2025-01-24 04:25:13.823675	84.1	36.0	-52.2	0.0
2025-01-24 04:25:14.965635	84.6	36.0	-53.9	0.0
2025-01-24 04:25:16.107595	85.0	36.0	-53.6	0.0
2025-01-24 04:25:17.251549	85.5	36.1	-49.8	0.0
2025-01-24 04:25:18.396502	86.0	36.1	-50.1	0.0
2025-01-24 04:25:19.540455	86.4	36.2	-50.9	0.0
2025-01-24 04:25:20.682415	86.9	36.2	-50.3	0.0
2025-01-24 04:25:21.828878	87.4	36.2	-51.2	0.0
2025-01-24 04:25:22.970837	87.9	36.3	-49.8	0.0
2025-01-24 04:25:24.113796	88.3	36.3	-51.0	0.0
2025-01-24 04:25:25.256262	88.8	36.3	-50.9	0.0
2025-01-24 04:25:26.397223	89.3	36.4	-51.3	0.0
2025-01-24 04:25:27.541177	89.8	36.4	-52.0	0.0
2025-01-24 04:25:28.682645	90.2	36.4	-51.0	0.0
2025-01-24 04:25:29.824605	90.7	36.4	-51.0	0.0
2025-01-24 04:25:30.965567	91.2	36.4	-50.5	0.0
2025-01-24 04:25:32.108037	91.7	36.5	-50.6	0.0
2025-01-24 04:25:33.249996	92.2	36.5	-49.4	0.0
2025-01-24 04:25:34.391956	92.6	36.5	-51.0	0.0
2025-01-24 04:25:35.533935	93.1	36.5	-50.9	0.0
2025-01-24 04:25:36.675895	93.6	36.5	-51.4	0.0
2025-01-24 04:25:37.818852	94.1	36.5	-51.0	0.0
2025-01-24 04:25:38.966795	94.6	36.5	-53.9	0.0
2025-01-24 04:25:40.108756	95.1	36.5	-52.3	0.0
2025-01-24 04:25:41.254704	95.5	36.5	-50.8	0.0
2025-01-24 04:25:42.396664	96.0	36.5	-51.5	0.0
2025-01-24 04:25:43.537642	96.5	36.5	-51.7	0.0
2025-01-24 04:25:44.680600	97.0	36.5	-51.0	0.0
2025-01-24 04:25:45.820075	97.5	36.5	-49.7	0.0
2025-01-24 04:25:46.965027	97.9	36.5	-50.7	0.0
2025-01-24 04:25:48.107985	98.4	36.5	-51.6	0.0
2025-01-24 04:25:49.256925	98.9	36.4	-50.9	0.0
2025-01-24 04:25:50.401877	99.4	36.4	-52.8	0.0
2025-01-24 04:25:51.543836	99.9	36.4	-48.8	0.0
2025-01-24 04:25:52.689786	100.3	36.4	-54.0	0.0
2025-01-24 04:25:53.833248	100.8	36.3	-53.2	0.0
2025-01-24 04:25:54.973721	101.3	36.3	-51.4	0.0
2025-01-24 04:25:56.115681	101.8	36.3	-53.5	0.0
2025-01-24 04:25:57.258637	102.2	36.3	-50.6	0.0
2025-01-24 04:25:58.399622	102.7	36.2	-50.0	0.0
2025-01-24 04:25:59.542579	103.2	36.2	-54.8	0.0
2025-01-24 04:26:00.683541	103.7	36.1	-52.7	0.0
2025-01-24 04:26:01.827495	104.1	36.1	-50.2	0.0
2025-01-24 04:26:02.968457	104.6	36.1	-52.6	0.0
2025-01-24 04:26:04.111414	105.1	36.0	-58.7	0.0
2025-01-24 04:26:05.253374	105.5	36.0	-55.3	0.0
2025-01-24 04:26:06.394336	106.0	35.9	-57.7	0.0
2025-01-24 04:26:07.536295	106.5	35.9	-55.3	0.0
2025-01-24 04:26:08.678273	106.9	35.8	-56.0	0.0
2025-01-24 04:26:09.819741	107.4	35.8	-56.5	0.0
2025-01-24 04:26:10.961702	107.9	35.7	-54.0	0.0
2025-01-24 04:26:12.104658	108.3	35.6	-49.9	0.0
2025-01-24 04:26:13.247615	108.8	35.6	-51.6	0.0
2025-01-24 04:26:14.389083	109.2	35.5	-59.0	0.0
2025-01-24 04:26:15.531549	109.7	35.4	-54.9	0.0
2025-01-24 04:26:16.674505	110.1	35.4	-58.1	0.0
2025-01-24 04:26:17.817462	110.6	35.3	-58.3	0.0
2025-01-24 04:26:18.958425	111.0	35.2	-56.2	0.0
2025-01-24 04:26:20.106369	111.5	35.2	-57.3	0.0
2025-01-24 04:26:21.252318	111.9	35.1	-57.7	0.0
2025-01-24 04:26:22.395274	112.4	35.0	-55.8	0.0
2025-01-24 04:26:23.539229	112.8	34.9	-56.2	2.5
2025-01-24 04:26:24.682185	113.2	34.9	-56.8	0.0
2025-01-24 04:26:25.828134	113.7	34.8	-56.6	0.0
2025-01-24 04:26:26.971599	114.1	34.7	-55.2	0.0
2025-01-24 04:26:28.112561	114.5	34.6	-54.1	0.0
2025-01-24 04:26:29.259020	115.0	34.5	-55.2	0.0
2025-01-24 04:26:30.400980	115.4	34.4	-55.2	0.0
2025-01-24 04:26:31.543937	115.8	34.4	-52.9	0.0
2025-01-24 04:26:32.684899	116.2	34.3	-54.3	0.0
2025-01-24 04:26:33.828854	116.7	34.2	-49.8	0.0
2025-01-24 04:26:34.971319	117.1	34.1	-55.0	0.0
2025-01-24 04:26:36.115274	117.5	34.0	-56.1	0.0
2025-01-24 04:26:37.259229	117.9	33.9	-53.6	0.0
