#Pass ID: 20250124_044559_METEOR-M2 3
#Satellite: METEOR-M2 3
#Configuration: METEOR-M2 3
#Start time: 2025-01-24 04:46:04.000765

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 57166U 23091A   25023.47501070  .00000093  00000+0  59508-4 0  9998
#TLE: 2 57166  98.6837  81.8342 0003622 196.5603 163.5458 14.23971458 81978

#Time	Az	El	Level	SNR
2025-01-24 04:46:22.280094	37.9	33.4	-57.3	0.8
2025-01-24 04:46:23.425046	38.1	33.6	-57.9	0.0
2025-01-24 04:46:24.567005	38.3	33.9	-57.1	1.7
2025-01-24 04:46:25.708965	38.5	34.1	-57.9	1.4
2025-01-24 04:46:26.849927	38.7	34.3	-59.1	3.3
2025-01-24 04:46:27.992884	38.9	34.5	-56.5	0.0
2025-01-24 04:46:29.134844	39.1	34.8	-54.6	0.0
2025-01-24 04:46:30.276312	39.3	35.0	-57.3	1.6
2025-01-24 04:46:31.421264	39.5	35.2	-57.2	2.8
2025-01-24 04:46:32.562226	39.7	35.5	-57.5	2.4
2025-01-24 04:46:33.704186	40.0	35.7	-57.5	0.8
2025-01-24 04:46:34.848140	40.2	35.9	-57.2	1.6
2025-01-24 04:46:35.990100	40.4	36.2	-55.8	0.0
2025-01-24 04:46:37.131570	40.6	36.4	-56.3	0.0
2025-01-24 04:46:38.274527	40.9	36.7	-56.8	0.0
2025-01-24 04:46:39.416502	41.1	36.9	-56.3	0.0
2025-01-24 04:46:40.557973	41.3	37.1	-54.6	0.0
2025-01-24 04:46:41.699932	41.6	37.4	-59.2	2.4
2025-01-24 04:46:42.841892	41.8	37.6	-54.8	0.0
2025-01-24 04:46:43.982364	42.1	37.9	-52.6	0.0
2025-01-24 04:46:45.124331	42.3	38.1	-56.3	0.0
2025-01-24 04:46:46.268278	42.6	38.4	-57.7	3.6
2025-01-24 04:46:47.411743	42.8	38.6	-57.2	0.5
2025-01-24 04:46:48.551707	43.1	38.9	-56.0	1.4
2025-01-24 04:46:49.695662	43.4	39.1	-56.1	0.7
2025-01-24 04:46:50.837131	43.6	39.4	-59.4	4.6
2025-01-24 04:46:51.983080	43.9	39.6	-58.7	4.0
2025-01-24 04:46:53.125040	44.2	39.9	-57.9	1.5
2025-01-24 04:46:54.266509	44.5	40.2	-58.2	3.9
2025-01-24 04:46:55.412458	44.8	40.4	-57.9	4.4
2025-01-24 04:46:56.554418	45.1	40.7	-59.0	3.1
2025-01-24 04:46:57.695380	45.4	40.9	-60.2	7.6
2025-01-24 04:46:58.836342	45.7	41.2	-58.3	4.3
2025-01-24 04:46:59.982292	46.0	41.5	-58.2	5.1
2025-01-24 04:47:01.123760	46.3	41.7	-58.0	2.2
2025-01-24 04:47:02.265720	46.6	42.0	-57.7	1.4
2025-01-24 04:47:03.407679	46.9	42.3	-58.2	4.2
2025-01-24 04:47:04.553139	47.3	42.5	-57.8	4.3
2025-01-24 04:47:05.696096	47.6	42.8	-58.0	3.4
2025-01-24 04:47:06.837068	47.9	43.1	-57.3	0.0
2025-01-24 04:47:07.978533	48.3	43.3	-58.5	3.9
2025-01-24 04:47:09.119493	48.6	43.6	-57.6	2.3
2025-01-24 04:47:10.260456	49.0	43.9	-59.0	3.0
2025-01-24 04:47:11.403920	49.3	44.2	-58.3	0.2
2025-01-24 04:47:12.544882	49.7	44.4	-59.0	3.1
2025-01-24 04:47:13.684847	50.1	44.7	-59.1	4.9
2025-01-24 04:47:14.826808	50.5	45.0	-58.0	2.4
2025-01-24 04:47:15.972267	50.9	45.2	-58.5	1.2
2025-01-24 04:47:17.115224	51.3	45.5	-59.1	0.0
2025-01-24 04:47:18.257184	51.7	45.8	-60.6	4.5
2025-01-24 04:47:19.397657	52.1	46.1	-58.9	0.0
2025-01-24 04:47:20.539617	52.5	46.4	-59.2	2.7
2025-01-24 04:47:21.681576	52.9	46.6	-59.3	5.4
2025-01-24 04:47:22.824043	53.3	46.9	-59.9	4.7
2025-01-24 04:47:23.967000	53.8	47.2	-58.3	1.9
2025-01-24 04:47:25.108959	54.2	47.5	-59.6	3.2
2025-01-24 04:47:26.250939	54.7	47.7	-59.8	4.2
2025-01-24 04:47:27.397884	55.2	48.0	-59.8	2.8
2025-01-24 04:47:28.538845	55.6	48.3	-59.6	0.0
2025-01-24 04:47:29.680805	56.1	48.6	-60.4	3.6
2025-01-24 04:47:30.823762	56.6	48.8	-60.3	1.6
2025-01-24 04:47:31.964724	57.1	49.1	-60.1	2.7
2025-01-24 04:47:33.112180	57.6	49.4	-59.2	2.2
2025-01-24 04:47:34.255136	58.1	49.7	-59.6	2.5
2025-01-24 04:47:35.396098	58.6	49.9	-60.1	0.0
2025-01-24 04:47:36.540559	59.2	50.2	-57.7	0.0
2025-01-24 04:47:37.682518	59.7	50.5	-59.5	0.0
2025-01-24 04:47:38.825475	60.3	50.8	-59.4	0.0
2025-01-24 04:47:39.964949	60.8	51.0	-60.0	0.0
2025-01-24 04:47:41.108904	61.4	51.3	-59.8	0.0
2025-01-24 04:47:42.248868	62.0	51.6	-59.4	0.2
2025-01-24 04:47:43.390338	62.6	51.8	-60.9	3.0
2025-01-24 04:47:44.531301	63.2	52.1	-57.4	0.0
2025-01-24 04:47:45.672263	63.8	52.3	-57.6	0.0
2025-01-24 04:47:46.815246	64.4	52.6	-58.0	0.0
2025-01-24 04:47:47.956209	65.1	52.9	-57.9	0.0
2025-01-24 04:47:49.098169	65.7	53.1	-53.5	0.0
2025-01-24 04:47:50.244625	66.4	53.4	-56.4	0.0
2025-01-24 04:47:51.386584	67.1	53.6	-55.4	0.0
2025-01-24 04:47:52.526549	67.7	53.9	-49.9	0.0
2025-01-24 04:47:53.672498	68.4	54.1	-55.2	0.0
2025-01-24 04:47:54.815455	69.1	54.4	-60.5	0.0
2025-01-24 04:47:55.956417	69.9	54.6	-55.9	0.0
2025-01-24 04:47:57.097890	70.6	54.8	-56.6	0.0
2025-01-24 04:47:58.238852	71.3	55.1	-55.9	0.0
2025-01-24 04:47:59.379814	72.1	55.3	-56.8	0.0
2025-01-24 04:48:00.522280	72.8	55.5	-57.9	0.0
2025-01-24 04:48:01.663242	73.6	55.7	-57.4	0.0
2025-01-24 04:48:02.806200	74.4	55.9	-53.8	0.0
2025-01-24 04:48:03.945679	75.2	56.1	-52.0	0.0
2025-01-24 04:48:05.087638	76.0	56.4	-55.0	0.0
2025-01-24 04:48:06.230105	76.9	56.6	-55.5	0.0
2025-01-24 04:48:07.372081	77.7	56.7	-55.4	0.0
2025-01-24 04:48:08.513044	78.5	56.9	-53.2	0.0
2025-01-24 04:48:09.654513	79.4	57.1	-55.4	0.0
2025-01-24 04:48:10.796473	80.3	57.3	-56.1	0.0
2025-01-24 04:48:11.938945	81.2	57.5	-56.4	0.0
2025-01-24 04:48:13.081902	82.1	57.6	-57.5	0.0
2025-01-24 04:48:14.224859	83.0	57.8	-58.6	0.0
2025-01-24 04:48:15.370808	83.9	58.0	-59.4	0.0
2025-01-24 04:48:16.511770	84.8	58.1	-55.5	0.0
2025-01-24 04:48:17.654727	85.8	58.3	-57.3	0.0
2025-01-24 04:48:18.794692	86.7	58.4	-58.4	0.0
2025-01-24 04:48:19.937158	87.7	58.5	-55.5	0.0
2025-01-24 04:48:21.077123	88.6	58.6	-55.8	0.0
2025-01-24 04:48:22.219592	89.6	58.7	-51.8	0.0
2025-01-24 04:48:23.360555	90.6	58.9	-58.3	0.0
2025-01-24 04:48:24.503511	91.6	59.0	-58.5	0.0
2025-01-24 04:48:25.644473	92.6	59.0	-57.6	0.0
2025-01-24 04:48:26.787431	93.6	59.1	-58.0	0.0
2025-01-24 04:48:27.928393	94.6	59.2	-58.9	0.2
2025-01-24 04:48:29.070352	95.6	59.3	-60.3	0.0
2025-01-24 04:48:30.215304	96.6	59.3	-59.2	0.6
