#Pass ID: 20250125_020706_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2025-01-25 02:07:01

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 43010U 17072A   25024.14915762  .00000341  00000+0  18355-3 0  9995
#TLE: 2 43010  98.9433 346.4677 0002514  73.5220 286.6232 14.19550172372763

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-25 02:07:01.58	339.28	68.76	-38.6	-40.5	3.4	8385349	95	3043
2025-01-25 02:07:01.78	339.09	68.82	-37.0	-61.2	3.8	7904869	48	39694
2025-01-25 02:07:01.98	338.91	68.89	-37.3	-48.2	4.3	7904869	74	8696
2025-01-25 02:07:02.18	338.72	68.96	-37.5	-38.8	4.4	8269706	92	2869
2025-01-25 02:07:02.38	338.53	69.02	-37.2	-37.8	4.6	8005485	92	2648
2025-01-25 02:07:02.58	338.34	69.09	-36.9	-37.1	4.9	8005485	92	2515
2025-01-25 02:07:02.79	338.14	69.16	-36.6	-36.8	5.4	7555652	91	2514
2025-01-25 02:07:02.99	337.95	69.22	-36.3	-35.9	5.8	5690883	91	2373
2025-01-25 02:07:03.19	337.75	69.29	-35.6	-35.6	6.4	5690883	89	2442
2025-01-25 02:07:03.39	337.56	69.35	-35.2	-35.1	7.0	2991943	88	2441
2025-01-25 02:07:03.59	337.36	69.42	-34.7	-34.5	7.7	1621730	87	2406
2025-01-25 02:07:03.79	337.16	69.48	-34.2	-33.7	8.3	1621730	87	2301
2025-01-25 02:07:03.99	336.96	69.55	-33.5	-33.1	9.0	779457	85	2344
2025-01-25 02:07:04.19	336.76	69.61	-32.9	-32.4	9.6	333789	84	2312
2025-01-25 02:07:04.39	336.56	69.67	-32.5	-32.1	10.2	333789	83	2330
2025-01-25 02:07:04.59	336.35	69.74	-32.2	-31.8	10.7	125827	82	2360
2025-01-25 02:07:04.80	336.14	69.80	-31.8	-31.0	11.2	44872	82	2253
2025-01-25 02:07:05.00	335.93	69.87	-31.4	-30.9	11.7	44872	81	2302
2025-01-25 02:07:05.20	335.72	69.93	-31.1	-30.7	12.1	13904	80	2344
2025-01-25 02:07:05.40	335.51	69.99	-30.8	-30.1	12.4	5310	80	2258
2025-01-25 02:07:05.60	335.30	70.06	-30.3	-29.6	12.7	1899	79	2255
2025-01-25 02:07:05.80	335.09	70.12	-30.3	-29.9	12.9	1899	78	2367
2025-01-25 02:07:06.00	334.88	70.18	-30.2	-29.7	13.1	801	78	2333
2025-01-25 02:07:06.20	334.66	70.24	-30.1	-29.6	13.1	732	78	2317
2025-01-25 02:07:06.40	334.44	70.31	-30.1	-29.6	13.1	732	78	2320
2025-01-25 02:07:06.60	334.23	70.37	-30.2	-29.8	13.1	537	78	2355
2025-01-25 02:07:06.80	334.01	70.43	-30.3	-30.0	12.9	434	78	2383
2025-01-25 02:07:07.01	333.77	70.49	-30.5	-30.4	12.7	434	78	2439
2025-01-25 02:07:07.21	333.55	70.55	-30.6	-30.5	12.5	972	78	2451
2025-01-25 02:07:07.41	333.33	70.62	-30.5	-30.3	12.7	1590	78	2420
2025-01-25 02:07:07.61	333.10	70.68	-30.4	-30.3	12.8	1590	78	2412
2025-01-25 02:07:07.81	332.87	70.74	-30.5	-30.5	12.9	1018	78	2454
2025-01-25 02:07:08.01	332.65	70.80	-30.7	-30.7	12.8	766	78	2489
2025-01-25 02:07:08.21	332.42	70.86	-30.4	-30.2	13.0	766	78	2404
2025-01-25 02:07:08.41	332.18	70.92	-30.7	-30.8	12.7	801	78	2496
2025-01-25 02:07:08.61	331.95	70.97	-30.5	-30.3	12.7	904	78	2425
2025-01-25 02:07:08.81	331.72	71.03	-30.6	-30.7	12.6	1155	78	2472
2025-01-25 02:07:09.01	331.48	71.09	-30.6	-30.7	12.6	1155	78	2484
2025-01-25 02:07:09.22	331.23	71.15	-30.8	-31.1	12.5	1670	78	2539
2025-01-25 02:07:09.42	330.99	71.21	-30.9	-31.3	12.4	2185	78	2572
2025-01-25 02:07:09.62	330.75	71.27	-30.8	-31.1	12.5	2185	78	2548
2025-01-25 02:07:09.82	330.51	71.33	-30.8	-31.1	12.5	2002	78	2547
2025-01-25 02:07:10.02	330.26	71.38	-30.7	-30.9	12.6	1831	78	2522
2025-01-25 02:07:10.22	330.02	71.44	-30.8	-31.0	12.5	1831	78	2517
2025-01-25 02:07:10.42	329.77	71.50	-30.4	-30.4	12.9	1533	78	2434
2025-01-25 02:07:10.62	329.52	71.55	-30.5	-30.4	12.8	1121	78	2433
2025-01-25 02:07:10.82	329.27	71.61	-30.1	-29.7	13.2	1121	78	2327
2025-01-25 02:07:11.02	329.02	71.67	-30.5	-30.4	12.9	595	78	2431
2025-01-25 02:07:11.23	328.75	71.72	-30.1	-29.6	13.2	652	78	2317
2025-01-25 02:07:11.43	328.49	71.78	-30.4	-30.3	12.9	652	78	2412
2025-01-25 02:07:11.63	328.23	71.83	-30.1	-29.5	13.1	617	78	2307
2025-01-25 02:07:11.83	327.98	71.89	-30.3	-30.1	12.8	514	78	2382
2025-01-25 02:07:12.03	327.71	71.94	-30.4	-30.2	12.8	663	78	2405
2025-01-25 02:07:12.23	327.45	72.00	-30.7	-30.8	12.5	663	78	2487
2025-01-25 02:07:12.43	327.19	72.05	-30.6	-30.5	12.6	1430	78	2450
2025-01-25 02:07:12.63	326.92	72.10	-30.8	-31.1	12.4	1659	78	2532
2025-01-25 02:07:12.84	326.64	72.16	-30.6	-30.6	12.6	1659	78	2462
2025-01-25 02:07:13.04	326.37	72.21	-30.9	-31.2	12.3	1705	78	2558
2025-01-25 02:07:13.24	326.10	72.26	-30.5	-30.5	12.8	2311	78	2453
2025-01-25 02:07:13.44	325.83	72.32	-30.7	-30.7	12.6	1258	78	2484
2025-01-25 02:07:13.64	325.55	72.37	-30.2	-29.7	13.2	1258	78	2340
2025-01-25 02:07:13.84	325.28	72.42	-30.1	-29.5	13.3	652	78	2312
2025-01-25 02:07:14.04	325.00	72.47	-29.7	-29.1	13.7	240	77	2319
2025-01-25 02:07:14.24	324.72	72.52	-29.8	-29.4	13.6	240	77	2365
2025-01-25 02:07:14.44	324.44	72.57	-29.4	-28.7	14.0	114	77	2260
