#Pass ID: 20250125_040957_FENGYUN 3B
#Satellite: FENGYUN 3B
#Configuration: FENGYUN 3B
#Start time: 2025-01-25 04:09:51

#Time	Level	Level2	SNR	BER	Gain	Gain2
04:09:51.49	-42.2	-47.8	3.3	15357215	102	3966
04:09:51.60	-41.8	-64.1	3.6	65315	70	26988
04:09:51.71	-41.6	-57.6	3.6	65315	83	13163
04:09:51.82	-42.2	-49.7	3.6	65315	101	4907
04:09:51.93	-42.2	-49.3	3.5	65315	101	4724
04:09:52.04	-42.2	-49.0	3.4	15200721	101	4535
04:09:52.15	-42.2	-48.8	3.4	15200721	101	4425
04:09:52.26	-42.2	-48.5	3.3	15200721	101	4315
04:09:52.37	-42.2	-48.4	3.3	15200721	101	4248
04:09:52.48	-42.2	-49.9	3.6	15200721	101	5024
04:09:52.59	-42.2	-49.8	3.6	15200721	101	4994
04:09:52.70	-42.2	-49.8	3.6	15212425	101	4961
04:09:52.81	-42.2	-49.1	3.5	15212425	101	4593
04:09:52.93	-42.2	-48.8	3.4	15212425	101	4464
04:09:53.04	-42.2	-48.6	3.4	15212425	101	4335
04:09:53.15	-42.2	-48.4	3.3	15212425	101	4263
04:09:53.26	-42.2	-48.4	3.3	15212425	101	4246
04:09:53.37	-42.2	-49.9	3.6	15233703	101	5034
04:09:53.49	-42.2	-49.8	3.6	15233703	101	5009
04:09:53.60	-42.2	-49.5	3.5	15233703	101	4798
04:09:53.71	-42.2	-49.1	3.5	15233703	101	4606
04:09:53.82	-42.2	-48.7	3.4	15233703	101	4406
04:09:53.93	-42.2	-48.4	3.4	15233703	101	4264
04:09:54.05	-42.2	-48.4	3.3	15233703	101	4232
04:09:54.16	-42.2	-49.9	3.5	15224891	101	5039
04:09:54.27	-42.2	-49.9	3.6	15224891	101	5025
04:09:54.38	-42.2	-49.7	3.6	15224891	101	4937
04:09:54.49	-42.2	-49.3	3.5	15224891	101	4699
04:09:54.61	-42.2	-48.9	3.4	15224891	101	4519
04:09:54.72	-42.2	-48.7	3.4	15224891	101	4386
04:09:54.83	-42.2	-48.4	3.3	15179672	101	4262
04:09:54.94	-42.2	-48.4	3.3	15179672	101	4249
04:09:55.05	-42.2	-49.8	3.6	15179672	101	5006
04:09:55.17	-42.2	-49.9	3.6	15179672	101	5019
04:09:55.28	-42.2	-49.5	3.6	15179672	101	4809
04:09:55.39	-42.2	-49.1	3.5	15179672	101	4611
04:09:55.50	-42.2	-48.8	3.4	15182716	101	4430
04:09:55.61	-42.2	-48.6	3.3	15182716	101	4346
04:09:55.73	-42.2	-48.4	3.3	15182716	101	4248
04:09:55.84	-42.2	-49.9	3.6	15182716	101	5036
04:09:55.95	-42.2	-49.8	3.6	15182716	101	5008
04:09:56.06	-42.2	-49.8	3.6	15182716	101	5008
04:09:56.17	-42.2	-49.3	3.5	15185493	101	4698
04:09:56.28	-42.2	-49.0	3.4	15185493	101	4537
04:09:56.40	-42.2	-48.7	3.4	15185493	101	4399
04:09:56.51	-42.2	-48.5	3.3	15185493	101	4277
04:09:56.62	-42.2	-48.4	3.3	15185493	101	4238
04:09:56.73	-42.2	-49.8	3.6	15185493	101	4989
04:09:56.84	-42.2	-49.9	3.6	15185493	101	5015
04:09:56.95	-42.2	-49.7	3.6	15230285	101	4943
04:09:57.07	-42.2	-49.1	3.5	15230285	101	4618
04:09:57.18	-42.2	-48.9	3.4	15230285	101	4462
04:09:57.29	-42.2	-48.6	3.4	15230285	101	4332
04:09:57.40	-42.2	-48.4	3.3	15230285	101	4254
04:09:57.51	-42.2	-48.4	3.3	15230285	101	4228
04:09:57.62	-42.2	-49.8	3.6	15229911	101	5000
04:09:57.73	-42.2	-49.9	3.6	15229911	101	5032
04:09:57.84	-42.2	-49.4	3.5	15229911	101	4802
04:09:57.96	-42.2	-49.1	3.5	15229911	101	4613
04:09:58.07	-42.2	-48.7	3.4	15229911	101	4377
04:09:58.18	-42.2	-48.5	3.3	15229911	101	4280
04:09:58.29	-42.2	-48.4	3.3	15207275	101	4236
04:09:58.40	-42.2	-49.9	3.5	15207275	101	5030
04:09:58.51	-42.2	-49.8	3.6	15207275	101	5007
04:09:58.62	-42.2	-49.7	3.6	15207275	101	4934
04:09:58.74	-42.2	-49.2	3.5	15207275	101	4672
04:09:58.85	-42.2	-48.9	3.4	15207275	101	4517
04:09:58.96	-42.2	-48.7	3.4	15207275	101	4398
04:09:59.07	-42.2	-48.4	3.3	15176506	101	4242
04:09:59.18	-42.2	-48.4	3.3	15176506	101	4238
04:09:59.29	-42.2	-49.9	3.6	15176506	101	5033
04:09:59.41	-42.2	-49.8	3.6	15176506	101	5007
04:09:59.52	-42.2	-49.5	3.6	15176506	101	4831
04:09:59.63	-42.2	-49.1	3.5	15176506	101	4606
04:09:59.74	-42.2	-48.8	3.4	15178153	101	4453
04:09:59.85	-42.2	-48.6	3.4	15178153	101	4339
04:09:59.96	-42.2	-48.5	3.3	15178153	101	4269
04:10:00.07	-42.2	-49.8	3.6	15178153	101	4987
