#Pass ID: 20250125_083726_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2025-01-25 08:37:18

#Time	Level	Level2	SNR	BER	Gain	Gain2
08:37:18.18	-41.5	-44.3	3.3	8394561	101	2877
08:37:18.28	-40.6	-60.3	3.6	8327682	68	20052
08:37:18.40	-40.9	-54.3	3.6	8327682	81	9808
08:37:18.50	-41.6	-48.7	3.6	8327682	95	4702
08:37:18.62	-41.5	-46.2	3.5	8435314	99	3582
08:37:18.73	-41.4	-45.0	3.4	8435314	100	3141
08:37:18.84	-41.5	-44.8	3.3	8435314	100	3054
08:37:18.95	-41.5	-44.8	3.3	8408638	100	3058
08:37:19.06	-41.5	-44.9	3.3	8408638	100	3070
08:37:19.18	-41.5	-46.5	3.6	8397960	100	3679
08:37:19.29	-41.5	-46.5	3.6	8397960	100	3680
08:37:19.40	-41.6	-46.4	3.6	8397960	100	3615
08:37:19.51	-41.6	-45.9	3.4	8448680	100	3430
08:37:19.62	-41.6	-45.4	3.4	8448680	100	3249
08:37:19.74	-41.6	-45.3	3.3	8402320	100	3179
08:37:19.85	-41.6	-45.3	3.3	8402320	100	3189
08:37:19.96	-41.6	-45.3	3.3	8402320	100	3184
08:37:20.07	-41.6	-46.8	3.6	8398967	100	3787
08:37:20.18	-41.6	-46.8	3.6	8398967	100	3794
08:37:20.30	-41.6	-46.3	3.5	8398967	100	3582
08:37:20.41	-41.6	-45.9	3.4	8442638	100	3403
08:37:20.52	-41.6	-45.6	3.3	8442638	100	3282
08:37:20.63	-41.6	-45.5	3.3	8407894	100	3256
08:37:20.74	-41.6	-45.5	3.3	8407894	100	3245
08:37:20.86	-41.6	-47.0	3.6	8407894	100	3845
08:37:20.97	-41.6	-47.0	3.6	8411865	100	3838
08:37:21.08	-41.6	-46.7	3.6	8411865	100	3718
08:37:21.19	-41.7	-46.2	3.5	8411865	100	3505
08:37:21.30	-41.6	-45.8	3.4	8433700	100	3353
08:37:21.41	-41.6	-45.5	3.3	8433700	100	3266
08:37:21.52	-41.6	-45.5	3.3	8408981	100	3237
08:37:21.63	-41.6	-45.4	3.3	8408981	100	3227
08:37:21.74	-41.6	-46.9	3.6	8408981	100	3836
08:37:21.85	-41.6	-46.9	3.6	8423721	100	3819
08:37:21.96	-41.6	-46.7	3.6	8423721	100	3733
08:37:22.07	-41.6	-45.8	3.4	8424339	100	3380
08:37:22.18	-41.6	-45.6	3.3	8424339	100	3283
08:37:22.30	-41.6	-45.4	3.3	8424339	100	3207
08:37:22.41	-41.6	-45.3	3.3	8409004	100	3191
08:37:22.52	-41.6	-46.8	3.6	8409004	100	3778
08:37:22.63	-41.6	-46.8	3.6	8409004	100	3761
08:37:22.74	-41.6	-46.7	3.6	8404895	100	3755
08:37:22.86	-41.6	-46.3	3.5	8404895	100	3584
08:37:22.97	-41.6	-45.6	3.4	8432132	100	3313
08:37:23.08	-41.6	-45.4	3.3	8432132	100	3239
08:37:23.19	-41.6	-45.4	3.3	8432132	100	3214
08:37:23.30	-41.6	-45.4	3.3	8405296	100	3217
08:37:23.41	-41.6	-46.8	3.6	8405296	100	3806
08:37:23.52	-41.6	-46.9	3.6	8419075	100	3820
08:37:23.63	-41.6	-46.6	3.6	8419075	100	3697
08:37:23.74	-41.6	-46.1	3.4	8419075	100	3481
08:37:23.85	-41.6	-45.7	3.4	8434364	100	3341
08:37:23.97	-41.6	-45.4	3.3	8434364	100	3235
08:37:24.08	-41.6	-45.4	3.3	8434364	100	3200
08:37:24.19	-41.6	-45.4	3.3	8392707	100	3210
08:37:24.30	-41.6	-46.9	3.6	8392707	100	3824
08:37:24.41	-41.6	-46.9	3.6	8392707	100	3815
08:37:24.52	-41.6	-46.4	3.5	8424396	100	3606
08:37:24.64	-41.6	-46.0	3.4	8424396	100	3430
08:37:24.75	-41.6	-45.6	3.4	8438667	100	3279
08:37:24.86	-41.6	-45.4	3.3	8438667	100	3218
08:37:24.97	-41.6	-45.4	3.3	8402240	100	3214
08:37:25.08	-41.7	-46.9	3.6	8402240	100	3824
08:37:25.19	-41.6	-46.9	3.6	8402240	100	3817
08:37:25.30	-41.6	-46.9	3.6	8429283	100	3808
08:37:25.41	-41.6	-46.5	3.5	8429283	100	3634
08:37:25.53	-41.7	-45.9	3.4	8429283	100	3372
08:37:25.64	-41.7	-45.6	3.3	8423950	100	3290
08:37:25.75	-41.7	-45.6	3.3	8423950	100	3270
08:37:25.86	-41.7	-45.5	3.3	8423950	100	3250
08:37:25.97	-41.7	-47.0	3.6	8389434	100	3848
08:37:26.08	-41.7	-47.0	3.6	8389434	100	3849
08:37:26.20	-41.6	-46.8	3.6	8423492	100	3747
08:37:26.31	-41.6	-46.2	3.5	8423492	100	3524
08:37:26.42	-41.6	-45.6	3.4	8443645	100	3283
08:37:26.53	-41.6	-45.4	3.3	8443645	100	3222
08:37:26.64	-41.6	-45.4	3.3	8443645	100	3206
08:37:26.75	-41.6	-45.2	3.3	8385017	100	3156
08:37:26.87	-41.5	-46.5	3.6	8385017	100	3687
08:37:26.98	-41.5	-46.3	3.6	8385017	100	3630
08:37:27.09	-41.5	-45.9	3.5	8436172	100	3449
08:37:27.20	-41.4	-45.3	3.4	8436172	100	3228
08:37:27.31	-41.4	-44.8	3.4	8436172	100	3061
08:37:27.43	-41.4	-44.4	3.3	8415184	100	2940
08:37:27.54	-41.3	-44.3	3.3	8415184	100	2911
08:37:27.65	-41.3	-45.5	3.6	8380771	100	3381
08:37:27.76	-41.2	-45.3	3.6	8380771	100	3337
08:37:27.87	-41.2	-45.0	3.6	8380771	100	3211
08:37:27.99	-41.2	-44.4	3.5	8441390	100	3017
08:37:28.10	-41.2	-43.9	3.4	8441390	100	2845
08:37:28.21	-41.1	-43.6	3.4	8415859	100	2753
08:37:28.32	-41.1	-43.4	3.3	8415859	100	2705
08:37:28.43	-41.1	-43.3	3.3	8415859	100	2682
08:37:28.54	-41.0	-44.6	3.6	8390007	100	3123
08:37:28.65	-41.0	-44.6	3.6	8390007	100	3126
08:37:28.77	-41.0	-44.4	3.7	8390007	100	3057
08:37:28.88	-41.0	-43.4	3.5	8441493	100	2764
08:37:28.99	-40.9	-43.0	3.5	8441493	100	2643
08:37:29.10	-40.9	-42.8	3.4	8393760	100	2577
08:37:29.21	-40.9	-42.8	3.5	8393760	100	2572
08:37:29.32	-40.9	-43.9	3.6	8393760	100	2965
08:37:29.44	-40.8	-43.8	3.6	8387912	100	2926
08:37:29.55	-40.8	-43.7	3.6	8387912	100	2900
08:37:29.66	-40.8	-43.7	3.7	8387912	99	2915
08:37:29.77	-40.8	-43.0	3.6	8419212	99	2676
08:37:29.88	-40.7	-42.6	3.6	8419212	99	2593
08:37:30.00	-40.6	-42.3	3.6	8382785	99	2514
08:37:30.11	-40.6	-42.2	3.6	8382785	99	2501
08:37:30.22	-40.7	-43.8	3.7	8376995	99	2982
08:37:30.33	-40.8	-44.0	3.7	8376995	99	3010
08:37:30.44	-40.7	-43.8	3.8	8376995	99	2944
08:37:30.56	-40.7	-43.2	3.7	8418285	99	2762
08:37:30.67	-40.7	-42.7	3.6	8418285	99	2620
08:37:30.78	-40.7	-42.5	3.6	8418285	99	2563
08:37:30.89	-40.8	-42.6	3.6	8375026	99	2575
08:37:31.00	-40.8	-42.7	3.6	8375026	99	2584
08:37:31.12	-40.8	-44.2	3.6	8375026	99	3057
08:37:31.23	-40.7	-43.9	3.7	8390888	99	3000
08:37:31.34	-40.7	-43.5	3.8	8390888	99	2861
08:37:31.45	-40.8	-43.1	3.7	8414417	99	2728
08:37:31.56	-40.8	-43.0	3.6	8414417	99	2671
08:37:31.68	-40.8	-42.7	3.6	8379570	99	2596
08:37:31.79	-40.8	-42.6	3.6	8379570	99	2577
08:37:31.90	-40.8	-44.1	3.7	8379570	99	3052
08:37:32.01	-40.9	-44.3	3.6	8399311	99	3102
08:37:32.12	-40.8	-43.9	3.8	8399311	99	2967
08:37:32.24	-40.7	-43.1	3.7	8399311	99	2741
08:37:32.35	-40.8	-42.9	3.7	8413009	99	2649
08:37:32.46	-40.8	-42.9	3.6	8413009	99	2628
08:37:32.57	-40.8	-42.8	3.6	8364761	99	2606
08:37:32.68	-40.8	-42.8	3.6	8364761	99	2599
08:37:32.79	-40.8	-44.0	3.7	8364761	99	3004
08:37:32.90	-40.8	-44.1	3.7	8405616	99	3050
08:37:33.01	-40.9	-44.0	3.8	8405616	99	2982
08:37:33.12	-40.8	-43.2	3.7	8407711	99	2733
08:37:33.23	-40.8	-42.8	3.7	8407711	99	2618
08:37:33.34	-40.8	-42.7	3.6	8407711	99	2583
08:37:33.45	-40.8	-42.8	3.6	8367313	99	2600
08:37:33.56	-40.9	-42.8	3.6	8367313	99	2601
08:37:33.67	-40.8	-44.1	3.7	8367313	99	3047
08:37:33.78	-40.9	-44.2	3.7	8409141	99	3050
08:37:33.90	-40.9	-44.0	3.7	8409141	99	2960
08:37:34.01	-41.0	-43.7	3.6	8409141	99	2864
08:37:34.12	-40.9	-43.3	3.6	8411315	99	2741
08:37:34.23	-40.9	-43.0	3.6	8411315	99	2658
08:37:34.34	-41.0	-43.2	3.5	8372474	99	2687
08:37:34.45	-41.0	-44.8	3.6	8372474	99	3212
08:37:34.56	-41.0	-44.7	3.6	8372474	99	3191
08:37:34.67	-41.0	-44.5	3.8	8412403	99	3101
08:37:34.79	-41.0	-44.0	3.6	8412403	99	2933
08:37:34.90	-41.1	-43.8	3.6	8415710	99	2855
08:37:35.01	-41.1	-43.6	3.5	8415710	99	2770
08:37:35.12	-41.1	-43.4	3.5	8415710	99	2734
08:37:35.23	-41.1	-43.4	3.5	8381446	99	2729
08:37:35.35	-41.1	-44.9	3.6	8381446	99	3245
08:37:35.46	-41.1	-45.0	3.6	8381446	99	3258
08:37:35.57	-41.1	-44.5	3.6	8420242	99	3085
08:37:35.68	-41.1	-44.0	3.6	8420242	99	2921
08:37:35.79	-41.1	-43.8	3.5	8419292	99	2832
08:37:35.90	-41.1	-43.6	3.5	8419292	99	2766
08:37:36.02	-41.1	-43.5	3.5	8419292	99	2753
08:37:36.13	-41.0	-44.8	3.6	8378849	99	3209
08:37:36.24	-41.1	-44.8	3.6	8378849	99	3217
08:37:36.35	-41.1	-44.9	3.6	8378849	99	3231
08:37:36.46	-41.0	-44.4	3.7	8418663	99	3062
08:37:36.58	-41.0	-43.6	3.6	8418663	99	2817
08:37:36.69	-41.0	-43.4	3.6	8415344	99	2729
08:37:36.80	-41.0	-43.2	3.5	8415344	99	2689
08:37:36.91	-41.0	-43.2	3.5	8415344	99	2693
08:37:37.02	-41.0	-44.4	3.6	8368572	99	3099
08:37:37.13	-40.9	-44.4	3.7	8368572	99	3088
08:37:37.24	-40.9	-44.2	3.8	8430896	99	3032
08:37:37.35	-40.9	-43.6	3.7	8430896	99	2831
08:37:37.47	-40.9	-43.1	3.7	8430896	99	2676
08:37:37.58	-40.9	-42.7	3.6	8390304	99	2583
08:37:37.69	-40.9	-42.8	3.6	8390304	99	2601
08:37:37.80	-40.8	-42.7	3.6	8390304	99	2571
08:37:37.91	-40.8	-44.0	3.7	8356533	99	3002
08:37:38.03	-40.9	-44.2	3.7	8356533	99	3040
08:37:38.14	-40.8	-43.5	3.8	8417083	99	2817
08:37:38.25	-40.8	-43.0	3.8	8417083	99	2684
08:37:38.36	-40.9	-42.9	3.7	8417083	99	2631
08:37:38.47	-40.9	-42.7	3.7	8375942	99	2571
08:37:38.58	-40.8	-42.7	3.7	8375942	99	2575
08:37:38.70	-40.9	-44.1	3.7	8358078	99	3020
08:37:38.81	-40.9	-44.2	3.7	8358078	99	3057
08:37:38.92	-40.9	-43.9	3.9	8358078	99	2946
08:37:39.03	-40.9	-43.5	3.8	8416065	99	2801
08:37:39.13	-40.9	-43.2	3.7	8416065	99	2706
08:37:39.25	-40.9	-42.9	3.7	8416065	99	2620
08:37:39.36	-40.8	-42.6	3.7	8373687	99	2552
08:37:39.47	-40.9	-42.7	3.6	8373687	99	2570
08:37:39.58	-40.9	-42.7	3.6	8364498	99	2576
08:37:39.69	-40.8	-42.6	3.7	8364498	99	2541
08:37:39.80	-40.8	-42.5	3.7	8364498	99	2524
08:37:39.92	-40.8	-42.5	3.7	8358924	99	2539
08:37:40.03	-40.9	-42.6	3.7	8358924	99	2541
08:37:40.14	-40.8	-42.5	3.7	8345203	99	2517
08:37:40.25	-40.8	-42.4	3.7	8345203	99	2504
08:37:40.36	-40.8	-42.4	3.7	8345203	99	2514
08:37:40.47	-40.7	-42.3	3.7	8350135	99	2497
08:37:40.58	-40.8	-42.3	3.7	8350135	99	2493
08:37:40.70	-40.7	-42.3	3.8	8350135	99	2476
08:37:40.81	-40.8	-43.6	3.7	8341300	99	2888
08:37:40.92	-40.7	-43.5	3.7	8341300	99	2873
08:37:41.03	-40.7	-43.4	4.0	8400569	99	2823
08:37:41.13	-40.7	-42.9	3.9	8400569	99	2681
08:37:41.25	-40.7	-42.5	3.9	8400569	99	2550
08:37:41.35	-40.7	-42.1	3.8	8347354	99	2447
08:37:41.47	-40.6	-41.8	3.9	8347354	99	2395
08:37:41.58	-40.6	-41.9	3.9	8315311	99	2407
08:37:41.69	-40.6	-41.9	3.8	8315311	99	2398
08:37:41.80	-40.6	-41.7	3.9	8315311	99	2354
08:37:41.91	-40.5	-41.6	4.0	8296337	99	2341
08:37:42.03	-40.6	-41.8	3.9	8296337	99	2382
08:37:42.14	-40.6	-41.7	3.9	8296337	99	2362
08:37:42.25	-40.5	-41.4	4.0	8281734	99	2314
08:37:42.36	-40.5	-41.4	4.0	8281734	99	2320
08:37:42.47	-40.5	-41.5	4.0	8252700	99	2329
08:37:42.58	-40.5	-41.3	4.0	8252700	99	2298
08:37:42.70	-40.4	-41.3	4.0	8252700	99	2292
08:37:42.81	-40.5	-41.4	4.0	8237514	99	2310
08:37:42.92	-40.5	-41.4	4.0	8237514	99	2317
08:37:43.03	-40.4	-41.3	4.1	8237663	99	2289
08:37:43.14	-40.5	-41.4	4.0	8237663	99	2306
08:37:43.26	-40.5	-41.4	4.0	8237663	99	2313
08:37:43.37	-40.5	-41.5	4.0	8240947	99	2324
08:37:43.48	-40.5	-41.3	4.0	8240947	99	2298
08:37:43.59	-40.5	-41.5	4.0	8240947	99	2324
08:37:43.70	-40.6	-41.6	4.0	8235671	99	2347
08:37:43.81	-40.6	-41.6	3.9	8235671	99	2343
08:37:43.92	-40.5	-41.5	4.0	8269168	99	2334
08:37:44.03	-40.5	-41.6	4.0	8269168	99	2339
08:37:44.14	-40.6	-41.7	4.0	8269168	99	2360
08:37:44.26	-40.6	-41.8	3.9	8263996	99	2376
08:37:44.37	-40.6	-41.8	3.9	8263996	99	2383
08:37:44.48	-40.6	-41.8	3.9	8263996	99	2382
08:37:44.59	-40.6	-41.9	3.9	8283542	99	2396
08:37:44.70	-40.7	-41.9	3.9	8283542	99	2393
08:37:44.82	-40.6	-41.7	3.9	8282546	99	2366
08:37:44.93	-40.6	-41.9	3.9	8282546	99	2396
08:37:45.04	-40.7	-42.0	3.9	8282546	99	2422
08:37:45.15	-40.7	-42.0	3.9	8281070	99	2411
08:37:45.26	-40.6	-41.9	3.9	8281070	99	2405
08:37:45.38	-40.7	-41.9	3.9	8299083	99	2406
08:37:45.49	-40.6	-41.9	3.9	8299083	99	2404
08:37:45.60	-40.6	-41.8	3.9	8299083	99	2385
08:37:45.71	-40.6	-41.8	3.9	8292274	99	2384
08:37:45.82	-40.6	-41.9	3.9	8292274	99	2395
08:37:45.94	-40.6	-41.7	3.9	8292274	99	2367
08:37:46.05	-40.6	-41.7	3.9	8285797	99	2358
08:37:46.16	-40.6	-41.7	3.9	8285797	99	2367
08:37:46.27	-40.6	-41.8	3.9	8264614	99	2377
08:37:46.38	-40.6	-41.6	4.0	8264614	99	2337
08:37:46.50	-40.5	-41.5	4.0	8264614	99	2328
08:37:46.61	-40.6	-41.6	4.0	8259349	99	2340
08:37:46.72	-40.5	-41.4	4.0	8259349	99	2316
08:37:46.83	-40.5	-41.4	4.0	8253204	99	2315
08:37:46.94	-40.5	-41.4	4.1	8253204	99	2304
08:37:47.06	-40.5	-41.4	4.0	8253204	99	2307
08:37:47.17	-40.5	-41.5	4.0	8224891	99	2313
08:37:47.28	-40.5	-41.5	4.0	8224891	99	2317
08:37:47.39	-40.5	-41.3	4.1	8224891	99	2293
08:37:47.50	-40.5	-41.3	4.1	8241943	99	2301
08:37:47.62	-40.4	-41.3	4.1	8241943	99	2288
08:37:47.73	-40.5	-41.2	4.1	8217487	99	2276
08:37:47.84	-40.4	-41.2	4.1	8217487	99	2277
08:37:47.95	-40.4	-41.2	4.1	8217487	99	2277
08:37:48.06	-40.4	-41.1	4.1	8186508	99	2252
08:37:48.17	-40.4	-41.2	4.1	8186508	99	2267
08:37:48.28	-40.5	-41.2	4.1	8194335	99	2269
08:37:48.39	-40.4	-41.0	4.2	8194335	99	2229
08:37:48.50	-40.4	-40.9	4.2	8194335	99	2217
08:37:48.61	-40.4	-40.9	4.2	8150791	99	2223
08:37:48.72	-40.3	-40.8	4.2	8150791	99	2206
08:37:48.83	-40.3	-40.8	4.3	8150791	99	2197
08:37:48.94	-40.3	-40.7	4.3	8118942	99	2189
08:37:49.05	-40.3	-40.7	4.3	8118942	99	2187
08:37:49.16	-40.2	-41.0	4.3	8118942	98	2289
08:37:49.27	-40.2	-41.0	4.3	8082229	98	2287
08:37:49.38	-40.2	-41.1	4.3	8082229	98	2303
08:37:49.50	-40.2	-41.2	4.2	8094074	98	2315
08:37:49.61	-40.2	-41.2	4.2	8094074	98	2328
08:37:49.72	-40.2	-41.2	4.2	8094074	98	2328
08:37:49.83	-40.3	-41.2	4.2	8123050	98	2329
08:37:49.94	-40.2	-41.2	4.2	8123050	98	2327
08:37:50.06	-40.3	-41.3	4.2	8144714	98	2335
08:37:50.17	-40.3	-41.3	4.2	8144714	98	2341
08:37:50.28	-40.3	-41.3	4.2	8144714	98	2341
08:37:50.39	-40.3	-41.3	4.2	8150150	98	2342
08:37:50.50	-40.2	-41.2	4.2	8150150	98	2324
08:37:50.62	-40.3	-41.3	4.2	8150150	98	2334
08:37:50.73	-40.3	-41.3	4.2	8150573	98	2339
08:37:50.84	-40.2	-41.2	4.2	8150573	98	2330
08:37:50.95	-40.2	-41.2	4.2	8150104	98	2319
08:37:51.06	-40.3	-41.3	4.2	8150104	98	2339
08:37:51.17	-40.2	-41.2	4.2	8150104	98	2322
08:37:51.29	-40.2	-41.1	4.3	8137172	98	2300
08:37:51.40	-40.1	-40.9	4.3	8137172	98	2277
08:37:51.51	-40.1	-41.0	4.3	8082344	98	2297
08:37:51.62	-40.1	-40.8	4.3	8082344	98	2264
08:37:51.73	-40.1	-40.8	4.3	8082344	98	2262
08:37:51.84	-40.1	-40.9	4.3	8058689	98	2279
08:37:51.95	-40.2	-41.0	4.3	8058689	98	2304
08:37:52.06	-40.1	-40.9	4.3	8058689	98	2285
08:37:52.17	-40.2	-40.9	4.3	8092220	98	2277
08:37:52.28	-40.2	-41.1	4.3	8092220	98	2304
08:37:52.39	-40.1	-40.9	4.3	8103069	98	2286
08:37:52.50	-40.1	-40.7	4.4	8103069	98	2237
08:37:52.61	-40.1	-40.7	4.4	8103069	98	2243
08:37:52.72	-40.1	-40.8	4.3	8033409	98	2252
08:37:52.83	-40.1	-40.7	4.4	8033409	98	2232
08:37:52.94	-40.0	-40.7	4.4	8033409	98	2236
08:37:53.05	-40.1	-40.7	4.4	8024471	98	2245
08:37:53.16	-40.1	-40.7	4.4	8024471	98	2229
08:37:53.27	-40.1	-40.6	4.4	8012546	98	2226
08:37:53.38	-40.1	-40.7	4.4	8012546	98	2229
08:37:53.49	-40.1	-40.8	4.4	8012546	98	2245
08:37:53.61	-40.1	-40.7	4.4	8000919	98	2237
08:37:53.72	-40.1	-40.7	4.4	8000919	98	2241
08:37:53.83	-40.2	-41.0	4.3	8026679	98	2287
08:37:53.94	-40.2	-41.1	4.3	8026679	98	2297
08:37:54.05	-40.2	-41.1	4.3	8026679	98	2302
08:37:54.17	-40.3	-41.2	4.2	8093273	98	2329
08:37:54.28	-40.3	-41.4	4.2	8093273	98	2358
08:37:54.39	-40.3	-41.3	4.2	8093273	98	2336
08:37:54.50	-40.2	-41.2	4.2	8145412	98	2322
08:37:54.61	-40.3	-41.2	4.2	8145412	98	2328
08:37:54.73	-40.3	-41.2	4.2	8141624	98	2329
08:37:54.84	-40.3	-41.3	4.2	8141624	98	2339
08:37:54.95	-40.3	-41.4	4.2	8141624	98	2361
08:37:55.06	-40.3	-41.4	4.1	8160381	98	2365
08:37:55.17	-40.3	-41.4	4.2	8160381	98	2349
08:37:55.28	-40.3	-41.4	4.1	8164318	98	2366
08:37:55.39	-40.3	-41.3	4.2	8164318	98	2336
08:37:55.50	-40.3	-41.2	4.2	8164318	98	2327
08:37:55.61	-40.3	-41.3	4.2	8153503	98	2341
08:37:55.72	-40.3	-41.2	4.2	8153503	98	2332
08:37:55.83	-40.3	-41.3	4.2	8153503	98	2329
08:37:55.94	-40.2	-41.1	4.2	8135307	98	2293
08:37:56.05	-40.2	-41.0	4.3	8135307	98	2292
08:37:56.16	-40.2	-41.1	4.2	8135307	98	2308
08:37:56.27	-40.1	-40.8	4.3	8129779	98	2260
08:37:56.39	-40.1	-40.7	4.4	8129779	98	2244
08:37:56.50	-40.1	-40.7	4.4	8041076	98	2234
08:37:56.61	-40.1	-40.8	4.4	8041076	98	2249
08:37:56.72	-40.1	-40.7	4.4	8013210	98	2233
08:37:56.83	-40.1	-40.7	4.4	8013210	98	2235
08:37:56.94	-40.1	-40.8	4.4	8013210	98	2254
08:37:57.05	-40.1	-40.7	4.4	7998252	98	2230
08:37:57.16	-40.1	-40.8	4.4	7998252	98	2248
08:37:57.28	-40.1	-40.8	4.4	7998252	98	2248
08:37:57.39	-40.1	-40.9	4.4	7997760	98	2258
08:37:57.50	-40.2	-41.1	4.3	7997760	98	2294
08:37:57.61	-40.2	-41.0	4.3	7997760	98	2282
08:37:57.72	-40.2	-40.9	4.3	8074264	98	2276
08:37:57.84	-40.2	-41.0	4.3	8074264	98	2296
08:37:57.95	-40.2	-41.1	4.3	8078384	98	2311
08:37:58.06	-40.1	-40.8	4.4	8078384	98	2252
08:37:58.17	-40.2	-41.1	4.3	8066871	98	2300
08:37:58.28	-40.3	-41.4	4.2	8066871	98	2354
08:37:58.39	-40.3	-41.2	4.2	8066871	98	2319
08:37:58.50	-40.2	-41.1	4.3	8133636	98	2307
08:37:58.62	-40.3	-41.5	4.1	8133636	98	2384
08:37:58.73	-40.3	-41.3	4.2	8133636	98	2339
08:37:58.84	-40.2	-41.1	4.3	8170749	98	2302
08:37:58.95	-40.3	-41.3	4.2	8170749	98	2333
08:37:59.06	-40.4	-41.7	4.1	8170749	98	2409
