#Pass ID: 20250125_130256_METEOR-M2 2
#Satellite: METEOR-M2 2
#Configuration: METEOR-M2 2
#Start time: 2025-01-25 13:03:01.997202

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 44387U 19038A   25024.76368027  .00000427  00000+0  20528-3 0  9991
#TLE: 2 44387  98.8579   1.2349 0002158  64.0416 296.0984 14.24124981288923

#Time	Az	El	Level	SNR
2025-01-25 13:03:04.151829	187.5	10.2	-78.1	0.0
2025-01-25 13:03:05.274471	187.5	10.3	-78.2	0.0
2025-01-25 13:03:06.397367	187.6	10.4	-77.9	0.0
2025-01-25 13:03:07.519653	187.7	10.5	-78.3	0.0
2025-01-25 13:03:08.641400	187.7	10.6	-78.4	0.0
2025-01-25 13:03:09.762948	187.8	10.7	-78.1	0.0
2025-01-25 13:03:10.885574	187.9	10.7	-78.2	0.0
2025-01-25 13:03:12.007936	188.0	10.8	-78.0	0.0
2025-01-25 13:03:13.128964	188.0	10.9	-78.1	0.0
2025-01-25 13:03:14.251601	188.1	11.0	-78.3	0.0
2025-01-25 13:03:15.375590	188.2	11.1	-78.0	0.0
2025-01-25 13:03:16.497646	188.2	11.2	-78.2	0.0
2025-01-25 13:03:17.619687	188.3	11.3	-78.3	0.0
2025-01-25 13:03:18.740626	188.4	11.4	-78.2	0.0
2025-01-25 13:03:19.864518	188.5	11.5	-77.7	0.0
2025-01-25 13:03:20.988420	188.5	11.6	-77.9	0.0
2025-01-25 13:03:22.110943	188.6	11.7	-78.0	0.0
2025-01-25 13:03:23.235626	188.7	11.8	-78.1	0.0
2025-01-25 13:03:24.359878	188.8	11.9	-78.2	0.0
2025-01-25 13:03:25.484473	188.9	12.0	-78.3	0.0
2025-01-25 13:03:26.608913	188.9	12.1	-77.9	0.0
2025-01-25 13:03:27.733041	189.0	12.2	-77.6	0.0
2025-01-25 13:03:28.857841	189.1	12.3	-77.6	0.0
2025-01-25 13:03:29.979824	189.2	12.4	-77.7	0.0
2025-01-25 13:03:31.103813	189.2	12.5	-78.6	0.0
2025-01-25 13:03:32.227904	189.3	12.6	-78.5	0.0
2025-01-25 13:03:33.352265	189.4	12.7	-78.5	0.0
2025-01-25 13:03:34.476758	189.5	12.8	-78.4	0.0
2025-01-25 13:03:35.598111	189.6	13.0	-78.5	0.0
2025-01-25 13:03:36.719196	189.7	13.1	-78.5	0.0
2025-01-25 13:03:37.844139	189.7	13.2	-78.6	0.0
