#Pass ID: 20250126_060641_METOP-B
#Satellite: METOP-B
#Configuration: METOP-B
#Start time: 2025-01-26 06:06:46.506153

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 38771U 12049A   25025.53036157  .00000368  00000+0  18796-3 0  9996
#TLE: 2 38771  98.5994  83.4165 0001560  69.7043 290.4302 14.21418220641141

#Time	Az	El	Level	SNR
2025-01-26 06:06:58.760309	359.5	32.1	-63.8	9.6
2025-01-26 06:06:59.901271	359.3	32.3	-63.6	11.0
2025-01-26 06:07:01.044227	359.1	32.5	-64.2	10.0
2025-01-26 06:07:02.188198	358.9	32.7	-63.3	9.0
2025-01-26 06:07:03.331155	358.6	32.9	-62.0	8.1
2025-01-26 06:07:04.472116	358.4	33.1	-63.7	8.7
2025-01-26 06:07:05.618065	358.2	33.3	-63.4	9.8
2025-01-26 06:07:06.760024	357.9	33.5	-63.3	8.8
2025-01-26 06:07:07.901984	357.7	33.7	-63.5	9.0
2025-01-26 06:07:09.043456	357.4	33.9	-63.3	7.8
2025-01-26 06:07:10.186410	357.2	34.1	-63.5	8.9
2025-01-26 06:07:11.330364	356.9	34.4	-62.3	7.3
2025-01-26 06:07:12.474318	356.7	34.6	-62.9	7.6
2025-01-26 06:07:13.619269	356.4	34.8	-63.5	9.8
2025-01-26 06:07:14.761229	356.2	35.0	-63.6	6.9
2025-01-26 06:07:15.907177	355.9	35.2	-63.5	7.8
2025-01-26 06:07:17.049136	355.6	35.4	-62.6	7.0
2025-01-26 06:07:18.191096	355.4	35.6	-62.4	6.2
2025-01-26 06:07:19.335051	355.1	35.8	-61.6	5.6
2025-01-26 06:07:20.476012	354.8	36.1	-62.3	6.0
2025-01-26 06:07:21.619966	354.5	36.3	-61.3	3.1
2025-01-26 06:07:22.765424	354.2	36.5	-61.2	4.5
2025-01-26 06:07:23.905388	353.9	36.7	-61.2	4.7
2025-01-26 06:07:25.048345	353.6	36.9	-61.0	5.1
2025-01-26 06:07:26.190304	353.3	37.1	-61.3	4.7
2025-01-26 06:07:27.333261	353.0	37.4	-61.0	4.2
2025-01-26 06:07:28.478212	352.7	37.6	-60.7	3.9
2025-01-26 06:07:29.620171	352.4	37.8	-60.6	3.8
