#Pass ID: 20250126_235210_AURA
#Satellite: AURA
#Configuration: AURA
#Start time: 2025-01-26 23:52:15.730638

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 28376U 04026A   25025.87705282  .00002378  00000+0  50696-3 0  9999
#TLE: 2 28376  98.2780 335.6717 0001647  85.9709 274.1679 14.59848561 92154

#Time	Az	El	Level	SNR
2025-01-26 23:52:19.882048	24.4	15.5	-66.5	0.0
2025-01-26 23:52:20.997978	24.5	15.6	-66.4	0.0
2025-01-26 23:52:22.113644	24.5	15.7	-66.6	0.6
2025-01-26 23:52:23.228497	24.6	15.9	-66.7	0.0
2025-01-26 23:52:24.344359	24.7	16.0	-66.6	0.0
2025-01-26 23:52:25.460214	24.7	16.1	-66.8	0.0
2025-01-26 23:52:26.575578	24.8	16.3	-66.9	0.0
2025-01-26 23:52:27.691514	24.9	16.4	-67.0	0.0
2025-01-26 23:52:28.807741	25.0	16.5	-66.9	0.0
2025-01-26 23:52:29.922602	25.0	16.7	-66.8	0.0
2025-01-26 23:52:31.038790	25.1	16.8	-66.6	0.0
2025-01-26 23:52:32.153421	25.2	16.9	-66.7	0.0
2025-01-26 23:52:33.268275	25.3	17.1	-66.4	0.0
2025-01-26 23:52:34.383128	25.3	17.2	-66.1	2.9
2025-01-26 23:52:35.497980	25.4	17.3	-66.1	2.7
2025-01-26 23:52:36.612732	25.5	17.5	-65.9	4.1
2025-01-26 23:52:37.730210	25.6	17.6	-65.7	3.5
2025-01-26 23:52:38.844926	25.7	17.8	-66.0	3.2
2025-01-26 23:52:39.961651	25.7	17.9	-66.1	3.0
2025-01-26 23:52:41.077611	25.8	18.0	-66.0	3.4
2025-01-26 23:52:42.192471	25.9	18.2	-66.0	3.4
2025-01-26 23:52:43.307577	26.0	18.3	-66.1	2.9
2025-01-26 23:52:44.422539	26.1	18.5	-66.1	1.5
2025-01-26 23:52:45.537747	26.2	18.6	-66.4	3.0
2025-01-26 23:52:46.652900	26.2	18.8	-66.5	2.3
2025-01-26 23:52:47.767882	26.3	18.9	-66.6	1.5
2025-01-26 23:52:48.882742	26.4	19.1	-66.5	2.3
2025-01-26 23:52:49.998996	26.5	19.2	-66.3	2.3
2025-01-26 23:52:51.115361	26.6	19.4	-66.0	3.3
2025-01-26 23:52:52.230214	26.7	19.5	-65.8	4.3
2025-01-26 23:52:53.345106	26.8	19.7	-65.7	4.4
2025-01-26 23:52:54.460969	26.9	19.8	-65.6	4.4
2025-01-26 23:52:55.576399	27.0	20.0	-65.3	4.6
2025-01-26 23:52:56.693265	27.1	20.1	-65.3	5.2
2025-01-26 23:52:57.809129	27.2	20.3	-64.8	5.6
2025-01-26 23:52:58.925953	27.2	20.4	-64.7	5.6
2025-01-26 23:53:00.041816	27.3	20.6	-65.3	5.7
2025-01-26 23:53:01.156676	27.4	20.8	-65.1	5.4
2025-01-26 23:53:02.272540	27.5	20.9	-64.8	6.0
2025-01-26 23:53:03.388465	27.6	21.1	-64.5	6.7
2025-01-26 23:53:04.503525	27.7	21.2	-64.4	6.7
2025-01-26 23:53:05.619383	27.8	21.4	-65.0	5.9
2025-01-26 23:53:06.734243	27.9	21.6	-64.9	5.9
2025-01-26 23:53:07.849103	28.0	21.7	-64.9	6.0
2025-01-26 23:53:08.965402	28.2	21.9	-64.9	6.1
2025-01-26 23:53:10.082269	28.3	22.1	-64.8	6.7
2025-01-26 23:53:11.197129	28.4	22.2	-64.7	6.4
2025-01-26 23:53:12.312992	28.5	22.4	-64.7	6.5
2025-01-26 23:53:13.428855	28.6	22.6	-64.5	6.8
2025-01-26 23:53:14.543861	28.7	22.8	-64.6	7.1
2025-01-26 23:53:15.658718	28.8	22.9	-64.4	6.6
2025-01-26 23:53:16.773579	28.9	23.1	-64.7	6.9
2025-01-26 23:53:17.888438	29.0	23.3	-65.0	6.5
2025-01-26 23:53:19.004452	29.2	23.5	-64.8	6.8
2025-01-26 23:53:20.119310	29.3	23.6	-64.7	6.3
2025-01-26 23:53:21.234170	29.4	23.8	-64.6	6.7
2025-01-26 23:53:22.350534	29.5	24.0	-64.5	6.8
2025-01-26 23:53:23.466397	29.6	24.2	-64.6	7.3
2025-01-26 23:53:24.582290	29.8	24.4	-64.5	6.9
2025-01-26 23:53:25.697313	29.9	24.6	-64.3	7.3
2025-01-26 23:53:26.812354	30.0	24.7	-64.2	7.5
2025-01-26 23:53:27.928218	30.1	24.9	-63.9	8.0
2025-01-26 23:53:29.044448	30.3	25.1	-63.7	8.3
2025-01-26 23:53:30.160638	30.4	25.3	-63.5	8.5
2025-01-26 23:53:31.275498	30.5	25.5	-63.7	8.5
2025-01-26 23:53:32.390358	30.7	25.7	-63.7	8.0
2025-01-26 23:53:33.505218	30.8	25.9	-63.8	8.6
2025-01-26 23:53:34.622170	30.9	26.1	-63.8	8.4
2025-01-26 23:53:35.737356	31.1	26.3	-63.9	8.0
2025-01-26 23:53:36.852215	31.2	26.5	-63.8	8.0
2025-01-26 23:53:37.967578	31.4	26.7	-64.0	8.1
2025-01-26 23:53:39.084445	31.5	26.9	-63.8	8.0
2025-01-26 23:53:40.200308	31.6	27.1	-64.0	8.3
2025-01-26 23:53:41.314950	31.8	27.3	-64.1	8.1
2025-01-26 23:53:42.429810	31.9	27.5	-63.7	8.7
2025-01-26 23:53:43.544670	32.1	27.7	-63.6	8.7
2025-01-26 23:53:44.661982	32.2	27.9	-63.3	9.2
2025-01-26 23:53:45.777841	32.4	28.1	-63.1	9.3
2025-01-26 23:53:46.893704	32.6	28.3	-62.9	9.8
2025-01-26 23:53:48.010541	32.7	28.5	-62.8	9.9
2025-01-26 23:53:49.125400	32.9	28.8	-62.8	9.7
2025-01-26 23:53:50.242267	33.0	29.0	-62.8	9.9
2025-01-26 23:53:51.357111	33.2	29.2	-62.6	10.3
2025-01-26 23:53:52.471970	33.4	29.4	-62.6	10.3
2025-01-26 23:53:53.587709	33.6	29.6	-62.8	10.1
2025-01-26 23:53:54.702566	33.7	29.8	-62.9	9.7
2025-01-26 23:53:55.818424	33.9	30.1	-63.2	9.1
2025-01-26 23:53:56.933284	34.1	30.3	-63.2	9.3
2025-01-26 23:53:58.048646	34.3	30.5	-63.3	9.1
2025-01-26 23:53:59.164285	34.4	30.8	-62.9	9.6
2025-01-26 23:54:00.279145	34.6	31.0	-62.9	9.5
2025-01-26 23:54:01.393815	34.8	31.2	-62.9	9.5
2025-01-26 23:54:02.508675	35.0	31.4	-63.0	10.3
2025-01-26 23:54:03.623535	35.2	31.7	-62.7	10.0
2025-01-26 23:54:04.738390	35.4	31.9	-62.9	9.7
