#Pass ID: 20250126_045322_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#Start time: 2025-01-26 04:53:15

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 49008U 21062A   25024.13727872  .00000118  00000+0  76315-4 0  9997
#TLE: 2 49008  98.7401  28.5376 0002591 105.8973 254.2489 14.19835318184340

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-26 04:53:15.97	342.41	67.89	-38.8	-40.7	3.3	8390087	95	6146
2025-01-26 04:53:16.17	342.25	67.95	-37.1	-59.6	2.8	6469814	46	65534
2025-01-26 04:53:16.37	342.08	68.02	-38.0	-51.7	3.5	8284606	72	23600
2025-01-26 04:53:16.57	341.91	68.09	-38.4	-41.0	3.3	8413204	93	6613
2025-01-26 04:53:16.77	341.74	68.16	-38.4	-40.8	3.3	8413204	93	6512
2025-01-26 04:53:16.98	341.56	68.24	-38.3	-41.4	3.6	8386207	94	7037
2025-01-26 04:53:17.18	341.39	68.31	-38.2	-41.2	3.6	8357894	94	6931
2025-01-26 04:53:17.38	341.22	68.37	-38.2	-40.0	3.4	8446380	94	6033
2025-01-26 04:53:17.58	341.05	68.44	-38.2	-39.6	3.3	8400135	94	5823
2025-01-26 04:53:17.78	340.87	68.51	-38.1	-40.7	3.6	8397125	94	6649
2025-01-26 04:53:17.98	340.70	68.58	-38.0	-40.5	3.6	8427852	94	6552
2025-01-26 04:53:18.18	340.52	68.65	-38.0	-39.2	3.5	8433563	94	5704
2025-01-26 04:53:18.38	340.34	68.72	-37.8	-38.4	3.5	8433563	94	5282
2025-01-26 04:53:18.58	340.16	68.79	-37.8	-38.9	3.5	8387134	93	5586
2025-01-26 04:53:18.78	339.98	68.85	-37.7	-40.0	3.6	8384090	93	6391
2025-01-26 04:53:18.99	339.79	68.92	-37.6	-38.7	3.7	8424018	93	5618
2025-01-26 04:53:19.19	339.60	68.99	-37.4	-37.7	3.7	8387763	93	5085
2025-01-26 04:53:19.39	339.42	69.06	-37.2	-37.6	3.8	8350341	92	5156
2025-01-26 04:53:19.59	339.23	69.13	-37.0	-37.0	4.0	8314830	92	4952
2025-01-26 04:53:19.79	339.04	69.19	-36.8	-37.0	4.2	8234813	91	5050
2025-01-26 04:53:19.99	338.86	69.26	-36.5	-36.3	4.4	8234813	91	4809
2025-01-26 04:53:20.19	338.67	69.33	-35.9	-35.5	4.7	8092712	90	4673
2025-01-26 04:53:20.39	338.47	69.40	-35.6	-35.2	5.1	7802341	89	4672
2025-01-26 04:53:20.59	338.28	69.46	-35.3	-34.4	5.4	7355255	89	4454
2025-01-26 04:53:20.80	338.08	69.53	-34.9	-34.1	5.9	5659091	88	4479
2025-01-26 04:53:21.00	337.88	69.60	-34.5	-33.6	6.5	3156394	87	4478
2025-01-26 04:53:21.20	337.68	69.66	-33.8	-33.4	7.0	2091831	85	4684
2025-01-26 04:53:21.40	337.49	69.73	-33.4	-32.4	7.5	1279529	85	4431
2025-01-26 04:53:21.60	337.29	69.80	-32.9	-32.1	8.0	841232	84	4463
2025-01-26 04:53:21.80	337.09	69.86	-32.6	-31.8	8.5	841232	83	4525
2025-01-26 04:53:22.00	336.88	69.93	-32.3	-31.3	8.9	536499	83	4380
2025-01-26 04:53:22.20	336.68	69.99	-32.0	-31.3	9.3	329532	82	4527
2025-01-26 04:53:22.40	336.47	70.06	-31.6	-30.9	9.8	200305	81	4544
2025-01-26 04:53:22.60	336.27	70.12	-31.7	-31.7	9.8	112415	80	4921
2025-01-26 04:53:22.80	336.06	70.19	-31.2	-30.6	10.4	71010	80	4579
2025-01-26 04:53:23.00	335.85	70.25	-31.0	-30.2	10.5	50159	80	4488
2025-01-26 04:53:23.21	335.63	70.32	-30.5	-29.7	11.0	30658	79	4477
2025-01-26 04:53:23.41	335.41	70.38	-30.8	-30.3	10.6	30658	79	4624
2025-01-26 04:53:23.61	335.20	70.44	-30.8	-30.3	10.6	29411	79	4654
2025-01-26 04:53:23.81	334.98	70.51	-30.5	-29.6	11.0	34069	79	4450
2025-01-26 04:53:24.01	334.77	70.57	-30.8	-30.2	10.6	27053	79	4601
2025-01-26 04:53:24.21	334.55	70.63	-31.0	-30.6	10.5	36701	79	4703
