#Pass ID: 20250128_214732_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2025-01-28 21:47:37.903101

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 59051U 24039A   25028.39390490  .00000111  00000+0  69128-4 0  9994
#TLE: 2 59051  98.6312 351.1223 0006848 182.9091 177.2049 14.22329730 47503

#Time	Az	El	Level	SNR
2025-01-28 21:47:46.109937	59.3	30.9	-59.0	4.6
2025-01-28 21:47:47.253889	59.7	31.1	-59.6	0.0
2025-01-28 21:47:48.395361	60.0	31.2	-59.3	0.0
2025-01-28 21:47:49.535325	60.3	31.3	-59.7	6.8
2025-01-28 21:47:50.678283	60.7	31.5	-51.1	0.0
2025-01-28 21:47:51.819245	61.0	31.6	-57.2	2.3
2025-01-28 21:47:52.966191	61.4	31.7	-54.8	0.0
2025-01-28 21:47:54.109148	61.7	31.8	-57.4	4.5
2025-01-28 21:47:55.249622	62.1	32.0	-57.9	4.8
2025-01-28 21:47:56.394574	62.4	32.1	-56.3	0.0
2025-01-28 21:47:57.538528	62.8	32.2	-58.9	8.3
2025-01-28 21:47:58.680488	63.2	32.3	-53.8	0.0
2025-01-28 21:47:59.822447	63.5	32.5	-56.6	0.0
2025-01-28 21:48:00.965404	63.9	32.6	-52.6	0.0
2025-01-28 21:48:02.108390	64.3	32.7	-57.3	0.0
2025-01-28 21:48:03.250349	64.6	32.8	-56.6	0.0
2025-01-28 21:48:04.392308	65.0	32.9	-58.9	0.0
2025-01-28 21:48:05.534268	65.4	33.1	-63.6	10.7
2025-01-28 21:48:06.676228	65.8	33.2	-59.4	5.0
2025-01-28 21:48:07.821179	66.2	33.3	-55.8	0.0
2025-01-28 21:48:08.963158	66.6	33.4	-59.8	0.0
2025-01-28 21:48:10.109106	66.9	33.5	-64.1	0.0
2025-01-28 21:48:11.251066	67.3	33.6	-63.8	3.6
2025-01-28 21:48:12.393533	67.7	33.8	-63.4	0.0
2025-01-28 21:48:13.534495	68.1	33.9	-62.5	6.2
2025-01-28 21:48:14.676455	68.5	34.0	-62.5	0.0
2025-01-28 21:48:15.818415	68.9	34.1	-63.7	0.8
2025-01-28 21:48:16.963366	69.3	34.2	-60.6	0.0
2025-01-28 21:48:18.108318	69.8	34.3	-65.2	5.6
2025-01-28 21:48:19.251784	70.2	34.4	-61.2	6.4
2025-01-28 21:48:20.398729	70.6	34.5	-62.8	0.0
2025-01-28 21:48:21.538694	71.0	34.6	-64.6	9.3
2025-01-28 21:48:22.680653	71.4	34.7	-62.7	4.5
2025-01-28 21:48:23.822613	71.8	34.8	-58.8	0.2
2025-01-28 21:48:24.964573	72.3	34.9	-60.6	0.1
2025-01-28 21:48:26.105555	72.7	35.0	-56.8	0.0
2025-01-28 21:48:27.250505	73.1	35.1	-58.7	0.0
2025-01-28 21:48:28.395457	73.5	35.2	-56.1	0.0
2025-01-28 21:48:29.540409	74.0	35.3	-59.8	2.7
2025-01-28 21:48:30.682368	74.4	35.4	-57.5	0.0
2025-01-28 21:48:31.823837	74.9	35.5	-57.5	0.0
2025-01-28 21:48:32.962804	75.3	35.6	-59.8	0.8
2025-01-28 21:48:34.106758	75.7	35.7	-60.5	0.0
