#Pass ID: 20250129_190346_FENGYUN 3F
#Satellite: FENGYUN 3F
#Configuration: FENGYUN 3F
#Start time: 2025-01-29 19:03:42

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 57490U 23111A   25028.86673620  .00000250  00000+0  13826-3 0  9997
#TLE: 2 57490  98.7439 101.6423 0001620 124.8904 235.2425 14.19984104 77290

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-29 19:03:42.28	142.84	68.24	-38.6	-41.4	3.3	8383243	94	6750
2025-01-29 19:03:42.48	142.77	68.33	-37.1	-59.6	2.7	6363670	46	65533
2025-01-29 19:03:42.68	142.69	68.41	-38.1	-51.6	3.5	8305995	73	23312
2025-01-29 19:03:42.88	142.62	68.50	-38.5	-41.1	3.3	8425415	94	6624
2025-01-29 19:03:43.08	142.54	68.59	-38.5	-41.0	3.3	8425415	94	6534
2025-01-29 19:03:43.28	142.47	68.68	-38.4	-42.3	3.6	8388988	94	7678
2025-01-29 19:03:43.48	142.39	68.77	-38.4	-41.9	3.6	8433300	94	7371
2025-01-29 19:03:43.68	142.32	68.85	-38.4	-40.9	3.4	8448749	94	6559
2025-01-29 19:03:43.88	142.24	68.94	-38.3	-40.6	3.3	8406600	94	6349
2025-01-29 19:03:44.09	142.16	69.04	-38.3	-41.8	3.6	8403121	94	7345
2025-01-29 19:03:44.29	142.08	69.12	-38.3	-41.8	3.6	8441539	94	7329
2025-01-29 19:03:44.49	142.00	69.21	-38.3	-40.7	3.4	8431388	94	6510
2025-01-29 19:03:44.69	141.92	69.30	-38.2	-40.1	3.3	8431388	94	6104
2025-01-29 19:03:44.89	141.84	69.39	-38.2	-40.0	3.3	8397136	94	6039
2025-01-29 19:03:45.09	141.76	69.48	-38.1	-41.3	3.6	8405754	94	7089
2025-01-29 19:03:45.29	141.67	69.57	-38.1	-40.4	3.4	8433288	94	6390
2025-01-29 19:03:45.49	141.59	69.66	-38.0	-39.5	3.3	8424716	94	5808
2025-01-29 19:03:45.70	141.50	69.75	-38.0	-39.5	3.3	8392971	94	5814
