#Pass ID: 20250129_072705_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#Start time: 2025-01-29 07:27:00

#Time	Level	Level2	SNR	BER	Gain	Gain2
07:27:00.94	-41.7	-47.9	3.3	15362831	101	2116
07:27:01.05	-41.0	-63.4	3.5	0	70	13772
07:27:01.16	-41.4	-54.3	3.6	15170806	90	4607
07:27:01.27	-41.7	-49.9	3.6	15170806	100	2667
07:27:01.38	-41.7	-49.5	3.5	15170806	100	2552
07:27:01.49	-41.7	-49.2	3.5	15170806	100	2473
07:27:01.61	-41.7	-49.0	3.4	15170806	100	2420
07:27:01.72	-41.7	-48.7	3.4	15160385	100	2337
07:27:01.83	-41.7	-48.6	3.3	15160385	100	2299
07:27:01.94	-41.7	-50.0	3.6	15160385	100	2710
07:27:02.05	-41.7	-50.0	3.6	15213012	100	2701
07:27:02.17	-41.7	-49.7	3.6	15213012	100	2614
07:27:02.28	-41.7	-49.4	3.5	15213012	100	2519
07:27:02.39	-41.7	-49.1	3.4	15213012	100	2439
07:27:02.50	-41.7	-48.9	3.4	15173866	100	2378
07:27:02.61	-41.7	-48.6	3.3	15173866	100	2310
07:27:02.73	-41.7	-49.9	3.4	15173866	100	2679
07:27:02.84	-41.7	-49.9	3.6	15173866	100	2666
07:27:02.95	-41.7	-49.9	3.6	15192138	100	2672
07:27:03.06	-41.9	-49.6	3.5	15192138	101	2516
07:27:03.17	-42.0	-49.3	3.5	15192138	101	2420
07:27:03.28	-41.9	-49.0	3.4	15192138	101	2339
07:27:03.40	-41.9	-48.8	3.4	15125938	101	2279
07:27:03.51	-41.9	-48.5	3.3	15125938	101	2214
07:27:03.62	-41.7	-49.4	3.2	15125938	101	2508
07:27:03.73	-41.7	-49.3	3.6	15125938	101	2495
07:27:03.84	-41.7	-49.4	3.6	15202636	101	2512
07:27:03.96	-41.7	-49.2	3.6	15202636	101	2458
07:27:04.07	-41.7	-48.5	3.5	15202636	101	2278
07:27:04.18	-41.7	-48.3	3.4	15202636	101	2230
07:27:04.29	-41.7	-48.1	3.4	15161613	101	2169
07:27:04.40	-41.7	-47.9	3.3	15161613	101	2120
07:27:04.51	-41.7	-49.2	3.2	15161613	101	2464
07:27:04.62	-41.7	-49.1	3.6	15161613	101	2450
07:27:04.74	-41.7	-49.1	3.6	15230224	101	2444
07:27:04.85	-41.7	-48.9	3.6	15230224	101	2386
07:27:04.96	-41.7	-48.3	3.5	15230224	101	2230
07:27:05.07	-41.7	-48.0	3.4	15149345	101	2162
07:27:05.18	-41.7	-47.8	3.3	15149345	101	2113
07:27:05.29	-41.7	-47.7	3.3	15149345	101	2081
07:27:05.41	-41.7	-49.0	3.3	15149345	101	2426
07:27:05.52	-41.7	-49.0	3.6	15223068	101	2421
07:27:05.63	-41.7	-48.8	3.6	15223068	101	2374
07:27:05.74	-41.7	-48.5	3.5	15223068	101	2289
07:27:05.85	-41.7	-48.2	3.4	15223068	101	2204
07:27:05.97	-41.7	-47.9	3.4	15161216	101	2124
07:27:06.07	-41.7	-47.7	3.4	15161216	101	2078
07:27:06.18	-41.7	-47.5	3.3	15161216	101	2035
07:27:06.30	-41.6	-48.9	3.6	15161216	101	2408
07:27:06.41	-41.7	-48.9	3.6	15161216	101	2404
07:27:06.52	-41.7	-48.7	3.6	15196098	101	2338
07:27:06.63	-41.7	-48.4	3.5	15196098	101	2253
07:27:06.74	-41.7	-48.1	3.4	15196098	101	2184
07:27:06.85	-41.7	-48.0	3.4	15168739	101	2151
07:27:06.97	-41.7	-47.8	3.3	15168739	101	2089
07:27:07.08	-41.7	-49.1	3.2	15168739	101	2444
07:27:07.19	-41.7	-49.2	3.6	15168739	101	2460
07:27:07.30	-41.7	-49.0	3.6	15194969	101	2430
07:27:07.41	-41.7	-48.7	3.5	15194969	101	2339
07:27:07.53	-41.7	-48.5	3.4	15194969	101	2265
07:27:07.64	-41.7	-48.2	3.4	15194969	101	2188
07:27:07.75	-41.7	-48.0	3.4	15177749	101	2159
07:27:07.86	-41.7	-47.9	3.3	15177749	101	2117
07:27:07.97	-41.7	-49.3	3.6	15177749	101	2483
07:27:08.09	-41.7	-49.2	3.6	15177749	101	2481
07:27:08.20	-41.7	-49.1	3.6	15175872	101	2427
07:27:08.31	-41.7	-48.6	3.5	15175872	101	2289
07:27:08.42	-41.7	-48.3	3.4	15175872	101	2233
07:27:08.53	-41.7	-48.1	3.4	15175872	101	2180
07:27:08.65	-41.7	-47.9	3.3	15213569	101	2125
07:27:08.76	-41.7	-49.2	3.5	15213569	101	2479
07:27:08.87	-41.7	-49.2	3.6	15213569	101	2458
07:27:08.98	-41.7	-49.2	3.6	15213569	101	2478
07:27:09.09	-41.7	-48.9	3.6	15162109	101	2387
07:27:09.20	-41.7	-48.7	3.5	15162109	101	2313
07:27:09.31	-41.7	-48.2	3.4	15162109	101	2207
07:27:09.43	-41.7	-48.1	3.4	15162109	101	2160
07:27:09.54	-41.7	-48.0	3.4	15211761	101	2135
07:27:09.65	-41.7	-49.3	3.3	15211761	101	2489
07:27:09.76	-41.7	-49.3	3.6	15211761	101	2493
07:27:09.87	-41.8	-49.3	3.6	15211761	101	2481
07:27:09.99	-41.8	-49.0	3.5	15159500	101	2377
07:27:10.10	-41.8	-48.7	3.4	15159500	101	2313
07:27:10.21	-41.8	-48.4	3.4	15159500	101	2218
07:27:10.32	-41.8	-48.2	3.3	15227325	101	2169
07:27:10.43	-41.8	-48.1	3.3	15227325	101	2147
07:27:10.55	-41.8	-49.5	3.6	15227325	101	2536
07:27:10.66	-41.8	-49.5	3.6	15227325	101	2523
07:27:10.77	-41.8	-49.3	3.6	15139900	101	2451
07:27:10.88	-41.8	-49.0	3.5	15139900	101	2368
07:27:10.99	-41.8	-48.7	3.4	15139900	101	2305
07:27:11.10	-41.8	-48.5	3.4	15139900	101	2237
07:27:11.21	-41.8	-48.2	3.3	15239219	101	2169
07:27:11.32	-41.8	-49.6	3.3	15239219	101	2544
07:27:11.43	-41.8	-49.7	3.6	15239219	101	2556
07:27:11.55	-41.8	-49.7	3.6	15239219	101	2554
07:27:11.66	-42.0	-49.1	3.5	15102012	102	2353
07:27:11.77	-42.0	-48.8	3.5	15102012	102	2271
07:27:11.88	-42.0	-48.6	3.4	15102012	102	2213
07:27:11.99	-42.0	-48.3	3.4	15102012	102	2148
07:27:12.11	-42.0	-48.1	3.3	15249221	102	2105
07:27:12.22	-41.8	-49.0	2.8	15249221	102	2393
07:27:12.33	-41.8	-49.1	3.6	15249221	102	2403
07:27:12.44	-41.8	-49.1	3.6	15249221	102	2406
07:27:12.55	-41.8	-48.7	3.6	15116783	102	2309
07:27:12.67	-41.8	-48.2	3.5	15116783	102	2182
07:27:12.78	-41.8	-48.0	3.4	15116783	102	2132
07:27:12.89	-41.8	-47.8	3.4	15116783	102	2080
07:27:13.00	-41.8	-47.6	3.4	15213790	102	2032
07:27:13.12	-41.8	-48.7	3.5	15213790	102	2307
07:27:13.23	-41.9	-49.4	3.6	15213790	101	2491
07:27:13.34	-41.9	-49.6	3.6	15213790	101	2538
07:27:13.45	-41.9	-49.2	3.6	15154212	101	2427
07:27:13.56	-41.8	-48.6	3.5	15154212	101	2258
07:27:13.67	-41.8	-48.2	3.4	15154212	101	2179
07:27:13.79	-41.8	-48.1	3.4	15154212	101	2139
07:27:13.90	-41.9	-48.1	3.3	15212081	101	2140
07:27:14.01	-41.8	-49.4	3.6	15212081	101	2470
07:27:14.12	-41.9	-49.3	3.6	15212081	101	2460
07:27:14.23	-42.1	-49.9	3.0	15212081	101	2552
07:27:14.34	-42.1	-49.5	3.5	15116928	101	2438
07:27:14.45	-42.1	-49.1	3.5	15116928	101	2333
07:27:14.57	-42.1	-48.8	3.4	15116928	101	2251
07:27:14.68	-42.1	-48.6	3.4	15116928	101	2203
07:27:14.79	-42.1	-48.5	3.3	15218063	101	2162
07:27:14.90	-41.8	-48.6	2.8	15218063	102	2266
07:27:15.01	-41.8	-48.7	3.6	15218063	102	2291
07:27:15.12	-41.8	-48.8	3.6	15131935	102	2305
07:27:15.24	-41.9	-48.4	3.5	15131935	102	2217
07:27:15.35	-41.8	-47.9	3.4	15131935	102	2107
07:27:15.46	-41.8	-47.7	3.4	15131935	102	2037
07:27:15.57	-41.8	-47.3	3.4	15208557	102	1958
07:27:15.68	-41.8	-47.1	3.3	15208557	102	1914
07:27:15.79	-41.8	-48.5	3.4	15208557	102	2263
07:27:15.90	-41.8	-48.5	3.6	15208557	102	2243
07:27:16.02	-42.1	-49.0	3.1	15168380	102	2318
07:27:16.13	-42.1	-48.6	3.5	15168380	102	2210
07:27:16.24	-42.0	-48.2	3.5	15168380	102	2109
07:27:16.35	-42.0	-47.9	3.4	15168380	102	2044
07:27:16.46	-42.0	-47.5	3.4	15168006	102	1960
07:27:16.57	-42.1	-47.6	3.3	15168006	102	1971
07:27:16.68	-41.8	-48.6	2.9	15168006	101	2276
07:27:16.79	-41.8	-48.4	3.6	15168006	101	2235
07:27:16.91	-41.8	-48.2	3.6	15156494	101	2194
07:27:17.02	-42.0	-48.2	3.6	15156494	102	2123
07:27:17.13	-42.0	-47.7	3.5	15156494	102	2021
07:27:17.24	-42.0	-47.5	3.4	15156494	102	1956
07:27:17.35	-42.0	-47.3	3.4	15121406	102	1919
07:27:17.46	-42.0	-47.1	3.4	15121406	102	1866
07:27:17.58	-41.8	-48.5	2.8	15121406	101	2259
07:27:17.69	-41.8	-48.3	3.6	15121406	101	2217
07:27:17.80	-41.7	-48.3	3.6	15158691	101	2206
07:27:17.91	-41.8	-48.1	3.6	15158691	101	2149
07:27:18.02	-41.8	-48.0	3.5	15158691	101	2115
07:27:18.14	-41.9	-47.9	3.4	15158691	101	2075
07:27:18.25	-41.8	-47.6	3.4	15151519	101	2018
07:27:18.36	-41.8	-47.3	3.4	15151519	101	1960
07:27:18.47	-41.8	-48.6	3.0	15151519	101	2269
07:27:18.58	-41.8	-48.6	3.6	15151519	101	2263
07:27:18.70	-41.9	-48.8	3.6	15209976	101	2307
07:27:18.81	-41.9	-48.5	3.6	15209976	101	2226
07:27:18.92	-41.9	-48.3	3.5	15209976	101	2170
07:27:19.03	-41.9	-48.0	3.4	15209976	101	2092
07:27:19.14	-41.9	-47.8	3.4	15164909	101	2047
07:27:19.25	-41.9	-47.7	3.4	15164909	101	2015
07:27:19.37	-41.9	-49.1	3.6	15164909	101	2372
07:27:19.48	-41.9	-49.1	3.6	15164909	101	2370
07:27:19.59	-41.9	-49.0	3.6	15201019	101	2354
07:27:19.70	-41.9	-48.5	3.5	15201019	101	2231
07:27:19.81	-42.0	-48.3	3.4	15201019	101	2161
07:27:19.92	-41.9	-48.0	3.4	15201019	101	2085
07:27:20.04	-41.9	-47.8	3.4	15172851	101	2051
07:27:20.15	-42.0	-47.7	3.3	15172851	101	2017
07:27:20.26	-42.0	-49.1	3.6	15172851	101	2360
07:27:20.37	-42.0	-49.2	3.6	15180480	101	2391
