#Pass ID: 20250129_160209_METEOR-M2 3
#Satellite: METEOR-M2 3
#Configuration: METEOR-M2 3
#Start time: 2025-01-29 16:02:14.726296

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 57166U 23091A   25029.16654809  .00000092  00000+0  59122-4 0  9990
#TLE: 2 57166  98.6824  87.4554 0003948 179.5250 180.5933 14.23972903 82784

#Time	Az	El	Level	SNR
2025-01-29 16:02:16.885106	95.8	10.1	-71.5	0.0
2025-01-29 16:02:18.014435	95.6	10.2	-70.1	0.0
2025-01-29 16:02:19.147348	95.5	10.3	-73.9	0.0
2025-01-29 16:02:20.278120	95.3	10.4	-72.4	0.0
2025-01-29 16:02:21.409689	95.2	10.4	-72.4	0.0
2025-01-29 16:02:22.542513	95.0	10.5	-71.2	0.0
2025-01-29 16:02:23.675783	94.9	10.6	-72.0	0.0
2025-01-29 16:02:24.808018	94.7	10.6	-70.6	0.0
2025-01-29 16:02:25.936721	94.6	10.7	-71.4	0.0
2025-01-29 16:02:27.068114	94.4	10.8	-72.8	0.0
2025-01-29 16:02:28.200373	94.3	10.9	-70.9	0.0
2025-01-29 16:02:29.331006	94.1	10.9	-70.8	0.0
2025-01-29 16:02:30.466089	94.0	11.0	-71.0	0.0
2025-01-29 16:02:31.596846	93.8	11.1	-69.5	0.0
2025-01-29 16:02:32.727740	93.7	11.1	-69.1	0.0
2025-01-29 16:02:33.857301	93.5	11.2	-69.0	0.0
2025-01-29 16:02:34.989323	93.4	11.3	-69.7	0.0
2025-01-29 16:02:36.120047	93.2	11.4	-69.7	0.0
2025-01-29 16:02:37.253420	93.1	11.4	-72.0	0.0
2025-01-29 16:02:38.391534	92.9	11.5	-72.9	0.0
2025-01-29 16:02:39.529726	92.8	11.6	-72.8	0.0
2025-01-29 16:02:40.666268	92.6	11.7	-72.5	0.0
2025-01-29 16:02:41.802384	92.4	11.7	-72.6	0.0
2025-01-29 16:02:42.936258	92.3	11.8	-74.8	0.0
2025-01-29 16:02:44.069912	92.1	11.9	-74.7	0.0
2025-01-29 16:02:45.206176	92.0	11.9	-72.1	0.0
2025-01-29 16:02:46.339665	91.8	12.0	-70.9	0.0
2025-01-29 16:02:47.476075	91.6	12.1	-72.6	0.0
2025-01-29 16:02:48.611592	91.5	12.2	-73.2	0.0
2025-01-29 16:02:49.746004	91.3	12.2	-70.7	0.0
2025-01-29 16:02:50.875566	91.1	12.3	-72.8	0.0
2025-01-29 16:02:52.009664	91.0	12.4	-72.3	0.0
2025-01-29 16:02:53.145888	90.8	12.5	-73.3	0.0
2025-01-29 16:02:54.281641	90.6	12.5	-72.5	0.0
2025-01-29 16:02:55.413091	90.5	12.6	-70.7	0.0
2025-01-29 16:02:56.547863	90.3	12.7	-75.8	0.0
