#Pass ID: 20250130_231303_METEOR-M2 2
#Satellite: METEOR-M2 2
#Configuration: METEOR-M2 2
#Start time: 2025-01-30 23:13:08.668519

#LorettStation: 1.0.0 05.05.2024
#Station: Planum_Noyabrsk
#Location: 75.446886 lon 63.207202 lat
#TLE: 1 44387U 19038A   25030.59509541  .00000302  00000+0  15098-3 0  9995
#TLE: 2 44387  98.8589   7.1104 0002017  54.5339 305.6027 14.24129087289759

#Time	Az	El	Level	SNR
2025-01-30 23:13:14.872105	40.3	31.1	-67.6	0.0
2025-01-30 23:13:16.015603	40.5	31.3	-67.8	0.0
2025-01-30 23:13:17.156582	40.7	31.5	-66.5	0.0
2025-01-30 23:13:18.302548	40.9	31.7	-66.0	0.0
2025-01-30 23:13:19.445522	41.1	31.9	-67.2	0.0
2025-01-30 23:13:20.587497	41.3	32.1	-66.5	0.0
2025-01-30 23:13:21.729473	41.5	32.3	-69.4	0.0
2025-01-30 23:13:22.875949	41.8	32.5	-68.8	0.0
2025-01-30 23:13:24.016927	42.0	32.7	-68.5	0.0
2025-01-30 23:13:25.158904	42.2	32.9	-68.0	0.0
2025-01-30 23:13:26.300389	42.4	33.1	-65.0	0.0
2025-01-30 23:13:27.442365	42.7	33.3	-65.1	0.0
2025-01-30 23:13:28.585338	42.9	33.5	-57.5	0.0
2025-01-30 23:13:29.729310	43.1	33.7	-68.0	0.0
2025-01-30 23:13:30.871285	43.4	34.0	-67.1	0.0
2025-01-30 23:13:32.012264	43.6	34.2	-66.7	0.0
2025-01-30 23:13:33.154263	43.9	34.4	-69.5	0.0
2025-01-30 23:13:34.295242	44.1	34.6	-67.5	0.0
2025-01-30 23:13:35.437218	44.4	34.8	-67.0	0.0
2025-01-30 23:13:36.580700	44.6	35.0	-66.8	0.0
2025-01-30 23:13:37.724670	44.9	35.3	-67.9	0.0
2025-01-30 23:13:38.867154	45.1	35.5	-64.2	0.0
2025-01-30 23:13:40.008132	45.4	35.7	-68.0	0.0
2025-01-30 23:13:41.151106	45.7	35.9	-68.0	0.0
2025-01-30 23:13:42.293082	45.9	36.1	-68.3	0.0
2025-01-30 23:13:43.436075	46.2	36.4	-66.5	0.0
2025-01-30 23:13:44.579049	46.5	36.6	-66.2	0.0
2025-01-30 23:13:45.721024	46.8	36.8	-67.0	0.0
2025-01-30 23:13:46.862003	47.1	37.0	-67.3	0.0
2025-01-30 23:13:48.004485	47.4	37.3	-65.2	0.0
2025-01-30 23:13:49.144973	47.7	37.5	-68.4	0.0
2025-01-30 23:13:50.287460	48.0	37.7	-65.0	0.0
2025-01-30 23:13:51.428437	48.3	37.9	-66.0	0.0
2025-01-30 23:13:52.572410	48.6	38.2	-62.4	0.0
2025-01-30 23:13:53.713387	48.9	38.4	-65.1	0.0
2025-01-30 23:13:54.856361	49.2	38.6	-67.1	0.0
2025-01-30 23:13:55.997339	49.5	38.9	-66.6	0.0
2025-01-30 23:13:57.138827	49.8	39.1	-66.7	0.0
2025-01-30 23:13:58.280803	50.2	39.3	-54.6	0.0
2025-01-30 23:13:59.423776	50.5	39.6	-65.4	0.0
2025-01-30 23:14:00.565752	50.8	39.8	-62.6	0.0
2025-01-30 23:14:01.706731	51.2	40.0	-65.8	0.0
2025-01-30 23:14:02.851699	51.5	40.3	-68.0	0.0
2025-01-30 23:14:03.993675	51.9	40.5	-65.5	0.0
2025-01-30 23:14:05.135651	52.3	40.7	-66.6	0.0
2025-01-30 23:14:06.277627	52.6	41.0	-66.2	0.0
2025-01-30 23:14:07.418606	53.0	41.2	-68.1	0.0
2025-01-30 23:14:08.561089	53.4	41.4	-65.7	0.0
2025-01-30 23:14:09.703064	53.7	41.7	-66.6	0.0
2025-01-30 23:14:10.844044	54.1	41.9	-64.8	0.0
2025-01-30 23:14:11.989518	54.5	42.1	-68.0	0.0
2025-01-30 23:14:13.131494	54.9	42.4	-68.5	0.0
2025-01-30 23:14:14.273470	55.3	42.6	-65.6	0.0
2025-01-30 23:14:15.415449	55.7	42.8	-69.2	0.0
2025-01-30 23:14:16.559417	56.1	43.1	-67.0	0.0
2025-01-30 23:14:17.702391	56.6	43.3	-68.5	0.0
2025-01-30 23:14:18.844383	57.0	43.6	-62.4	0.0
2025-01-30 23:14:19.986360	57.4	43.8	-70.8	0.0
2025-01-30 23:14:21.127338	57.9	44.0	-69.7	0.0
2025-01-30 23:14:22.275805	58.3	44.3	-69.6	0.0
2025-01-30 23:14:23.418778	58.8	44.5	-68.2	0.0
2025-01-30 23:14:24.561751	59.2	44.7	-69.1	0.0
2025-01-30 23:14:25.703239	59.7	45.0	-70.4	0.0
2025-01-30 23:14:26.845216	60.2	45.2	-68.0	0.0
2025-01-30 23:14:27.990184	60.7	45.4	-66.6	0.0
2025-01-30 23:14:29.132160	61.1	45.6	-70.5	0.0
2025-01-30 23:14:30.274136	61.6	45.9	-67.4	0.0
2025-01-30 23:14:31.419104	62.1	46.1	-69.9	0.0
2025-01-30 23:14:32.562078	62.6	46.3	-68.9	0.0
2025-01-30 23:14:33.703056	63.2	46.6	-67.1	0.0
2025-01-30 23:14:34.845033	63.7	46.8	-69.4	0.0
2025-01-30 23:14:35.986011	64.2	47.0	-69.4	0.0
2025-01-30 23:14:37.127988	64.8	47.2	-66.4	0.0
2025-01-30 23:14:38.269963	65.3	47.4	-66.2	0.0
2025-01-30 23:14:39.411939	65.9	47.7	-68.8	0.0
2025-01-30 23:14:40.553916	66.4	47.9	-68.2	0.0
2025-01-30 23:14:41.694894	67.0	48.1	-67.4	0.0
2025-01-30 23:14:42.837378	67.6	48.3	-67.6	0.0
2025-01-30 23:14:43.978357	68.2	48.5	-66.4	0.0
2025-01-30 23:14:45.122329	68.7	48.7	-67.9	0.0
2025-01-30 23:14:46.264303	69.3	48.9	-62.8	0.0
2025-01-30 23:14:47.406280	70.0	49.1	-67.2	0.0
2025-01-30 23:14:48.548256	70.6	49.3	-66.4	0.0
2025-01-30 23:14:49.690232	71.2	49.5	-64.1	0.0
2025-01-30 23:14:50.831210	71.8	49.7	-66.9	0.0
2025-01-30 23:14:51.973693	72.5	49.9	-68.3	0.0
2025-01-30 23:14:53.115669	73.1	50.1	-69.0	0.0
2025-01-30 23:14:54.258642	73.8	50.3	-64.7	0.0
2025-01-30 23:14:55.401616	74.4	50.5	-67.4	0.0
2025-01-30 23:14:56.543104	75.1	50.7	-67.7	0.0
2025-01-30 23:14:57.685080	75.8	50.9	-61.8	0.0
2025-01-30 23:14:58.828053	76.5	51.0	-68.9	0.0
2025-01-30 23:14:59.969033	77.2	51.2	-67.6	0.0
2025-01-30 23:15:01.113003	77.9	51.4	-69.0	0.0
2025-01-30 23:15:02.254979	78.6	51.5	-68.0	0.0
2025-01-30 23:15:03.397952	79.3	51.7	-64.8	0.0
2025-01-30 23:15:04.539929	80.1	51.8	-70.1	0.0
2025-01-30 23:15:05.681905	80.8	52.0	-66.5	0.0
2025-01-30 23:15:06.826382	81.5	52.1	-69.3	0.0
2025-01-30 23:15:07.968358	82.3	52.3	-63.6	0.0
2025-01-30 23:15:09.109337	83.0	52.4	-70.2	0.0
2025-01-30 23:15:10.251312	83.8	52.5	-66.4	0.0
2025-01-30 23:15:11.394286	84.6	52.7	-68.8	0.0
2025-01-30 23:15:12.535264	85.4	52.8	-68.7	0.0
2025-01-30 23:15:13.677240	86.1	52.9	-66.4	0.0
2025-01-30 23:15:14.825220	86.9	53.0	-64.6	0.0
2025-01-30 23:15:15.968194	87.7	53.1	-66.6	0.0
2025-01-30 23:15:17.111167	88.5	53.2	-65.3	0.0
2025-01-30 23:15:18.255643	89.3	53.3	-62.0	0.0
2025-01-30 23:15:19.399614	90.2	53.4	-62.6	0.0
2025-01-30 23:15:20.540592	91.0	53.5	-66.5	0.0
2025-01-30 23:15:21.682569	91.8	53.6	-65.4	0.0
2025-01-30 23:15:22.824545	92.6	53.6	-68.0	0.0
2025-01-30 23:15:23.966521	93.5	53.7	-67.3	0.0
2025-01-30 23:15:25.108006	94.3	53.8	-67.5	0.0
2025-01-30 23:15:26.252974	95.1	53.8	-64.1	0.0
2025-01-30 23:15:27.394460	96.0	53.9	-68.1	0.0
2025-01-30 23:15:28.535945	96.8	53.9	-66.1	0.0
2025-01-30 23:15:29.677922	97.7	54.0	-63.9	0.0
2025-01-30 23:15:30.819898	98.5	54.0	-67.7	0.0
2025-01-30 23:15:31.966860	99.4	54.0	-67.8	0.0
2025-01-30 23:15:33.108836	100.2	54.0	-67.5	0.0
2025-01-30 23:15:34.250812	101.1	54.0	-63.5	0.0
2025-01-30 23:15:35.392297	101.9	54.0	-69.5	0.0
2025-01-30 23:15:36.537265	102.8	54.0	-66.1	0.0
2025-01-30 23:15:37.678244	103.6	54.0	-66.2	0.0
2025-01-30 23:15:38.820220	104.5	54.0	-66.6	0.0
2025-01-30 23:15:39.962196	105.3	54.0	-66.0	0.0
2025-01-30 23:15:41.104173	106.2	54.0	-68.8	0.0
2025-01-30 23:15:42.249647	107.0	53.9	-65.9	0.0
2025-01-30 23:15:43.392622	107.9	53.9	-67.0	0.0
2025-01-30 23:15:44.533599	108.7	53.9	-67.2	0.0
2025-01-30 23:15:45.675590	109.5	53.8	-66.9	0.0
2025-01-30 23:15:46.820558	110.4	53.8	-70.2	0.0
2025-01-30 23:15:47.963532	111.2	53.7	-65.7	0.0
2025-01-30 23:15:49.105019	112.0	53.6	-64.2	0.0
2025-01-30 23:15:50.249987	112.9	53.6	-58.5	0.0
2025-01-30 23:15:51.391964	113.7	53.5	-72.0	0.0
2025-01-30 23:15:52.533452	114.5	53.4	-71.1	0.0
2025-01-30 23:15:53.675428	115.3	53.3	-70.6	0.0
2025-01-30 23:15:54.817404	116.1	53.2	-70.9	0.0
2025-01-30 23:15:55.963385	116.9	53.1	-70.7	0.0
2025-01-30 23:15:57.105363	117.7	53.0	-70.0	0.0
2025-01-30 23:15:58.247338	118.5	52.9	-69.6	0.0
2025-01-30 23:15:59.388342	119.3	52.8	-70.3	0.0
2025-01-30 23:16:00.529320	120.1	52.6	-68.8	0.0
2025-01-30 23:16:01.672294	120.8	52.5	-65.8	0.0
2025-01-30 23:16:02.816772	121.6	52.4	-70.1	0.0
2025-01-30 23:16:03.957751	122.4	52.2	-69.7	0.0
2025-01-30 23:16:05.099726	123.1	52.1	-69.0	0.0
2025-01-30 23:16:06.242722	123.9	51.9	-67.7	0.0
2025-01-30 23:16:07.383700	124.6	51.8	-70.2	0.0
2025-01-30 23:16:08.526675	125.3	51.6	-68.2	0.0
2025-01-30 23:16:09.666655	126.0	51.5	-69.1	0.0
2025-01-30 23:16:10.809629	126.8	51.3	-70.1	0.0
2025-01-30 23:16:11.951115	127.5	51.1	-69.8	0.0
2025-01-30 23:16:13.096083	128.2	51.0	-68.6	0.0
2025-01-30 23:16:14.237062	128.8	50.8	-66.1	0.0
2025-01-30 23:16:15.380035	129.5	50.6	-69.5	0.0
2025-01-30 23:16:16.519543	130.2	50.4	-69.4	0.0
2025-01-30 23:16:17.661520	130.9	50.3	-69.3	0.0
2025-01-30 23:16:18.803007	131.5	50.1	-69.7	0.0
2025-01-30 23:16:19.945489	132.2	49.9	-69.9	0.0
