#Pass ID: 20250130_082351_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-30 08:23:45

#Time	Level	Level2	SNR	BER	Gain	Gain2
08:23:45.79	-39.0	-48.9	3.3	7695159	96	1575
08:23:45.90	-38.5	-65.6	3.4	7590789	63	11408
08:23:46.01	-38.6	-58.8	3.5	7551879	77	5191
08:23:46.12	-38.8	-50.9	3.5	7556915	94	2021
08:23:46.24	-38.8	-50.7	3.5	7587585	94	1989
08:23:46.34	-38.8	-50.6	3.5	7601928	94	1949
08:23:46.45	-38.8	-50.4	3.4	7622222	94	1924
08:23:46.57	-38.8	-50.3	3.4	7646636	94	1889
08:23:46.68	-38.8	-50.3	3.4	7647247	94	1884
08:23:46.79	-38.8	-50.9	3.5	7567443	94	2032
08:23:46.90	-38.8	-50.8	3.5	7576751	94	2012
08:23:47.01	-38.8	-50.9	3.5	7604064	94	2018
08:23:47.13	-38.8	-50.6	3.5	7609405	94	1970
08:23:47.24	-38.8	-50.5	3.5	7606506	94	1935
08:23:47.35	-38.8	-50.4	3.4	7608337	94	1913
08:23:47.46	-38.8	-50.2	3.4	7614440	94	1878
08:23:47.57	-38.8	-50.8	3.2	7596893	94	2006
08:23:47.68	-38.8	-50.9	3.5	7601623	94	2021
08:23:47.80	-38.8	-50.8	3.5	7567138	94	2014
08:23:47.90	-38.8	-50.7	3.5	7551269	94	1990
08:23:48.02	-38.8	-50.6	3.5	7607421	94	1949
08:23:48.13	-38.8	-50.4	3.4	7582092	94	1912
08:23:48.24	-38.8	-50.3	3.4	7609252	94	1893
08:23:48.35	-38.8	-50.2	3.4	7612762	94	1864
08:23:48.46	-38.8	-50.8	3.3	7539978	94	2013
08:23:48.57	-38.8	-50.8	3.5	7564086	94	2009
08:23:48.69	-38.8	-50.8	3.5	7575225	94	2011
08:23:48.80	-38.8	-50.6	3.5	7583770	94	1964
08:23:48.91	-38.8	-50.4	3.5	7613830	94	1928
08:23:49.02	-38.8	-50.2	3.4	7593994	94	1884
08:23:49.13	-38.8	-50.2	3.4	7593688	94	1864
08:23:49.24	-38.8	-50.0	3.4	7630462	94	1837
08:23:49.35	-38.8	-50.7	3.5	7564697	94	1980
08:23:49.46	-38.8	-50.7	3.5	7573852	94	1979
08:23:49.57	-38.8	-50.5	3.5	7588348	94	1949
08:23:49.68	-38.8	-50.4	3.5	7594146	94	1914
08:23:49.79	-38.8	-50.2	3.5	7633361	94	1878
08:23:49.90	-38.8	-50.1	3.4	7668457	94	1855
08:23:50.01	-38.8	-49.9	3.4	7619934	94	1815
08:23:50.13	-38.8	-50.6	3.3	7581481	94	1954
08:23:50.24	-38.8	-50.6	3.5	7559814	94	1961
08:23:50.35	-38.8	-50.6	3.5	7554473	94	1960
08:23:50.46	-38.8	-50.5	3.5	7561035	94	1934
08:23:50.57	-38.8	-50.2	3.5	7581634	94	1874
08:23:50.68	-38.8	-50.1	3.5	7625274	94	1856
08:23:50.79	-38.8	-50.1	3.4	7642517	94	1843
08:23:50.90	-38.8	-50.0	3.4	7644500	94	1820
08:23:51.02	-38.8	-50.6	3.5	7595825	94	1967
08:23:51.13	-38.8	-50.7	3.5	7567443	94	1975
08:23:51.24	-38.8	-50.6	3.5	7582092	94	1961
08:23:51.35	-38.8	-50.5	3.5	7601623	94	1937
08:23:51.46	-38.8	-50.5	3.5	7596282	94	1924
08:23:51.57	-38.8	-50.2	3.4	7620239	94	1871
08:23:51.69	-38.9	-50.2	3.4	7650451	94	1867
08:23:51.80	-38.8	-50.1	3.4	7628326	94	1850
08:23:51.91	-38.8	-50.8	3.4	7581939	94	2002
08:23:52.02	-38.8	-50.8	3.5	7588806	94	2007
08:23:52.13	-38.8	-50.7	3.5	7589569	94	1988
08:23:52.25	-38.8	-50.6	3.5	7619781	94	1947
08:23:52.36	-38.8	-50.4	3.4	7601470	94	1908
08:23:52.47	-38.8	-50.2	3.4	7630157	94	1869
08:23:52.58	-38.8	-50.0	3.4	7621917	94	1831
08:23:52.69	-38.8	-50.7	3.2	7577667	94	1973
08:23:52.81	-38.8	-50.5	3.5	7600555	94	1948
08:23:52.92	-38.8	-50.5	3.5	7538757	94	1939
08:23:53.03	-38.8	-50.2	3.5	7573852	94	1881
08:23:53.14	-38.8	-50.1	3.5	7575836	94	1848
08:23:53.25	-38.8	-49.9	3.4	7628479	94	1810
08:23:53.37	-38.8	-49.8	3.4	7617950	94	1790
08:23:53.48	-38.8	-49.5	3.4	7628936	94	1743
08:23:53.59	-38.8	-50.2	3.5	7556762	94	1884
08:23:53.70	-38.8	-50.1	3.5	7564849	94	1867
08:23:53.81	-38.8	-50.2	3.5	7581634	94	1876
08:23:53.93	-38.8	-49.8	3.5	7577972	94	1799
08:23:54.04	-38.8	-49.6	3.5	7623138	94	1763
08:23:54.15	-38.8	-49.5	3.5	7645874	94	1733
08:23:54.26	-38.8	-49.4	3.4	7662200	94	1713
08:23:54.37	-38.7	-49.7	3.3	7582244	94	1786
08:23:54.48	-38.7	-49.6	3.5	7590942	94	1768
