#Pass ID: 20260101_150041_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-01 15:07:29

#Version: 2.2.20231116
#Station: R3.0SM8_Murmansk_STILSPACE
#Location: 33.092731 lon 68.902999 lat
#TLE: 1 49008U 21062A   25365.98258168  .00000149  00000+0  90987-4 0  9990
#TLE: 2 49008  98.7481   6.2763 0001360 169.3782 190.7423 14.19883270232859

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-01 15:07:29.87	259.88	46.08	-52.7	-63.5	3.8	8.46e-01	0	56	0	0	67	13090
2026-01-01 15:07:30.86	260.43	46.08	-52.9	-63.0	3.8	8.46e-01	0	57	104	0	68	11538
2026-01-01 15:07:31.85	260.99	46.07	-52.8	-63.0	3.8	8.47e-01	0	57	104	0	68	11534
2026-01-01 15:07:32.85	261.55	46.07	-52.8	-63.0	3.8	8.46e-01	0	57	104	0	68	11469
2026-01-01 15:07:33.83	262.10	46.06	-52.9	-63.0	3.8	8.46e-01	0	57	104	0	68	11496
2026-01-01 15:07:34.82	262.66	46.05	-52.6	-63.0	3.8	8.46e-01	0	57	104	0	68	11549
2026-01-01 15:07:35.81	263.21	46.03	-52.8	-63.0	3.8	8.45e-01	0	57	104	0	68	11517
2026-01-01 15:07:36.79	263.76	46.02	-52.7	-63.0	3.8	8.46e-01	0	57	104	0	68	11500
2026-01-01 15:07:37.79	264.32	46.00	-52.8	-63.0	3.8	8.45e-01	0	57	104	0	68	11539
2026-01-01 15:07:38.78	264.87	45.97	-52.7	-63.0	3.8	8.47e-01	0	57	104	0	68	11513
2026-01-01 15:07:39.76	265.42	45.95	-52.5	-63.0	3.8	8.46e-01	0	57	104	0	68	11463
2026-01-01 15:07:40.75	265.97	45.92	-52.7	-62.9	3.8	8.46e-01	0	57	104	0	68	11370
2026-01-01 15:07:41.74	266.52	45.89	-52.8	-62.9	3.8	8.47e-01	0	57	104	0	68	11361
2026-01-01 15:07:42.73	267.07	45.85	-52.6	-62.8	3.8	8.47e-01	0	57	104	0	68	11265
2026-01-01 15:07:43.71	267.61	45.82	-52.6	-62.9	3.8	8.45e-01	0	57	104	0	68	11398
2026-01-01 15:07:44.69	268.15	45.78	-52.7	-62.9	3.8	8.45e-01	0	57	104	0	68	11359
2026-01-01 15:07:45.68	268.70	45.73	-52.8	-63.0	3.8	8.46e-01	0	57	104	0	68	11452
2026-01-01 15:07:46.67	269.24	45.69	-52.8	-62.9	3.8	8.46e-01	0	57	104	0	68	11384
2026-01-01 15:07:47.65	269.78	45.64	-52.6	-62.9	3.8	8.45e-01	0	58	104	0	68	11412
