#Pass ID: 20260101_211612_KANOPUS-V-IK
#Satellite: KANOPUS-V-IK
#Configuration: KANOPUS-V_8128
#almurnet v.1.7.20251203
#Start time: 2026-01-01 21:16:13

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 42825U 17042A   26001.21266440  .00005755  00000+0  24506-3 0  9990
#TLE: 2 42825  97.3692 269.9908 0001826  86.2004 273.9442 15.23363314469954

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-01 21:16:13.46	21.43	2.10	-59.1	-69.8	3.8	7.44e-01	0	32	0	0	86	12865
2026-01-01 21:16:14.44	21.48	2.16	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12871
2026-01-01 21:16:15.41	21.54	2.23	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12859
2026-01-01 21:16:16.38	21.59	2.29	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12884
2026-01-01 21:16:17.35	21.64	2.36	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12815
2026-01-01 21:16:18.32	21.69	2.42	-59.1	-69.7	3.8	7.47e-01	0	32	104	0	86	12783
2026-01-01 21:16:19.30	21.75	2.49	-59.1	-69.8	3.8	7.44e-01	0	32	104	0	86	12813
2026-01-01 21:16:20.27	21.80	2.56	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12824
2026-01-01 21:16:21.24	21.86	2.62	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12853
2026-01-01 21:16:22.21	21.91	2.69	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12839
2026-01-01 21:16:23.18	21.97	2.76	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12835
2026-01-01 21:16:24.15	22.02	2.82	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12845
2026-01-01 21:16:25.13	22.08	2.89	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12804
2026-01-01 21:16:26.10	22.13	2.96	-59.1	-69.8	3.8	7.44e-01	0	32	104	0	86	12869
2026-01-01 21:16:27.08	22.19	3.03	-59.1	-69.7	3.8	7.44e-01	0	32	104	0	86	12803
2026-01-01 21:16:28.05	22.25	3.10	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12893
2026-01-01 21:16:29.02	22.30	3.16	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12794
2026-01-01 21:16:30.00	22.36	3.23	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12851
2026-01-01 21:16:30.97	22.42	3.30	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12797
2026-01-01 21:16:31.95	22.47	3.37	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12827
2026-01-01 21:16:32.92	22.53	3.44	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12835
2026-01-01 21:16:33.89	22.59	3.51	-59.1	-69.8	3.8	7.47e-01	0	32	104	0	86	12834
2026-01-01 21:16:34.87	22.65	3.58	-59.1	-69.7	3.8	7.47e-01	0	32	104	0	86	12800
2026-01-01 21:16:35.85	22.71	3.65	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12837
2026-01-01 21:16:36.82	22.77	3.72	-59.1	-69.8	3.8	7.44e-01	0	32	104	0	86	12838
2026-01-01 21:16:37.79	22.83	3.79	-59.1	-69.8	3.8	7.47e-01	0	32	104	0	86	12828
2026-01-01 21:16:38.76	22.89	3.86	-59.1	-69.8	3.8	7.47e-01	0	32	104	0	86	12831
2026-01-01 21:16:39.74	22.95	3.93	-59.0	-69.8	3.8	7.45e-01	0	32	104	0	86	12841
2026-01-01 21:16:40.70	23.01	4.00	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12851
2026-01-01 21:16:41.67	23.07	4.07	-59.1	-69.7	3.8	7.45e-01	0	32	104	0	86	12810
2026-01-01 21:16:42.64	23.13	4.14	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12800
2026-01-01 21:16:43.62	23.19	4.21	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12831
2026-01-01 21:16:44.58	23.25	4.28	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12801
2026-01-01 21:16:45.55	23.32	4.36	-59.1	-69.8	3.8	7.45e-01	0	32	104	0	86	12844
2026-01-01 21:16:46.52	23.38	4.43	-59.1	-69.8	3.8	7.46e-01	0	32	104	0	86	12812
2026-01-01 21:16:47.49	23.44	4.50	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12794
2026-01-01 21:16:48.46	23.50	4.57	-59.1	-69.7	3.8	7.45e-01	0	32	104	0	86	12789
2026-01-01 21:16:49.43	23.57	4.64	-59.0	-69.8	3.8	7.46e-01	0	32	104	0	86	12827
2026-01-01 21:16:50.39	23.63	4.72	-59.0	-69.8	3.8	7.45e-01	0	32	104	0	86	12846
2026-01-01 21:16:51.38	23.70	4.79	-59.1	-69.7	3.8	7.45e-01	0	33	104	0	86	12798
2026-01-01 21:16:52.35	23.76	4.87	-59.0	-69.7	3.8	7.45e-01	0	33	104	0	86	12800
2026-01-01 21:16:53.33	23.83	4.94	-59.1	-69.8	3.8	7.43e-01	0	33	104	0	86	12838
2026-01-01 21:16:54.30	23.89	5.01	-59.1	-69.7	3.8	7.46e-01	0	32	104	0	86	12807
2026-01-01 21:16:55.27	23.96	5.09	-59.1	-69.8	3.8	7.44e-01	0	33	104	0	86	12865
2026-01-01 21:16:56.24	24.03	5.16	-59.3	-70.0	3.8	7.45e-01	0	32	104	0	86	13131
2026-01-01 21:16:57.21	24.09	5.24	-59.0	-69.7	3.8	7.45e-01	0	32	104	0	86	12747
2026-01-01 21:16:58.18	24.16	5.31	-59.2	-69.9	3.8	7.46e-01	0	32	104	0	86	13044
2026-01-01 21:16:59.15	24.23	5.39	-59.2	-69.9	3.8	7.45e-01	0	33	104	0	86	13023
2026-01-01 21:17:00.12	24.30	5.46	-59.0	-69.7	3.8	7.46e-01	0	33	104	0	86	12769
2026-01-01 21:17:01.09	24.36	5.54	-59.0	-69.7	3.8	7.45e-01	0	33	104	0	86	12669
2026-01-01 21:17:02.07	24.43	5.62	-59.2	-69.9	3.8	7.45e-01	0	33	104	0	86	13081
2026-01-01 21:17:03.04	24.50	5.69	-59.2	-69.9	3.8	7.47e-01	0	33	104	0	86	13042
2026-01-01 21:17:04.01	24.57	5.77	-59.1	-69.7	3.8	7.46e-01	0	33	104	0	86	12794
2026-01-01 21:17:04.99	24.64	5.85	-59.0	-69.7	3.8	7.45e-01	0	33	104	0	86	12754
