#Pass ID: 20260102_044656_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-02 04:49:38

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 49008U 21062A   26001.26445318  .00000475  00000+0  24453-3 0  9990
#TLE: 2 49008  98.7480   6.5551 0001357 167.8415 192.2795 14.19884467232890

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-02 04:49:38.97	4.62	14.36	-44.8	-63.1	3.8	8.46e-01	0	56	0	0	60	30758
2026-01-02 04:49:39.97	4.54	14.46	-45.5	-56.7	3.8	8.45e-01	0	56	104	0	61	13131
2026-01-02 04:49:40.98	4.46	14.56	-45.5	-56.7	3.8	8.45e-01	0	56	104	0	61	13248
2026-01-02 04:49:41.99	4.38	14.66	-45.5	-56.7	3.8	8.46e-01	0	56	104	0	61	13116
2026-01-02 04:49:43.00	4.30	14.75	-45.4	-56.6	3.8	8.45e-01	0	56	104	0	61	13016
2026-01-02 04:49:44.01	4.22	14.85	-45.4	-56.6	3.8	8.46e-01	0	56	104	0	61	13018
2026-01-02 04:49:45.02	4.13	14.95	-45.3	-56.5	3.8	8.46e-01	0	56	104	0	61	12899
2026-01-02 04:49:46.03	4.05	15.05	-45.3	-56.5	3.8	8.47e-01	0	56	104	0	61	12826
2026-01-02 04:49:47.04	3.97	15.15	-45.2	-56.4	3.8	8.45e-01	0	56	104	0	61	12717
2026-01-02 04:49:48.06	3.88	15.25	-45.0	-56.2	3.8	8.45e-01	0	57	104	0	61	12436
2026-01-02 04:49:49.07	3.80	15.35	-44.8	-55.9	3.8	8.46e-01	0	56	104	0	60	12699
2026-01-02 04:49:50.08	3.71	15.45	-44.8	-55.9	3.8	8.45e-01	0	56	104	0	60	12806
2026-01-02 04:49:51.09	3.62	15.55	-44.8	-55.9	3.8	8.46e-01	0	56	104	0	60	12723
2026-01-02 04:49:52.10	3.53	15.65	-44.8	-56.0	3.8	8.45e-01	0	57	104	0	60	12832
2026-01-02 04:49:53.11	3.45	15.75	-44.8	-56.0	3.8	8.46e-01	0	57	104	0	60	12849
2026-01-02 04:49:54.12	3.36	15.85	-44.8	-56.0	3.8	8.46e-01	0	57	104	0	60	12867
2026-01-02 04:49:55.13	3.27	15.95	-44.8	-56.0	3.8	8.47e-01	0	57	104	0	60	12865
2026-01-02 04:49:56.14	3.18	16.06	-44.8	-56.0	3.8	8.46e-01	0	57	104	0	60	12846
2026-01-02 04:49:57.15	3.09	16.16	-44.8	-55.9	3.8	8.47e-01	0	57	104	0	60	12756
2026-01-02 04:49:58.16	3.00	16.26	-44.8	-55.9	3.8	8.46e-01	0	57	104	0	60	12669
2026-01-02 04:49:59.18	2.90	16.37	-44.8	-55.7	3.8	8.46e-01	0	57	104	0	60	12501
2026-01-02 04:50:00.19	2.81	16.47	-44.7	-55.6	3.8	8.46e-01	0	57	104	0	60	12288
2026-01-02 04:50:01.20	2.72	16.57	-44.7	-55.3	3.8	8.46e-01	0	57	104	0	60	11938
2026-01-02 04:50:02.21	2.63	16.68	-44.7	-55.2	3.8	8.45e-01	0	57	104	0	60	11802
2026-01-02 04:50:03.22	2.53	16.78	-44.7	-55.1	3.8	8.45e-01	0	57	104	0	60	11642
2026-01-02 04:50:04.23	2.44	16.89	-44.7	-55.1	3.8	8.45e-01	0	57	104	0	60	11639
2026-01-02 04:50:05.24	2.34	16.99	-44.7	-55.2	3.8	8.47e-01	0	57	104	0	60	11708
2026-01-02 04:50:06.25	2.24	17.10	-44.7	-55.2	3.8	8.47e-01	0	57	104	0	60	11811
2026-01-02 04:50:07.26	2.15	17.20	-44.7	-55.5	3.8	8.46e-01	0	57	104	0	60	12193
2026-01-02 04:50:08.27	2.05	17.31	-44.7	-55.6	3.8	8.46e-01	0	57	104	0	60	12304
2026-01-02 04:50:09.29	1.95	17.42	-44.7	-55.7	3.8	8.46e-01	0	57	104	0	60	12504
2026-01-02 04:50:10.30	1.85	17.53	-44.7	-55.8	3.8	8.46e-01	0	57	104	0	60	12611
2026-01-02 04:50:11.31	1.75	17.63	-44.7	-55.7	3.8	8.47e-01	0	57	104	0	60	12493
2026-01-02 04:50:12.32	1.65	17.74	-44.7	-55.6	3.8	8.46e-01	0	57	104	0	60	12262
2026-01-02 04:50:13.33	1.55	17.85	-44.6	-55.0	3.8	8.46e-01	0	57	104	0	60	11463
2026-01-02 04:50:14.34	1.44	17.96	-44.6	-54.3	3.8	8.45e-01	0	57	104	0	60	10589
2026-01-02 04:50:15.35	1.34	18.07	-44.5	-52.9	4.0	8.44e-01	0	57	0	0	59	9596
2026-01-02 04:50:16.36	1.24	18.18	-44.3	-52.2	4.2	8.38e-01	0	57	0	0	59	8847
2026-01-02 04:50:17.38	1.13	18.29	-44.2	-51.4	4.4	8.28e-01	0	57	0	0	59	8052
2026-01-02 04:50:18.38	1.03	18.40	-44.1	-51.3	4.5	8.24e-01	0	57	0	0	59	7927
2026-01-02 04:50:19.40	0.92	18.51	-44.2	-51.4	4.4	8.26e-01	0	57	0	0	59	8011
2026-01-02 04:50:20.41	0.81	18.62	-44.1	-51.2	4.5	8.25e-01	0	57	0	0	59	7895
2026-01-02 04:50:21.42	0.70	18.73	-43.8	-50.0	5.1	7.92e-01	0	57	0	0	58	7266
2026-01-02 04:50:22.43	0.59	18.85	-42.6	-46.7	7.8	1.58e-01	0	57	0	5242880	56	5547
2026-01-02 04:50:23.44	0.48	18.96	-40.9	-43.6	10.8	4.43e-03	0	57	0	12582912	52	4876
2026-01-02 04:50:24.45	0.37	19.07	-39.0	-40.9	13.6	2.40e-05	0	57	0	19922944	49	4279
2026-01-02 04:50:25.46	0.26	19.18	-37.1	-38.6	15.8	0.00e+00	0	57	0	27262976	45	4122
2026-01-02 04:50:26.47	0.15	19.30	-35.4	-36.6	17.7	0.00e+00	0	57	0	34603008	41	4112
2026-01-02 04:50:27.48	0.04	19.41	-34.3	-35.4	18.9	0.00e+00	0	57	0	41943040	39	4036
2026-01-02 04:50:28.50	359.92	19.53	-33.4	-34.4	19.9	0.00e+00	0	57	0	49283072	37	4046
2026-01-02 04:50:29.51	359.81	19.64	-32.9	-33.9	20.4	0.00e+00	0	57	0	56623104	36	4012
2026-01-02 04:50:30.52	359.69	19.76	-32.6	-33.6	20.7	0.00e+00	0	57	0	63963136	36	3881
2026-01-02 04:50:31.53	359.57	19.87	-32.0	-33.0	20.5	0.00e+00	0	57	0	71303168	34	4070
2026-01-02 04:50:32.54	359.46	19.99	-32.3	-33.3	20.2	0.00e+00	0	57	0	78643200	34	4221
2026-01-02 04:50:33.55	359.34	20.11	-32.1	-33.1	20.5	0.00e+00	0	57	0	85983232	35	3871
2026-01-02 04:50:34.56	359.22	20.22	-32.0	-33.0	20.6	0.00e+00	0	57	0	93323264	34	4062
2026-01-02 04:50:35.57	359.10	20.34	-34.3	-35.4	19.1	0.00e+00	0	57	0	100663296	38	4287
2026-01-02 04:50:36.58	358.98	20.46	-33.9	-35.0	19.4	1.11e-03	0	57	0	108003328	38	4073
2026-01-02 04:50:37.59	358.86	20.58	-32.4	-33.4	20.3	0.00e+00	0	57	0	115343360	34	4255
2026-01-02 04:50:38.60	358.73	20.70	-34.5	-35.7	18.6	2.20e-06	0	57	0	121634816	40	3923
2026-01-02 04:50:39.61	358.61	20.81	-31.4	-32.3	21.2	0.00e+00	0	57	0	128974848	33	3996
2026-01-02 04:50:40.62	358.48	20.93	-31.2	-32.2	21.4	0.00e+00	0	57	0	137363456	33	3915
2026-01-02 04:50:41.63	358.36	21.05	-31.1	-32.0	21.5	0.00e+00	0	57	0	143654912	33	3863
2026-01-02 04:50:42.64	358.23	21.17	-31.0	-32.0	21.6	0.00e+00	0	57	0	150994944	32	4056
2026-01-02 04:50:43.65	358.10	21.30	-31.0	-31.9	21.7	0.00e+00	0	57	0	158334976	32	4013
2026-01-02 04:50:44.66	357.97	21.42	-31.0	-31.9	21.6	0.00e+00	0	57	0	165675008	32	4041
2026-01-02 04:50:45.67	357.84	21.54	-31.0	-31.9	21.6	0.00e+00	0	57	0	173015040	32	4036
2026-01-02 04:50:46.68	357.71	21.66	-31.0	-31.9	21.6	0.00e+00	0	57	0	180355072	32	4037
2026-01-02 04:50:47.69	357.58	21.78	-31.0	-31.9	21.7	0.00e+00	0	57	0	187695104	32	4024
2026-01-02 04:50:48.70	357.44	21.90	-31.1	-32.0	21.5	0.00e+00	0	57	0	195035136	32	4084
2026-01-02 04:50:49.71	357.31	22.03	-31.1	-32.0	21.5	0.00e+00	0	57	0	202375168	32	4094
2026-01-02 04:50:50.72	357.17	22.15	-31.2	-32.1	21.5	0.00e+00	0	57	0	209715200	32	4111
2026-01-02 04:50:51.73	357.04	22.28	-31.3	-32.2	21.3	0.00e+00	0	57	0	217055232	32	4167
2026-01-02 04:50:52.74	356.90	22.40	-31.0	-31.9	21.6	0.00e+00	0	57	0	224395264	32	4047
2026-01-02 04:50:53.75	356.76	22.53	-31.4	-32.3	21.3	0.00e+00	0	57	0	231735296	33	3985
2026-01-02 04:50:54.76	356.62	22.65	-31.4	-32.4	21.2	0.00e+00	0	57	0	239075328	33	4025
2026-01-02 04:50:55.77	356.48	22.78	-31.5	-32.4	21.1	0.00e+00	0	57	0	246415360	33	4038
2026-01-02 04:50:56.78	356.33	22.90	-31.5	-32.5	21.1	0.00e+00	0	57	0	253755392	33	4058
2026-01-02 04:50:57.79	356.19	23.03	-31.4	-32.4	21.2	0.00e+00	0	57	0	261095424	33	4024
2026-01-02 04:50:58.80	356.05	23.16	-31.4	-32.3	21.3	0.00e+00	0	57	0	268435456	33	3991
2026-01-02 04:50:59.81	355.90	23.28	-31.4	-32.3	21.3	0.00e+00	0	57	0	274726912	33	3979
2026-01-02 04:51:00.82	355.75	23.41	-31.3	-32.3	21.3	0.00e+00	0	57	0	283115520	33	3968
2026-01-02 04:51:01.83	355.60	23.54	-31.4	-32.3	21.3	0.00e+00	0	57	0	290455552	33	3982
2026-01-02 04:51:02.84	355.45	23.67	-31.3	-32.2	21.3	0.00e+00	0	57	0	296747008	33	3949
2026-01-02 04:51:03.85	355.30	23.80	-31.4	-32.3	21.3	0.00e+00	0	57	0	304087040	32	4207
2026-01-02 04:51:04.86	355.15	23.93	-31.3	-32.3	21.3	0.00e+00	0	57	0	311427072	32	4209
2026-01-02 04:51:05.88	354.99	24.06	-31.4	-32.4	21.3	0.00e+00	0	57	0	318767104	32	4245
2026-01-02 04:51:06.89	354.84	24.19	-31.4	-32.3	21.3	0.00e+00	0	57	0	326107136	32	4239
2026-01-02 04:51:07.90	354.68	24.32	-31.4	-32.4	21.2	0.00e+00	0	57	0	333447168	32	4253
2026-01-02 04:51:08.91	354.52	24.45	-31.4	-32.3	21.3	0.00e+00	0	57	0	340787200	32	4210
2026-01-02 04:51:09.91	354.37	24.58	-31.5	-32.4	21.2	0.00e+00	0	57	0	348127232	32	4288
2026-01-02 04:51:10.93	354.20	24.72	-31.5	-32.5	21.2	0.00e+00	0	57	0	355467264	32	4297
2026-01-02 04:51:11.94	354.04	24.85	-31.6	-32.6	21.1	0.00e+00	0	57	0	362807296	32	4342
2026-01-02 04:51:12.95	353.88	24.98	-31.7	-32.7	21.0	0.00e+00	0	57	0	370147328	33	4146
2026-01-02 04:51:13.96	353.71	25.12	-31.8	-32.7	20.9	0.00e+00	0	57	0	377487360	33	4192
2026-01-02 04:51:14.97	353.55	25.25	-31.7	-32.7	21.0	0.00e+00	0	57	0	384827392	33	4152
2026-01-02 04:51:15.98	353.38	25.38	-31.9	-32.8	20.8	0.00e+00	0	57	0	392167424	33	4241
2026-01-02 04:51:16.98	353.21	25.52	-31.9	-32.9	20.8	0.00e+00	0	57	0	399507456	33	4247
2026-01-02 04:51:17.99	353.04	25.65	-31.8	-32.8	20.9	0.00e+00	0	57	0	406847488	33	4199
2026-01-02 04:51:19.00	352.87	25.79	-31.9	-32.9	20.7	0.00e+00	0	57	0	414187520	34	4014
2026-01-02 04:51:20.01	352.70	25.92	-31.9	-32.9	20.8	0.00e+00	0	57	0	420478976	34	4022
2026-01-02 04:51:21.02	352.52	26.06	-31.9	-32.9	20.8	0.00e+00	0	57	0	428867584	34	4032
2026-01-02 04:51:22.04	352.34	26.20	-31.9	-32.9	20.8	0.00e+00	0	57	0	436207616	34	4036
2026-01-02 04:51:23.05	352.17	26.34	-31.9	-32.9	20.8	0.00e+00	0	57	0	442499072	34	4027
2026-01-02 04:51:24.06	351.99	26.47	-32.5	-33.5	20.2	0.00e+00	0	57	0	449839104	34	4304
2026-01-02 04:51:25.06	351.81	26.61	-32.0	-33.0	20.7	0.00e+00	0	57	0	457179136	34	4078
2026-01-02 04:51:26.08	351.62	26.75	-31.9	-32.9	20.8	0.00e+00	0	57	0	464519168	34	4020
2026-01-02 04:51:27.09	351.44	26.89	-31.8	-32.7	20.9	0.00e+00	0	57	0	471859200	34	3956
2026-01-02 04:51:28.10	351.25	27.03	-31.7	-32.7	21.0	0.00e+00	0	57	0	479199232	34	3917
2026-01-02 04:51:29.11	351.06	27.17	-31.7	-32.6	21.1	0.00e+00	0	57	0	486539264	34	3897
2026-01-02 04:51:30.12	350.87	27.31	-31.5	-32.5	21.2	0.00e+00	0	57	0	493879296	33	4065
2026-01-02 04:51:31.13	350.68	27.45	-31.4	-32.4	21.3	0.00e+00	0	57	0	501219328	33	4005
2026-01-02 04:51:32.14	350.49	27.59	-31.4	-32.4	21.3	0.00e+00	0	57	0	508559360	33	4015
2026-01-02 04:51:33.15	350.29	27.73	-31.4	-32.4	21.3	0.00e+00	0	57	0	515899392	33	4010
2026-01-02 04:51:34.16	350.10	27.87	-31.5	-32.4	21.2	0.00e+00	0	58	0	523239424	33	4036
2026-01-02 04:51:35.17	349.90	28.01	-31.3	-32.3	21.4	0.00e+00	0	57	0	530579456	33	3963
2026-01-02 04:51:36.18	349.70	28.15	-31.2	-32.1	21.5	0.00e+00	0	57	0	537919488	33	3902
2026-01-02 04:51:37.19	349.50	28.29	-31.2	-32.1	21.5	0.00e+00	0	58	0	545259520	33	3889
2026-01-02 04:51:38.20	349.29	28.44	-31.1	-32.0	21.6	0.00e+00	0	57	0	552599552	33	3856
2026-01-02 04:51:39.21	349.09	28.58	-31.0	-31.9	21.7	0.00e+00	0	57	0	559939584	33	3817
2026-01-02 04:51:40.22	348.88	28.72	-31.0	-31.9	21.7	0.00e+00	0	57	0	567279616	32	4036
2026-01-02 04:51:41.23	348.67	28.87	-31.0	-31.9	21.8	0.00e+00	0	57	0	574619648	32	4013
2026-01-02 04:51:42.24	348.46	29.01	-30.9	-31.8	21.9	0.00e+00	0	57	0	581959680	32	3978
2026-01-02 04:51:43.25	348.25	29.15	-30.8	-31.7	21.9	0.00e+00	0	58	0	589299712	32	3928
2026-01-02 04:51:44.26	348.03	29.30	-30.8	-31.7	21.9	0.00e+00	0	57	0	595591168	32	3949
2026-01-02 04:51:45.27	347.81	29.44	-30.8	-31.7	21.9	0.00e+00	0	57	0	602931200	32	3952
2026-01-02 04:51:46.28	347.60	29.59	-30.9	-31.8	21.9	0.00e+00	0	57	0	611319808	32	3967
2026-01-02 04:51:47.29	347.37	29.73	-30.8	-31.8	21.9	0.00e+00	0	57	0	617611264	32	3961
2026-01-02 04:51:48.30	347.15	29.88	-30.8	-31.7	21.9	0.00e+00	0	58	0	624951296	32	3940
2026-01-02 04:51:49.31	346.93	30.03	-30.8	-31.7	22.0	0.00e+00	0	57	0	632291328	32	3923
2026-01-02 04:51:50.32	346.70	30.17	-30.5	-31.4	22.1	0.00e+00	0	57	0	639631360	31	4016
2026-01-02 04:51:51.33	346.47	30.32	-30.5	-31.4	22.1	0.00e+00	0	57	0	646971392	31	4041
2026-01-02 04:51:52.34	346.24	30.46	-30.5	-31.4	22.1	0.00e+00	0	57	0	654311424	31	4046
2026-01-02 04:51:53.35	346.00	30.61	-30.5	-31.4	22.1	0.00e+00	0	57	0	661651456	31	4025
2026-01-02 04:51:54.36	345.77	30.76	-30.5	-31.4	22.1	0.00e+00	0	57	0	668991488	31	4040
2026-01-02 04:51:55.37	345.53	30.90	-30.6	-31.5	21.9	0.00e+00	0	57	0	676331520	31	4084
2026-01-02 04:51:56.38	345.29	31.05	-30.6	-31.5	22.0	0.00e+00	0	57	0	683671552	31	4073
2026-01-02 04:51:57.40	345.05	31.20	-30.6	-31.4	22.1	0.00e+00	0	57	0	691011584	31	4051
2026-01-02 04:51:58.40	344.80	31.35	-30.7	-31.5	22.0	0.00e+00	0	57	0	698351616	31	4096
2026-01-02 04:51:59.42	344.55	31.50	-30.7	-31.6	21.9	0.00e+00	0	57	0	705691648	31	4140
2026-01-02 04:52:00.43	344.30	31.64	-30.8	-31.7	21.8	0.00e+00	0	58	0	713031680	31	4177
2026-01-02 04:52:01.44	344.05	31.79	-31.0	-31.9	21.8	0.00e+00	0	57	0	720371712	32	4021
2026-01-02 04:52:02.44	343.80	31.94	-31.1	-32.0	21.8	0.00e+00	0	57	0	727711744	32	4071
2026-01-02 04:52:03.45	343.55	32.09	-31.1	-32.0	21.7	0.00e+00	0	57	0	735051776	32	4088
2026-01-02 04:52:04.46	343.29	32.23	-31.1	-32.0	21.7	0.00e+00	0	57	0	741343232	32	4073
2026-01-02 04:52:05.47	343.03	32.38	-30.8	-31.7	22.0	0.00e+00	0	57	0	749731840	32	3936
2026-01-02 04:52:06.48	342.76	32.53	-30.8	-31.7	22.0	0.00e+00	0	57	0	757071872	32	3954
2026-01-02 04:52:07.49	342.50	32.68	-30.8	-31.7	22.0	0.00e+00	0	57	0	763363328	32	3950
2026-01-02 04:52:08.50	342.23	32.83	-30.9	-31.8	22.0	0.00e+00	0	57	0	770703360	32	3960
2026-01-02 04:52:09.51	341.96	32.98	-30.8	-31.7	22.0	0.00e+00	0	57	0	778043392	32	3953
2026-01-02 04:52:10.52	341.68	33.13	-30.8	-31.7	22.0	0.00e+00	0	57	0	785383424	32	3931
2026-01-02 04:52:11.53	341.41	33.27	-30.7	-31.6	22.1	0.00e+00	0	57	0	792723456	32	3891
2026-01-02 04:52:12.54	341.13	33.42	-30.7	-31.5	22.2	0.00e+00	0	57	0	800063488	32	3863
2026-01-02 04:52:13.55	340.85	33.57	-30.6	-31.4	22.3	0.00e+00	0	57	0	807403520	32	3821
2026-01-02 04:52:14.56	340.56	33.72	-30.5	-31.4	22.3	0.00e+00	0	57	0	814743552	32	3799
2026-01-02 04:52:15.57	340.28	33.87	-30.3	-31.1	22.4	0.00e+00	0	57	0	822083584	31	3903
2026-01-02 04:52:16.58	339.99	34.01	-30.4	-31.3	22.3	0.00e+00	0	57	0	829423616	31	3961
2026-01-02 04:52:17.59	339.70	34.16	-30.2	-31.1	22.5	0.00e+00	0	57	0	836763648	31	3881
2026-01-02 04:52:18.60	339.40	34.31	-30.2	-31.1	22.5	0.00e+00	0	58	0	844103680	31	3874
2026-01-02 04:52:19.61	339.11	34.46	-30.1	-31.0	22.5	0.00e+00	0	57	0	851443712	31	3855
2026-01-02 04:52:20.62	338.81	34.61	-30.1	-30.9	22.6	0.00e+00	0	57	0	858783744	31	3811
2026-01-02 04:52:21.63	338.50	34.75	-30.2	-31.1	22.4	0.00e+00	0	58	0	866123776	30	4133
2026-01-02 04:52:22.65	338.20	34.90	-30.0	-30.9	22.6	0.00e+00	0	57	0	873463808	30	4032
