#Pass ID: 20260102_083231_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20240730
#Start time: 2026-01-02 08:32:32

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 37849U 11061A   26001.07732418  .00000182  00000+0  10735-3 0  9990
#TLE: 2 37849  98.7795 303.2470 0002580  87.2016 272.9455 14.19520779734739

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-02 08:32:32.89	102.91	7.08	-31.7	-38.2	4.3	1.40e+00	0	41	0	0	24	7618
2026-01-02 08:32:33.88	102.82	7.14	-31.5	-36.9	4.6	1.34e+00	0	41	104	0	24	6656
2026-01-02 08:32:34.88	102.73	7.21	-31.5	-36.9	6.2	2.74e-01	0	41	0	0	24	6648
2026-01-02 08:32:35.88	102.64	7.27	-31.5	-36.7	6.4	2.60e-01	0	41	0	1048576	24	6514
2026-01-02 08:32:36.89	102.55	7.34	-31.5	-36.7	6.4	2.60e-01	0	41	0	3145728	24	6519
2026-01-02 08:32:37.89	102.46	7.40	-31.5	-36.6	6.4	2.52e-01	0	41	0	5242880	24	6472
2026-01-02 08:32:38.90	102.37	7.47	-31.4	-35.7	7.1	2.09e-01	0	41	0	7340032	24	5932
2026-01-02 08:32:39.90	102.28	7.54	-31.1	-35.0	8.1	7.93e-02	0	41	0	9437184	23	5623
2026-01-02 08:32:40.90	102.18	7.60	-30.9	-34.0	8.9	3.66e-02	0	41	0	10485760	23	5147
2026-01-02 08:32:41.91	102.09	7.67	-30.8	-33.7	9.2	2.60e-02	0	41	0	12582912	23	5001
2026-01-02 08:32:42.91	102.00	7.73	-30.7	-33.7	9.5	1.53e-02	0	41	0	14680064	22	5091
2026-01-02 08:32:43.92	101.90	7.80	-30.8	-34.0	9.3	1.41e-02	0	41	0	16777216	22	5218
2026-01-02 08:32:44.92	101.81	7.87	-30.9	-34.6	8.8	2.45e-02	0	41	0	17825792	22	5520
2026-01-02 08:32:45.92	101.72	7.93	-31.0	-35.0	8.5	3.96e-02	0	41	0	19922944	22	5705
2026-01-02 08:32:46.92	101.62	8.00	-30.9	-34.7	8.7	3.35e-02	0	41	0	22020096	22	5564
2026-01-02 08:32:47.92	101.53	8.07	-30.9	-34.7	8.8	2.93e-02	0	41	0	24117248	22	5532
2026-01-02 08:32:48.93	101.43	8.13	-30.7	-34.1	9.2	2.47e-02	0	41	0	26214400	22	5269
2026-01-02 08:32:49.93	101.34	8.20	-30.6	-33.7	9.4	1.74e-02	0	41	0	27262976	22	5109
2026-01-02 08:32:50.93	101.24	8.27	-30.7	-34.0	9.2	1.88e-02	0	42	0	29360128	22	5246
2026-01-02 08:32:51.93	101.14	8.33	-30.6	-33.4	9.6	1.85e-02	0	42	0	31457280	22	5021
2026-01-02 08:32:52.93	101.05	8.40	-30.8	-34.4	8.7	2.83e-02	0	42	0	33554432	22	5471
2026-01-02 08:32:53.93	100.95	8.47	-30.7	-34.0	9.1	2.60e-02	0	42	0	35651584	22	5246
2026-01-02 08:32:54.93	100.85	8.54	-30.6	-33.5	9.5	1.81e-02	0	42	0	36700160	22	5043
2026-01-02 08:32:55.94	100.75	8.60	-30.6	-33.4	9.7	1.21e-02	0	42	0	38797312	22	4974
2026-01-02 08:32:56.95	100.65	8.67	-30.4	-33.0	10.0	7.65e-03	0	42	0	40894464	22	4829
2026-01-02 08:32:57.95	100.55	8.74	-30.4	-33.0	9.9	8.61e-03	0	42	0	42991616	22	4842
2026-01-02 08:32:58.95	100.45	8.81	-30.5	-33.4	9.6	9.48e-03	0	42	0	45088768	22	5001
2026-01-02 08:32:59.95	100.35	8.87	-30.7	-34.0	9.1	1.93e-02	0	42	0	46137344	22	5257
2026-01-02 08:33:00.95	100.25	8.94	-30.8	-34.2	9.0	2.30e-02	0	42	0	48234496	22	5343
2026-01-02 08:33:01.95	100.15	9.01	-31.0	-34.9	8.4	3.14e-02	0	42	0	50331648	22	5685
2026-01-02 08:33:02.95	100.05	9.08	-31.0	-34.9	8.5	4.35e-02	0	42	0	52428800	22	5673
2026-01-02 08:33:03.95	99.94	9.15	-31.1	-35.3	8.2	4.93e-02	0	42	0	54525952	22	5873
2026-01-02 08:33:04.95	99.84	9.21	-30.9	-34.7	8.6	4.18e-02	0	42	0	55574528	22	5578
2026-01-02 08:33:05.96	99.74	9.28	-31.1	-35.4	8.2	3.76e-02	0	42	0	57671680	22	5933
2026-01-02 08:33:06.96	99.63	9.35	-30.9	-34.7	8.7	4.87e-02	0	42	0	59768832	22	5574
2026-01-02 08:33:07.96	99.53	9.42	-30.7	-33.6	9.6	1.96e-02	0	42	0	61865984	22	5062
2026-01-02 08:33:08.97	99.42	9.49	-30.5	-32.9	10.2	8.98e-03	0	42	0	62914560	22	4765
2026-01-02 08:33:09.96	99.32	9.56	-30.4	-32.7	10.4	4.38e-03	0	42	0	65011712	22	4685
2026-01-02 08:33:10.96	99.21	9.63	-30.4	-32.7	10.4	3.61e-03	0	42	0	67108864	22	4667
2026-01-02 08:33:11.95	99.11	9.69	-30.7	-33.5	9.9	5.04e-03	0	42	0	69206016	22	4972
2026-01-02 08:33:12.96	99.00	9.76	-30.8	-34.0	9.5	8.95e-03	0	42	0	71303168	22	5184
2026-01-02 08:33:13.96	98.89	9.83	-30.8	-34.1	9.4	1.61e-02	0	42	0	72351744	22	5236
2026-01-02 08:33:14.97	98.78	9.90	-30.7	-33.6	9.7	1.64e-02	0	42	0	74448896	22	5040
2026-01-02 08:33:15.97	98.67	9.97	-30.5	-32.9	10.3	8.12e-03	0	42	0	76546048	22	4726
2026-01-02 08:33:16.97	98.56	10.04	-30.4	-32.6	10.6	4.09e-03	0	42	0	78643200	22	4616
2026-01-02 08:33:17.98	98.45	10.11	-30.5	-32.9	10.3	4.56e-03	0	42	0	80740352	22	4739
2026-01-02 08:33:18.98	98.34	10.18	-30.6	-33.2	10.1	6.23e-03	0	42	0	81788928	22	4880
2026-01-02 08:33:19.98	98.23	10.25	-30.8	-34.1	9.5	8.78e-03	0	42	0	83886080	22	5244
2026-01-02 08:33:20.98	98.12	10.32	-30.7	-33.7	9.7	1.10e-02	0	42	0	85983232	22	5085
2026-01-02 08:33:21.98	98.01	10.39	-30.7	-33.7	9.7	1.04e-02	0	42	0	88080384	22	5091
2026-01-02 08:33:22.99	97.90	10.46	-30.7	-33.7	9.7	1.10e-02	0	42	0	90177536	22	5071
2026-01-02 08:33:23.99	97.78	10.53	-30.7	-33.6	9.7	1.11e-02	0	42	0	91226112	22	5041
2026-01-02 08:33:24.99	97.67	10.60	-30.8	-34.1	9.3	1.20e-02	0	42	0	93323264	22	5247
2026-01-02 08:33:26.00	97.56	10.67	-30.7	-33.8	9.6	1.43e-02	0	42	0	95420416	22	5104
2026-01-02 08:33:27.00	97.44	10.74	-30.8	-33.9	9.5	1.25e-02	0	42	0	97517568	22	5162
2026-01-02 08:33:28.00	97.33	10.81	-31.1	-35.1	8.7	2.44e-02	0	42	0	99614720	22	5696
2026-01-02 08:33:29.01	97.21	10.88	-31.1	-35.3	8.5	3.37e-02	0	42	0	100663296	22	5787
2026-01-02 08:33:30.01	97.09	10.96	-31.1	-35.2	8.6	3.84e-02	0	42	0	102760448	22	5736
2026-01-02 08:33:31.02	96.98	11.03	-31.0	-34.6	9.1	3.07e-02	0	42	0	104857600	22	5452
2026-01-02 08:33:32.02	96.86	11.10	-31.0	-34.6	9.2	2.22e-02	0	42	0	106954752	22	5433
2026-01-02 08:33:33.02	96.74	11.17	-31.1	-35.2	8.6	2.42e-02	0	42	0	108003328	22	5731
2026-01-02 08:33:34.03	96.62	11.24	-31.1	-34.8	9.0	2.67e-02	0	42	0	110100480	22	5560
2026-01-02 08:33:35.03	96.50	11.31	-31.4	-36.2	7.9	5.27e-02	0	42	0	112197632	22	6256
