#Pass ID: 20260102_130053_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-02 13:04:54

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 49008U 21062A   26001.96913326  .00000001  00000+0  21174-4 0  9999
#TLE: 2 49008  98.7479   7.2511 0001416 166.5636 193.5578 14.19883387232993

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-02 13:04:54.18	73.47	26.18	-33.5	-44.5	3.8	8.47e-01	0	43	0	0	27	12848
2026-01-02 13:04:55.17	73.19	26.25	-33.8	-42.9	3.8	8.46e-01	0	44	104	0	28	10268
2026-01-02 13:04:56.17	72.91	26.31	-33.8	-42.9	3.8	8.44e-01	0	44	104	0	28	10277
2026-01-02 13:04:57.18	72.63	26.38	-33.8	-43.0	3.8	8.47e-01	0	44	104	0	28	10326
2026-01-02 13:04:58.18	72.34	26.45	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10421
2026-01-02 13:04:59.17	72.06	26.51	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10354
2026-01-02 13:05:00.17	71.78	26.57	-33.9	-43.0	3.8	8.45e-01	0	44	104	0	28	10320
2026-01-02 13:05:01.17	71.49	26.64	-33.9	-43.0	3.8	8.46e-01	0	44	104	0	28	10328
2026-01-02 13:05:02.17	71.20	26.70	-33.8	-43.1	3.8	8.46e-01	0	44	104	0	28	10394
2026-01-02 13:05:03.16	70.92	26.76	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10422
2026-01-02 13:05:04.16	70.63	26.82	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10396
2026-01-02 13:05:05.16	70.34	26.88	-33.9	-43.0	3.8	8.47e-01	0	44	104	0	28	10347
2026-01-02 13:05:06.15	70.05	26.94	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10404
2026-01-02 13:05:07.15	69.76	27.00	-33.9	-43.1	3.8	8.45e-01	0	43	104	0	28	10428
2026-01-02 13:05:08.14	69.46	27.06	-33.9	-43.1	3.8	8.47e-01	0	44	104	0	28	10401
2026-01-02 13:05:09.13	69.17	27.12	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10376
2026-01-02 13:05:10.12	68.88	27.17	-33.9	-43.0	3.8	8.45e-01	0	44	104	0	28	10363
2026-01-02 13:05:11.12	68.58	27.23	-33.8	-43.0	3.8	8.46e-01	0	44	104	0	28	10344
2026-01-02 13:05:12.11	68.29	27.28	-33.8	-43.0	3.8	8.46e-01	0	44	104	0	28	10356
2026-01-02 13:05:13.11	67.99	27.34	-33.9	-43.1	3.8	8.47e-01	0	44	104	0	28	10364
2026-01-02 13:05:14.11	67.69	27.39	-33.8	-43.0	3.8	8.46e-01	0	44	104	0	28	10345
2026-01-02 13:05:15.09	67.39	27.45	-33.9	-43.0	3.8	8.46e-01	0	44	104	0	28	10337
2026-01-02 13:05:16.09	67.09	27.50	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10420
2026-01-02 13:05:17.08	66.79	27.55	-33.9	-43.1	3.8	8.46e-01	0	44	104	0	28	10384
2026-01-02 13:05:18.08	66.49	27.60	-33.8	-43.0	3.8	8.46e-01	0	44	104	0	28	10284
2026-01-02 13:05:19.08	66.18	27.65	-33.8	-43.0	3.8	8.46e-01	0	43	104	0	28	10323
2026-01-02 13:05:20.07	65.88	27.70	-33.8	-42.9	3.8	8.46e-01	0	44	104	0	28	10342
2026-01-02 13:05:21.07	65.57	27.75	-33.7	-42.8	3.8	8.45e-01	0	44	104	0	28	10226
2026-01-02 13:05:22.06	65.27	27.80	-33.7	-42.8	3.8	8.46e-01	0	44	104	0	28	10196
2026-01-02 13:05:23.05	64.96	27.84	-33.8	-42.9	3.8	8.46e-01	0	44	104	0	28	10266
2026-01-02 13:05:24.04	64.65	27.89	-33.7	-42.8	3.8	8.46e-01	0	44	104	0	28	10197
2026-01-02 13:05:25.04	64.34	27.93	-33.7	-42.7	3.8	8.45e-01	0	44	104	0	28	10184
2026-01-02 13:05:26.03	64.03	27.98	-33.8	-43.1	3.8	8.47e-01	0	44	104	0	28	10426
2026-01-02 13:05:27.04	63.72	28.02	-33.8	-42.9	3.8	8.46e-01	0	44	104	0	28	10305
2026-01-02 13:05:28.03	63.41	28.06	-33.8	-42.9	3.8	8.46e-01	0	44	104	0	28	10277
2026-01-02 13:05:29.02	63.10	28.10	-33.7	-42.7	3.8	8.46e-01	0	44	104	0	28	10172
2026-01-02 13:05:30.02	62.78	28.14	-33.6	-42.6	3.8	8.46e-01	0	44	104	0	28	10038
2026-01-02 13:05:31.01	62.47	28.18	-33.6	-42.6	3.8	8.45e-01	0	44	104	0	28	10072
2026-01-02 13:05:32.01	62.15	28.22	-33.5	-41.8	3.8	8.45e-01	0	44	104	0	27	9399
2026-01-02 13:05:33.01	61.84	28.26	-33.4	-41.4	3.8	8.46e-01	0	44	104	0	27	8970
2026-01-02 13:05:34.01	61.52	28.30	-33.5	-41.5	3.8	8.46e-01	0	44	104	0	27	9063
2026-01-02 13:05:35.01	61.20	28.34	-33.5	-41.8	3.8	8.45e-01	0	44	104	0	27	9365
2026-01-02 13:05:36.01	60.88	28.37	-33.5	-42.2	3.8	8.45e-01	0	44	104	0	27	9707
2026-01-02 13:05:37.01	60.56	28.40	-33.6	-42.6	3.8	8.46e-01	0	44	104	0	27	10111
2026-01-02 13:05:38.00	60.24	28.44	-33.6	-42.8	3.8	8.47e-01	0	44	104	0	27	10326
2026-01-02 13:05:38.99	59.93	28.47	-33.6	-42.7	3.8	8.45e-01	0	44	104	0	27	10278
2026-01-02 13:05:39.99	59.60	28.50	-33.6	-42.5	3.8	8.46e-01	0	44	104	0	27	10016
2026-01-02 13:05:40.99	59.28	28.53	-33.6	-42.6	3.8	8.45e-01	0	44	104	0	27	10180
2026-01-02 13:05:41.98	58.96	28.56	-33.6	-42.8	3.8	8.46e-01	0	44	104	0	27	10415
2026-01-02 13:05:42.98	58.64	28.59	-33.6	-42.4	3.8	8.45e-01	0	44	104	0	27	9959
2026-01-02 13:05:43.97	58.32	28.62	-33.6	-42.5	3.8	8.46e-01	0	44	104	0	27	10044
2026-01-02 13:05:44.97	57.99	28.64	-33.3	-40.5	3.8	8.46e-01	0	44	104	0	27	8248
2026-01-02 13:05:45.97	57.67	28.67	-31.7	-34.9	4.7	7.85e-01	0	44	104	0	24	5197
2026-01-02 13:05:46.98	57.34	28.69	-29.1	-30.1	11.4	7.32e-03	0	44	0	0	19	4034
2026-01-02 13:05:47.98	57.01	28.72	-26.7	-27.1	14.3	0.00e+00	0	44	0	7340032	14	3783
2026-01-02 13:05:48.97	56.69	28.74	-26.6	-27.0	14.5	1.10e-06	0	44	0	14680064	14	3746
2026-01-02 13:05:49.96	56.36	28.76	-27.3	-28.6	13.5	0.00e+00	0	44	0	22020096	14	4146
2026-01-02 13:05:50.97	56.03	28.78	-26.8	-27.2	14.3	1.10e-06	0	44	0	28311552	14	3810
2026-01-02 13:05:51.98	55.70	28.80	-26.2	-26.4	15.0	0.00e+00	0	44	0	36700160	13	3715
2026-01-02 13:05:52.98	55.37	28.82	-26.0	-26.1	15.2	0.00e+00	0	44	0	42991616	13	3640
2026-01-02 13:05:53.98	55.04	28.84	-25.8	-26.2	15.4	0.00e+00	0	44	0	50331648	12	3769
2026-01-02 13:05:54.98	54.71	28.85	-26.1	-26.7	15.2	0.00e+00	0	44	0	57671680	12	3884
2026-01-02 13:05:55.97	54.39	28.87	-26.7	-27.6	14.4	1.10e-06	0	44	0	65011712	13	4011
2026-01-02 13:05:56.97	54.06	28.88	-26.3	-26.6	14.9	0.00e+00	0	44	0	72351744	13	3765
2026-01-02 13:05:57.96	53.73	28.90	-25.5	-25.9	15.9	0.00e+00	0	44	0	79691776	11	3792
2026-01-02 13:05:58.96	53.40	28.91	-24.8	-24.9	16.8	0.00e+00	0	44	0	85983232	10	3652
2026-01-02 13:05:59.95	53.07	28.92	-25.3	-26.1	16.2	0.00e+00	0	44	0	93323264	10	3929
2026-01-02 13:06:00.94	52.75	28.93	-24.5	-24.4	17.0	0.00e+00	0	44	0	100663296	10	3555
2026-01-02 13:06:01.94	52.42	28.94	-24.9	-25.2	16.6	0.00e+00	0	44	0	108003328	10	3733
2026-01-02 13:06:02.94	52.08	28.95	-24.6	-24.6	17.0	0.00e+00	0	44	0	115343360	10	3585
2026-01-02 13:06:03.93	51.76	28.95	-24.3	-24.5	17.2	0.00e+00	0	44	0	122683392	9	3660
2026-01-02 13:06:04.93	51.42	28.96	-24.3	-24.4	17.3	0.00e+00	0	44	0	130023424	9	3639
2026-01-02 13:06:05.93	51.09	28.96	-24.5	-24.8	17.1	0.00e+00	0	44	0	137363456	9	3741
2026-01-02 13:06:06.93	50.76	28.97	-24.6	-25.1	16.9	0.00e+00	0	44	0	144703488	9	3797
2026-01-02 13:06:07.93	50.43	28.97	-25.3	-26.0	16.2	0.00e+00	0	44	0	150994944	10	3918
2026-01-02 13:06:08.93	50.10	28.97	-24.7	-24.9	16.8	0.00e+00	0	44	0	158334976	10	3654
2026-01-02 13:06:09.93	49.77	28.97	-24.3	-24.4	17.3	0.00e+00	0	44	0	165675008	9	3652
2026-01-02 13:06:10.92	49.44	28.97	-23.9	-23.7	17.7	0.00e+00	0	44	0	173015040	9	3492
2026-01-02 13:06:11.92	49.11	28.97	-23.6	-23.6	18.0	0.00e+00	0	44	0	180355072	8	3564
2026-01-02 13:06:12.92	48.78	28.97	-23.8	-23.8	17.8	0.00e+00	0	44	0	186646528	8	3623
2026-01-02 13:06:13.91	48.45	28.96	-24.1	-24.4	17.5	0.00e+00	0	44	0	193986560	8	3748
2026-01-02 13:06:14.91	48.12	28.96	-23.8	-23.8	17.8	0.00e+00	0	44	0	201326592	8	3623
2026-01-02 13:06:15.91	47.78	28.95	-23.5	-23.2	18.2	0.00e+00	0	44	0	208666624	8	3486
2026-01-02 13:06:16.90	47.46	28.94	-23.5	-23.2	18.1	0.00e+00	0	44	0	216006656	8	3486
2026-01-02 13:06:17.89	47.13	28.94	-23.6	-23.5	18.0	0.00e+00	0	44	0	223346688	8	3552
2026-01-02 13:06:18.89	46.80	28.93	-23.5	-23.3	18.1	0.00e+00	0	44	0	230686720	8	3513
2026-01-02 13:06:19.88	46.47	28.92	-23.5	-23.3	18.1	0.00e+00	0	44	0	238026752	8	3509
2026-01-02 13:06:20.88	46.14	28.91	-23.6	-23.4	18.1	0.00e+00	0	44	0	244318208	8	3519
2026-01-02 13:06:21.87	45.81	28.89	-23.2	-23.2	18.4	0.00e+00	0	44	0	251658240	7	3577
2026-01-02 13:06:22.86	45.49	28.88	-23.2	-23.1	18.4	0.00e+00	0	44	0	258998272	7	3562
2026-01-02 13:06:23.86	45.16	28.87	-23.2	-23.1	18.4	0.00e+00	0	44	0	266338304	7	3556
2026-01-02 13:06:24.87	44.82	28.85	-23.1	-22.9	18.5	0.00e+00	0	44	0	273678336	7	3522
2026-01-02 13:06:25.86	44.50	28.83	-23.1	-22.9	18.5	0.00e+00	0	44	0	281018368	7	3520
2026-01-02 13:06:26.86	44.17	28.82	-23.3	-23.4	18.2	0.00e+00	0	44	0	288358400	7	3631
2026-01-02 13:06:27.87	43.84	28.80	-23.4	-23.5	18.2	0.00e+00	0	44	0	294649856	7	3655
2026-01-02 13:06:28.86	43.51	28.78	-23.5	-23.7	18.1	0.00e+00	0	44	0	301989888	7	3687
2026-01-02 13:06:29.86	43.19	28.76	-23.5	-23.7	18.1	0.00e+00	0	44	0	309329920	7	3684
2026-01-02 13:06:30.85	42.86	28.74	-23.6	-23.9	18.0	0.00e+00	0	44	0	316669952	7	3729
2026-01-02 13:06:31.85	42.54	28.71	-23.5	-23.7	18.1	0.00e+00	0	44	0	324009984	7	3690
2026-01-02 13:06:32.85	42.21	28.69	-23.5	-23.8	18.0	0.00e+00	0	44	0	331350016	7	3711
