#Pass ID: 20260102_231652_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-02 23:16:52

#Version: 2.2.20231116
#Station: R3.0SM8_Murmansk_STILSPACE
#Location: 33.092731 lon 68.902999 lat
#TLE: 1 43010U 17072A   26002.31768531  .00000715  00000+0  35975-3 0  9993
#TLE: 2 43010  98.9910 333.9388 0001871 131.0716 229.0622 14.19693418421454

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-02 23:16:52.80	21.70	3.03	-53.3	-64.1	3.8	8.46e-01	0	46	0	0	68	13110
2026-01-02 23:16:53.79	21.80	3.07	-53.2	-64.0	3.8	8.47e-01	0	46	104	0	69	12291
2026-01-02 23:16:54.78	21.91	3.11	-53.2	-64.0	3.8	8.46e-01	0	46	104	0	69	12315
2026-01-02 23:16:55.76	22.01	3.16	-53.2	-64.0	3.8	8.44e-01	0	46	104	0	69	12291
2026-01-02 23:16:56.75	22.12	3.20	-53.2	-64.0	3.8	8.46e-01	0	46	104	0	69	12296
2026-01-02 23:16:57.75	22.23	3.24	-53.2	-64.0	3.8	8.46e-01	0	47	104	0	69	12279
2026-01-02 23:16:58.74	22.34	3.28	-53.2	-63.9	3.8	8.44e-01	0	46	104	0	69	12224
2026-01-02 23:16:59.73	22.45	3.33	-53.2	-64.0	3.8	8.46e-01	0	47	104	0	69	12250
2026-01-02 23:17:00.72	22.55	3.37	-53.2	-64.0	3.8	8.47e-01	0	47	104	0	69	12241
2026-01-02 23:17:01.72	22.66	3.41	-53.1	-63.9	3.8	8.47e-01	0	47	104	0	69	12141
2026-01-02 23:17:02.71	22.77	3.45	-53.1	-63.9	3.8	8.46e-01	0	47	104	0	68	12812
2026-01-02 23:17:03.70	22.88	3.50	-53.1	-63.9	3.8	8.45e-01	0	47	104	0	68	12832
2026-01-02 23:17:04.69	22.99	3.54	-53.1	-63.8	3.8	8.46e-01	0	47	104	0	68	12793
2026-01-02 23:17:05.68	23.10	3.58	-53.1	-63.8	3.8	8.46e-01	0	47	104	0	68	12717
2026-01-02 23:17:06.67	23.21	3.62	-53.0	-63.8	3.8	8.46e-01	0	47	104	0	68	12717
2026-01-02 23:17:07.66	23.32	3.67	-52.9	-63.7	3.8	8.47e-01	0	47	104	0	68	12628
2026-01-02 23:17:08.65	23.43	3.71	-52.8	-63.6	3.8	8.46e-01	0	47	104	0	68	12513
2026-01-02 23:17:09.63	23.54	3.75	-52.7	-63.6	3.8	8.47e-01	0	47	104	0	68	12377
2026-01-02 23:17:10.62	23.65	3.79	-52.5	-63.4	3.8	8.47e-01	0	48	104	0	68	12169
2026-01-02 23:17:11.61	23.76	3.84	-52.4	-63.1	3.8	8.45e-01	0	47	104	0	67	12405
2026-01-02 23:17:12.60	23.87	3.88	-52.1	-62.7	3.8	8.46e-01	0	47	104	0	67	11915
2026-01-02 23:17:13.59	23.99	3.92	-52.1	-62.7	3.8	8.46e-01	0	48	104	0	66	12615
2026-01-02 23:17:14.57	24.10	3.96	-52.1	-62.8	3.8	8.46e-01	0	48	104	0	66	12668
2026-01-02 23:17:15.56	24.21	4.00	-52.1	-62.8	3.8	8.46e-01	0	48	104	0	66	12712
2026-01-02 23:17:16.56	24.32	4.05	-52.1	-62.8	3.8	8.45e-01	0	48	104	0	66	12735
2026-01-02 23:17:17.54	24.44	4.09	-52.1	-62.8	3.8	8.47e-01	0	48	104	0	66	12794
2026-01-02 23:17:18.54	24.55	4.13	-52.1	-62.9	3.8	8.47e-01	0	48	104	0	66	12819
2026-01-02 23:17:19.52	24.66	4.17	-52.1	-62.8	3.8	8.47e-01	0	48	104	0	66	12768
2026-01-02 23:17:20.52	24.78	4.22	-52.1	-62.8	3.8	8.46e-01	0	48	104	0	66	12744
2026-01-02 23:17:21.51	24.89	4.26	-52.0	-62.7	3.8	8.46e-01	0	48	104	0	66	12584
2026-01-02 23:17:22.50	25.01	4.30	-52.1	-62.7	3.8	8.48e-01	0	48	104	0	66	12527
2026-01-02 23:17:23.48	25.12	4.34	-52.1	-62.5	3.8	8.46e-01	0	48	104	0	66	12313
2026-01-02 23:17:24.48	25.24	4.38	-51.9	-62.5	3.8	8.45e-01	0	48	104	0	66	12330
2026-01-02 23:17:25.46	25.35	4.43	-51.9	-62.6	3.8	8.43e-01	0	49	104	0	66	12429
2026-01-02 23:17:26.46	25.47	4.47	-52.0	-62.7	3.8	8.46e-01	0	49	104	0	66	12551
2026-01-02 23:17:27.46	25.59	4.51	-52.0	-62.7	3.8	8.46e-01	0	49	104	0	65	13350
2026-01-02 23:17:28.44	25.71	4.55	-52.0	-62.6	3.8	8.46e-01	0	49	104	0	65	13152
2026-01-02 23:17:29.43	25.82	4.59	-51.9	-62.1	3.8	8.45e-01	0	48	104	0	65	12473
2026-01-02 23:17:30.41	25.94	4.64	-51.8	-61.1	3.8	8.46e-01	0	49	104	0	65	11099
2026-01-02 23:17:31.40	26.06	4.68	-51.7	-59.6	4.1	8.45e-01	0	49	104	0	65	9325
2026-01-02 23:17:32.39	26.17	4.72	-51.3	-58.0	4.6	8.22e-01	0	49	0	0	65	7803
2026-01-02 23:17:33.38	26.29	4.76	-50.9	-56.3	5.6	7.36e-01	0	49	0	0	64	6764
2026-01-02 23:17:34.37	26.41	4.80	-50.4	-54.6	7.0	2.07e-01	0	49	0	5242880	63	5883
2026-01-02 23:17:35.36	26.53	4.84	-49.6	-53.0	8.6	6.45e-02	0	49	0	10485760	62	5167
2026-01-02 23:17:36.35	26.65	4.89	-48.8	-51.4	10.2	1.65e-02	0	49	0	15728640	60	4854
2026-01-02 23:17:37.34	26.77	4.93	-48.1	-50.3	11.5	1.74e-03	0	49	0	22020096	59	4510
2026-01-02 23:17:38.33	26.89	4.97	-47.4	-49.3	12.5	3.55e-04	0	49	0	27262976	58	4266
2026-01-02 23:17:39.32	27.01	5.01	-46.8	-48.5	13.4	3.31e-05	0	49	0	32505856	56	4350
2026-01-02 23:17:40.31	27.13	5.05	-46.2	-47.7	14.1	9.10e-06	0	49	0	38797312	55	4212
2026-01-02 23:17:41.30	27.25	5.09	-46.2	-47.8	14.0	2.20e-06	0	49	0	44040192	55	4253
2026-01-02 23:17:42.29	27.37	5.14	-46.3	-47.9	13.9	1.02e-05	0	49	0	49283072	55	4314
2026-01-02 23:17:43.27	27.49	5.18	-46.2	-47.7	14.1	2.20e-06	0	50	0	54525952	55	4205
2026-01-02 23:17:44.25	27.61	5.22	-46.0	-47.5	14.3	3.40e-06	0	50	0	60817408	55	4100
2026-01-02 23:17:45.24	27.74	5.26	-45.9	-47.3	14.4	3.40e-06	0	49	0	66060288	55	4048
2026-01-02 23:17:46.23	27.86	5.30	-45.9	-47.3	14.5	1.10e-06	0	50	0	71303168	55	4042
2026-01-02 23:17:47.22	27.98	5.34	-45.9	-47.3	14.5	0.00e+00	0	50	0	77594624	54	4250
2026-01-02 23:17:48.21	28.11	5.38	-45.8	-47.2	14.6	2.20e-06	0	50	0	82837504	54	4229
2026-01-02 23:17:49.20	28.23	5.42	-45.8	-47.2	14.6	2.20e-06	0	50	0	88080384	54	4209
2026-01-02 23:17:50.19	28.35	5.46	-45.8	-47.2	14.7	0.00e+00	0	50	0	94371840	54	4207
2026-01-02 23:17:51.18	28.48	5.51	-45.8	-47.2	14.7	0.00e+00	0	50	0	99614720	54	4217
2026-01-02 23:17:52.16	28.60	5.55	-45.8	-47.1	14.7	1.10e-06	0	50	0	104857600	54	4167
2026-01-02 23:17:53.15	28.73	5.59	-45.9	-47.3	14.6	0.00e+00	0	50	0	111149056	54	4272
2026-01-02 23:17:54.14	28.85	5.63	-45.7	-47.0	14.9	0.00e+00	0	50	0	116391936	54	4119
2026-01-02 23:17:55.13	28.98	5.67	-45.7	-47.0	14.9	0.00e+00	0	50	0	121634816	54	4129
2026-01-02 23:17:56.13	29.11	5.71	-45.8	-47.1	14.8	0.00e+00	0	50	0	126877696	54	4179
2026-01-02 23:17:57.12	29.23	5.75	-45.9	-47.2	14.6	0.00e+00	0	50	0	133169152	54	4221
2026-01-02 23:17:58.11	29.36	5.79	-45.7	-46.9	14.9	0.00e+00	0	50	0	138412032	54	4097
2026-01-02 23:17:59.10	29.49	5.83	-45.6	-46.8	15.1	0.00e+00	0	50	0	144703488	54	4043
2026-01-02 23:18:00.10	29.61	5.87	-45.5	-46.7	15.1	0.00e+00	0	50	0	149946368	54	3998
2026-01-02 23:18:01.09	29.74	5.91	-45.5	-46.7	15.2	0.00e+00	0	50	0	155189248	54	3996
2026-01-02 23:18:02.07	29.87	5.95	-45.4	-46.6	15.2	0.00e+00	0	50	0	160432128	53	4185
2026-01-02 23:18:03.06	30.00	6.00	-45.4	-46.6	15.3	0.00e+00	0	50	0	166723584	53	4173
2026-01-02 23:18:04.05	30.13	6.04	-45.4	-46.6	15.3	0.00e+00	0	50	0	171966464	53	4170
2026-01-02 23:18:05.04	30.25	6.08	-45.5	-46.7	15.2	0.00e+00	0	50	0	177209344	53	4221
2026-01-02 23:18:06.02	30.38	6.12	-45.4	-46.5	15.3	0.00e+00	0	51	0	183500800	53	4142
2026-01-02 23:18:07.01	30.51	6.16	-45.3	-46.5	15.4	0.00e+00	0	51	0	188743680	53	4111
2026-01-02 23:18:08.00	30.64	6.20	-45.3	-46.5	15.4	0.00e+00	0	51	0	193986560	53	4129
2026-01-02 23:18:08.99	30.77	6.24	-45.3	-46.4	15.5	0.00e+00	0	51	0	199229440	53	4089
2026-01-02 23:18:09.99	30.91	6.28	-45.4	-46.5	15.4	0.00e+00	0	51	0	205520896	53	4141
2026-01-02 23:18:10.98	31.04	6.32	-45.3	-46.5	15.5	0.00e+00	0	51	0	210763776	53	4115
2026-01-02 23:18:11.97	31.17	6.36	-45.3	-46.5	15.5	0.00e+00	0	51	0	216006656	53	4120
2026-01-02 23:18:12.96	31.30	6.40	-45.5	-46.7	15.3	0.00e+00	0	51	0	222298112	53	4211
2026-01-02 23:18:13.96	31.43	6.44	-45.6	-46.9	15.1	0.00e+00	0	51	0	227540992	53	4315
2026-01-02 23:18:14.93	31.56	6.48	-45.7	-46.9	15.0	0.00e+00	0	51	0	232783872	53	4324
2026-01-02 23:18:15.93	31.70	6.52	-45.6	-46.8	15.2	0.00e+00	0	51	0	239075328	53	4274
2026-01-02 23:18:16.92	31.83	6.56	-45.7	-46.9	15.0	0.00e+00	0	51	0	244318208	53	4318
