#Pass ID: 20260102_152134_METOP-B
#Satellite: METOP-B
#Configuration: METOP-B
#Start time: 2026-01-02 15:21:39.542188

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 38771U 12049A   26001.29166681  .00000269  00000+0  14283-3 0  9997
#TLE: 2 38771  98.6772  55.9164 0003359 104.1262 256.0289 14.21416881689554

#Time	Az	El	Level	SNR
2026-01-02 15:21:41.719482	77.6	10.1	-69.3	0.0
2026-01-02 15:21:42.844757	77.4	10.2	-70.7	0.0
2026-01-02 15:21:43.970844	77.2	10.2	-71.3	0.0
2026-01-02 15:21:45.097707	77.1	10.3	-70.3	0.0
2026-01-02 15:21:46.224494	76.9	10.3	-71.5	0.0
2026-01-02 15:21:47.348568	76.7	10.4	-71.0	0.0
2026-01-02 15:21:48.474510	76.5	10.4	-70.1	0.0
2026-01-02 15:21:49.599890	76.4	10.5	-67.8	0.0
2026-01-02 15:21:50.726375	76.2	10.5	-67.4	0.0
2026-01-02 15:21:51.852609	76.0	10.6	-66.9	0.0
2026-01-02 15:21:52.980193	75.8	10.6	-68.0	0.0
2026-01-02 15:21:54.105902	75.7	10.7	-65.4	0.0
2026-01-02 15:21:55.231693	75.5	10.8	-66.0	0.0
2026-01-02 15:21:56.358355	75.3	10.8	-65.6	0.0
2026-01-02 15:21:57.487271	75.1	10.9	-68.2	0.0
2026-01-02 15:21:58.614506	74.9	10.9	-66.6	0.0
2026-01-02 15:21:59.738324	74.8	11.0	-69.8	0.0
2026-01-02 15:22:00.864571	74.6	11.0	-68.1	0.0
2026-01-02 15:22:01.993630	74.4	11.1	-67.8	0.0
2026-01-02 15:22:03.120313	74.2	11.1	-68.3	0.0
2026-01-02 15:22:04.246030	74.0	11.2	-68.1	0.0
2026-01-02 15:22:05.373881	73.9	11.2	-65.1	0.0
2026-01-02 15:22:06.497769	73.7	11.3	-68.6	0.0
2026-01-02 15:22:07.624265	73.5	11.3	-65.0	0.0
2026-01-02 15:22:08.750778	73.3	11.4	-67.4	0.0
2026-01-02 15:22:09.875335	73.1	11.4	-65.7	0.0
2026-01-02 15:22:11.002300	72.9	11.5	-65.8	0.0
2026-01-02 15:22:12.129297	72.7	11.5	-65.5	0.0
2026-01-02 15:22:13.258987	72.6	11.6	-67.3	0.0
2026-01-02 15:22:14.386055	72.4	11.6	-68.4	0.0
2026-01-02 15:22:15.513453	72.2	11.7	-68.8	0.0
2026-01-02 15:22:16.638497	72.0	11.7	-68.5	0.0
2026-01-02 15:22:17.764798	71.8	11.8	-69.4	0.0
2026-01-02 15:22:18.892222	71.6	11.8	-68.7	0.0
2026-01-02 15:22:20.019453	71.4	11.9	-68.2	0.0
2026-01-02 15:22:21.147606	71.2	11.9	-67.6	0.0
2026-01-02 15:22:22.274811	71.0	12.0	-68.5	0.0
2026-01-02 15:22:23.400796	70.8	12.0	-68.7	0.0
2026-01-02 15:22:24.527480	70.6	12.1	-68.2	0.0
2026-01-02 15:22:25.655983	70.4	12.1	-66.7	0.0
2026-01-02 15:22:26.783433	70.2	12.2	-68.3	0.0
2026-01-02 15:22:27.909343	70.1	12.2	-68.5	0.0
2026-01-02 15:22:29.036107	69.9	12.3	-68.9	0.0
2026-01-02 15:22:30.163749	69.7	12.3	-68.1	0.0
2026-01-02 15:22:31.289518	69.5	12.4	-63.8	0.0
2026-01-02 15:22:32.416749	69.3	12.4	-67.7	0.0
2026-01-02 15:22:33.543247	69.1	12.5	-67.8	0.0
2026-01-02 15:22:34.670248	68.9	12.5	-67.8	0.0
2026-01-02 15:22:35.797462	68.7	12.6	-67.7	0.0
2026-01-02 15:22:36.924509	68.5	12.6	-68.1	0.0
2026-01-02 15:22:38.052304	68.3	12.7	-67.6	0.0
2026-01-02 15:22:39.179987	68.1	12.7	-67.2	0.0
2026-01-02 15:22:40.307348	67.8	12.7	-67.8	0.0
2026-01-02 15:22:41.436067	67.6	12.8	-66.6	0.0
2026-01-02 15:22:42.562107	67.4	12.8	-67.7	0.0
2026-01-02 15:22:43.687580	67.2	12.9	-67.7	0.0
2026-01-02 15:22:44.813826	67.0	12.9	-64.3	0.0
2026-01-02 15:22:45.941203	66.8	13.0	-63.0	0.0
2026-01-02 15:22:47.068909	66.6	13.0	-64.7	0.0
2026-01-02 15:22:48.196178	66.4	13.1	-66.6	0.0
2026-01-02 15:22:49.322356	66.2	13.1	-68.0	0.0
2026-01-02 15:22:50.449814	66.0	13.1	-67.6	0.0
2026-01-02 15:22:51.577786	65.8	13.2	-70.1	0.0
2026-01-02 15:22:52.702757	65.6	13.2	-69.4	0.0
2026-01-02 15:22:53.830668	65.4	13.3	-66.9	0.0
2026-01-02 15:22:54.956511	65.1	13.3	-65.2	0.0
2026-01-02 15:22:56.085786	64.9	13.3	-67.2	0.0
2026-01-02 15:22:57.211465	64.7	13.4	-68.4	0.0
2026-01-02 15:22:58.338042	64.5	13.4	-66.8	0.0
2026-01-02 15:22:59.465950	64.3	13.5	-63.7	0.0
2026-01-02 15:23:00.595012	64.1	13.5	-66.1	0.0
2026-01-02 15:23:01.723891	63.9	13.5	-67.0	0.0
2026-01-02 15:23:02.850519	63.6	13.6	-69.0	0.0
2026-01-02 15:23:03.978630	63.4	13.6	-66.7	0.0
2026-01-02 15:23:05.105543	63.2	13.7	-66.9	0.0
2026-01-02 15:23:06.231525	63.0	13.7	-66.6	0.0
2026-01-02 15:23:07.359779	62.8	13.7	-67.3	0.0
2026-01-02 15:23:08.489517	62.6	13.8	-66.9	0.0
2026-01-02 15:23:09.615066	62.3	13.8	-67.0	0.0
2026-01-02 15:23:10.742370	62.1	13.8	-67.1	0.0
2026-01-02 15:23:11.868671	61.9	13.9	-68.0	0.0
2026-01-02 15:23:12.995700	61.7	13.9	-67.3	0.0
2026-01-02 15:23:14.124654	61.5	14.0	-65.7	0.0
2026-01-02 15:23:15.251046	61.2	14.0	-66.5	0.0
2026-01-02 15:23:16.379473	61.0	14.0	-67.1	0.0
2026-01-02 15:23:17.507123	60.8	14.1	-65.9	0.0
2026-01-02 15:23:18.633228	60.6	14.1	-66.9	0.0
2026-01-02 15:23:19.761514	60.3	14.1	-67.2	0.0
2026-01-02 15:23:20.886295	60.1	14.2	-67.1	0.0
2026-01-02 15:23:22.013672	59.9	14.2	-67.8	0.0
2026-01-02 15:23:23.138951	59.7	14.2	-66.5	0.0
2026-01-02 15:23:24.266406	59.4	14.3	-67.4	0.0
2026-01-02 15:23:25.392680	59.2	14.3	-67.5	0.0
2026-01-02 15:23:26.522268	59.0	14.3	-67.9	0.0
2026-01-02 15:23:27.650196	58.8	14.4	-66.6	0.0
2026-01-02 15:23:28.777708	58.5	14.4	-67.3	0.0
2026-01-02 15:23:29.905644	58.3	14.4	-68.2	0.0
2026-01-02 15:23:31.033066	58.1	14.4	-69.3	0.0
2026-01-02 15:23:32.161566	57.9	14.5	-68.6	0.0
2026-01-02 15:23:33.286737	57.6	14.5	-68.9	0.0
2026-01-02 15:23:34.412418	57.4	14.5	-69.3	0.0
2026-01-02 15:23:35.539827	57.2	14.6	-69.5	0.0
2026-01-02 15:23:36.664911	56.9	14.6	-68.1	0.0
2026-01-02 15:23:37.792303	56.7	14.6	-66.0	0.0
2026-01-02 15:23:38.918833	56.5	14.6	-65.8	0.0
2026-01-02 15:23:40.047311	56.2	14.7	-64.7	0.0
2026-01-02 15:23:41.174284	56.0	14.7	-65.5	0.0
2026-01-02 15:23:42.301222	55.8	14.7	-65.3	0.0
2026-01-02 15:23:43.428416	55.5	14.7	-64.5	0.0
2026-01-02 15:23:44.556003	55.3	14.8	-65.3	0.0
2026-01-02 15:23:45.683259	55.1	14.8	-66.4	0.0
2026-01-02 15:23:46.810542	54.8	14.8	-65.4	0.0
2026-01-02 15:23:47.937147	54.6	14.8	-66.5	0.0
2026-01-02 15:23:49.063708	54.4	14.9	-66.5	0.0
2026-01-02 15:23:50.192756	54.1	14.9	-65.9	0.0
2026-01-02 15:23:51.319265	53.9	14.9	-65.5	0.0
2026-01-02 15:23:52.445869	53.7	14.9	-67.1	0.0
2026-01-02 15:23:53.573903	53.4	14.9	-65.2	0.0
2026-01-02 15:23:54.704327	53.2	15.0	-65.0	0.0
2026-01-02 15:23:55.831218	52.9	15.0	-64.0	0.0
2026-01-02 15:23:56.959549	52.7	15.0	-64.8	0.0
2026-01-02 15:23:58.087087	52.5	15.0	-64.5	0.0
2026-01-02 15:23:59.215547	52.2	15.0	-65.2	0.0
2026-01-02 15:24:00.341642	52.0	15.1	-64.0	0.0
2026-01-02 15:24:01.468136	51.8	15.1	-63.1	0.0
2026-01-02 15:24:02.592846	51.5	15.1	-64.8	0.0
2026-01-02 15:24:03.718713	51.3	15.1	-64.7	0.0
2026-01-02 15:24:04.845201	51.0	15.1	-65.0	0.0
2026-01-02 15:24:05.971902	50.8	15.1	-64.6	0.0
2026-01-02 15:24:07.098450	50.6	15.2	-64.0	0.0
2026-01-02 15:24:08.225337	50.3	15.2	-65.1	0.0
2026-01-02 15:24:09.352902	50.1	15.2	-64.9	0.0
2026-01-02 15:24:10.478364	49.8	15.2	-64.9	0.0
2026-01-02 15:24:11.606060	49.6	15.2	-64.5	0.0
2026-01-02 15:24:12.731897	49.4	15.2	-65.2	0.0
2026-01-02 15:24:13.859272	49.1	15.2	-63.5	0.0
2026-01-02 15:24:14.988081	48.9	15.3	-60.7	0.0
2026-01-02 15:24:16.114531	48.6	15.3	-64.8	0.0
2026-01-02 15:24:17.242473	48.4	15.3	-65.5	0.0
2026-01-02 15:24:18.370249	48.1	15.3	-66.0	0.0
2026-01-02 15:24:19.498742	47.9	15.3	-62.9	0.0
2026-01-02 15:24:20.625471	47.7	15.3	-64.1	0.0
2026-01-02 15:24:21.752456	47.4	15.3	-63.2	0.0
2026-01-02 15:24:22.879536	47.2	15.3	-63.7	0.0
2026-01-02 15:24:24.006419	46.9	15.3	-63.7	0.0
2026-01-02 15:24:25.133028	46.7	15.3	-62.2	0.0
2026-01-02 15:24:26.261463	46.4	15.3	-61.2	0.0
2026-01-02 15:24:27.389120	46.2	15.3	-62.5	0.0
2026-01-02 15:24:28.518081	46.0	15.4	-61.3	0.0
2026-01-02 15:24:29.643414	45.7	15.4	-61.9	0.0
2026-01-02 15:24:30.769184	45.5	15.4	-60.6	0.0
2026-01-02 15:24:31.896218	45.2	15.4	-59.6	0.0
2026-01-02 15:24:33.024429	45.0	15.4	-60.8	0.0
2026-01-02 15:24:34.151358	44.7	15.4	-63.4	0.0
2026-01-02 15:24:35.279063	44.5	15.4	-61.7	0.0
2026-01-02 15:24:36.406520	44.2	15.4	-61.9	0.0
2026-01-02 15:24:37.533572	44.0	15.4	-62.7	0.0
2026-01-02 15:24:38.663360	43.8	15.4	-61.6	0.0
2026-01-02 15:24:39.791653	43.5	15.4	-59.3	0.0
2026-01-02 15:24:40.918767	43.3	15.4	-59.4	0.0
2026-01-02 15:24:42.046128	43.0	15.4	-61.5	0.0
2026-01-02 15:24:43.174619	42.8	15.4	-61.1	0.0
2026-01-02 15:24:44.301138	42.5	15.4	-58.8	0.0
2026-01-02 15:24:45.429717	42.3	15.4	-59.4	0.0
2026-01-02 15:24:46.555011	42.1	15.4	-60.2	0.0
2026-01-02 15:24:47.680033	41.8	15.4	-61.9	0.0
2026-01-02 15:24:48.809899	41.6	15.4	-62.8	0.0
2026-01-02 15:24:49.936375	41.3	15.4	-61.8	0.0
2026-01-02 15:24:51.065515	41.1	15.3	-61.7	0.0
2026-01-02 15:24:52.191068	40.8	15.3	-59.4	0.0
2026-01-02 15:24:53.319248	40.6	15.3	-59.3	0.0
2026-01-02 15:24:54.445789	40.4	15.3	-62.3	0.0
2026-01-02 15:24:55.573510	40.1	15.3	-58.6	0.0
2026-01-02 15:24:56.700437	39.9	15.3	-60.8	0.0
2026-01-02 15:24:57.827921	39.6	15.3	-60.9	0.0
2026-01-02 15:24:58.953974	39.4	15.3	-59.5	0.0
2026-01-02 15:25:00.081516	39.1	15.3	-59.3	0.0
2026-01-02 15:25:01.208200	38.9	15.3	-59.2	0.0
2026-01-02 15:25:02.335935	38.7	15.3	-59.0	0.0
2026-01-02 15:25:03.461150	38.4	15.3	-58.0	0.0
2026-01-02 15:25:04.587142	38.2	15.2	-57.9	0.0
2026-01-02 15:25:05.712068	37.9	15.2	-57.7	0.0
2026-01-02 15:25:06.837306	37.7	15.2	-59.2	0.0
2026-01-02 15:25:07.963882	37.5	15.2	-56.3	0.0
2026-01-02 15:25:09.088284	37.2	15.2	-58.7	0.0
2026-01-02 15:25:10.213536	37.0	15.2	-59.8	0.0
2026-01-02 15:25:11.338909	36.7	15.2	-58.5	0.0
2026-01-02 15:25:12.467310	36.5	15.2	-58.7	0.0
2026-01-02 15:25:13.593215	36.3	15.1	-58.4	0.0
2026-01-02 15:25:14.719087	36.0	15.1	-58.0	0.0
2026-01-02 15:25:15.845492	35.8	15.1	-58.1	0.0
2026-01-02 15:25:16.973748	35.5	15.1	-59.0	0.0
2026-01-02 15:25:18.100346	35.3	15.1	-59.0	0.0
2026-01-02 15:25:19.229297	35.1	15.1	-59.4	0.0
2026-01-02 15:25:20.354216	34.8	15.0	-60.0	0.0
2026-01-02 15:25:21.480627	34.6	15.0	-58.5	0.0
2026-01-02 15:25:22.607938	34.3	15.0	-56.5	0.0
2026-01-02 15:25:23.735102	34.1	15.0	-60.4	0.0
2026-01-02 15:25:24.861417	33.9	15.0	-58.6	0.0
2026-01-02 15:25:25.991187	33.6	14.9	-59.8	0.0
2026-01-02 15:25:27.118504	33.4	14.9	-62.0	0.0
2026-01-02 15:25:28.243881	33.2	14.9	-56.7	0.0
2026-01-02 15:25:29.371595	32.9	14.9	-58.5	0.0
2026-01-02 15:25:30.497612	32.7	14.9	-59.9	0.0
2026-01-02 15:25:31.623955	32.5	14.8	-59.1	0.0
2026-01-02 15:25:32.752213	32.2	14.8	-59.6	0.0
2026-01-02 15:25:33.879303	32.0	14.8	-59.5	0.0
2026-01-02 15:25:35.004451	31.8	14.8	-58.6	0.0
2026-01-02 15:25:36.130981	31.5	14.7	-60.5	0.0
