#Pass ID: 20260102_183952_METEOR-M2 3
#Satellite: METEOR-M2 3
#Configuration: METEOR-M2 3
#Start time: 2026-01-02 18:39:57.658623

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 57166U 23091A   26001.29492983  .00000064  00000+0  46916-4 0  9994
#TLE: 2 57166  98.6349  59.4901 0002979 303.9888  56.1007 14.24028798130761

#Time	Az	El	Level	SNR
2026-01-02 18:40:03.876036	193.9	10.5	-81.3	0.0
2026-01-02 18:40:05.012540	194.0	10.6	-79.9	0.0
2026-01-02 18:40:06.147790	194.1	10.7	-79.5	0.0
2026-01-02 18:40:07.285260	194.2	10.8	-78.4	1.0
2026-01-02 18:40:08.420302	194.3	10.9	-77.5	3.9
2026-01-02 18:40:09.554216	194.4	11.0	-77.7	3.1
2026-01-02 18:40:10.693811	194.5	11.1	-77.0	5.3
2026-01-02 18:40:11.831564	194.6	11.2	-77.3	3.5
2026-01-02 18:40:12.968177	194.6	11.3	-77.4	4.9
2026-01-02 18:40:14.102401	194.7	11.4	-77.1	5.3
2026-01-02 18:40:15.237312	194.8	11.5	-77.6	5.9
2026-01-02 18:40:16.372857	194.9	11.6	-77.0	5.5
2026-01-02 18:40:17.506147	195.0	11.7	-77.5	6.0
2026-01-02 18:40:18.640708	195.1	11.7	-77.4	4.5
2026-01-02 18:40:19.774257	195.2	11.8	-77.1	6.2
2026-01-02 18:40:20.905653	195.3	11.9	-77.4	6.1
2026-01-02 18:40:22.032716	195.4	12.0	-77.4	5.0
2026-01-02 18:40:23.161970	195.5	12.1	-77.7	6.0
2026-01-02 18:40:24.289671	195.6	12.2	-77.3	5.6
2026-01-02 18:40:25.418649	195.7	12.3	-77.3	6.1
2026-01-02 18:40:26.545683	195.8	12.4	-76.9	4.8
2026-01-02 18:40:27.674151	195.9	12.5	-77.0	7.4
2026-01-02 18:40:28.802680	195.9	12.6	-77.3	6.0
2026-01-02 18:40:29.929523	196.0	12.7	-77.3	6.4
2026-01-02 18:40:31.057794	196.1	12.8	-76.5	5.8
2026-01-02 18:40:32.187447	196.2	12.9	-77.1	5.9
2026-01-02 18:40:33.314208	196.3	13.0	-76.9	5.8
2026-01-02 18:40:34.441474	196.4	13.1	-76.9	6.1
2026-01-02 18:40:35.572223	196.5	13.2	-77.3	5.0
2026-01-02 18:40:36.697428	196.6	13.3	-76.7	5.1
2026-01-02 18:40:37.830248	196.7	13.4	-77.2	5.9
2026-01-02 18:40:38.956704	196.8	13.5	-77.1	6.0
2026-01-02 18:40:40.082804	197.0	13.7	-77.3	6.3
2026-01-02 18:40:41.209277	197.1	13.8	-77.4	5.7
2026-01-02 18:40:42.334970	197.2	13.9	-77.1	6.7
2026-01-02 18:40:43.461241	197.3	14.0	-77.3	7.3
2026-01-02 18:40:44.587847	197.4	14.1	-77.1	6.5
2026-01-02 18:40:45.723664	197.5	14.2	-76.8	5.8
2026-01-02 18:40:46.861748	197.6	14.3	-77.1	6.7
2026-01-02 18:40:47.996136	197.7	14.4	-77.3	6.8
2026-01-02 18:40:49.126847	197.8	14.5	-77.3	7.3
2026-01-02 18:40:50.258867	197.9	14.6	-77.2	7.2
2026-01-02 18:40:51.394438	198.0	14.7	-77.4	6.7
2026-01-02 18:40:52.527363	198.1	14.8	-77.1	7.3
2026-01-02 18:40:53.659587	198.3	14.9	-77.2	7.4
2026-01-02 18:40:54.795530	198.4	15.0	-77.3	7.0
2026-01-02 18:40:55.928712	198.5	15.1	-77.3	8.0
2026-01-02 18:40:57.062398	198.6	15.3	-77.3	6.3
2026-01-02 18:40:58.195926	198.7	15.4	-77.2	7.3
2026-01-02 18:40:59.328441	198.8	15.5	-77.1	7.7
2026-01-02 18:41:00.463407	199.0	15.6	-77.2	7.6
2026-01-02 18:41:01.598247	199.1	15.7	-77.1	7.1
2026-01-02 18:41:02.730550	199.2	15.8	-76.5	6.3
2026-01-02 18:41:03.862638	199.3	15.9	-77.3	7.9
2026-01-02 18:41:04.997340	199.4	16.0	-76.9	6.2
2026-01-02 18:41:06.128228	199.6	16.1	-77.4	8.7
2026-01-02 18:41:07.258688	199.7	16.3	-77.7	8.3
2026-01-02 18:41:08.390520	199.8	16.4	-77.2	6.2
2026-01-02 18:41:09.520835	199.9	16.5	-77.0	5.7
2026-01-02 18:41:10.651289	200.1	16.6	-76.8	7.3
2026-01-02 18:41:11.779254	200.2	16.7	-76.9	5.8
2026-01-02 18:41:12.908246	200.3	16.8	-76.8	7.2
2026-01-02 18:41:14.037531	200.4	16.9	-77.1	7.7
2026-01-02 18:41:15.166106	200.6	17.1	-77.0	8.0
2026-01-02 18:41:16.294669	200.7	17.2	-77.0	6.0
2026-01-02 18:41:17.423294	200.8	17.3	-76.9	8.6
2026-01-02 18:41:18.554262	201.0	17.4	-76.8	6.2
2026-01-02 18:41:19.684903	201.1	17.5	-76.8	6.5
2026-01-02 18:41:20.815852	201.2	17.6	-76.9	7.1
2026-01-02 18:41:21.943260	201.4	17.8	-77.0	8.0
2026-01-02 18:41:23.071938	201.5	17.9	-77.1	7.8
2026-01-02 18:41:24.202601	201.6	18.0	-77.3	8.1
2026-01-02 18:41:25.332109	201.8	18.1	-77.0	8.6
2026-01-02 18:41:26.461775	201.9	18.2	-76.5	7.8
2026-01-02 18:41:27.590795	202.1	18.4	-76.8	7.9
2026-01-02 18:41:28.720627	202.2	18.5	-76.9	8.3
2026-01-02 18:41:29.852332	202.3	18.6	-76.7	7.8
2026-01-02 18:41:30.985592	202.5	18.7	-76.9	8.2
2026-01-02 18:41:32.121729	202.6	18.8	-76.6	8.3
2026-01-02 18:41:33.253993	202.8	19.0	-77.1	8.2
2026-01-02 18:41:34.386527	202.9	19.1	-76.8	8.8
2026-01-02 18:41:35.521276	203.1	19.2	-76.8	7.7
2026-01-02 18:41:36.658521	203.2	19.3	-76.6	9.1
2026-01-02 18:41:37.796079	203.4	19.5	-76.8	7.7
2026-01-02 18:41:38.932563	203.5	19.6	-77.2	8.7
2026-01-02 18:41:40.070184	203.7	19.7	-77.0	8.6
2026-01-02 18:41:41.204992	203.8	19.8	-76.8	7.5
2026-01-02 18:41:42.342420	204.0	20.0	-77.0	8.3
2026-01-02 18:41:43.479609	204.1	20.1	-77.0	8.2
2026-01-02 18:41:44.617600	204.3	20.2	-76.7	7.7
2026-01-02 18:41:45.754229	204.5	20.3	-76.8	8.8
2026-01-02 18:41:46.892798	204.6	20.5	-76.7	7.9
2026-01-02 18:41:48.028037	204.8	20.6	-76.8	8.5
2026-01-02 18:41:49.163830	205.0	20.7	-76.8	8.7
2026-01-02 18:41:50.300491	205.1	20.9	-76.9	8.9
2026-01-02 18:41:51.437394	205.3	21.0	-77.3	8.8
2026-01-02 18:41:52.575823	205.5	21.1	-77.0	9.1
2026-01-02 18:41:53.712218	205.6	21.3	-77.1	9.0
2026-01-02 18:41:54.848734	205.8	21.4	-76.9	8.9
2026-01-02 18:41:55.986824	206.0	21.5	-77.1	8.9
2026-01-02 18:41:57.123218	206.1	21.7	-77.1	8.4
2026-01-02 18:41:58.258508	206.3	21.8	-77.3	9.6
2026-01-02 18:41:59.394649	206.5	21.9	-77.3	8.5
2026-01-02 18:42:00.529570	206.7	22.0	-77.5	9.1
2026-01-02 18:42:01.666630	206.9	22.2	-77.1	8.8
2026-01-02 18:42:02.804566	207.0	22.3	-77.4	9.7
2026-01-02 18:42:03.942212	207.2	22.5	-77.3	9.4
2026-01-02 18:42:05.080007	207.4	22.6	-77.4	8.4
2026-01-02 18:42:06.217383	207.6	22.7	-77.1	9.8
2026-01-02 18:42:07.356912	207.8	22.9	-77.1	9.4
