#Pass ID: 20260102_191907_METOP-C
#Satellite: METOP-C
#Configuration: METOP-C
#Start time: 2026-01-02 19:19:12.515554

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 43689U 18087A   26001.31932789  .00000269  00000+0  14274-3 0  9992
#TLE: 2 43689  98.6901  63.7860 0000249 350.8424   9.2749 14.21492938371124

#Time	Az	El	Level	SNR
2026-01-02 19:19:14.685707	208.2	10.2	-78.2	0.0
2026-01-02 19:19:15.813034	208.3	10.2	-77.9	0.0
2026-01-02 19:19:16.937950	208.4	10.3	-77.3	0.0
2026-01-02 19:19:18.063991	208.5	10.4	-77.0	0.0
2026-01-02 19:19:19.190047	208.6	10.5	-76.6	0.0
2026-01-02 19:19:20.317251	208.7	10.6	-75.6	0.0
2026-01-02 19:19:21.440962	208.9	10.7	-74.9	0.0
2026-01-02 19:19:22.565881	209.0	10.7	-74.4	0.0
2026-01-02 19:19:23.692680	209.1	10.8	-73.3	0.0
2026-01-02 19:19:24.818742	209.2	10.9	-72.3	0.0
2026-01-02 19:19:25.944110	209.3	11.0	-71.8	0.0
2026-01-02 19:19:27.069907	209.5	11.1	-71.1	0.0
2026-01-02 19:19:28.197904	209.6	11.2	-71.6	0.0
2026-01-02 19:19:29.324346	209.7	11.2	-71.4	0.0
2026-01-02 19:19:30.451067	209.8	11.3	-71.5	0.0
2026-01-02 19:19:31.577106	209.9	11.4	-71.2	0.0
2026-01-02 19:19:32.704137	210.1	11.5	-71.3	0.0
2026-01-02 19:19:33.829378	210.2	11.6	-71.4	0.4
2026-01-02 19:19:34.955238	210.3	11.7	-71.5	0.0
2026-01-02 19:19:36.083223	210.4	11.8	-71.4	0.5
2026-01-02 19:19:37.208138	210.6	11.8	-70.9	0.0
2026-01-02 19:19:38.335862	210.7	11.9	-71.5	0.0
2026-01-02 19:19:39.461578	210.8	12.0	-71.9	0.0
2026-01-02 19:19:40.587740	211.0	12.1	-71.8	0.0
2026-01-02 19:19:41.714179	211.1	12.2	-71.4	0.0
2026-01-02 19:19:42.841093	211.2	12.3	-71.6	0.0
2026-01-02 19:19:43.967408	211.4	12.4	-71.1	0.0
2026-01-02 19:19:45.092732	211.5	12.5	-71.5	0.0
2026-01-02 19:19:46.217756	211.6	12.5	-71.7	0.0
2026-01-02 19:19:47.345610	211.8	12.6	-71.2	0.0
2026-01-02 19:19:48.473636	211.9	12.7	-71.7	0.0
2026-01-02 19:19:49.601142	212.0	12.8	-71.6	0.9
2026-01-02 19:19:50.725812	212.2	12.9	-71.7	2.4
2026-01-02 19:19:51.851821	212.3	13.0	-71.9	1.1
2026-01-02 19:19:52.979690	212.4	13.1	-71.6	0.0
2026-01-02 19:19:54.105257	212.6	13.2	-71.4	0.8
2026-01-02 19:19:55.234846	212.7	13.2	-71.6	2.3
2026-01-02 19:19:56.359883	212.9	13.3	-71.6	0.9
2026-01-02 19:19:57.489197	213.0	13.4	-72.0	1.5
2026-01-02 19:19:58.616665	213.1	13.5	-71.9	2.1
2026-01-02 19:19:59.743716	213.3	13.6	-71.8	0.5
2026-01-02 19:20:00.870588	213.4	13.7	-72.3	1.9
2026-01-02 19:20:01.997511	213.6	13.8	-71.8	2.7
2026-01-02 19:20:03.122220	213.7	13.9	-72.2	3.8
2026-01-02 19:20:04.249210	213.9	14.0	-71.8	0.7
2026-01-02 19:20:05.377013	214.0	14.1	-72.1	1.9
2026-01-02 19:20:06.506196	214.2	14.1	-72.6	3.9
2026-01-02 19:20:07.632398	214.3	14.2	-72.1	1.6
2026-01-02 19:20:08.757941	214.5	14.3	-72.2	3.0
2026-01-02 19:20:09.882549	214.6	14.4	-72.3	3.6
2026-01-02 19:20:11.009954	214.8	14.5	-72.3	2.4
2026-01-02 19:20:12.136595	214.9	14.6	-72.3	1.9
2026-01-02 19:20:13.263737	215.1	14.7	-72.4	2.7
2026-01-02 19:20:14.392379	215.2	14.8	-72.7	2.3
2026-01-02 19:20:15.518657	215.4	14.9	-72.6	3.2
2026-01-02 19:20:16.645115	215.5	15.0	-72.8	5.1
2026-01-02 19:20:17.770827	215.7	15.1	-72.8	1.8
2026-01-02 19:20:18.896766	215.9	15.2	-73.1	4.0
2026-01-02 19:20:20.023676	216.0	15.2	-73.3	5.0
2026-01-02 19:20:21.149101	216.2	15.3	-73.0	3.6
2026-01-02 19:20:22.278363	216.3	15.4	-73.6	4.3
2026-01-02 19:20:23.403989	216.5	15.5	-73.2	4.6
2026-01-02 19:20:24.530599	216.7	15.6	-73.8	5.3
2026-01-02 19:20:25.657874	216.8	15.7	-73.3	5.1
2026-01-02 19:20:26.784039	217.0	15.8	-73.1	4.6
2026-01-02 19:20:27.911006	217.2	15.9	-73.3	4.2
2026-01-02 19:20:29.037732	217.3	16.0	-74.1	3.5
2026-01-02 19:20:30.163495	217.5	16.1	-74.0	6.7
2026-01-02 19:20:31.290295	217.7	16.2	-73.6	4.8
2026-01-02 19:20:32.417865	217.8	16.3	-73.6	2.2
2026-01-02 19:20:33.545632	218.0	16.4	-73.8	3.7
2026-01-02 19:20:34.673473	218.2	16.5	-73.9	5.6
2026-01-02 19:20:35.801054	218.3	16.6	-73.8	4.4
2026-01-02 19:20:36.926327	218.5	16.7	-73.9	5.8
2026-01-02 19:20:38.050455	218.7	16.8	-73.7	6.6
2026-01-02 19:20:39.177233	218.9	16.8	-74.0	4.7
2026-01-02 19:20:40.303409	219.1	16.9	-73.8	5.6
2026-01-02 19:20:41.429138	219.2	17.0	-73.9	6.3
2026-01-02 19:20:42.555709	219.4	17.1	-74.0	6.4
2026-01-02 19:20:43.682721	219.6	17.2	-74.0	6.5
2026-01-02 19:20:44.812753	219.8	17.3	-74.2	6.7
2026-01-02 19:20:45.941069	220.0	17.4	-73.9	7.7
2026-01-02 19:20:47.066655	220.1	17.5	-74.2	7.1
2026-01-02 19:20:48.194113	220.3	17.6	-74.1	7.7
2026-01-02 19:20:49.321117	220.5	17.7	-74.3	7.7
2026-01-02 19:20:50.449031	220.7	17.8	-74.2	8.3
2026-01-02 19:20:51.576473	220.9	17.9	-74.1	8.2
2026-01-02 19:20:52.702114	221.1	18.0	-73.8	9.2
2026-01-02 19:20:53.826069	221.3	18.1	-74.1	8.7
2026-01-02 19:20:54.952672	221.5	18.2	-74.0	7.2
2026-01-02 19:20:56.077404	221.7	18.3	-74.1	7.3
2026-01-02 19:20:57.204679	221.9	18.4	-74.3	8.7
2026-01-02 19:20:58.330608	222.0	18.5	-74.1	7.9
2026-01-02 19:20:59.460133	222.2	18.6	-74.1	7.9
2026-01-02 19:21:00.584421	222.4	18.7	-73.9	8.2
2026-01-02 19:21:01.712255	222.6	18.8	-74.1	8.1
2026-01-02 19:21:02.837985	222.8	18.9	-74.2	9.2
2026-01-02 19:21:03.965396	223.0	19.0	-73.8	9.5
2026-01-02 19:21:05.092564	223.3	19.1	-74.2	9.2
2026-01-02 19:21:06.219203	223.5	19.1	-74.2	9.9
2026-01-02 19:21:07.346112	223.7	19.2	-74.3	9.9
2026-01-02 19:21:08.472536	223.9	19.3	-73.8	9.1
2026-01-02 19:21:09.598320	224.1	19.4	-74.2	9.8
2026-01-02 19:21:10.723941	224.3	19.5	-74.3	10.4
2026-01-02 19:21:11.850998	224.5	19.6	-74.2	10.0
2026-01-02 19:21:12.976217	224.7	19.7	-74.3	9.7
2026-01-02 19:21:14.104746	224.9	19.8	-74.3	10.4
2026-01-02 19:21:15.230792	225.1	19.9	-74.3	10.0
2026-01-02 19:21:16.358229	225.4	20.0	-74.4	9.3
2026-01-02 19:21:17.482978	225.6	20.1	-74.5	10.0
2026-01-02 19:21:18.611019	225.8	20.2	-74.4	10.1
2026-01-02 19:21:19.737365	226.0	20.3	-74.5	10.4
2026-01-02 19:21:20.863110	226.2	20.4	-74.4	10.5
2026-01-02 19:21:21.988725	226.5	20.5	-74.2	10.8
2026-01-02 19:21:23.114030	226.7	20.6	-74.6	10.4
2026-01-02 19:21:24.240433	226.9	20.7	-74.3	10.7
2026-01-02 19:21:25.366825	227.1	20.8	-74.7	10.4
2026-01-02 19:21:26.493187	227.4	20.9	-74.6	10.3
2026-01-02 19:21:27.618165	227.6	21.0	-74.6	10.8
2026-01-02 19:21:28.747476	227.8	21.1	-74.6	10.7
2026-01-02 19:21:29.875275	228.1	21.2	-74.3	9.6
2026-01-02 19:21:31.001159	228.3	21.3	-74.7	10.7
2026-01-02 19:21:32.127231	228.5	21.4	-74.6	10.5
2026-01-02 19:21:33.254766	228.8	21.5	-74.6	10.5
2026-01-02 19:21:34.384307	229.0	21.6	-74.8	11.2
2026-01-02 19:21:35.511032	229.2	21.6	-74.6	10.9
2026-01-02 19:21:36.638354	229.5	21.7	-74.6	10.3
2026-01-02 19:21:37.765248	229.7	21.8	-74.5	10.2
2026-01-02 19:21:38.891855	230.0	21.9	-74.7	10.5
2026-01-02 19:21:40.016766	230.2	22.0	-74.6	11.4
2026-01-02 19:21:41.141333	230.5	22.1	-74.5	11.4
2026-01-02 19:21:42.268877	230.7	22.2	-74.5	10.9
2026-01-02 19:21:43.395171	231.0	22.3	-74.3	10.6
2026-01-02 19:21:44.521165	231.2	22.4	-74.0	10.3
2026-01-02 19:21:45.646952	231.5	22.5	-74.4	11.4
2026-01-02 19:21:46.773475	231.7	22.6	-74.4	10.9
2026-01-02 19:21:47.898773	232.0	22.7	-74.4	10.7
2026-01-02 19:21:49.023572	232.2	22.8	-74.2	11.1
2026-01-02 19:21:50.150216	232.5	22.9	-73.9	11.1
2026-01-02 19:21:51.277313	232.8	23.0	-74.2	11.9
2026-01-02 19:21:52.404353	233.0	23.1	-74.0	11.5
2026-01-02 19:21:53.531775	233.3	23.1	-74.1	10.4
2026-01-02 19:21:54.655396	233.6	23.2	-74.1	10.7
2026-01-02 19:21:55.781579	233.8	23.3	-74.1	10.4
2026-01-02 19:21:56.907129	234.1	23.4	-73.9	11.1
2026-01-02 19:21:58.032334	234.4	23.5	-73.8	10.7
2026-01-02 19:21:59.157406	234.6	23.6	-73.7	10.7
2026-01-02 19:22:00.282540	234.9	23.7	-73.7	11.1
2026-01-02 19:22:01.408369	235.2	23.8	-73.8	11.1
2026-01-02 19:22:02.535137	235.5	23.9	-73.7	11.3
2026-01-02 19:22:03.661023	235.7	24.0	-73.8	11.0
2026-01-02 19:22:04.787066	236.0	24.0	-73.5	10.8
2026-01-02 19:22:05.913006	236.3	24.1	-73.7	11.0
2026-01-02 19:22:07.038719	236.6	24.2	-73.7	11.3
2026-01-02 19:22:08.164758	236.9	24.3	-73.8	11.9
2026-01-02 19:22:09.290028	237.1	24.4	-73.5	11.2
2026-01-02 19:22:10.415442	237.4	24.5	-73.7	12.5
2026-01-02 19:22:11.539546	237.7	24.6	-73.6	12.0
2026-01-02 19:22:12.665961	238.0	24.6	-73.4	11.8
2026-01-02 19:22:13.792170	238.3	24.7	-73.8	11.7
2026-01-02 19:22:14.920242	238.6	24.8	-73.5	10.3
2026-01-02 19:22:16.047391	238.9	24.9	-73.7	10.9
2026-01-02 19:22:17.173911	239.2	25.0	-73.7	10.7
2026-01-02 19:22:18.301513	239.5	25.1	-73.7	10.9
2026-01-02 19:22:19.427196	239.8	25.1	-73.6	11.1
2026-01-02 19:22:20.554531	240.1	25.2	-73.6	10.3
2026-01-02 19:22:21.678632	240.4	25.3	-73.8	10.9
2026-01-02 19:22:22.806703	240.7	25.4	-73.7	10.3
2026-01-02 19:22:23.933895	241.0	25.5	-73.9	10.2
2026-01-02 19:22:25.064459	241.3	25.5	-73.6	10.4
2026-01-02 19:22:26.193065	241.6	25.6	-73.8	10.3
2026-01-02 19:22:27.318182	241.9	25.7	-73.7	9.7
2026-01-02 19:22:28.445648	242.2	25.8	-73.8	10.0
2026-01-02 19:22:29.571516	242.5	25.9	-73.6	10.0
2026-01-02 19:22:30.699162	242.9	25.9	-73.9	11.1
2026-01-02 19:22:31.823721	243.2	26.0	-74.0	10.7
2026-01-02 19:22:32.949381	243.5	26.1	-73.9	11.7
2026-01-02 19:22:34.074654	243.8	26.2	-74.1	11.1
2026-01-02 19:22:35.200645	244.1	26.2	-73.8	10.3
2026-01-02 19:22:36.329355	244.4	26.3	-74.2	11.8
2026-01-02 19:22:37.453628	244.8	26.4	-74.0	10.5
2026-01-02 19:22:38.579058	245.1	26.4	-74.3	10.2
2026-01-02 19:22:39.706015	245.4	26.5	-73.8	11.0
2026-01-02 19:22:40.832042	245.7	26.6	-73.5	9.6
2026-01-02 19:22:41.956915	246.1	26.7	-73.9	10.1
