#Pass ID: 20260103_141808_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-03 14:18:09

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 49008U 21062A   26002.95568549 -.00000227  00000+0 -86494-4 0  9990
#TLE: 2 49008  98.7475   8.2258 0001442 163.3458 196.7766 14.19882681233131

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-03 14:18:09.66	163.61	2.08	-44.4	-55.3	3.8	8.47e-01	0	47	0	0	58	13412
2026-01-03 14:18:10.66	163.62	2.14	-44.4	-55.4	3.8	8.46e-01	0	48	104	0	58	13417
2026-01-03 14:18:11.67	163.63	2.21	-44.4	-55.3	3.8	8.46e-01	0	48	104	0	58	13410
2026-01-03 14:18:12.68	163.64	2.27	-44.4	-55.3	3.8	8.46e-01	0	48	104	0	58	13413
2026-01-03 14:18:13.70	163.64	2.34	-44.4	-55.3	3.8	8.46e-01	0	48	104	0	58	13374
2026-01-03 14:18:14.71	163.65	2.40	-44.4	-55.3	3.8	8.46e-01	0	48	104	0	58	13386
2026-01-03 14:18:15.72	163.66	2.47	-44.3	-55.3	3.8	8.45e-01	0	48	104	0	58	13406
2026-01-03 14:18:16.73	163.66	2.54	-44.1	-55.3	3.8	8.45e-01	0	48	104	0	58	13348
2026-01-03 14:18:17.74	163.67	2.60	-44.4	-55.3	3.8	8.46e-01	0	48	104	0	58	13393
2026-01-03 14:18:18.75	163.68	2.67	-44.4	-55.3	3.8	8.46e-01	0	48	104	0	58	13377
2026-01-03 14:18:19.76	163.69	2.74	-44.3	-55.3	3.8	8.46e-01	0	48	104	0	58	13365
2026-01-03 14:18:20.77	163.69	2.80	-44.4	-55.3	3.8	8.46e-01	0	49	104	0	58	13398
2026-01-03 14:18:21.78	163.70	2.87	-44.4	-55.3	3.8	8.47e-01	0	48	104	0	58	13386
2026-01-03 14:18:22.79	163.71	2.94	-44.4	-55.3	3.8	8.47e-01	0	49	104	0	58	13379
2026-01-03 14:18:23.80	163.72	3.00	-44.2	-55.3	3.8	8.46e-01	0	49	104	0	58	13366
2026-01-03 14:18:24.81	163.72	3.07	-44.3	-55.3	3.8	8.45e-01	0	49	104	0	58	13361
2026-01-03 14:18:25.83	163.73	3.14	-44.4	-55.3	3.8	8.45e-01	0	49	104	0	58	13377
2026-01-03 14:18:26.84	163.74	3.21	-44.4	-55.3	3.8	8.46e-01	0	49	104	0	58	13356
2026-01-03 14:18:27.85	163.75	3.27	-44.3	-55.3	3.8	8.47e-01	0	49	104	0	58	13357
2026-01-03 14:18:28.86	163.75	3.34	-44.4	-55.3	3.8	8.47e-01	0	49	104	0	58	13396
2026-01-03 14:18:29.87	163.76	3.41	-44.4	-55.3	3.8	8.46e-01	0	49	104	0	58	13378
2026-01-03 14:18:30.88	163.77	3.48	-44.4	-55.3	3.8	8.47e-01	0	49	104	0	58	13379
2026-01-03 14:18:31.89	163.78	3.55	-44.4	-55.3	3.8	8.46e-01	0	49	104	0	58	13360
2026-01-03 14:18:32.90	163.78	3.62	-44.4	-55.3	3.8	8.46e-01	0	49	104	0	58	13327
2026-01-03 14:18:33.91	163.79	3.69	-44.4	-55.3	3.8	8.47e-01	0	49	104	0	58	13343
2026-01-03 14:18:34.93	163.80	3.76	-44.4	-55.3	3.8	8.48e-01	0	49	104	0	58	13355
2026-01-03 14:18:35.94	163.81	3.82	-44.4	-55.3	3.8	8.46e-01	0	49	104	0	58	13283
2026-01-03 14:18:36.95	163.81	3.89	-44.4	-55.3	3.8	8.46e-01	0	50	104	0	58	13284
2026-01-03 14:18:37.96	163.82	3.96	-44.4	-55.3	3.8	8.45e-01	0	50	104	0	58	13287
2026-01-03 14:18:38.97	163.83	4.03	-44.3	-55.3	3.8	8.46e-01	0	50	104	0	58	13297
2026-01-03 14:18:39.98	163.84	4.10	-44.4	-55.3	3.8	8.47e-01	0	50	104	0	58	13271
2026-01-03 14:18:40.99	163.84	4.17	-44.4	-55.2	3.8	8.45e-01	0	50	104	0	58	13190
2026-01-03 14:18:42.00	163.85	4.24	-44.4	-55.2	3.8	8.46e-01	0	50	104	0	58	13171
2026-01-03 14:18:43.01	163.86	4.31	-44.4	-55.2	3.8	8.47e-01	0	50	104	0	58	13136
2026-01-03 14:18:44.02	163.87	4.38	-44.4	-55.1	3.8	8.46e-01	0	50	104	0	58	13082
2026-01-03 14:18:45.04	163.88	4.46	-44.4	-55.1	3.8	8.45e-01	0	50	104	0	58	13005
2026-01-03 14:18:46.05	163.88	4.53	-44.3	-55.0	3.8	8.46e-01	0	50	104	0	58	12857
2026-01-03 14:18:47.06	163.89	4.60	-44.4	-54.9	3.8	8.47e-01	0	50	104	0	58	12790
2026-01-03 14:18:48.07	163.90	4.67	-44.3	-54.9	3.8	8.46e-01	0	50	104	0	58	12704
2026-01-03 14:18:49.08	163.91	4.74	-44.3	-54.9	3.8	8.47e-01	0	50	104	0	58	12665
2026-01-03 14:18:50.09	163.92	4.81	-44.3	-54.8	3.8	8.45e-01	0	50	104	0	58	12609
2026-01-03 14:18:51.10	163.92	4.89	-44.3	-54.7	3.8	8.47e-01	0	50	104	0	58	12470
2026-01-03 14:18:52.11	163.93	4.96	-44.3	-54.5	3.8	8.46e-01	0	50	104	0	58	12231
2026-01-03 14:18:53.12	163.94	5.03	-44.2	-54.4	3.8	8.47e-01	0	50	104	0	58	12002
2026-01-03 14:18:54.13	163.95	5.10	-44.2	-54.1	3.8	8.46e-01	0	50	104	0	58	11670
2026-01-03 14:18:55.15	163.96	5.18	-44.2	-54.0	3.8	8.46e-01	0	51	104	0	57	12211
2026-01-03 14:18:56.16	163.96	5.25	-44.2	-54.0	3.8	8.46e-01	0	51	104	0	57	12125
2026-01-03 14:18:57.17	163.97	5.32	-44.2	-53.8	3.8	8.45e-01	0	51	104	0	57	11893
2026-01-03 14:18:58.18	163.98	5.40	-44.1	-53.7	3.9	8.47e-01	0	51	104	0	57	11729
2026-01-03 14:18:59.19	163.99	5.47	-44.1	-53.4	3.8	8.45e-01	0	51	104	0	57	11387
