#Pass ID: 20260103_105350_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-03 10:53:50

#Version: 2.2.20231116
#Station: R3.0SM8_Murmansk_STILSPACE
#Location: 33.092731 lon 68.902999 lat
#TLE: 1 27424U 02022A   25365.92641127  .00002078  00000+0  42628-3 0  9999
#TLE: 2 27424  98.4058 327.1196 0001962  94.7781 340.6230 14.61783896258835

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-03 10:53:50.99	143.10	3.04	-54.5	-74.5	3.8	7.47e-01	0	45	0	0	71	37399
2026-01-03 10:53:51.97	143.09	3.11	-54.4	-74.3	3.8	7.48e-01	0	45	104	0	71	36861
2026-01-03 10:53:52.96	143.08	3.18	-54.3	-74.3	3.8	7.46e-01	0	45	104	0	71	36663
2026-01-03 10:53:53.95	143.07	3.25	-54.3	-74.2	3.8	7.45e-01	0	45	104	0	71	36327
2026-01-03 10:53:54.94	143.06	3.31	-54.2	-74.1	3.8	7.47e-01	0	45	104	0	71	35980
2026-01-03 10:53:55.93	143.05	3.38	-54.1	-74.1	3.8	7.49e-01	0	46	104	0	71	35732
2026-01-03 10:53:56.92	143.04	3.45	-54.0	-73.8	3.8	7.46e-01	0	46	104	0	71	34841
2026-01-03 10:53:57.91	143.03	3.52	-53.7	-73.0	3.8	7.45e-01	0	46	104	0	71	31790
2026-01-03 10:53:58.90	143.02	3.59	-53.5	-70.6	4.0	7.46e-01	0	46	104	0	70	25436
2026-01-03 10:53:59.90	143.01	3.66	-53.5	-69.7	4.3	7.32e-01	0	46	104	0	70	22788
2026-01-03 10:54:00.89	142.99	3.73	-53.5	-69.7	4.3	7.44e-01	0	46	104	0	70	23023
2026-01-03 10:54:01.88	142.98	3.81	-53.5	-68.3	4.3	7.14e-01	0	46	104	0	70	19589
2026-01-03 10:54:02.87	142.97	3.88	-53.4	-67.4	5.3	7.04e-01	0	46	0	0	70	17554
2026-01-03 10:54:03.86	142.96	3.95	-53.4	-66.6	5.8	6.91e-01	64	46	0	0	70	16066
2026-01-03 10:54:04.86	142.95	4.02	-53.4	-66.2	6.2	6.78e-01	69	46	0	2097152	70	15248
2026-01-03 10:54:05.85	142.94	4.09	-53.3	-65.4	6.8	6.65e-01	92	46	0	3670016	70	13923
2026-01-03 10:54:06.83	142.93	4.16	-53.3	-64.8	7.3	6.55e-01	93	46	0	5767168	70	12980
2026-01-03 10:54:07.82	142.91	4.23	-53.2	-64.0	8.1	6.48e-01	72	46	0	7340032	70	11939
2026-01-03 10:54:08.81	142.90	4.30	-53.1	-63.5	8.6	6.39e-01	7	47	0	9437184	69	11935
2026-01-03 10:54:09.80	142.89	4.38	-53.1	-62.8	9.3	6.30e-01	0	47	0	11010048	69	11012
2026-01-03 10:54:10.79	142.88	4.45	-53.0	-62.2	9.9	6.25e-01	0	46	0	13107200	69	10255
2026-01-03 10:54:11.78	142.87	4.52	-52.9	-61.4	10.8	6.18e-01	0	47	0	14680064	69	9343
2026-01-03 10:54:12.77	142.85	4.59	-52.7	-60.5	11.8	6.14e-01	0	47	0	16777216	69	8421
2026-01-03 10:54:13.76	142.84	4.67	-52.6	-59.9	12.4	6.12e-01	0	47	0	18874368	68	8283
2026-01-03 10:54:14.75	142.83	4.74	-52.4	-59.2	13.1	6.08e-01	0	47	0	20447232	68	7645
2026-01-03 10:54:15.74	142.82	4.81	-52.2	-58.3	14.1	6.09e-01	0	47	0	22544384	68	6881
2026-01-03 10:54:16.72	142.80	4.89	-51.9	-57.6	14.8	6.08e-01	0	47	0	24117248	67	6734
2026-01-03 10:54:17.71	142.79	4.96	-51.8	-57.2	15.1	6.07e-01	0	47	0	26214400	67	6449
2026-01-03 10:54:18.70	142.78	5.04	-51.6	-56.6	15.8	6.06e-01	0	47	0	27787264	66	6365
2026-01-03 10:54:19.70	142.77	5.11	-51.5	-56.2	16.1	6.07e-01	0	47	0	29884416	66	6113
2026-01-03 10:54:20.68	142.75	5.18	-51.4	-56.0	16.3	6.06e-01	0	47	0	31457280	66	5982
2026-01-03 10:54:21.66	142.74	5.26	-51.4	-56.1	16.2	6.06e-01	0	47	0	33554432	66	6033
2026-01-03 10:54:22.65	142.73	5.33	-51.4	-56.1	16.3	6.08e-01	0	47	0	35127296	66	6013
2026-01-03 10:54:23.64	142.71	5.41	-51.5	-56.2	16.2	6.09e-01	0	47	0	37224448	66	6101
2026-01-03 10:54:24.63	142.70	5.48	-51.3	-55.7	16.6	6.06e-01	0	48	0	38797312	66	5788
2026-01-03 10:54:25.62	142.69	5.56	-51.3	-55.7	16.7	6.06e-01	0	48	0	40894464	66	5773
2026-01-03 10:54:26.60	142.67	5.64	-51.3	-55.8	16.6	6.06e-01	0	48	0	42991616	66	5831
2026-01-03 10:54:27.59	142.66	5.71	-51.4	-56.0	16.4	6.07e-01	0	48	0	44564480	66	5962
