#Pass ID: 20260103_130941_TY-40
#Satellite: TY-40
#Configuration: TY-39
#almurnet v.1.7.20251203
#Start time: 2026-01-03 13:09:41

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 56846U 23081A   26002.94212286  .00004508  00000-0  20245-3 0  9990
#TLE: 2 56846  97.3916  76.0729 0002063  85.4290 274.7182 15.21667510142873

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-03 13:09:41.74	37.28	2.01	-58.9	-61.7	3.6	0.00e+00	0	32	0	0	85	18934
2026-01-03 13:09:42.74	37.16	2.06	-58.9	-61.7	3.6	0.00e+00	0	32	104	0	85	18936
2026-01-03 13:09:43.76	37.04	2.12	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	18942
2026-01-03 13:09:44.77	36.92	2.17	-58.9	-61.7	3.6	0.00e+00	0	32	104	0	85	18976
2026-01-03 13:09:45.78	36.80	2.23	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	18933
2026-01-03 13:09:46.78	36.67	2.28	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	18979
2026-01-03 13:09:47.79	36.55	2.33	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	18987
2026-01-03 13:09:48.80	36.43	2.39	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	19024
2026-01-03 13:09:49.81	36.30	2.44	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	18936
2026-01-03 13:09:50.82	36.18	2.49	-58.9	-61.7	3.6	0.00e+00	0	32	104	0	85	18983
2026-01-03 13:09:51.83	36.05	2.55	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	19002
2026-01-03 13:09:52.84	35.92	2.60	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18926
2026-01-03 13:09:53.85	35.79	2.66	-58.9	-61.7	3.7	0.00e+00	0	32	104	0	85	18871
2026-01-03 13:09:54.85	35.67	2.71	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18912
2026-01-03 13:09:55.87	35.54	2.76	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18912
2026-01-03 13:09:56.87	35.41	2.82	-58.9	-61.7	3.6	0.00e+00	0	33	104	0	85	18944
2026-01-03 13:09:57.88	35.28	2.87	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18903
2026-01-03 13:09:58.89	35.15	2.93	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18956
2026-01-03 13:09:59.90	35.02	2.98	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18928
2026-01-03 13:10:00.91	34.89	3.03	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18951
2026-01-03 13:10:01.92	34.75	3.09	-58.9	-61.7	3.6	0.00e+00	0	33	104	0	85	18959
2026-01-03 13:10:02.93	34.62	3.14	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18953
2026-01-03 13:10:03.94	34.49	3.20	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18952
2026-01-03 13:10:04.95	34.35	3.25	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18917
2026-01-03 13:10:05.96	34.22	3.30	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18927
2026-01-03 13:10:06.97	34.08	3.36	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18926
2026-01-03 13:10:07.97	33.94	3.41	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18911
2026-01-03 13:10:08.98	33.81	3.47	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18919
2026-01-03 13:10:09.99	33.67	3.52	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18901
2026-01-03 13:10:11.00	33.53	3.58	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18895
2026-01-03 13:10:12.01	33.39	3.63	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18958
2026-01-03 13:10:13.02	33.25	3.68	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18896
2026-01-03 13:10:14.02	33.11	3.74	-58.9	-61.7	3.7	0.00e+00	0	33	104	0	85	18971
