#Pass ID: 20260103_133241_2024-110A
#Satellite: 2024-110A
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-03 13:32:43

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 60012U 24110A   26002.95318693  .00014087  00000+0  85323-3 0  9994
#TLE: 2 60012  97.5762  96.0814 0010504 103.3240 256.9162 15.10659487 86942

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-03 13:32:43.87	30.75	2.12	-58.6	-61.8	6.1	0.00e+00	0	31	0	0	84	20263
2026-01-03 13:32:44.87	30.65	2.18	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20329
2026-01-03 13:32:45.88	30.56	2.24	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20319
2026-01-03 13:32:46.89	30.46	2.30	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20258
2026-01-03 13:32:47.90	30.36	2.36	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20245
2026-01-03 13:32:48.91	30.26	2.42	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20283
2026-01-03 13:32:49.92	30.15	2.47	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20210
2026-01-03 13:32:50.93	30.05	2.53	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20242
2026-01-03 13:32:51.94	29.95	2.59	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20265
2026-01-03 13:32:52.95	29.85	2.65	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20271
2026-01-03 13:32:53.95	29.75	2.71	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20183
2026-01-03 13:32:54.96	29.64	2.77	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20232
2026-01-03 13:32:55.97	29.54	2.83	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20260
2026-01-03 13:32:56.98	29.43	2.89	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20235
2026-01-03 13:32:57.99	29.33	2.95	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20233
2026-01-03 13:32:59.00	29.22	3.01	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20241
2026-01-03 13:33:00.01	29.12	3.07	-58.5	-61.8	6.2	0.00e+00	0	31	104	0	84	20169
