#Pass ID: 20260103_085905_2025-108B
#Satellite: 2025-108B
#Configuration: 3PB_600M
#almurnet v.1.7.20251203
#Start time: 2026-01-03 08:59:07

#Version: 2.2.20231116
#Station: R4.6S_Anadyr_2ch
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 64088U 25108B   25351.01672131  .00008460  00000+0  43413-3 0  9994
#TLE: 2 64088  97.4940  63.8579 0011684 285.1423  74.8517 15.16717580 31720

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-03 08:59:07.68	144.20	0.12	-53.5	-54.9	3.3	0.00e+00	0	34	0	0	60	93492
2026-01-03 08:59:08.69	144.17	0.18	-53.9	-56.4	3.6	0.00e+00	0	35	104	0	60	111248
2026-01-03 08:59:09.70	144.15	0.25	-54.2	-56.7	3.6	0.00e+00	0	36	104	0	60	115693
2026-01-03 08:59:10.71	144.13	0.31	-54.5	-57.0	3.6	0.00e+00	0	36	104	0	60	119448
2026-01-03 08:59:11.72	144.11	0.38	-54.1	-56.5	3.6	0.00e+00	0	36	104	0	60	113230
2026-01-03 08:59:12.73	144.09	0.44	-54.4	-56.8	3.6	0.00e+00	0	36	104	0	60	117583
2026-01-03 08:59:13.74	144.06	0.51	-53.9	-56.3	3.6	0.00e+00	0	36	104	0	60	110919
2026-01-03 08:59:14.76	144.04	0.57	-54.1	-56.5	3.6	0.00e+00	0	36	104	0	60	113480
2026-01-03 08:59:15.76	144.02	0.64	-53.7	-56.1	3.6	0.00e+00	0	36	104	0	60	108265
2026-01-03 08:59:16.78	144.00	0.70	-54.2	-56.6	3.6	0.00e+00	0	36	104	0	60	114720
2026-01-03 08:59:17.79	143.97	0.77	-54.4	-57.0	3.6	0.00e+00	0	36	104	0	60	119099
2026-01-03 08:59:18.80	143.95	0.84	-54.3	-56.8	3.6	0.00e+00	0	36	104	0	60	116542
2026-01-03 08:59:19.81	143.93	0.90	-54.6	-57.0	3.6	0.00e+00	0	36	104	0	60	120284
2026-01-03 08:59:20.82	143.90	0.97	-54.1	-56.5	3.6	0.00e+00	0	36	104	0	60	113448
2026-01-03 08:59:21.83	143.88	1.04	-53.9	-56.3	3.6	0.00e+00	0	36	104	0	60	111053
2026-01-03 08:59:22.84	143.86	1.10	-54.2	-56.6	3.6	0.00e+00	0	36	104	0	60	114811
2026-01-03 08:59:23.85	143.83	1.17	-54.4	-56.8	3.6	0.00e+00	0	36	104	0	60	117537
2026-01-03 08:59:24.86	143.81	1.24	-54.5	-56.9	3.6	0.00e+00	0	36	104	0	60	118709
2026-01-03 08:59:25.87	143.78	1.30	-53.6	-56.1	3.6	0.00e+00	0	36	104	0	60	107475
2026-01-03 08:59:26.88	143.76	1.37	-53.5	-56.0	3.6	0.00e+00	0	36	104	0	60	106670
2026-01-03 08:59:27.89	143.73	1.44	-54.5	-57.0	3.6	0.00e+00	0	36	104	0	60	119054
2026-01-03 08:59:28.91	143.71	1.51	-53.9	-56.4	3.6	0.00e+00	0	36	104	0	60	111271
2026-01-03 08:59:29.91	143.68	1.58	-54.3	-56.7	3.6	0.00e+00	0	36	104	0	60	116096
2026-01-03 08:59:30.92	143.66	1.64	-54.2	-56.5	3.6	0.00e+00	0	36	104	0	60	113422
2026-01-03 08:59:31.94	143.63	1.71	-53.7	-56.1	3.6	0.00e+00	0	37	104	0	60	108092
2026-01-03 08:59:32.94	143.61	1.78	-53.4	-55.8	3.6	0.00e+00	0	36	104	0	60	104791
2026-01-03 08:59:33.96	143.58	1.85	-53.6	-56.1	3.6	0.00e+00	0	36	104	0	60	107680
2026-01-03 08:59:34.97	143.56	1.92	-54.0	-56.5	3.6	0.00e+00	0	36	104	0	60	112518
2026-01-03 08:59:35.98	143.53	1.99	-54.6	-57.0	3.6	0.00e+00	0	36	104	0	60	120100
2026-01-03 08:59:36.99	143.51	2.06	-54.5	-56.9	3.6	0.00e+00	0	37	104	0	60	118720
2026-01-03 08:59:38.00	143.48	2.13	-54.6	-57.1	3.6	0.00e+00	0	37	104	0	60	120889
2026-01-03 08:59:39.01	143.45	2.20	-54.5	-57.0	3.6	0.00e+00	0	37	104	0	60	119415
2026-01-03 08:59:40.02	143.43	2.27	-54.5	-56.9	3.6	0.00e+00	0	37	104	0	60	118374
2026-01-03 08:59:41.03	143.40	2.34	-54.2	-56.7	3.6	0.00e+00	0	37	104	0	60	115042
2026-01-03 08:59:42.04	143.37	2.41	-54.3	-56.8	3.6	0.00e+00	0	37	104	0	60	117270
2026-01-03 08:59:43.05	143.35	2.48	-54.6	-57.0	3.6	0.00e+00	0	37	104	0	60	119907
2026-01-03 08:59:44.06	143.32	2.55	-54.3	-56.7	3.6	0.00e+00	0	37	104	0	60	115885
2026-01-03 08:59:45.07	143.29	2.63	-53.8	-56.2	3.6	0.00e+00	0	37	104	0	60	109597
2026-01-03 08:59:46.09	143.26	2.70	-54.4	-56.9	3.6	0.00e+00	0	37	104	0	60	117914
2026-01-03 08:59:47.10	143.24	2.77	-54.8	-57.2	3.6	0.00e+00	0	37	104	0	60	122774
2026-01-03 08:59:48.11	143.21	2.84	-54.3	-56.7	3.6	0.00e+00	0	37	104	0	60	116147
2026-01-03 08:59:49.12	143.18	2.92	-54.0	-56.5	3.6	0.00e+00	0	37	104	0	60	112906
2026-01-03 08:59:50.13	143.15	2.99	-53.9	-56.3	3.6	0.00e+00	0	37	104	0	60	110495
2026-01-03 08:59:51.14	143.12	3.06	-54.4	-57.0	3.6	0.00e+00	0	37	104	0	60	119050
2026-01-03 08:59:52.15	143.09	3.13	-54.4	-56.9	3.6	0.00e+00	0	37	104	0	60	118186
2026-01-03 08:59:53.16	143.06	3.21	-54.0	-56.4	3.6	0.00e+00	0	37	104	0	60	111615
2026-01-03 08:59:54.17	143.04	3.28	-53.9	-56.4	3.6	0.00e+00	0	37	104	0	60	111316
2026-01-03 08:59:55.19	143.01	3.36	-53.9	-56.3	3.6	0.00e+00	0	37	104	0	60	110893
2026-01-03 08:59:56.20	142.98	3.43	-54.7	-57.1	3.6	0.00e+00	0	37	104	0	60	121267
2026-01-03 08:59:57.21	142.95	3.50	-53.4	-55.9	3.6	0.00e+00	0	37	104	0	60	105520
2026-01-03 08:59:58.22	142.92	3.58	-53.6	-56.1	3.5	0.00e+00	0	37	104	0	60	107725
2026-01-03 08:59:59.23	142.89	3.65	-53.4	-55.9	3.6	0.00e+00	0	37	104	0	60	105200
2026-01-03 09:00:00.24	142.86	3.73	-53.9	-56.4	3.6	0.00e+00	0	37	104	0	60	111865
2026-01-03 09:00:01.25	142.82	3.80	-53.8	-56.3	3.6	0.00e+00	0	37	104	0	60	110303
2026-01-03 09:00:02.26	142.79	3.88	-54.2	-56.7	3.6	0.00e+00	0	37	104	0	60	115833
2026-01-03 09:00:03.27	142.76	3.96	-53.2	-55.7	3.6	0.00e+00	0	37	104	0	60	103116
2026-01-03 09:00:04.28	142.73	4.03	-53.5	-56.0	3.6	0.00e+00	0	37	104	0	60	106490
2026-01-03 09:00:05.29	142.70	4.11	-54.5	-57.0	3.6	0.00e+00	0	37	104	0	60	119776
2026-01-03 09:00:06.30	142.67	4.19	-54.2	-56.6	3.6	0.00e+00	0	37	104	0	60	114628
2026-01-03 09:00:07.31	142.64	4.26	-53.8	-56.2	3.5	0.00e+00	0	37	104	0	60	109276
2026-01-03 09:00:08.32	142.60	4.34	-54.1	-56.6	3.6	0.00e+00	0	37	104	0	60	114135
2026-01-03 09:00:09.33	142.57	4.42	-54.0	-56.5	3.6	0.00e+00	0	37	104	0	60	113400
2026-01-03 09:00:10.34	142.54	4.50	-53.9	-56.4	3.6	0.00e+00	0	37	104	0	60	111166
2026-01-03 09:00:11.35	142.51	4.57	-53.6	-56.0	3.6	0.00e+00	0	37	104	0	60	107192
2026-01-03 09:00:12.37	142.47	4.65	-53.9	-56.3	3.6	0.00e+00	0	37	104	0	60	110330
2026-01-03 09:00:13.38	142.44	4.73	-54.2	-56.6	3.6	0.00e+00	0	37	104	0	60	114783
2026-01-03 09:00:14.38	142.41	4.81	-54.0	-56.5	3.6	0.00e+00	0	37	104	0	60	112905
2026-01-03 09:00:15.40	142.37	4.89	-53.9	-56.4	3.6	0.00e+00	0	37	104	0	60	111201
2026-01-03 09:00:16.41	142.34	4.97	-54.2	-56.7	3.6	0.00e+00	0	37	104	0	60	115248
2026-01-03 09:00:17.42	142.30	5.05	-54.0	-56.5	3.6	0.00e+00	0	37	104	0	60	112742
2026-01-03 09:00:18.43	142.27	5.13	-53.6	-56.0	3.6	0.00e+00	0	37	104	0	60	107147
2026-01-03 09:00:19.44	142.23	5.21	-53.4	-55.9	3.6	0.00e+00	0	37	104	0	60	104901
2026-01-03 09:00:20.45	142.20	5.29	-53.7	-56.2	3.6	0.00e+00	0	37	104	0	60	108665
2026-01-03 09:00:21.46	142.16	5.37	-54.6	-57.0	3.6	0.00e+00	0	37	104	0	60	120205
2026-01-03 09:00:22.47	142.13	5.46	-54.5	-56.9	3.6	0.00e+00	0	37	104	0	60	118037
2026-01-03 09:00:23.48	142.09	5.54	-53.5	-56.0	3.6	0.00e+00	0	37	104	0	60	106383
2026-01-03 09:00:24.49	142.05	5.62	-54.3	-56.8	3.6	0.00e+00	0	37	104	0	60	117405
2026-01-03 09:00:25.50	142.02	5.70	-54.1	-56.5	3.6	0.00e+00	0	37	104	0	60	113644
2026-01-03 09:00:26.51	141.98	5.78	-54.2	-56.6	3.6	0.00e+00	0	37	104	0	60	114667
2026-01-03 09:00:27.52	141.94	5.87	-53.1	-55.6	3.5	0.00e+00	0	37	104	0	60	101548
2026-01-03 09:00:28.53	141.91	5.95	-54.2	-56.7	3.6	0.00e+00	0	37	104	0	60	115586
2026-01-03 09:00:29.54	141.87	6.04	-53.4	-55.9	3.6	0.00e+00	0	37	104	0	60	105336
2026-01-03 09:00:30.55	141.83	6.12	-54.3	-56.8	3.6	0.00e+00	0	37	104	0	60	116919
2026-01-03 09:00:31.56	141.79	6.20	-53.6	-56.0	3.6	0.00e+00	0	37	104	0	60	107129
2026-01-03 09:00:32.57	141.75	6.29	-54.6	-57.1	3.6	0.00e+00	0	37	104	0	60	120582
2026-01-03 09:00:33.58	141.72	6.37	-54.1	-56.5	3.6	0.00e+00	0	37	104	0	60	113411
2026-01-03 09:00:34.59	141.68	6.46	-54.0	-56.4	3.6	0.00e+00	0	38	104	0	60	112330
2026-01-03 09:00:35.60	141.64	6.55	-54.4	-56.9	3.6	0.00e+00	0	38	104	0	60	117922
2026-01-03 09:00:36.61	141.60	6.63	-54.7	-57.2	3.6	0.00e+00	0	38	104	0	60	123018
2026-01-03 09:00:37.62	141.56	6.72	-53.7	-56.2	3.6	0.00e+00	0	37	104	0	60	108611
2026-01-03 09:00:38.64	141.52	6.81	-53.7	-56.2	3.6	0.00e+00	0	37	104	0	60	109100
2026-01-03 09:00:39.64	141.48	6.89	-53.6	-56.1	3.6	0.00e+00	0	37	104	0	60	107990
2026-01-03 09:00:40.66	141.43	6.98	-54.6	-57.1	3.6	0.00e+00	0	38	104	0	60	120423
2026-01-03 09:00:41.67	141.39	7.07	-54.4	-56.9	3.6	0.00e+00	0	38	104	0	60	118395
2026-01-03 09:00:42.68	141.35	7.16	-53.7	-56.2	3.6	0.00e+00	0	38	104	0	60	108942
2026-01-03 09:00:43.69	141.31	7.25	-54.4	-56.9	3.6	0.00e+00	0	37	104	0	60	117804
2026-01-03 09:00:44.70	141.27	7.34	-54.1	-56.6	3.6	0.00e+00	0	38	104	0	60	114434
2026-01-03 09:00:45.71	141.22	7.43	-54.2	-56.6	3.6	0.00e+00	0	38	104	0	60	114865
2026-01-03 09:00:46.72	141.18	7.52	-54.0	-56.5	3.6	0.00e+00	0	38	104	0	60	113277
2026-01-03 09:00:47.73	141.14	7.61	-54.4	-56.9	3.6	0.00e+00	0	38	104	0	60	118120
2026-01-03 09:00:48.75	141.09	7.70	-54.0	-56.5	3.6	0.00e+00	0	38	104	0	60	112464
2026-01-03 09:00:49.76	141.05	7.79	-54.2	-56.6	3.6	0.00e+00	0	38	104	0	60	113854
2026-01-03 09:00:50.77	141.00	7.88	-53.9	-56.4	3.6	0.00e+00	0	38	104	0	60	111379
2026-01-03 09:00:51.78	140.96	7.98	-54.0	-56.4	3.6	0.00e+00	0	38	104	0	60	112111
2026-01-03 09:00:52.79	140.91	8.07	-53.9	-56.4	3.6	0.00e+00	0	38	104	0	60	111839
2026-01-03 09:00:53.80	140.87	8.16	-53.6	-56.0	3.6	0.00e+00	0	38	104	0	60	106700
2026-01-03 09:00:54.81	140.82	8.25	-54.1	-56.6	3.6	0.00e+00	0	38	104	0	60	114220
2026-01-03 09:00:55.82	140.78	8.35	-53.9	-56.4	3.6	0.00e+00	0	38	104	0	60	111441
2026-01-03 09:00:56.83	140.73	8.44	-53.8	-56.2	3.6	0.00e+00	0	38	104	0	60	109646
2026-01-03 09:00:57.84	140.68	8.54	-53.4	-55.9	3.6	0.00e+00	0	38	104	0	60	105399
2026-01-03 09:00:58.86	140.63	8.63	-53.1	-55.5	3.6	0.00e+00	0	38	104	0	60	100967
2026-01-03 09:00:59.87	140.59	8.73	-53.6	-56.1	3.6	0.00e+00	0	38	104	0	60	107683
2026-01-03 09:01:00.88	140.54	8.83	-54.2	-56.7	3.6	0.00e+00	0	38	104	0	60	115725
2026-01-03 09:01:01.89	140.49	8.92	-54.4	-56.9	3.6	0.00e+00	0	38	104	0	60	117941
