#Pass ID: 20260103_160115_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-03 16:01:15

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 49008U 21062A   26002.95568549 -.00000227  00000+0 -86494-4 0  9990
#TLE: 2 49008  98.7475   8.2258 0001442 163.3458 196.7766 14.19882681233131

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-03 16:01:15.19	221.00	4.97	-53.7	-64.8	3.8	8.48e-01	0	40	0	0	77	13179
2026-01-03 16:01:16.19	221.10	5.02	-53.8	-64.8	3.8	8.46e-01	0	40	104	0	78	12447
2026-01-03 16:01:17.19	221.20	5.08	-53.7	-64.7	3.8	8.46e-01	0	40	104	0	78	12374
2026-01-03 16:01:18.20	221.30	5.13	-53.7	-64.8	3.8	8.47e-01	0	40	104	0	78	12398
2026-01-03 16:01:19.20	221.40	5.19	-53.7	-64.8	3.8	8.47e-01	0	40	104	0	78	12417
2026-01-03 16:01:20.21	221.50	5.24	-53.7	-64.7	3.8	8.47e-01	0	41	104	0	78	12296
2026-01-03 16:01:21.21	221.61	5.30	-53.7	-64.8	3.8	8.46e-01	0	40	104	0	78	12426
2026-01-03 16:01:22.21	221.71	5.35	-53.8	-64.8	3.8	8.47e-01	0	41	104	0	77	13137
2026-01-03 16:01:23.22	221.81	5.40	-53.7	-64.7	3.8	8.47e-01	0	41	104	0	77	13106
2026-01-03 16:01:24.22	221.92	5.46	-53.8	-64.8	3.8	8.47e-01	0	41	104	0	77	13132
2026-01-03 16:01:25.23	222.02	5.51	-53.6	-64.7	3.8	8.47e-01	0	41	104	0	77	13041
2026-01-03 16:01:26.23	222.12	5.57	-53.8	-64.7	3.8	8.46e-01	0	41	104	0	77	13040
2026-01-03 16:01:27.24	222.23	5.62	-53.7	-64.8	3.8	8.48e-01	0	41	104	0	77	13147
2026-01-03 16:01:28.24	222.33	5.68	-53.6	-64.7	3.8	8.47e-01	0	41	104	0	77	13047
2026-01-03 16:01:29.24	222.44	5.73	-53.7	-64.7	3.8	8.46e-01	0	41	104	0	77	13074
2026-01-03 16:01:30.25	222.55	5.79	-53.7	-64.6	3.8	8.47e-01	0	41	104	0	77	12938
2026-01-03 16:01:31.25	222.65	5.84	-53.8	-64.8	3.8	8.46e-01	0	41	104	0	77	13114
2026-01-03 16:01:32.25	222.76	5.90	-53.6	-64.7	3.8	8.47e-01	0	41	104	0	77	13029
2026-01-03 16:01:33.26	222.87	5.95	-53.6	-64.7	3.8	8.46e-01	0	41	104	0	77	12970
2026-01-03 16:01:34.26	222.97	6.00	-53.7	-64.8	3.8	8.46e-01	0	41	104	0	77	13149
2026-01-03 16:01:35.27	223.08	6.06	-53.7	-64.8	3.8	8.47e-01	0	41	104	0	77	13112
2026-01-03 16:01:36.27	223.19	6.11	-53.7	-64.7	3.8	8.46e-01	0	41	104	0	77	13100
2026-01-03 16:01:37.28	223.30	6.17	-53.7	-64.7	3.8	8.47e-01	0	41	104	0	77	13060
2026-01-03 16:01:38.28	223.41	6.22	-53.7	-64.7	3.8	8.47e-01	0	41	104	0	77	13022
2026-01-03 16:01:39.29	223.52	6.28	-53.8	-64.7	3.8	8.46e-01	0	41	104	0	77	13064
2026-01-03 16:01:40.29	223.63	6.33	-53.7	-64.6	3.8	8.48e-01	0	41	104	0	77	12919
2026-01-03 16:01:41.29	223.74	6.39	-53.7	-64.6	3.8	8.48e-01	0	41	104	0	77	12891
2026-01-03 16:01:42.30	223.85	6.44	-53.5	-64.5	3.8	8.48e-01	0	41	104	0	77	12750
2026-01-03 16:01:43.30	223.96	6.50	-53.7	-64.5	3.8	8.46e-01	0	41	104	0	77	12694
2026-01-03 16:01:44.31	224.07	6.56	-53.6	-64.4	3.8	8.47e-01	0	41	104	0	77	12594
2026-01-03 16:01:45.31	224.18	6.61	-53.6	-64.3	3.8	8.46e-01	0	42	104	0	77	12477
2026-01-03 16:01:46.31	224.29	6.66	-53.5	-64.2	3.8	8.46e-01	0	42	104	0	77	12279
2026-01-03 16:01:47.32	224.41	6.72	-53.5	-64.1	3.8	8.47e-01	0	41	104	0	77	12141
2026-01-03 16:01:48.32	224.52	6.78	-53.6	-64.0	3.8	8.47e-01	0	42	104	0	77	12075
2026-01-03 16:01:49.33	224.64	6.83	-53.6	-64.1	3.8	8.46e-01	0	42	104	0	77	12145
2026-01-03 16:01:50.33	224.75	6.89	-53.6	-64.2	3.8	8.48e-01	0	42	104	0	77	12372
2026-01-03 16:01:51.34	224.86	6.94	-53.7	-64.5	3.8	8.47e-01	0	42	104	0	77	12672
2026-01-03 16:01:52.34	224.98	7.00	-53.7	-64.5	3.8	8.47e-01	0	42	104	0	77	12795
2026-01-03 16:01:53.34	225.09	7.05	-53.6	-64.6	3.8	8.47e-01	0	42	104	0	77	12884
2026-01-03 16:01:54.35	225.21	7.11	-53.7	-64.6	3.8	8.46e-01	0	41	104	0	77	12869
2026-01-03 16:01:55.35	225.32	7.16	-53.7	-64.5	3.8	8.47e-01	0	42	104	0	77	12764
2026-01-03 16:01:56.36	225.44	7.22	-53.6	-64.4	3.8	8.47e-01	0	42	104	0	77	12549
2026-01-03 16:01:57.36	225.56	7.27	-53.7	-64.4	3.8	8.47e-01	0	42	104	0	77	12528
2026-01-03 16:01:58.37	225.68	7.33	-53.7	-64.4	3.8	8.47e-01	0	42	104	0	77	12552
2026-01-03 16:01:59.37	225.79	7.38	-53.7	-64.3	3.8	8.47e-01	0	42	104	0	77	12512
2026-01-03 16:02:00.38	225.91	7.44	-53.7	-64.3	3.8	8.47e-01	0	42	104	0	77	12506
2026-01-03 16:02:01.38	226.03	7.50	-53.7	-64.4	3.8	8.47e-01	0	42	104	0	77	12564
2026-01-03 16:02:02.38	226.15	7.55	-53.7	-64.2	3.8	8.46e-01	0	42	104	0	77	12252
2026-01-03 16:02:03.39	226.27	7.61	-53.6	-64.0	3.8	8.46e-01	0	42	104	0	77	12054
2026-01-03 16:02:04.39	226.39	7.66	-53.6	-64.0	3.8	8.47e-01	0	42	104	0	77	11963
2026-01-03 16:02:05.40	226.51	7.72	-53.7	-64.0	3.8	8.46e-01	0	42	104	0	77	11991
2026-01-03 16:02:06.40	226.63	7.77	-53.7	-64.2	3.8	8.47e-01	0	42	104	0	77	12370
2026-01-03 16:02:07.40	226.75	7.83	-53.7	-64.5	3.8	8.47e-01	0	42	104	0	77	12761
2026-01-03 16:02:08.41	226.87	7.88	-53.7	-64.7	3.8	8.46e-01	0	42	104	0	77	13071
2026-01-03 16:02:09.41	227.00	7.94	-53.7	-64.4	3.8	8.47e-01	0	42	104	0	77	12524
2026-01-03 16:02:10.41	227.12	8.00	-53.6	-63.7	3.8	8.47e-01	0	42	104	0	77	11611
2026-01-03 16:02:11.42	227.24	8.05	-53.5	-63.1	3.8	8.46e-01	0	42	104	0	77	10857
2026-01-03 16:02:12.43	227.37	8.11	-53.6	-63.3	3.8	8.46e-01	0	42	104	0	77	11114
2026-01-03 16:02:13.43	227.49	8.16	-53.7	-64.2	3.8	8.46e-01	0	42	104	0	77	12324
2026-01-03 16:02:14.43	227.61	8.22	-53.6	-63.8	3.8	8.47e-01	0	42	104	0	77	11772
2026-01-03 16:02:15.44	227.74	8.27	-53.0	-59.6	4.8	8.39e-01	0	42	0	0	76	7681
2026-01-03 16:02:16.44	227.86	8.33	-51.4	-55.2	8.2	1.02e-01	0	42	0	4194304	73	5520
