#Pass ID: 20260103_142617_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#Start time: 2026-01-03 14:26:11

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 49008U 21062A   25359.14718215  .00000011  00000+0  25812-4 0  9998
#TLE: 2 49008  98.7476 359.5210 0000940 189.9291 170.1866 14.19881103231888

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-03 14:26:11.27	121.96	67.80	-37.1	-38.2	3.3	8378780	92	5577
2026-01-03 14:26:11.47	121.82	67.87	-36.8	-42.5	3.6	8170108	85	9544
2026-01-03 14:26:11.68	121.66	67.95	-37.3	-39.9	3.6	8438129	91	6679
2026-01-03 14:26:11.88	121.51	68.02	-37.4	-39.6	3.4	8423091	91	6327
2026-01-03 14:26:12.08	121.36	68.10	-37.5	-39.4	3.3	8404312	92	6127
2026-01-03 14:26:12.28	121.20	68.17	-37.6	-41.2	3.6	8384651	92	7389
2026-01-03 14:26:12.48	121.05	68.24	-37.7	-41.3	3.6	8425128	92	7417
2026-01-03 14:26:12.68	120.89	68.32	-37.8	-40.6	3.4	8426342	92	6775
2026-01-03 14:26:12.88	120.74	68.39	-37.8	-40.4	3.3	8394905	92	6622
2026-01-03 14:26:13.08	120.58	68.46	-37.8	-41.7	3.6	8394905	92	7716
2026-01-03 14:26:13.28	120.42	68.54	-37.7	-41.3	3.6	8396884	92	7489
2026-01-03 14:26:13.48	120.26	68.61	-37.4	-39.5	3.4	8432327	92	6242
2026-01-03 14:26:13.69	120.09	68.69	-37.1	-38.2	3.3	8415424	92	5553
2026-01-03 14:26:13.89	119.93	68.76	-36.8	-37.2	3.4	8388278	92	5180
2026-01-03 14:26:14.09	119.76	68.83	-36.3	-37.7	3.8	8404346	91	5764
2026-01-03 14:26:14.29	119.60	68.91	-35.7	-36.4	4.3	8357883	89	5305
2026-01-03 14:26:14.49	119.43	68.98	-35.1	-35.1	4.7	8016666	88	4885
2026-01-03 14:26:14.69	119.27	69.05	-34.6	-34.3	5.3	7357189	87	4718
2026-01-03 14:26:14.89	119.10	69.12	-34.3	-33.4	5.8	7357189	87	4475
2026-01-03 14:26:15.09	118.93	69.20	-33.4	-32.7	6.5	4695190	85	4526
2026-01-03 14:26:15.29	118.76	69.27	-33.0	-32.3	7.0	2596160	84	4523
2026-01-03 14:26:15.49	118.58	69.34	-32.6	-31.9	7.6	1635383	83	4572
2026-01-03 14:26:15.70	118.40	69.41	-32.2	-31.6	8.2	1040245	82	4601
2026-01-03 14:26:15.90	118.23	69.49	-31.9	-31.1	8.5	578899	82	4500
2026-01-03 14:26:16.10	118.05	69.56	-31.5	-30.8	9.0	413806	81	4540
2026-01-03 14:26:16.30	117.87	69.63	-31.4	-31.2	9.2	222152	80	4773
2026-01-03 14:26:16.50	117.69	69.70	-31.4	-31.0	9.3	222152	80	4719
2026-01-03 14:26:16.70	117.51	69.77	-30.4	-29.5	10.2	184020	79	4426
2026-01-03 14:26:16.90	117.33	69.84	-30.5	-29.8	10.0	108947	79	4537
2026-01-03 14:26:17.10	117.15	69.92	-30.4	-29.6	10.1	90499	79	4479
2026-01-03 14:26:17.30	116.96	69.99	-30.2	-29.7	10.5	62782	78	4643
2026-01-03 14:26:17.50	116.78	70.06	-30.0	-29.2	10.7	42732	78	4494
2026-01-03 14:26:17.71	116.58	70.13	-29.9	-29.0	10.9	33508	78	4452
2026-01-03 14:26:17.91	116.39	70.20	-29.9	-29.0	10.8	25611	78	4456
2026-01-03 14:26:18.11	116.20	70.27	-29.9	-29.1	10.9	25611	78	4500
2026-01-03 14:26:18.31	116.01	70.34	-29.9	-29.1	10.8	24581	78	4495
2026-01-03 14:26:18.51	115.81	70.41	-30.1	-29.4	10.7	26401	78	4568
2026-01-03 14:26:18.71	115.62	70.48	-30.1	-29.5	10.6	29411	78	4574
2026-01-03 14:26:18.91	115.42	70.55	-30.3	-29.9	10.4	35854	78	4699
2026-01-03 14:26:19.11	115.23	70.62	-30.5	-30.3	10.1	53970	78	4795
2026-01-03 14:26:19.31	115.03	70.69	-30.8	-30.9	9.8	83347	78	4985
2026-01-03 14:26:19.51	114.83	70.76	-31.0	-31.0	9.4	136459	79	4869
2026-01-03 14:26:19.72	114.61	70.83	-30.8	-30.4	9.7	145774	79	4695
