#Pass ID: 20260104_122345_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-04 12:26:58

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 49008U 21062A   26003.51942929 -.00000034  00000+0  45519-5 0  9990
#TLE: 2 49008  98.7472   8.7829 0001426 160.7926 199.3304 14.19883272233213

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 12:26:58.60	61.28	18.11	-33.7	-44.8	3.8	8.46e-01	0	43	0	0	27	12911
2026-01-04 12:26:59.60	61.06	18.15	-34.3	-43.5	3.8	8.46e-01	0	43	104	0	29	10376
2026-01-04 12:27:00.61	60.84	18.19	-34.3	-43.5	3.8	8.47e-01	0	43	104	0	29	10422
2026-01-04 12:27:01.61	60.62	18.24	-34.3	-43.6	3.8	8.46e-01	0	43	104	0	29	10480
2026-01-04 12:27:02.62	60.39	18.28	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10501
2026-01-04 12:27:03.63	60.17	18.32	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10538
2026-01-04 12:27:04.63	59.94	18.36	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10541
2026-01-04 12:27:05.64	59.71	18.40	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10496
2026-01-04 12:27:06.64	59.49	18.44	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10504
2026-01-04 12:27:07.65	59.26	18.47	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10542
2026-01-04 12:27:08.66	59.03	18.51	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10505
2026-01-04 12:27:09.67	58.80	18.55	-34.4	-43.7	3.8	8.47e-01	0	43	104	0	29	10534
2026-01-04 12:27:10.68	58.57	18.59	-34.4	-43.6	3.8	8.46e-01	0	43	104	0	29	10468
2026-01-04 12:27:11.68	58.35	18.63	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10566
2026-01-04 12:27:12.69	58.12	18.66	-34.4	-43.6	3.8	8.45e-01	0	43	104	0	29	10453
2026-01-04 12:27:13.69	57.89	18.70	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10470
2026-01-04 12:27:14.70	57.65	18.73	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10485
2026-01-04 12:27:15.70	57.42	18.77	-34.4	-43.6	3.8	8.47e-01	0	43	104	0	29	10426
2026-01-04 12:27:16.71	57.19	18.80	-34.4	-43.6	3.8	8.47e-01	0	43	104	0	29	10481
2026-01-04 12:27:17.71	56.96	18.84	-34.4	-43.6	3.8	8.46e-01	0	43	104	0	29	10484
2026-01-04 12:27:18.72	56.73	18.87	-34.4	-43.6	3.8	8.47e-01	0	43	104	0	29	10468
2026-01-04 12:27:19.72	56.49	18.91	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10459
2026-01-04 12:27:20.73	56.26	18.94	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10450
2026-01-04 12:27:21.74	56.02	18.97	-34.3	-43.6	3.8	8.45e-01	0	43	104	0	29	10486
2026-01-04 12:27:22.74	55.79	19.00	-34.4	-43.6	3.8	8.46e-01	0	43	104	0	29	10484
2026-01-04 12:27:23.74	55.55	19.04	-34.3	-43.6	3.8	8.46e-01	0	44	104	0	29	10461
2026-01-04 12:27:24.75	55.32	19.07	-34.3	-43.6	3.8	8.46e-01	0	43	104	0	29	10445
2026-01-04 12:27:25.76	55.08	19.10	-34.3	-43.6	3.8	8.46e-01	0	43	104	0	29	10446
2026-01-04 12:27:26.76	54.84	19.13	-34.3	-43.6	3.8	8.47e-01	0	43	104	0	29	10484
2026-01-04 12:27:27.77	54.61	19.16	-34.3	-43.6	3.8	8.45e-01	0	43	104	0	29	10441
2026-01-04 12:27:28.78	54.37	19.19	-34.3	-43.6	3.8	8.46e-01	0	43	104	0	29	10443
2026-01-04 12:27:29.78	54.13	19.22	-34.3	-43.6	3.8	8.46e-01	0	44	104	0	29	10408
2026-01-04 12:27:30.78	53.89	19.25	-34.3	-43.6	3.8	8.46e-01	0	44	104	0	29	10459
