#Pass ID: 20260104_140148_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-04 14:06:56

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 49008U 21062A   26004.01270550 -.00000256  00000+0 -10014-3 0  9997
#TLE: 2 49008  98.7472   9.2701 0001499 161.2681 198.8551 14.19882497233285

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 14:06:56.58	99.30	53.90	-33.9	-45.2	3.8	8.46e-01	0	43	0	0	27	13216
2026-01-04 14:06:57.58	98.71	54.11	-34.3	-43.5	3.8	8.47e-01	0	43	104	0	29	10384
2026-01-04 14:06:58.59	98.10	54.33	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10533
2026-01-04 14:06:59.59	97.49	54.54	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10493
2026-01-04 14:07:00.60	96.86	54.75	-34.4	-43.7	3.8	8.47e-01	0	43	104	0	29	10525
2026-01-04 14:07:01.61	96.23	54.95	-34.4	-43.8	3.8	8.46e-01	0	43	104	0	29	10590
2026-01-04 14:07:02.62	95.58	55.16	-34.4	-43.8	3.8	8.46e-01	0	43	104	0	29	10548
2026-01-04 14:07:03.62	94.93	55.36	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10530
2026-01-04 14:07:04.63	94.27	55.56	-34.4	-43.7	3.8	8.45e-01	0	43	104	0	29	10537
2026-01-04 14:07:05.64	93.60	55.75	-34.4	-43.7	3.8	8.47e-01	0	43	104	0	29	10502
2026-01-04 14:07:06.65	92.91	55.94	-34.4	-43.7	3.8	8.45e-01	0	43	104	0	29	10500
2026-01-04 14:07:07.65	92.23	56.13	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10573
2026-01-04 14:07:08.66	91.53	56.32	-34.4	-43.7	3.8	8.47e-01	0	44	104	0	29	10500
2026-01-04 14:07:09.66	90.83	56.50	-34.4	-43.7	3.8	8.47e-01	0	43	104	0	29	10488
2026-01-04 14:07:10.67	90.11	56.67	-34.4	-43.6	3.8	8.46e-01	0	43	104	0	29	10429
2026-01-04 14:07:11.67	89.38	56.85	-34.4	-43.7	3.8	8.45e-01	0	44	104	0	29	10480
2026-01-04 14:07:12.68	88.65	57.02	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10502
2026-01-04 14:07:13.68	87.91	57.18	-34.4	-43.7	3.8	8.45e-01	0	43	104	0	29	10523
2026-01-04 14:07:14.68	87.16	57.34	-34.4	-43.8	3.8	8.45e-01	0	43	104	0	29	10552
2026-01-04 14:07:15.68	86.40	57.50	-34.4	-43.8	3.8	8.46e-01	0	43	104	0	29	10580
2026-01-04 14:07:16.69	85.63	57.65	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10495
2026-01-04 14:07:17.69	84.85	57.80	-34.5	-44.0	3.8	8.45e-01	0	43	104	0	29	10725
2026-01-04 14:07:18.70	84.06	57.94	-34.5	-43.8	3.8	8.46e-01	0	44	104	0	29	10541
2026-01-04 14:07:19.71	83.26	58.08	-34.4	-43.7	3.8	8.46e-01	0	43	104	0	29	10456
2026-01-04 14:07:20.72	82.45	58.21	-34.4	-43.8	3.8	8.45e-01	0	44	104	0	29	10558
2026-01-04 14:07:21.73	81.64	58.34	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10480
2026-01-04 14:07:22.74	80.82	58.46	-34.4	-43.6	3.8	8.47e-01	0	44	104	0	29	10451
2026-01-04 14:07:23.74	79.99	58.58	-34.4	-43.5	3.8	8.46e-01	0	44	104	0	29	10322
2026-01-04 14:07:24.75	79.16	58.69	-34.4	-43.6	3.8	8.45e-01	0	44	104	0	29	10423
2026-01-04 14:07:25.76	78.31	58.80	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10413
2026-01-04 14:07:26.76	77.47	58.90	-34.4	-43.7	3.8	8.45e-01	0	44	104	0	29	10463
2026-01-04 14:07:27.77	76.61	59.00	-34.4	-43.5	3.8	8.48e-01	0	44	104	0	29	10332
2026-01-04 14:07:28.78	75.75	59.09	-34.4	-43.5	3.8	8.45e-01	0	44	104	0	29	10351
2026-01-04 14:07:29.79	74.88	59.17	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10411
2026-01-04 14:07:30.80	74.00	59.25	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10399
2026-01-04 14:07:31.81	73.12	59.32	-34.4	-43.5	3.8	8.47e-01	0	44	104	0	29	10279
2026-01-04 14:07:32.82	72.24	59.39	-34.3	-43.3	3.8	8.46e-01	0	44	104	0	29	10081
