#Pass ID: 20260104_172804_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-04 17:28:05

#Version: 2.2.20231116
#Station: R3.0SM8_Murmansk_STILSPACE
#Location: 33.092731 lon 68.902999 lat
#TLE: 1 49008U 21062A   26004.01270550 -.00000256  00000+0 -10014-3 0  9997
#TLE: 2 49008  98.7472   9.2701 0001499 161.2681 198.8551 14.19882497233285

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 17:28:05.47	250.72	3.03	-52.6	-62.8	3.8	8.46e-01	0	46	0	0	67	11891
2026-01-04 17:28:06.46	250.83	3.07	-52.7	-62.9	3.8	8.47e-01	0	46	104	0	68	11385
2026-01-04 17:28:07.45	250.94	3.11	-52.6	-62.9	3.8	8.47e-01	0	46	104	0	68	11344
2026-01-04 17:28:08.44	251.05	3.15	-52.6	-62.9	3.8	8.46e-01	0	47	104	0	68	11358
2026-01-04 17:28:09.43	251.16	3.20	-52.6	-62.8	3.8	8.47e-01	0	47	104	0	67	11886
2026-01-04 17:28:10.42	251.27	3.24	-52.5	-62.8	3.8	8.47e-01	0	47	104	0	67	11865
2026-01-04 17:28:11.41	251.38	3.28	-52.5	-62.8	3.8	8.45e-01	0	47	104	0	67	11829
2026-01-04 17:28:12.41	251.49	3.32	-52.6	-62.7	3.8	8.45e-01	0	47	104	0	67	11816
2026-01-04 17:28:13.40	251.60	3.36	-52.4	-62.7	3.8	8.47e-01	0	47	104	0	67	11769
2026-01-04 17:28:14.40	251.71	3.40	-52.4	-62.7	3.8	8.46e-01	0	47	104	0	67	11777
2026-01-04 17:28:15.39	251.83	3.44	-52.5	-62.7	3.8	8.46e-01	0	47	104	0	67	11769
2026-01-04 17:28:16.39	251.94	3.49	-52.5	-62.7	3.8	8.47e-01	0	47	104	0	67	11738
2026-01-04 17:28:17.38	252.05	3.53	-52.4	-62.7	3.8	8.47e-01	0	47	104	0	67	11721
2026-01-04 17:28:18.36	252.16	3.57	-52.4	-62.6	3.8	8.47e-01	0	47	104	0	67	11667
2026-01-04 17:28:19.34	252.28	3.61	-52.3	-62.6	3.8	8.46e-01	0	47	104	0	67	11572
2026-01-04 17:28:20.34	252.39	3.65	-52.3	-62.6	3.8	8.46e-01	0	47	104	0	67	11613
2026-01-04 17:28:21.33	252.50	3.69	-52.2	-62.5	3.8	8.45e-01	0	47	104	0	67	11464
2026-01-04 17:28:22.32	252.62	3.73	-52.2	-62.5	3.8	8.46e-01	0	48	104	0	67	11422
2026-01-04 17:28:23.31	252.73	3.77	-52.1	-62.4	3.8	8.46e-01	0	48	104	0	67	11329
2026-01-04 17:28:24.30	252.85	3.82	-52.0	-62.2	3.8	8.48e-01	0	48	104	0	66	11803
