#Pass ID: 20260104_032849_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-04 03:28:49

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 27424U 02022A   25365.92641127  .00002078  00000+0  42628-3 0  9999
#TLE: 2 27424  98.4058 327.1196 0001962  94.7781 340.6230 14.61783896258835

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 03:28:49.48	27.71	1.98	-58.1	-77.4	3.8	7.47e-01	0	26	0	0	85	32550
2026-01-04 03:28:50.48	27.67	2.04	-57.9	-77.3	3.8	7.45e-01	0	26	104	0	83	35873
2026-01-04 03:28:51.49	27.64	2.11	-57.9	-77.3	3.8	7.46e-01	0	26	104	0	83	35891
2026-01-04 03:28:52.49	27.61	2.18	-57.9	-77.3	3.8	7.47e-01	0	27	104	0	83	35944
2026-01-04 03:28:53.49	27.58	2.24	-57.9	-77.3	3.8	7.47e-01	0	27	104	0	83	35846
2026-01-04 03:28:54.49	27.54	2.31	-57.9	-77.3	3.8	7.47e-01	0	27	104	0	83	35898
2026-01-04 03:28:55.49	27.51	2.37	-57.9	-77.3	3.8	7.51e-01	0	27	104	0	83	35794
2026-01-04 03:28:56.48	27.48	2.44	-57.9	-77.3	3.8	7.43e-01	0	27	104	0	83	35893
2026-01-04 03:28:57.48	27.45	2.50	-57.9	-77.3	3.8	7.47e-01	0	26	104	0	83	35794
2026-01-04 03:28:58.48	27.41	2.57	-57.9	-77.3	3.8	7.47e-01	0	27	104	0	83	35733
2026-01-04 03:28:59.48	27.38	2.63	-57.9	-77.2	3.9	7.44e-01	0	27	104	0	83	35645
2026-01-04 03:29:00.47	27.35	2.70	-57.9	-77.3	3.8	7.45e-01	0	27	104	0	83	35755
2026-01-04 03:29:01.47	27.31	2.77	-57.9	-77.2	3.8	7.47e-01	0	27	104	0	83	35681
2026-01-04 03:29:02.47	27.28	2.83	-57.9	-77.3	3.8	7.49e-01	0	27	104	0	83	35716
2026-01-04 03:29:03.46	27.25	2.90	-57.9	-77.2	3.8	7.46e-01	0	27	104	0	83	35662
2026-01-04 03:29:04.46	27.21	2.97	-57.9	-77.2	3.8	7.48e-01	0	27	104	0	83	35679
2026-01-04 03:29:05.46	27.18	3.03	-57.9	-77.2	3.8	7.51e-01	0	27	104	0	83	35675
2026-01-04 03:29:06.46	27.14	3.10	-57.9	-77.3	3.8	7.46e-01	0	27	104	0	83	35784
2026-01-04 03:29:07.46	27.11	3.17	-57.9	-77.3	3.8	7.47e-01	0	27	104	0	83	35793
2026-01-04 03:29:08.45	27.07	3.23	-57.9	-77.3	3.8	7.47e-01	0	27	104	0	83	35744
2026-01-04 03:29:09.44	27.04	3.30	-57.9	-77.3	3.8	7.45e-01	0	27	104	0	83	35718
2026-01-04 03:29:10.44	27.00	3.37	-57.9	-77.3	3.8	7.49e-01	0	27	104	0	83	35874
2026-01-04 03:29:11.44	26.97	3.44	-57.9	-77.3	3.8	7.48e-01	0	27	104	0	83	35826
2026-01-04 03:29:12.44	26.93	3.51	-57.9	-77.3	3.8	7.45e-01	0	27	104	0	83	35766
2026-01-04 03:29:13.44	26.89	3.57	-57.9	-77.2	3.8	7.48e-01	0	27	104	0	83	35553
2026-01-04 03:29:14.44	26.86	3.64	-57.9	-77.2	3.8	7.44e-01	0	27	104	0	83	35329
2026-01-04 03:29:15.44	26.82	3.71	-57.9	-77.1	3.8	7.47e-01	0	27	104	0	83	35156
2026-01-04 03:29:16.44	26.79	3.78	-57.9	-77.0	3.8	7.47e-01	0	27	104	0	83	34679
2026-01-04 03:29:17.44	26.75	3.85	-57.8	-76.9	3.8	7.45e-01	0	27	104	0	83	34347
2026-01-04 03:29:18.44	26.71	3.92	-57.8	-76.8	3.8	7.47e-01	0	27	104	0	83	33772
2026-01-04 03:29:19.44	26.67	3.99	-57.8	-76.7	3.8	7.47e-01	0	27	104	0	83	33447
2026-01-04 03:29:20.43	26.64	4.06	-57.8	-76.6	3.8	7.47e-01	0	27	104	0	83	32974
2026-01-04 03:29:21.43	26.60	4.13	-57.8	-76.5	3.8	7.45e-01	0	27	104	0	83	32832
2026-01-04 03:29:22.43	26.56	4.20	-57.8	-76.4	3.8	7.42e-01	0	27	104	0	83	32550
2026-01-04 03:29:23.44	26.52	4.27	-57.8	-76.4	3.8	7.47e-01	0	27	104	0	83	32217
2026-01-04 03:29:24.44	26.48	4.34	-57.8	-76.3	3.8	7.46e-01	0	27	104	0	83	31945
2026-01-04 03:29:25.43	26.45	4.41	-57.7	-76.0	3.8	7.47e-01	0	27	104	0	83	30957
2026-01-04 03:29:26.43	26.41	4.48	-57.6	-75.5	3.8	7.50e-01	0	27	104	0	83	29014
2026-01-04 03:29:27.44	26.37	4.55	-57.5	-74.8	3.8	7.45e-01	0	27	104	0	83	26951
2026-01-04 03:29:28.44	26.33	4.62	-57.3	-74.1	3.8	7.47e-01	0	27	104	0	83	24828
2026-01-04 03:29:29.43	26.29	4.70	-57.1	-73.3	3.8	7.44e-01	0	27	104	0	83	22586
2026-01-04 03:29:30.43	26.25	4.77	-57.0	-72.8	3.8	7.43e-01	0	27	104	0	83	21408
2026-01-04 03:29:31.43	26.21	4.84	-56.7	-71.9	3.8	7.45e-01	0	28	104	0	82	20537
2026-01-04 03:29:32.43	26.17	4.91	-56.5	-71.3	3.8	7.45e-01	0	27	104	0	82	19133
2026-01-04 03:29:33.44	26.13	4.98	-56.2	-70.6	3.8	7.46e-01	0	27	104	0	81	18585
2026-01-04 03:29:34.43	26.09	5.06	-56.8	-71.7	3.8	7.48e-01	0	27	104	0	81	21150
2026-01-04 03:29:35.44	26.05	5.13	-57.3	-73.5	3.9	7.42e-01	0	27	104	0	83	23133
2026-01-04 03:29:36.43	26.01	5.20	-55.7	-69.6	3.9	7.48e-01	0	27	104	0	79	18526
2026-01-04 03:29:37.43	25.96	5.28	-57.0	-72.4	3.9	7.46e-01	0	28	104	0	82	21510
2026-01-04 03:29:38.43	25.92	5.35	-54.7	-67.5	3.9	7.46e-01	0	27	104	0	78	15478
2026-01-04 03:29:39.43	25.88	5.42	-53.9	-66.4	3.9	7.45e-01	0	28	104	0	76	15355
2026-01-04 03:29:40.43	25.84	5.50	-53.3	-65.5	3.8	7.45e-01	0	27	104	0	75	14583
2026-01-04 03:29:41.42	25.80	5.57	-53.2	-65.4	3.8	7.45e-01	0	27	104	0	75	14462
2026-01-04 03:29:42.41	25.75	5.64	-52.3	-64.0	3.9	7.40e-01	0	28	104	0	73	13874
